date,open,high,low,close,volume,dividend,split
2001-06-19,0.5083,0.5083,0.46,0.46,237600,0,1
2001-06-20,0.4583,0.4583,0.4458,0.4458,56400,0,1
2001-06-21,0.4458,0.4458,0.4458,0.4458,7200,0,1
2001-06-22,0.4458,0.4792,0.4458,0.4792,142800,0,1
2001-06-25,0.4792,0.4833,0.475,0.4792,92400,0,1
2001-06-26,0.475,0.52,0.475,0.52,49200,0,1
2001-06-27,0.5042,0.5083,0.5042,0.5083,55200,0,1
2001-06-28,0.5117,0.5117,0.5117,0.5117,3600,0,1
2001-06-29,0.5167,0.5408,0.5167,0.5333,98400,0,1
2001-07-02,0.5333,0.5375,0.5292,0.5333,292800,0,1
2001-07-03,0.5292,0.5292,0.5292,0.5292,12000,0,1
2001-07-05,0.5292,0.5292,0.5292,0.5292,16800,0,1
2001-07-06,0.525,0.525,0.5167,0.5208,28800,0,1
2001-07-09,0.5167,0.5208,0.5,0.5,96000,0,1
2001-07-10,0.5,0.5,0.5,0.5,174000,0,1
2001-07-11,0.5,0.5042,0.5,0.5042,13200,0,1
2001-07-12,0.5042,0.5042,0.4958,0.4958,109200,0,1
2001-07-13,0.4958,0.5,0.495,0.495,33600,0,1
2001-07-16,0.4917,0.4925,0.4875,0.4875,72000,0,1
2001-07-17,0.4833,0.4833,0.4833,0.4833,3600,0,1
2001-07-18,0.4833,0.4833,0.4792,0.4792,96000,0,1
2001-07-19,0.4708,0.4708,0.4667,0.4667,164400,0,1
2001-07-20,0.4792,0.4792,0.4667,0.4667,42000,0,1
2001-07-23,0.4792,0.4875,0.4675,0.4708,67200,0,1
2001-07-24,0.4875,0.4958,0.4758,0.4808,222000,0,1
2001-07-25,0.4733,0.4733,0.4733,0.4733,21600,0,1
2001-07-26,0.4733,0.4775,0.4733,0.4775,31200,0,1
2001-07-27,0.48,0.4883,0.4775,0.4883,55200,0,1
2001-07-30,0.4892,0.51,0.4892,0.5083,58800,0,1
2001-07-31,0.5042,0.5208,0.5017,0.5208,224400,0,1
2001-08-01,0.5208,0.5208,0.5167,0.5167,21600,0,1
2001-08-02,0.5208,0.5208,0.5117,0.5167,88800,0,1
2001-08-03,0.5217,0.5217,0.5167,0.5167,404400,0,1
2001-08-06,0.5092,0.5167,0.5,0.5167,76800,0,1
2001-08-07,0.5208,0.5417,0.5208,0.5375,1464000,0,1
2001-08-08,0.5375,0.5625,0.5342,0.5517,696000,0,1
2001-08-09,0.5542,0.5708,0.5517,0.5692,1784400,0,1
2001-08-10,0.5717,0.5917,0.5708,0.5917,709200,0,1
2001-08-13,0.5917,0.6458,0.5917,0.6442,1141200,0,1
2001-08-14,0.6442,0.6458,0.6217,0.645,936000,0,1
2001-08-15,0.65,0.6625,0.64,0.66,1168800,0,1
2001-08-16,0.6625,0.675,0.6458,0.6742,1250400,0,1
2001-08-17,0.6742,0.6792,0.6567,0.6642,1190400,0,1
2001-08-20,0.6708,0.6792,0.6125,0.6292,378000,0,1
2001-08-21,0.6317,0.6458,0.615,0.64,196800,0,1
2001-08-22,0.65,0.65,0.605,0.6417,663600,0,1
2001-08-23,0.645,0.6583,0.645,0.6525,432000,0,1
2001-08-24,0.6567,0.7125,0.6558,0.7125,1924800,0,1
2001-08-27,0.7167,0.7417,0.6833,0.735,1335600,0,1
2001-08-28,0.74,0.7542,0.7042,0.7083,1693200,0,1
2001-08-29,0.705,0.7125,0.6933,0.7083,166800,0,1
2001-08-30,0.6983,0.7042,0.675,0.6875,153600,0,1
2001-08-31,0.6792,0.7167,0.6792,0.7083,852000,0,1
2001-09-04,0.715,0.7675,0.715,0.7567,393600,0,1
2001-09-05,0.7583,0.7625,0.7375,0.7533,350400,0,1
2001-09-06,0.7342,0.7542,0.725,0.725,352800,0,1
2001-09-07,0.7167,0.725,0.6958,0.7208,118800,0,1
2001-09-10,0.7033,0.7292,0.6992,0.7292,57600,0,1
2001-09-17,0.75,0.75,0.6333,0.7,1316400,0,1
2001-09-18,0.6892,0.7292,0.6892,0.7083,531600,0,1
2001-09-19,0.7167,0.7167,0.625,0.6633,494400,0,1
2001-09-20,0.6358,0.6358,0.5858,0.5867,279600,0,1
2001-09-21,0.5833,0.625,0.5542,0.5667,530400,0,1
2001-09-24,0.5875,0.6417,0.5875,0.6333,262800,0,1
2001-09-25,0.6167,0.6667,0.615,0.65,447600,0,1
2001-09-26,0.6583,0.6875,0.6583,0.6875,387600,0,1
2001-09-27,0.6917,0.7292,0.6917,0.725,776400,0,1
