date,open,high,low,close,volume,dividend,split
2000-01-03,16.8125,16.875,16.0625,16.3906,7384400,0,1
2000-01-04,15.75,16.4531,14.9844,15.0156,7813200,0,1
2000-01-05,14.5625,15.6875,14.5625,15.3125,14927200,0,1
2000-01-06,15.3594,15.6562,15.1562,15.4375,10221200,0,1
2000-01-07,15.3906,16.1875,15.2188,16.1875,8253200,0,1
2000-01-10,16.3438,16.8125,15.9062,16.8125,10987200,0,1
2000-01-11,16.7969,16.8125,15.5938,15.6562,9616000,0,1
2000-01-12,15.6875,15.8438,15.4375,15.5781,8051200,0,1
2000-01-13,15.7031,16.5,15.6875,16.4062,5527200,0,1
2000-01-14,16.6562,16.8438,16.4062,16.5781,5136800,0,1
2000-01-18,16.2656,16.4688,16.0,16.0,5201600,0,1
2000-01-19,15.9297,16.0938,15.625,15.7812,4559200,0,1
2000-01-20,15.9062,16.1562,15.375,15.9531,4248800,0,1
2000-01-21,16.125,16.2188,15.5,15.7188,6900000,0,1
2000-01-24,15.7734,15.875,15.0312,15.1406,5895600,0,1
2000-01-25,15.0391,15.8438,14.7188,15.75,7566000,0,1
2000-01-26,15.7812,16.0625,15.2344,15.2969,4466000,0,1
2000-01-27,15.2031,16.0,15.2031,15.6719,5864400,0,1
2000-01-28,15.2969,15.4688,14.1562,14.3906,5712000,0,1
2000-01-31,14.2812,14.5312,13.3594,13.7656,16459200,0,1
2000-02-01,13.9688,14.2188,13.7812,13.9688,6765600,0,1
2000-02-02,13.9844,15.4062,13.9062,15.3281,13409600,0,1
2000-02-03,15.9531,17.2812,15.8438,17.2656,19747200,0,1
2000-02-04,17.1797,18.625,16.75,18.5,13516800,0,1
2000-02-07,18.4375,19.3594,18.0625,19.2656,12919200,0,1
2000-02-08,19.3906,21.0,19.1875,20.9375,14297200,0,1
2000-02-09,20.9688,21.9375,20.7188,21.8906,15321600,0,1
2000-02-10,21.6406,22.8125,21.0625,22.8125,13175600,0,1
2000-02-11,22.5,22.8125,21.7188,22.6094,7216800,0,1
2000-02-14,22.0312,22.5,21.2656,22.4062,6994800,0,1
2000-02-15,22.1016,23.0,21.5625,22.2188,7082400,0,1
2000-02-16,22.0,24.6875,21.875,24.5469,10723600,0,1
2000-02-17,24.75,25.5312,24.0312,25.3906,10482400,0,1
2000-02-18,25.6562,25.6719,24.25,24.5625,6311200,0,1
2000-02-22,24.4531,24.9062,22.6094,24.5703,7825600,0,1
2000-02-23,24.375,26.25,23.8594,24.9062,7614800,0,1
2000-02-24,25.2812,26.6562,24.25,26.5938,6901200,0,1
2000-02-25,25.875,26.1094,24.5,24.625,4176000,0,1
2000-02-28,24.3828,24.9062,23.75,24.4531,6549600,0,1
2000-02-29,25.0,25.75,24.7812,25.5,6718800,0,1
2000-03-01,25.5547,25.5625,24.6875,25.0938,5105200,0,1
2000-03-02,24.0625,24.0625,20.0,20.1562,24963600,0,1
2000-03-03,21.0469,22.9336,20.6328,22.6562,18611200,0,1
2000-03-06,22.3125,22.4062,21.0,21.4531,6946400,0,1
2000-03-07,21.9531,21.9688,20.1406,20.2969,6066400,0,1
2000-03-08,20.3906,20.4062,19.625,19.7656,8405600,0,1
2000-03-09,19.9062,20.3438,19.25,19.5312,10022000,0,1
2000-03-10,19.875,21.4219,19.8594,20.8125,15000800,0,1
2000-03-13,20.1875,21.1562,20.125,20.5312,6446400,0,1
2000-03-14,21.875,22.2188,20.0,20.3594,12852800,0,1
2000-03-15,20.75,21.6094,20.0,20.8906,9849600,0,1
2000-03-16,21.1406,23.6875,19.5,23.6094,22378000,0,1
2000-03-17,22.25,22.8438,21.4844,21.9219,18887600,0,1
2000-03-20,22.0469,22.4844,21.4062,21.8594,8595200,0,1
2000-03-21,21.8906,23.0156,21.2812,22.9219,10534000,0,1
2000-03-22,23.6953,25.5,22.9844,25.5,16744800,0,1
2000-03-23,25.1406,27.3906,24.75,26.6406,12223600,0,1
2000-03-24,26.4062,27.5,26.3438,27.0469,7835600,0,1
2000-03-27,27.2188,28.6719,27.0,28.4062,6834400,0,1
2000-03-28,28.1875,28.8438,27.5,27.7812,6964400,0,1
2000-03-29,27.75,28.4062,26.9688,27.8438,5551200,0,1
2000-03-30,27.375,29.0,26.75,26.7969,6503200,0,1
2000-03-31,27.0625,28.75,26.6719,27.8281,7458000,0,1
2000-04-03,28.2734,28.625,25.75,26.3906,10012400,0,1
2000-04-04,27.1094,27.25,22.0625,25.4375,20696400,0,1
2000-04-05,25.25,27.625,24.5,26.7969,9953200,0,1
2000-04-06,27.3438,28.6562,27.0312,28.6562,10676000,0,1
2000-04-07,28.9844,31.25,28.9062,31.25,11309200,0,1
2000-04-10,30.7109,31.125,29.0,29.2969,6682800,0,1
2000-04-11,28.6875,30.5,27.8438,29.875,9586000,0,1
2000-04-12,30.0,30.25,27.5,28.0156,10696800,0,1
2000-04-13,28.332,29.5,27.0,28.3906,11635200,0,1
2000-04-14,27.7188,27.7344,23.7969,24.4531,14822800,0,1
2000-04-17,24.5312,28.3281,24.4219,28.3281,10586800,0,1
2000-04-18,28.8906,30.4062,28.3281,29.25,8886000,0,1
2000-04-19,28.9375,29.3125,27.9062,28.1562,5971600,0,1
2000-04-20,28.2031,28.6211,26.625,28.1562,6578800,0,1
2000-04-24,26.9219,28.0,24.25,26.1875,9034800,0,1
2000-04-25,26.7031,30.375,26.0,30.0,14261600,0,1
2000-04-26,29.6406,30.1875,28.0781,28.7188,10008800,0,1
2000-04-27,27.0156,31.125,26.75,30.8594,11139200,0,1
2000-04-28,31.2031,31.9688,29.5,30.2344,11328800,0,1
2000-05-01,30.5469,32.75,30.5312,32.6719,8049200,0,1
2000-05-02,32.1562,32.1875,28.8125,28.875,6946800,0,1
2000-05-03,28.9375,29.9062,26.0,28.1875,12529600,0,1
2000-05-04,28.375,28.6875,27.0625,28.4844,6709600,0,1
2000-05-05,27.9375,30.2031,27.8438,29.9219,6605600,0,1
2000-05-08,29.0625,29.4375,27.25,27.3438,5495200,0,1
2000-05-09,27.875,29.4062,26.3438,28.0781,9874800,0,1
2000-05-10,27.3125,28.4062,26.4375,26.5469,10190400,0,1
2000-05-11,27.3281,27.5625,25.4062,27.0938,10963200,0,1
2000-05-12,27.2344,28.3438,26.625,27.0469,4381600,0,1
2000-05-15,27.3438,27.6562,26.5625,27.5,5064800,0,1
2000-05-16,28.1172,31.2188,28.1094,30.9688,11287200,0,1
