date,open,high,low,close,volume,dividend,split
2000-01-03,26.0,26.0,24.4583,24.5,744000,0,1
2000-01-04,24.4583,24.4583,22.3333,22.5417,118800,0,1
2000-01-05,22.5417,22.5417,21.7917,22.0,133600,0,1
2000-01-06,22.1667,23.3333,22.125,22.6667,132100,0,1
2000-01-07,22.75,23.6667,22.75,23.2083,55500,0,1
2000-01-10,23.25,23.8333,23.25,23.7917,119200,0,1
2000-01-11,23.7917,23.7917,23.5,23.7083,155500,0,1
2000-01-12,23.6667,23.75,23.4167,23.75,140100,0,1
2000-01-13,24.1667,25.25,24.1667,24.9583,52300,0,1
2000-01-14,25.0,25.5417,25.0,25.5,53700,0,1
2000-01-18,25.8333,26.8333,25.8333,26.4583,403200,0,1
2000-01-19,26.4583,26.4583,25.5833,26.125,101500,0,1
2000-01-20,26.25,26.3333,26.0,26.0833,33700,0,1
2000-01-21,26.0,26.125,24.25,24.6667,126900,0,1
2000-01-24,24.75,25.3333,24.5833,24.625,73000,0,1
2000-01-25,24.5833,24.5833,23.5833,23.7917,92200,0,1
2000-01-26,24.5833,25.4167,23.9167,24.2083,179500,0,1
2000-01-27,24.2917,24.3333,24.0833,24.25,97600,0,1
2000-01-28,24.3333,24.3333,23.6667,23.9583,57600,0,1
2000-01-31,23.9583,23.9583,23.0833,23.0833,47200,0,1
2000-02-01,23.125,23.2917,22.7083,23.2917,41500,0,1
2000-02-02,23.2917,23.7083,23.1667,23.7083,119100,0,1
2000-02-03,23.8333,24.5,23.1667,24.4167,109000,0,1
2000-02-04,24.4583,25.5833,24.25,25.2917,507900,0,1
2000-02-07,25.2083,26.0,24.9583,25.375,278800,0,1
2000-02-08,25.4583,25.7083,25.0,25.0417,221500,0,1
2000-02-09,25.0833,27.0417,25.0833,26.75,372600,0,1
2000-02-10,26.75,26.75,26.3333,26.5,197700,0,1
2000-02-11,26.625,26.7917,26.4167,26.7083,245200,0,1
2000-02-14,26.6667,26.6667,26.1667,26.5833,187200,0,1
2000-02-15,26.5,26.5833,26.0,26.2083,200700,0,1
2000-02-16,26.2083,26.2083,25.9167,26.0417,81100,0,1
2000-02-17,26.0417,26.0417,25.625,25.7083,46300,0,1
