date,open,high,low,close,volume,dividend,split
2000-01-03,43.875,43.875,41.9062,43.6406,1121600,0,1
2000-01-04,41.9531,42.5625,40.5938,40.7344,968800,0,1
2000-01-05,39.2812,39.7031,37.7578,39.6094,1458100,0,1
2000-01-06,36.75,37.5938,35.2266,37.1719,3517800,0,1
2000-01-07,36.8672,38.0625,36.6562,38.0156,1631200,0,1
2000-01-10,40.125,41.6719,40.125,41.625,1341800,0,1
2000-01-11,40.5938,42.1875,39.7969,40.2656,1095400,0,1
2000-01-12,40.875,41.2969,40.1719,41.0156,778900,0,1
2000-01-13,41.625,42.9375,40.7812,42.8203,1834900,0,1
2000-01-14,45.0469,48.375,45.0,46.9219,5256500,0,1
2000-01-18,46.0312,48.0938,45.8438,47.5547,1827200,0,1
2000-01-19,46.3594,48.6562,45.8906,48.375,1980000,0,1
2000-01-20,52.9219,53.7188,50.8125,53.0625,3442600,0,1
2000-01-21,53.7891,54.0,51.9375,52.125,3165800,0,1
2000-01-24,52.2188,52.5938,48.7031,48.9375,1841000,0,1
2000-01-25,49.3125,49.9688,47.625,49.9688,1716800,0,1
2000-01-26,48.0,48.1172,45.6094,46.0781,1933300,0,1
2000-01-27,45.4688,47.1562,45.1875,45.8438,2287200,0,1
2000-01-28,45.9375,46.6875,43.9688,44.0156,1646600,0,1
2000-01-31,43.7578,46.125,43.4531,46.1016,1972000,0,1
2000-02-01,46.5938,48.0469,46.5469,48.0469,1119200,0,1
2000-02-02,49.4766,50.6719,48.9375,49.875,1040000,0,1
2000-02-03,51.0938,53.1094,50.625,52.5,1121800,0,1
2000-02-04,51.9375,52.1719,51.1875,51.375,992200,0,1
2000-02-07,50.7188,51.2812,49.4062,51.2812,1215200,0,1
2000-02-08,54.1875,54.9141,53.6016,54.75,874600,0,1
2000-02-09,54.7969,54.7969,53.4141,53.4141,837600,0,1
2000-02-10,54.2578,54.2578,53.1797,54.0,802600,0,1
2000-02-11,53.25,53.5312,50.3438,50.3438,1003400,0,1
2000-02-14,50.625,51.2812,49.6875,50.1562,733300,0,1
2000-02-15,49.9688,49.9688,47.7188,49.7578,1825300,0,1
2000-02-16,48.75,49.5234,48.0938,49.5,1415700,0,1
2000-02-17,49.875,50.4375,48.4219,50.3438,736200,0,1
2000-02-18,49.1953,49.9453,47.7188,47.7188,860000,0,1
2000-02-22,48.2812,48.7031,47.1562,48.3281,1061600,0,1
2000-02-23,50.0156,50.8125,49.3125,50.6719,1166900,0,1
2000-02-24,50.5312,50.5312,48.5039,48.7969,1175700,0,1
2000-02-25,48.9375,48.9844,45.9844,46.4531,1994400,0,1
2000-02-28,46.875,47.625,46.3125,47.5547,1492500,0,1
2000-02-29,47.8125,48.4688,47.4844,48.0469,3111700,0,1
2000-03-01,51.2578,53.7656,50.5312,53.4375,2200200,0,1
2000-03-02,53.8125,54.2812,52.2188,53.0625,776500,0,1
2000-03-03,55.0078,56.5312,54.1875,56.3672,912200,0,1
2000-03-06,51.9844,54.4688,51.7734,53.3438,1756000,0,1
2000-03-07,53.3203,53.7188,51.375,51.4688,621600,0,1
2000-03-08,51.5859,51.7266,48.8438,49.7812,1302600,0,1
2000-03-09,50.5312,51.8438,50.0625,51.5156,1772800,0,1
2000-03-10,55.7812,56.4375,54.8438,56.2266,1068200,0,1
2000-03-13,53.25,54.5625,52.5,53.6719,1366400,0,1
2000-03-14,55.3594,55.3828,51.8906,51.9141,1167200,0,1
2000-03-15,52.1484,52.3125,48.5859,49.0312,1506400,0,1
2000-03-16,49.125,49.875,46.0547,49.5938,1931400,0,1
2000-03-17,50.625,51.6562,49.5,51.4688,1176800,0,1
