date,open,high,low,close,volume,dividend,split
2005-03-16,2.8875,2.8875,2.815,2.875,299600,0,1
2005-03-17,2.865,2.88,2.85,2.88,103600,0,1
2005-03-18,2.875,2.8825,2.85,2.875,118000,0,1
2005-03-21,2.8725,2.88,2.85,2.88,162800,0,1
2005-03-22,2.88,2.88,2.7675,2.8625,348000,0,1
2005-03-23,2.85,2.875,2.85,2.875,175200,0,1
2005-03-24,2.8625,2.875,2.85,2.85,76000,0,1
2005-03-28,2.85,2.8775,2.85,2.865,29600,0,1
2005-03-29,2.875,2.875,2.615,2.8075,359600,0,1
2005-03-30,2.8475,2.865,2.7,2.865,62800,0,1
2005-03-31,2.8025,2.855,2.8025,2.81,8000,0,1
2005-04-01,2.825,2.8625,2.8125,2.8225,24800,0,1
2005-04-04,2.8125,2.8475,2.8125,2.815,15200,0,1
2005-04-05,2.8125,2.8425,2.75,2.775,121200,0,1
2005-04-06,2.75,2.775,2.75,2.75,449600,0,1
2005-04-07,2.7625,2.775,2.75,2.755,91600,0,1
2005-04-08,2.75,2.7725,2.75,2.75,88800,0,1
2005-04-11,2.75,2.86,2.75,2.7675,64800,0,1
2005-04-12,2.725,2.7975,2.725,2.75,28400,0,1
2005-04-13,2.75,2.81,2.75,2.7575,78800,0,1
2005-04-14,2.765,2.7875,2.75,2.7625,14000,0,1
2005-04-15,2.81,2.81,2.75,2.75,65200,0,1
2005-04-18,2.75,2.7625,2.6375,2.7475,56000,0,1
2005-04-19,2.6375,2.7425,2.6375,2.6825,20800,0,1
2005-04-20,2.65,2.71,2.65,2.675,6800,0,1
2005-04-21,2.675,2.675,2.45,2.5,126000,0,1
2005-04-22,2.505,2.505,2.375,2.4375,155200,0,1
2005-04-25,2.38,2.385,2.225,2.2775,303200,0,1
2005-04-26,2.27,2.325,2.2375,2.3,193600,0,1
2005-04-27,2.2875,2.5625,2.2875,2.505,62800,0,1
2005-04-28,2.505,2.505,2.3775,2.475,25200,0,1
2005-04-29,2.3775,2.5125,2.3775,2.4575,60000,0,1
2005-05-02,2.5225,2.5225,2.375,2.41,55600,0,1
2005-05-03,2.375,2.4375,2.375,2.38,28000,0,1
2005-05-04,2.375,2.38,2.3525,2.355,88000,0,1
2005-05-05,2.355,2.5375,2.355,2.4125,32800,0,1
2005-05-06,2.4125,2.4175,2.3775,2.4125,25200,0,1
2005-05-09,2.3875,2.52,2.3875,2.52,30800,0,1
2005-05-10,2.535,2.61,2.5,2.575,30000,0,1
2005-05-11,2.6125,2.6125,2.5,2.5,127200,0,1
2005-05-12,2.5,2.5,2.4725,2.5,11200,0,1
2005-05-13,2.64,2.64,2.5025,2.545,38800,0,1
2005-05-16,2.5,2.5,2.4525,2.5,10800,0,1
2005-05-17,2.5,2.5,2.4025,2.42,9200,0,1
2005-05-18,2.4975,2.4975,2.39,2.4375,22000,0,1
2005-05-19,2.4,2.4375,2.375,2.4375,18000,0,1
2005-05-20,2.4375,2.4375,2.3875,2.3875,6800,0,1
2005-05-23,2.375,2.485,2.375,2.3775,10800,0,1
2005-05-24,2.3775,2.4,2.325,2.4,6000,0,1
2005-05-25,2.375,2.375,2.25,2.35,94000,0,1
2005-05-26,2.35,2.37,2.2375,2.305,251600,0,1
2005-05-27,2.3,2.3125,2.25,2.3075,115600,0,1
2005-05-31,2.2,2.3575,2.2,2.2875,227200,0,1
2005-06-01,2.325,2.3575,2.265,2.3575,167200,0,1
2005-06-02,2.3,2.325,2.3,2.3125,5600,0,1
2005-06-03,2.3125,2.5,2.3,2.4375,106800,0,1
2005-06-06,2.405,2.475,2.3625,2.3625,8400,0,1
2005-06-07,2.3625,2.475,2.3625,2.475,43600,0,1
2005-06-08,2.475,2.475,2.405,2.475,6400,0,1
2005-06-09,2.475,2.475,2.475,2.475,0,0,1
2005-06-10,2.4,2.5125,2.4,2.5125,61600,0,1
2005-06-13,2.405,2.475,2.2525,2.3375,187600,0,1
2005-06-14,2.42,2.42,2.325,2.3375,34400,0,1
2005-06-15,2.3375,2.45,2.3125,2.315,50800,0,1
2005-06-16,2.3125,2.3375,2.3125,2.3175,65600,0,1
2005-06-17,2.4125,2.4125,2.19,2.305,60400,0,1
2005-06-20,2.305,2.4,2.2625,2.28,59200,0,1
2005-06-21,2.285,2.3025,2.23,2.2825,188400,0,1
2005-06-22,2.23,2.2575,2.23,2.235,105200,0,1
2005-06-23,2.23,2.25,2.225,2.25,297200,0,1
2005-06-24,2.25,2.25,2.225,2.225,22000,0,1
2005-06-27,2.2375,2.25,2.075,2.125,384800,0,1
2005-06-28,2.075,2.2375,2.0625,2.125,178800,0,1
2005-06-29,2.1875,2.2875,2.1275,2.215,15200,0,1
2005-06-30,2.3125,2.3125,2.225,2.26,86400,0,1
2005-07-01,2.25,2.3725,2.25,2.3,30800,0,1
2005-07-05,2.26,2.375,2.25,2.33,31200,0,1
2005-07-06,2.2675,2.3125,2.2525,2.275,31600,0,1
2005-07-07,2.3125,2.4375,2.3125,2.425,79200,0,1
2005-07-08,2.425,2.425,2.3625,2.375,11600,0,1
2005-07-11,2.375,2.425,2.2775,2.425,12400,0,1
2005-07-12,2.4875,2.4875,2.3625,2.3625,23600,0,1
2005-07-13,2.375,2.375,2.375,2.375,800,0,1
2005-07-14,2.4375,2.475,2.4275,2.4275,30800,0,1
2005-07-15,2.475,2.475,2.35,2.3875,42400,0,1
2005-07-18,2.3875,2.3875,2.325,2.3875,34400,0,1
2005-07-19,2.3875,2.475,2.35,2.3875,104400,0,1
2005-07-20,2.4,2.4,2.32,2.365,45600,0,1
2005-07-21,2.325,2.3625,2.325,2.3625,13600,0,1
2005-07-22,2.3625,2.43,2.325,2.33,105600,0,1
2005-07-25,2.3375,2.375,2.3375,2.375,4000,0,1
2005-07-26,2.3575,2.3875,2.3575,2.3875,12400,0,1
2005-07-27,2.375,2.4175,2.325,2.325,10800,0,1
2005-07-28,2.375,2.375,2.325,2.3325,9200,0,1
2005-07-29,2.325,2.3775,2.315,2.35,24000,0,1
2005-08-01,2.35,2.35,2.25,2.25,20000,0,1
2005-08-02,2.2525,2.2525,2.2,2.2025,17600,0,1
2005-08-03,2.2,2.2325,2.13,2.2,32400,0,1
2005-08-04,2.2,2.2325,2.2,2.2325,26800,0,1
2005-08-05,2.195,2.195,2.1875,2.19,9600,0,1
2005-08-08,2.165,2.2725,2.1625,2.215,22000,0,1
2005-08-09,2.235,2.25,2.2125,2.2125,21200,0,1
2005-08-10,2.225,2.225,2.2,2.2175,10400,0,1
2005-08-11,2.2,2.2,2.175,2.175,26000,0,1
2005-08-12,2.135,2.2,2.1325,2.1875,54400,0,1
2005-08-15,2.1875,2.2125,2.1625,2.1625,15200,0,1
2005-08-16,2.13,2.135,2.0,2.0575,133600,0,1
2005-08-17,2.085,2.125,2.0375,2.125,155200,0,1
2005-08-18,2.125,2.175,2.125,2.1625,110400,0,1
2005-08-19,2.1625,2.3,2.1625,2.3,158800,0,1
2005-08-22,2.25,2.4,2.1775,2.3,64800,0,1
2005-08-23,2.295,2.295,2.2,2.2,19600,0,1
2005-08-24,2.2125,2.285,2.1975,2.25,13200,0,1
2005-08-25,2.255,2.325,2.25,2.3125,64000,0,1
2005-08-26,2.275,2.3625,2.275,2.3625,43200,0,1
2005-08-29,2.32,2.4,2.3125,2.375,156400,0,1
2005-08-30,2.3725,2.375,2.3275,2.355,24000,0,1
2005-08-31,2.32,2.4,2.32,2.4,67200,0,1
2005-09-01,2.375,2.4,2.3625,2.3625,5200,0,1
2005-09-02,2.3125,2.435,2.29,2.385,118800,0,1
2005-09-06,2.36,2.4125,2.35,2.4125,27600,0,1
2005-09-07,2.375,2.4175,2.35,2.3825,36800,0,1
2005-09-08,2.3525,2.4375,2.35,2.4325,28800,0,1
2005-09-09,2.425,2.4575,2.415,2.415,12400,0,1
2005-09-12,2.375,2.4625,2.345,2.4575,20800,0,1
2005-09-13,2.415,2.43,2.3275,2.3625,22800,0,1
2005-09-14,2.36,2.375,2.3275,2.375,20000,0,1
2005-09-15,2.375,2.4325,2.33,2.425,85600,0,1
2005-09-16,2.375,2.425,2.3125,2.355,47200,0,1
2005-09-19,2.3625,2.3725,2.35,2.355,34000,0,1
2005-09-20,2.325,2.36,2.2725,2.355,38800,0,1
2005-09-21,2.3125,2.325,2.2025,2.2925,39200,0,1
2005-09-22,2.2275,2.295,2.225,2.2825,157200,0,1
2005-09-23,2.3025,2.3725,2.25,2.3475,39600,0,1
2005-09-26,2.2675,2.3075,2.19,2.2,70400,0,1
2005-09-27,2.1875,2.225,2.125,2.1725,187600,0,1
2005-09-28,2.145,2.2075,2.125,2.145,63600,0,1
2005-09-29,2.1375,2.225,2.09,2.2075,54000,0,1
2005-09-30,2.215,2.25,2.1,2.205,40800,0,1
2005-10-03,2.165,2.185,2.1625,2.165,16800,0,1
2005-10-04,2.225,2.225,2.125,2.1875,28400,0,1
2005-10-05,2.225,2.37,2.1875,2.3375,67600,0,1
2005-10-06,2.3375,2.44,2.3375,2.3875,264000,0,1
2005-10-07,2.375,2.4125,2.35,2.35,32400,0,1
2005-10-10,2.425,2.425,2.2675,2.315,43200,0,1
2005-10-11,2.3425,2.385,2.3425,2.385,2800,0,1
2005-10-12,2.395,2.395,2.28,2.3875,11200,0,1
2005-10-13,2.285,2.3625,2.285,2.3625,16400,0,1
2005-10-14,2.365,2.365,2.325,2.35,16400,0,1
2005-10-17,2.3375,2.37,2.3375,2.3375,10800,0,1
2005-10-18,2.285,2.3375,2.275,2.2875,6800,0,1
2005-10-19,2.3,2.3,2.1275,2.1625,72800,0,1
2005-10-20,2.295,2.295,2.0625,2.09,89200,0,1
2005-10-21,2.075,2.1375,1.95,2.0575,137200,0,1
2005-10-24,2.0625,2.0625,2.0025,2.0375,20400,0,1
2005-10-25,2.0425,2.22,2.0425,2.18,28000,0,1
2005-10-26,2.1875,2.225,2.15,2.1675,9200,0,1
2005-10-27,2.1975,2.2875,2.1825,2.2325,85200,0,1
2005-10-28,2.26,2.26,2.2,2.245,14800,0,1
2005-10-31,2.2125,2.2425,2.155,2.2375,29600,0,1
2005-11-01,2.2025,2.205,2.1625,2.1725,15200,0,1
2005-11-02,2.175,2.175,2.05,2.09,29600,0,1
2005-11-03,2.17,2.2125,2.0625,2.2125,51200,0,1
2005-11-04,2.225,2.225,2.1825,2.2,4000,0,1
2005-11-07,2.175,2.175,2.11,2.11,34000,0,1
2005-11-08,2.0625,2.0625,2.0,2.05,120400,0,1
2005-11-09,2.0625,2.0875,2.05,2.05,109600,0,1
2005-11-10,2.0725,2.12,2.0725,2.1,118000,0,1
2005-11-11,2.09,2.1125,2.075,2.085,173600,0,1
2005-11-14,2.1,2.1125,2.1,2.1125,26000,0,1
2005-11-15,2.125,2.175,2.1125,2.1375,316800,0,1
2005-11-16,2.1475,2.155,2.105,2.1125,119200,0,1
