date,open,high,low,close,volume,dividend,split
2017-03-24,17.25,17.5,15.03,15.5,8660500,0,1
2017-03-27,15.69,15.69,15.0,15.23,594200,0,1
2017-03-28,15.35,15.35,14.61,14.93,822000,0,1
2017-03-29,14.99,15.2,14.75,15.01,282400,0,1
2017-03-30,15.09,15.74,14.885,15.03,424700,0,1
2017-03-31,15.13,15.72,14.95,15.63,366600,0,1
2017-04-03,16.16,16.37,15.57,16.05,486500,0,1
2017-04-04,16.06,16.24,15.66,15.93,185800,0,1
2017-04-05,15.97,16.3,15.758,16.12,305000,0,1
2017-04-06,15.94,16.8,15.78,16.63,525900,0,1
2017-04-07,16.68,16.8,16.205,16.69,205600,0,1
2017-04-10,16.7,16.85,16.35,16.84,171800,0,1
2017-04-11,16.9,16.9,16.56,16.85,407100,0,1
2017-04-12,16.8,17.18,16.65,17.0,285500,0,1
2017-04-13,17.01,17.24,16.85,17.0,259900,0,1
2017-04-17,17.09,17.09,15.818,16.28,343400,0,1
2017-04-18,16.39,16.57,16.03,16.34,292600,0,1
2017-04-19,16.5,16.92,16.15,16.52,362700,0,1
2017-04-20,16.58,16.6,15.34,15.5,427600,0,1
2017-04-21,15.52,15.91,15.42,15.43,302300,0,1
2017-04-24,15.41,15.41,14.8,14.8,537900,0,1
2017-04-25,14.86,15.48,14.79,15.36,342700,0,1
2017-04-26,15.35,15.85,15.15,15.17,197500,0,1
2017-04-27,15.11,15.737,15.11,15.21,138100,0,1
2017-04-28,15.28,15.99,15.28,15.99,176400,0,1
2017-05-01,16.04,16.04,15.7,15.95,114300,0,1
2017-05-02,15.96,16.91,15.71,16.73,405700,0,1
2017-05-03,16.62,17.1,16.347,17.05,163700,0,1
2017-05-04,17.01,18.2,17.01,18.09,304700,0,1
2017-05-05,18.1,19.39,18.02,18.9,438100,0,1
2017-05-08,18.94,19.23,18.51,18.57,189800,0,1
2017-05-09,18.5,18.68,17.654,18.48,126800,0,1
2017-05-10,18.33,18.63,18.01,18.48,238100,0,1
2017-05-11,18.75,20.15,18.04,18.99,599800,0,1
2017-05-12,19.06,19.079,18.51,18.55,155800,0,1
2017-05-15,18.6,18.76,18.1,18.2,294300,0,1
2017-05-16,18.13,18.369,17.49,17.52,271500,0,1
2017-05-17,17.46,17.503,16.71,16.89,288600,0,1
2017-05-18,16.9,17.5,16.66,17.47,100400,0,1
2017-05-19,17.45,17.976,17.371,17.81,99000,0,1
2017-05-22,17.79,18.929,17.74,18.87,194300,0,1
2017-05-23,18.91,19.318,18.83,19.15,159900,0,1
2017-05-24,19.23,19.23,18.52,18.87,96000,0,1
2017-05-25,18.71,19.49,18.64,19.2,120600,0,1
2017-05-26,19.24,20.43,19.06,19.83,328300,0,1
2017-05-30,19.9,19.9,18.49,18.62,220300,0,1
2017-05-31,18.58,19.13,18.1,18.86,94400,0,1
2017-06-01,19.01,19.75,18.77,19.44,238600,0,1
2017-06-02,19.6,20.5,19.39,20.47,303400,0,1
2017-06-05,20.26,20.5,19.73,20.34,185900,0,1
2017-06-06,20.38,20.43,19.15,19.4,150700,0,1
2017-06-07,19.83,19.83,17.9,18.05,287400,0,1
2017-06-08,18.2,19.632,18.2,19.35,363100,0,1
2017-06-09,19.35,19.9,19.01,19.42,229900,0,1
2017-06-12,19.25,19.458,18.0,18.8,552000,0,1
2017-06-13,18.8,19.615,18.52,19.38,319700,0,1
2017-06-14,19.35,19.75,19.03,19.26,243400,0,1
2017-06-15,19.25,19.4,18.3,18.8,402900,0,1
2017-06-16,18.74,19.115,18.2,18.69,1058500,0,1
2017-06-19,18.86,19.18,18.37,18.69,383900,0,1
2017-06-20,18.66,19.08,18.38,18.94,316000,0,1
2017-06-21,19.04,19.59,18.86,19.27,329000,0,1
2017-06-22,19.28,19.49,18.98,19.12,246800,0,1
2017-06-23,19.24,19.7,19.115,19.57,1041800,0,1
2017-06-26,19.57,20.49,19.45,20.24,584200,0,1
2017-06-27,20.25,20.34,19.28,19.49,294500,0,1
2017-06-28,19.68,19.94,19.54,19.73,127300,0,1
2017-06-29,19.74,19.74,19.35,19.51,266700,0,1
2017-06-30,19.49,19.86,19.36,19.52,82000,0,1
2017-07-03,19.74,19.83,19.29,19.47,136700,0,1
2017-07-05,19.44,19.85,18.9,19.77,122100,0,1
2017-07-06,19.54,19.76,18.86,19.28,174000,0,1
2017-07-07,19.3,19.89,19.3,19.7,181900,0,1
2017-07-10,19.75,20.39,19.53,19.96,196200,0,1
2017-07-11,19.83,20.2,19.68,20.19,196800,0,1
2017-07-12,20.25,22.2,20.23,21.69,444600,0,1
2017-07-13,21.81,21.95,21.245,21.54,114800,0,1
2017-07-14,21.69,22.22,21.53,22.18,182700,0,1
2017-07-17,22.18,22.67,22.0,22.17,114000,0,1
2017-07-18,22.05,22.78,21.64,22.67,184100,0,1
2017-07-19,22.75,23.144,22.09,22.45,232700,0,1
2017-07-20,22.43,22.68,21.92,22.23,136000,0,1
2017-07-21,22.33,22.33,20.68,21.49,187400,0,1
2017-07-24,21.57,21.76,21.14,21.72,77400,0,1
2017-07-25,21.69,22.12,21.32,21.47,92800,0,1
2017-07-26,21.65,21.65,20.89,21.24,174300,0,1
2017-07-27,21.13,21.555,20.29,20.94,165500,0,1
2017-07-28,21.04,21.49,20.32,20.35,158500,0,1
2017-07-31,20.33,21.144,19.97,20.12,159000,0,1
2017-08-01,20.24,20.24,19.59,19.76,153200,0,1
2017-08-02,19.77,20.16,19.0,19.06,320300,0,1
2017-08-03,21.99,22.67,20.221,21.97,978900,0,1
2017-08-04,21.96,23.55,21.478,22.98,333300,0,1
2017-08-07,22.9,22.986,22.271,22.79,214700,0,1
2017-08-08,22.97,23.25,22.4,22.77,302200,0,1
2017-08-09,22.77,22.82,21.97,22.15,81000,0,1
2017-08-10,22.15,22.15,20.908,21.15,172700,0,1
2017-08-11,20.86,22.85,20.49,22.5,278100,0,1
2017-08-14,22.8,23.84,22.548,23.44,226100,0,1
2017-08-15,23.49,23.49,21.87,22.05,171100,0,1
2017-08-16,22.26,22.96,21.95,22.93,140000,0,1
2017-08-17,22.87,23.2,22.06,22.13,226500,0,1
2017-08-18,22.2,22.93,22.01,22.63,128800,0,1
2017-08-21,22.54,22.721,22.2,22.52,71700,0,1
2017-08-22,22.57,22.91,22.42,22.59,138100,0,1
2017-08-23,22.41,22.79,22.34,22.52,118500,0,1
