date,open,high,low,close,volume,dividend,split
2009-02-13,30.31,30.81,30.31,30.39,2200,0,1
2009-02-17,27.55,27.55,27.45,27.45,1100,0,1
2009-02-18,26.75,27.0,26.75,27.0,500,0,1
2009-02-19,27.88,27.88,27.88,27.88,200,0,1
2009-02-20,26.45,27.12,26.45,27.0,2100,0,1
2009-02-23,25.5,25.5,25.25,25.25,300,0,1
2009-02-24,24.35,25.3,24.13,25.3,2400,0,1
2009-02-25,25.1,25.48,24.79,25.35,6900,0,1
2009-02-26,25.8,25.8,25.8,25.8,1900,0,1
2009-02-27,24.49,25.2,24.49,25.2,3200,0,1
2009-03-02,23.9,23.9,23.8,23.8,4900,0,1
2009-03-03,24.1,24.16,23.87,23.95,7600,0,1
2009-03-04,25.36,26.15,25.36,26.15,500,0,1
2009-03-05,24.99,24.99,24.09,24.1,1100,0,1
2009-03-06,24.84,24.95,24.7,24.7,1000,0,1
2009-03-09,25.36,25.4,25.36,25.4,700,0,1
2009-03-10,26.55,27.38,26.55,27.23,2500,0,1
2009-03-11,29.4,29.4,29.0,29.0,1400,0,1
2009-03-12,28.95,30.15,28.95,30.15,500,0,1
2009-03-13,29.97,29.97,28.95,29.0,2100,0,1
2009-03-16,29.1,29.1,29.05,29.05,300,0,1
2009-03-17,29.65,29.65,29.55,29.55,1100,0,1
2009-03-18,29.25,30.0,29.0,29.9,3600,0,1
2009-03-19,29.65,29.65,29.65,29.65,100,0,1
2009-03-20,29.8,29.8,29.57,29.7,900,0,1
2009-03-23,30.25,31.0,30.25,31.0,1200,0,1
2009-03-24,31.0,31.0,31.0,31.0,0,0,1
2009-03-25,29.95,30.5,29.9,30.5,3500,0,1
2009-03-26,30.5,30.5,30.5,30.5,0,0,1
2009-03-27,30.97,30.97,30.41,30.65,500,0,1
2009-03-30,28.15,28.54,28.1,28.54,800,0,1
2009-03-31,29.05,29.05,29.05,29.05,1500,0,1
2009-04-01,29.35,30.35,29.35,30.35,9200,0,1
2009-04-02,34.7,35.65,34.7,35.35,2000,0,1
2009-04-03,36.55,36.55,36.3,36.3,300,0,1
2009-04-06,33.7,33.7,33.25,33.25,1100,0,1
2009-04-07,31.19,31.55,31.19,31.35,1300,0,1
2009-04-08,31.35,31.35,31.35,31.35,0,0,1
2009-04-09,34.35,34.4,34.35,34.4,500,0,1
2009-04-13,34.35,34.55,34.35,34.55,1400,0,1
2009-04-14,33.25,33.25,33.25,33.25,100,0,1
2009-04-15,33.5,33.8,33.5,33.65,5400,0,1
2009-04-16,34.3,34.4,34.3,34.4,700,0,1
2009-04-17,35.0,35.3,35.0,35.3,800,0,1
2009-04-20,33.25,33.25,33.25,33.25,200,0,1
2009-04-21,33.3,33.6,33.3,33.6,1000,0,1
2009-04-22,33.23,33.23,33.23,33.23,100,0,1
2009-04-23,34.15,34.15,34.15,34.15,200,0,1
2009-04-24,36.05,36.28,35.75,35.8,4000,0,1
2009-04-27,34.95,35.15,34.8,34.8,800,0,1
2009-04-28,34.05,34.05,34.05,34.05,700,0,1
2009-04-29,35.45,35.45,35.45,35.45,200,0,1
2009-04-30,34.94,34.94,34.94,34.94,200,0,1
2009-05-01,34.94,34.94,34.94,34.94,0,0,1
2009-05-04,35.85,35.85,35.8,35.8,300,0,1
2009-05-05,36.65,36.85,36.55,36.85,1800,0,1
2009-05-06,38.4,38.4,37.7,37.84,1100,0,1
2009-05-07,38.57,38.57,37.2,37.76,1100,0,1
2009-05-08,35.91,36.6,35.91,36.6,1800,0,1
2009-05-11,34.82,34.82,34.82,34.82,200,0,1
2009-05-12,33.57,34.2,33.57,34.2,1000,0,1
2009-05-13,33.15,33.15,32.32,32.45,2400,0,1
2009-05-14,33.49,33.6,33.49,33.55,1200,0,1
2009-05-15,32.85,32.85,32.85,32.85,200,0,1
2009-05-18,33.85,34.2,33.85,34.18,1900,0,1
2009-05-19,35.5,35.5,35.5,35.5,300,0,1
2009-05-20,35.75,35.75,35.63,35.63,1600,0,1
2009-05-21,35.45,35.45,35.4,35.4,400,0,1
2009-05-22,34.95,34.95,34.95,34.95,200,0,1
2009-05-26,34.95,34.95,34.95,34.95,0,0,1
2009-05-27,36.1,36.1,36.1,36.1,500,0,1
2009-05-28,35.2,35.2,35.2,35.2,300,0,1
2009-05-29,35.71,35.71,35.6,35.65,1000,0,1
2009-06-01,37.96,37.96,37.9,37.9,200,0,1
2009-06-02,39.02,39.5,39.02,39.24,1500,0,1
2009-06-03,38.64,38.64,38.0,38.0,1000,0,1
2009-06-04,38.2,38.45,38.2,38.45,1400,0,1
2009-06-05,39.05,39.05,38.75,38.75,400,0,1
2009-06-08,39.0,39.0,38.75,38.75,1300,0,1
2009-06-09,38.75,38.75,38.75,38.75,0,0,1
2009-06-10,41.0,41.0,40.0,40.0,1100,0,1
2009-06-11,41.05,41.5,41.05,41.45,6500,0,1
2009-06-12,40.6,40.7,40.6,40.7,300,0,1
2009-06-15,38.71,38.71,38.71,38.71,200,0,1
2009-06-16,39.0,39.0,38.55,38.55,1100,0,1
2009-06-17,37.5,37.5,37.5,37.5,200,0,1
2009-06-18,38.15,38.15,38.15,38.15,300,0,1
2009-06-19,37.3,37.3,37.3,37.3,400,0,1
2009-06-22,35.4,35.4,35.4,35.4,100,0,1
2009-06-23,36.5,36.5,36.5,36.5,100,0,1
2009-06-24,37.42,37.51,37.42,37.51,700,0,1
2009-06-25,36.68,37.1,36.68,37.1,800,0,1
2009-06-26,37.48,37.48,37.05,37.05,4000,0,1
2009-06-29,38.0,38.15,37.95,38.15,1200,0,1
2009-06-30,38.15,38.15,38.15,38.15,0,0,1
2009-07-01,38.75,38.75,38.75,38.75,300,0,1
2009-07-02,37.0,37.05,36.9,36.9,1000,0,1
2009-07-06,36.9,36.9,36.9,36.9,0,0,1
2009-07-07,35.3,35.35,35.3,35.35,300,0,1
2009-07-08,34.6,34.6,34.6,34.6,200,0,1
2009-07-09,35.75,35.75,35.75,35.75,200,0,1
2009-07-10,36.43,36.43,35.9,35.9,1200,0,1
2009-07-13,37.08,37.35,37.05,37.35,10900,0,1
2009-07-14,39.05,39.05,39.05,39.05,100,0,1
2009-07-15,40.15,40.15,40.15,40.15,200,0,1
2009-07-16,40.05,40.05,40.05,40.05,500,0,1
2009-07-17,41.63,41.63,41.4,41.4,800,0,1
2009-07-20,40.75,40.8,40.75,40.8,500,0,1
2009-07-21,42.4,42.54,42.1,42.1,2300,0,1
2009-07-22,42.6,42.75,42.6,42.75,400,0,1
2009-07-23,43.55,43.55,43.4,43.4,400,0,1
2009-07-24,43.55,43.55,43.55,43.55,600,0,1
2009-07-27,43.7,44.2,43.6,43.6,1400,0,1
2009-07-28,43.6,43.6,43.6,43.6,0,0,1
2009-07-29,44.05,44.25,44.05,44.25,300,0,1
2009-07-30,45.1,45.29,45.1,45.1,1200,0,1
2009-07-31,46.1,46.1,46.1,46.1,200,0,1
2009-08-03,46.1,46.1,46.1,46.1,0,0,1
2009-08-04,46.4,46.4,46.4,46.4,300,0,1
2009-08-05,46.4,46.4,46.4,46.4,0,0,1
2009-08-06,45.0,45.0,44.5,44.5,300,0,1
2009-08-07,44.94,44.94,44.5,44.5,1100,0,1
2009-08-10,44.7,44.7,44.48,44.5,1700,0,1
2009-08-11,44.5,44.5,44.5,44.5,0,0,1
2009-08-12,44.3,44.3,44.3,44.3,300,0,1
2009-08-13,46.35,46.35,46.35,46.35,200,0,1
2009-08-14,45.6,45.7,45.4,45.4,1500,0,1
2009-08-17,43.96,43.96,43.96,43.96,100,0,1
2009-08-18,44.35,44.35,44.35,44.35,1000,0,1
2009-08-19,44.35,44.35,44.35,44.35,0,0,1
2009-08-20,44.35,44.35,44.35,44.35,0,0,1
2009-08-21,44.35,44.35,44.35,44.35,0,0,1
2009-08-24,46.05,46.05,46.05,46.05,200,0,1
2009-08-25,46.4,46.4,46.2,46.2,900,0,1
2009-08-26,46.25,46.25,46.25,46.25,100,0,1
2009-08-27,45.15,45.55,45.15,45.55,500,0,1
2009-08-28,46.0,46.0,45.94,45.94,3700,0,1
2009-08-31,45.35,45.35,45.25,45.25,1000,0,1
