date,open,high,low,close,volume,dividend,split
2000-01-03,8.5,8.875,8.1667,8.6042,8795400,0,1
2000-01-04,8.5,9.0,8.1458,8.5312,5854800,0,1
2000-01-05,8.5,8.5833,7.9583,8.2708,5044800,0,1
2000-01-06,8.1771,8.3021,7.7917,7.875,2613000,0,1
2000-01-07,7.7396,8.2083,7.5833,8.1042,2057400,0,1
2000-01-10,8.6458,9.4167,8.487,9.3438,7875600,0,1
2000-01-11,9.2083,9.5833,9.0208,9.4375,4873800,0,1
2000-01-12,9.4479,9.4583,8.6042,8.8125,4005000,0,1
2000-01-13,9.0417,9.1458,8.0417,8.3646,4661400,0,1
2000-01-14,8.4688,8.7708,7.9167,8.2292,4525800,0,1
2000-01-18,9.4167,9.5312,8.9583,9.2083,10891800,0,1
2000-01-19,10.2292,12.0833,9.9792,12.0208,22888200,0,1
2000-01-20,11.9167,11.9271,11.0417,11.5833,5763600,0,1
2000-01-21,11.6875,11.9375,10.5833,11.5938,4666200,0,1
2000-01-24,11.6667,13.5625,11.5833,11.9583,9724800,0,1
2000-01-25,12.5833,12.7917,11.375,12.3125,4876200,0,1
2000-01-26,12.5312,12.5312,11.8542,11.9375,2876400,0,1
2000-01-27,12.0,12.0208,11.0,11.3542,3126600,0,1
2000-01-28,11.0,11.0833,10.4583,10.5833,2550600,0,1
2000-01-31,10.6667,11.5521,10.4167,10.9583,4250400,0,1
2000-02-01,11.2917,12.0312,11.0417,11.6667,4937400,0,1
2000-02-02,11.7708,14.25,11.6875,14.0208,13852200,0,1
2000-02-03,14.1562,15.5833,13.9583,15.2292,14625000,0,1
2000-02-04,15.3333,16.25,14.8958,15.5417,4493400,0,1
2000-02-07,15.6042,17.2917,15.5,17.1458,4770000,0,1
2000-02-08,18.2083,21.5104,18.1667,20.75,13295400,0,1
2000-02-09,20.125,20.375,17.9479,18.6667,11502000,0,1
2000-02-10,19.8333,19.8333,18.2708,19.1667,5686800,0,1
2000-02-11,19.4167,19.4583,17.2708,17.6667,5909400,0,1
2000-02-14,17.6875,19.4583,15.8542,19.4583,6443400,0,1
2000-02-15,19.2604,19.2604,18.2604,18.6875,4187400,0,1
2000-02-16,18.6667,18.7604,17.6458,17.6667,3326400,0,1
2000-02-17,18.1458,19.9062,18.0208,18.7708,6770400,0,1
2000-02-18,18.7708,18.7708,17.9792,18.0833,2812800,0,1
2000-02-22,18.3125,18.8177,17.7396,18.5208,2035200,0,1
2000-02-23,18.5052,20.0833,18.3333,19.7083,3375000,0,1
2000-02-24,20.6771,24.0833,20.6771,23.7083,11744400,0,1
2000-02-25,23.7188,23.7188,22.1667,23.1562,6027000,0,1
2000-02-28,25.5,29.2917,24.1667,24.625,20283000,0,1
2000-02-29,25.9375,26.7917,22.5,22.5417,7761600,0,1
2000-03-01,24.9167,25.6667,23.3333,24.5,8973600,0,1
2000-03-02,25.25,26.1875,24.4896,26.0208,9481200,0,1
2000-03-03,27.8333,27.875,24.875,25.1146,5164200,0,1
2000-03-06,25.5,26.0417,24.5417,24.6667,3650400,0,1
2000-03-07,24.9479,25.6042,22.0,23.625,5170800,0,1
2000-03-08,24.0417,24.3333,20.75,21.8021,7699800,0,1
2000-03-09,21.8333,23.0833,21.8333,23.0208,5671800,0,1
2000-03-10,24.1458,24.4167,21.6875,22.5,3988800,0,1
2000-03-13,21.7292,22.6667,20.6667,21.7917,3703200,0,1
2000-03-14,22.6667,23.1667,21.1042,21.25,2676000,0,1
2000-03-15,22.0104,22.3333,18.125,20.0104,9247200,0,1
2000-03-16,20.7812,23.7135,18.4167,23.1771,10308000,0,1
2000-03-17,22.8333,22.875,21.0,22.1458,6499800,0,1
2000-03-20,22.125,22.1458,21.0625,21.625,3117000,0,1
2000-03-21,21.0,21.0,19.3542,20.5104,7861800,0,1
2000-03-22,21.0,22.6042,20.5,22.3333,4823400,0,1
2000-03-23,22.0312,22.3958,21.5625,22.3125,4488000,0,1
2000-03-24,22.375,24.7083,22.375,24.625,6486000,0,1
2000-03-27,25.0208,25.0208,23.1458,23.1667,3126600,0,1
2000-03-28,23.3542,23.5,20.7422,21.0833,6129000,0,1
2000-03-29,21.5417,21.7917,17.9896,18.7604,10146000,0,1
2000-03-30,17.3333,17.9583,15.0417,16.5833,15210600,0,1
2000-03-31,18.0625,18.7292,16.4115,17.75,8110800,0,1
2000-04-03,17.3359,17.4167,14.1458,14.1667,11204400,0,1
2000-04-04,14.7083,14.7292,10.5,12.75,18915000,0,1
2000-04-05,11.4167,14.4375,11.375,13.8333,11143800,0,1
2000-04-06,14.5625,15.8125,14.3333,14.9167,11971200,0,1
2000-04-07,15.8438,16.8229,15.4167,16.5938,10553400,0,1
2000-04-10,17.8359,17.9583,13.6458,14.0,11859600,0,1
2000-04-11,13.75,15.4792,12.1667,13.6667,14512800,0,1
2000-04-12,9.0,9.6927,7.4583,7.625,89793600,0,1
2000-04-13,8.2083,8.2708,6.9583,7.0833,30992400,0,1
2000-04-14,6.75,7.125,5.9375,6.0833,13257000,0,1
2000-04-17,5.8333,6.7292,5.6875,6.1042,13171800,0,1
2000-04-18,6.625,7.3333,6.125,6.5,12535200,0,1
2000-04-19,7.3333,7.6667,6.6667,7.0,7899600,0,1
2000-04-20,7.0391,7.1667,6.5,6.6771,3800400,0,1
2000-04-24,6.2708,6.4792,5.9375,6.0,2878800,0,1
2000-04-25,6.4896,7.4062,6.0938,6.9583,13227000,0,1
2000-04-26,7.3646,7.4167,6.5,6.6875,8035800,0,1
2000-04-27,6.3542,7.3333,6.125,6.75,4576200,0,1
2000-04-28,7.0208,7.4062,6.8464,7.0833,6647400,0,1
2000-05-01,7.6146,7.6146,7.3125,7.3333,7316400,0,1
2000-05-02,7.4375,8.2917,7.2083,7.625,12802800,0,1
2000-05-03,7.3438,7.5521,6.8958,7.1458,6828000,0,1
2000-05-04,7.3542,7.3854,6.7708,6.8646,5142000,0,1
2000-05-05,6.8229,7.2812,6.7604,7.0417,4363200,0,1
2000-05-08,6.9688,6.9688,6.75,6.8229,2113800,0,1
2000-05-09,6.8854,6.9792,6.3333,6.3542,5060400,0,1
2000-05-10,6.3073,6.3229,5.8333,6.0521,4727400,0,1
2000-05-11,6.2917,6.4688,6.0417,6.1771,4123200,0,1
2000-05-12,6.4167,6.5729,6.1979,6.2292,4530000,0,1
2000-05-15,6.2292,6.2708,5.8854,6.1458,5864400,0,1
2000-05-16,6.3854,6.5833,6.1979,6.5833,6478800,0,1
2000-05-17,6.3958,6.4167,6.1458,6.2708,3151200,0,1
2000-05-18,6.2708,6.3333,6.0521,6.0833,1833600,0,1
2000-05-19,6.0,6.0,5.5625,5.6562,4222200,0,1
2000-05-22,5.6042,5.6562,4.4688,5.125,7981800,0,1
2000-05-23,5.1042,5.3646,4.875,4.875,3697200,0,1
2000-05-24,4.8854,4.8958,4.3542,4.6979,7782600,0,1
2000-05-25,4.8958,5.0417,4.1042,4.3021,11133000,0,1
2000-05-26,4.2865,4.3125,3.875,4.1875,4430400,0,1
2000-05-30,4.1771,5.0,4.1667,5.0,6707400,0,1
2000-05-31,4.875,5.625,4.8333,5.3646,9892800,0,1
2000-06-01,6.125,6.6562,5.9792,6.4792,14246400,0,1
2000-06-02,7.4896,7.5,6.875,6.9375,9730200,0,1
2000-06-05,6.9271,6.9375,6.5208,6.625,5392200,0,1
2000-06-06,6.7083,7.3854,6.5312,6.8542,8511600,0,1
2000-06-07,6.974,7.25,6.9427,7.0833,6616800,0,1
2000-06-08,7.4375,7.5208,7.2708,7.4792,6625800,0,1
2000-06-09,7.7188,7.9792,7.6875,7.8958,8465400,0,1
2000-06-12,7.9688,8.1354,7.5833,7.6667,5185200,0,1
2000-06-13,7.7708,7.8958,7.3542,7.7708,4063200,0,1
2000-06-14,7.8958,7.9688,7.5,7.625,4776000,0,1
2000-06-15,7.4479,7.4479,7.1146,7.3125,7286400,0,1
2000-06-16,7.349,7.4167,6.9583,7.0417,7688400,0,1
2000-06-19,7.0312,7.2083,6.7604,7.1667,6591000,0,1
2000-06-20,7.2604,8.0312,7.2604,7.9167,9787200,0,1
2000-06-21,7.7292,9.2292,7.6667,9.1042,15467400,0,1
2000-06-22,9.4271,10.3021,9.3333,9.7917,19279800,0,1
2000-06-23,9.9375,10.2292,8.9167,9.375,10867200,0,1
2000-06-26,9.6667,10.0,8.7083,8.8333,12870600,0,1
2000-06-27,8.0833,8.5,6.875,7.0833,37710600,0,1
2000-06-28,7.276,7.5625,7.0,7.1354,13526400,0,1
2000-06-29,7.1667,7.2604,6.4792,6.4792,12274200,0,1
2000-06-30,6.1042,7.6667,6.0833,7.5417,23481600,0,1
2000-07-03,7.2865,8.1667,7.2812,8.1562,4421400,0,1
2000-07-05,8.3333,8.7396,8.0833,8.2083,12670800,0,1
2000-07-06,8.5,8.6458,8.1484,8.5521,10539000,0,1
2000-07-07,8.5938,9.4167,8.5833,9.2708,7274400,0,1
2000-07-10,9.4375,9.4583,8.625,8.9792,6030600,0,1
2000-07-11,8.7812,9.2396,8.7083,8.8333,3742200,0,1
2000-07-12,9.2292,10.1667,9.0208,10.0417,12180000,0,1
2000-07-13,10.1146,10.8333,10.1042,10.2396,14690400,0,1
2000-07-14,10.4792,10.7292,10.1979,10.4375,6755400,0,1
2000-07-17,10.2708,11.0417,10.125,10.8229,7865400,0,1
2000-07-18,10.6042,11.1042,10.375,10.6354,5223600,0,1
2000-07-19,10.5,10.5729,9.6042,9.9167,6184800,0,1
2000-07-20,10.0312,10.6667,9.9167,10.6667,6223800,0,1
