date,open,high,low,close,volume,dividend,split
2000-01-03,1.5556,1.6049,1.5309,1.5309,46800,0,1
2000-01-04,1.5062,1.5556,1.4815,1.4815,26200,0,1
2000-01-05,1.4568,1.5556,1.3827,1.5062,178300,0,1
2000-01-06,1.5309,1.5309,1.4568,1.4815,48700,0,1
2000-01-07,1.4815,1.5309,1.4815,1.5309,26200,0,1
2000-01-10,1.4938,1.5556,1.4938,1.5556,99400,0,1
2000-01-11,1.5309,1.5309,1.4815,1.5062,128400,0,1
2000-01-12,1.5309,1.5556,1.5062,1.5185,47400,0,1
2000-01-13,1.5185,1.5185,1.5185,1.5185,6900,0,1
2000-01-14,1.5679,1.5679,1.5309,1.5432,24300,0,1
2000-01-18,1.5309,1.5802,1.5309,1.5802,67600,0,1
2000-01-19,1.5556,1.5802,1.5556,1.5802,53500,0,1
2000-01-20,1.6049,1.7037,1.6049,1.679,24400,0,1
2000-01-21,1.7037,1.7037,1.7037,1.7037,7300,0,1
2000-01-24,1.7531,1.8025,1.7284,1.8025,20400,0,1
2000-01-25,1.7778,1.8272,1.7778,1.8025,12300,0,1
2000-01-26,1.8272,1.8272,1.8025,1.8272,3300,0,1
2000-01-27,1.8272,1.8272,1.679,1.6914,75100,0,1
2000-01-28,1.6914,1.6914,1.6049,1.6296,72100,0,1
2000-01-31,1.6296,1.6296,1.5062,1.5309,31600,0,1
2000-02-01,1.5309,1.5309,1.5309,1.5309,0,0,1
2000-02-02,1.5309,1.5556,1.5309,1.5556,25200,0,1
2000-02-03,1.5802,1.679,1.5802,1.679,18400,0,1
2000-02-04,1.7037,1.7284,1.679,1.679,4900,0,1
2000-02-07,1.7037,1.7778,1.7037,1.7284,76900,0,1
2000-02-08,1.7037,1.7037,1.642,1.6543,42700,0,1
2000-02-09,1.6296,1.6667,1.6296,1.6667,22500,0,1
2000-02-10,1.6914,1.6914,1.6914,1.6914,900,0,1
2000-02-11,1.6667,1.6667,1.6667,1.6667,2800,0,1
2000-02-14,1.6543,1.679,1.642,1.679,24300,0,1
2000-02-15,1.6543,1.679,1.6543,1.679,4000,0,1
2000-02-16,1.7037,1.7284,1.679,1.679,29200,0,1
2000-02-17,1.679,1.679,1.679,1.679,25600,0,1
2000-02-18,1.679,1.7037,1.6296,1.6296,77800,0,1
2000-02-22,1.6543,1.6667,1.642,1.6543,103500,0,1
2000-02-23,1.6543,1.6543,1.6543,1.6543,0,0,1
2000-02-24,1.7037,1.7037,1.6296,1.679,62700,0,1
2000-02-25,1.679,1.7037,1.642,1.679,315900,0,1
2000-02-28,1.679,1.679,1.679,1.679,17100,0,1
2000-02-29,1.6296,1.679,1.6296,1.679,56800,0,1
2000-03-01,1.7037,1.7778,1.7037,1.7778,18100,0,1
2000-03-02,1.8272,1.8272,1.7531,1.7531,54900,0,1
2000-03-03,1.7531,1.7531,1.6296,1.6543,79200,0,1
2000-03-06,1.6296,1.679,1.6296,1.679,52600,0,1
2000-03-07,1.7037,1.7284,1.7037,1.7284,12300,0,1
2000-03-08,1.7037,1.7037,1.6543,1.679,82900,0,1
2000-03-09,1.679,1.679,1.6296,1.6296,6000,0,1
