date,open,high,low,close,volume,dividend,split
2000-01-03,2.4609,2.5859,2.4609,2.5547,736800,0,1
2000-01-04,2.5312,2.5547,2.4844,2.5078,1083200,0,1
2000-01-05,2.5156,2.5156,2.4688,2.5078,1121600,0,1
2000-01-06,2.4922,2.5078,2.4531,2.4922,1267200,0,1
2000-01-07,2.4727,2.5469,2.4375,2.5391,1914400,0,1
2000-01-10,2.5078,2.6562,2.4922,2.625,2478400,0,1
2000-01-11,2.6406,2.875,2.6406,2.8281,3136000,0,1
2000-01-12,2.8672,2.8984,2.6719,2.7422,2398400,0,1
2000-01-13,2.7344,2.8516,2.7344,2.7734,1456800,0,1
2000-01-14,2.7695,3.0312,2.75,3.0156,3086400,0,1
2000-01-18,2.9922,3.0156,2.875,2.9375,2148000,0,1
2000-01-19,2.9375,2.9375,2.5078,2.6797,4578400,0,1
2000-01-20,2.6562,2.7578,2.6094,2.6719,4888000,0,1
2000-01-21,2.7344,2.7344,2.6016,2.6055,2749600,0,1
2000-01-24,2.5938,2.625,2.4219,2.4688,4104800,0,1
2000-01-25,2.4844,2.4844,2.3359,2.3438,2660000,0,1
2000-01-26,2.3281,2.4375,2.2969,2.2969,1443200,0,1
2000-01-27,2.2969,2.5078,2.2344,2.4375,1470400,0,1
2000-01-28,2.8125,3.0,2.6641,2.6797,12299200,0,1
2000-01-31,2.6875,2.7344,2.4531,2.4844,2507200,0,1
2000-02-01,2.5,2.7031,2.4766,2.5703,6036800,0,1
2000-02-02,2.5625,2.8125,2.5312,2.7969,3224000,0,1
2000-02-03,2.7344,2.9375,2.7266,2.8984,2343200,0,1
2000-02-04,2.8672,3.0312,2.8672,2.9844,2793600,0,1
2000-02-07,3.0156,3.2188,2.9062,3.1875,4827200,0,1
2000-02-08,3.2109,3.2734,2.9688,3.0664,2711200,0,1
2000-02-09,3.0938,3.1094,2.9531,3.0,1459200,0,1
2000-02-10,2.9844,3.0938,2.9297,3.0938,1788800,0,1
2000-02-11,3.0938,3.125,3.0234,3.0938,2120800,0,1
2000-02-14,3.3594,3.8125,3.3594,3.75,16994400,0,1
2000-02-15,3.6719,3.9844,3.5625,3.9688,7659200,0,1
2000-02-16,3.9531,3.9688,3.6719,3.7109,4128000,0,1
2000-02-17,3.7031,3.875,3.6562,3.8359,2509600,0,1
2000-02-18,3.8047,3.8438,3.6562,3.6562,1654400,0,1
2000-02-22,3.6484,3.7734,3.5547,3.7344,1943200,0,1
2000-02-23,3.75,4.0,3.7188,3.9062,3170400,0,1
2000-02-24,3.8906,4.0781,3.8516,4.0391,2317600,0,1
2000-02-25,4.0156,4.2656,3.9844,4.2031,4053600,0,1
2000-02-28,4.1719,4.2031,4.0625,4.1719,1575200,0,1
2000-02-29,4.1562,4.4688,4.0469,4.4297,2648000,0,1
2000-03-01,4.4531,4.4531,4.2031,4.2422,2445600,0,1
2000-03-02,4.2188,4.4609,4.2188,4.4219,1686400,0,1
2000-03-03,4.5781,5.1094,4.5312,4.75,7974400,0,1
2000-03-06,4.7188,4.7344,4.2812,4.4922,7728000,0,1
2000-03-07,4.5,4.5,4.0625,4.2031,5016800,0,1
2000-03-08,4.2344,4.25,4.0312,4.0703,4832000,0,1
2000-03-09,4.0625,4.3125,4.0,4.1094,13300000,0,1
2000-03-10,4.1562,4.1719,4.0312,4.0625,2234400,0,1
2000-03-13,4.0312,4.0781,3.9531,4.0,855200,0,1
2000-03-14,4.0,4.0078,3.4531,3.5781,2092800,0,1
2000-03-15,3.5938,3.8672,3.5625,3.7344,2073600,0,1
