date,open,high,low,close,volume,dividend,split
2000-01-03,9.5625,9.6562,8.8594,9.2578,1492000,0,1
2000-01-04,9.125,9.25,8.875,8.9688,1483600,0,1
2000-01-05,8.8516,9.0,8.75,8.8438,1023200,0,1
2000-01-06,8.7656,8.9375,8.7656,8.7812,1326800,0,1
2000-01-07,8.6875,8.875,8.6719,8.8672,836800,0,1
2000-01-10,8.8906,9.3438,8.875,9.3047,1814800,0,1
2000-01-11,9.2578,9.2969,8.9688,8.9688,473600,0,1
2000-01-12,8.9375,9.1211,8.9062,9.0781,501600,0,1
2000-01-13,9.0938,9.75,9.0938,9.7422,1951200,0,1
2000-01-14,9.7344,10.5938,9.7188,10.5625,3344800,0,1
2000-01-18,10.5,10.9219,9.8438,10.6797,1861600,0,1
2000-01-19,10.6719,10.6875,10.2188,10.2422,1363600,0,1
2000-01-20,10.4219,10.875,10.375,10.5469,3202400,0,1
2000-01-21,10.5625,11.0,10.5469,10.9062,1842800,0,1
2000-01-24,10.875,11.25,10.5938,10.7031,848400,0,1
2000-01-25,10.75,10.875,10.4375,10.7344,1158000,0,1
2000-01-26,10.7344,11.0625,9.9375,10.4844,850400,0,1
2000-01-27,10.5,10.7812,10.5,10.6875,3122400,0,1
2000-01-28,10.5938,10.7188,10.4375,10.5938,1714000,0,1
2000-01-31,10.5312,10.5312,9.75,10.1875,2026800,0,1
2000-02-01,10.1094,10.7344,10.0938,10.7344,2136000,0,1
2000-02-02,10.6875,11.0312,10.625,11.0312,2758800,0,1
2000-02-03,11.0312,11.2812,10.9844,11.1406,1094800,0,1
2000-02-04,11.1094,11.2031,11.0,11.0469,496000,0,1
2000-02-07,11.0469,11.0781,10.7812,10.9297,907600,0,1
2000-02-08,10.9062,11.0312,10.8125,10.9844,967600,0,1
2000-02-09,10.9844,11.5,10.7812,10.8906,1538400,0,1
2000-02-10,11.0625,11.4375,10.9375,11.125,415200,0,1
2000-02-11,11.0781,11.2969,10.6562,10.9688,464800,0,1
2000-02-14,10.9688,11.0312,10.6562,10.6875,518400,0,1
2000-02-15,10.7812,10.8438,10.5312,10.6562,903600,0,1
2000-02-16,10.6875,11.25,10.6875,11.0312,486800,0,1
2000-02-17,11.125,11.5625,11.0938,11.5156,1224800,0,1
2000-02-18,11.4688,11.4688,10.75,10.7969,707200,0,1
2000-02-22,10.75,10.875,10.0938,10.8594,712400,0,1
2000-02-23,10.875,11.5625,10.7188,11.4531,1282000,0,1
2000-02-24,11.5312,11.75,11.3906,11.4531,1337600,0,1
2000-02-25,11.375,11.9062,11.2344,11.2344,818000,0,1
2000-02-28,11.25,11.4375,10.6875,11.0156,950400,0,1
2000-02-29,11.0,11.0312,10.9375,10.9844,2071200,0,1
