date,open,high,low,close,volume,dividend,split
2000-01-03,9.875,9.9062,9.1875,9.625,315200,0,1
2000-01-04,9.5,9.8438,9.375,9.8125,307200,0,1
2000-01-05,9.6875,9.8125,9.25,9.625,502600,0,1
2000-01-06,9.5,9.625,9.375,9.625,535000,0,1
2000-01-07,9.6562,10.25,9.6562,10.2188,664200,0,1
2000-01-10,10.0938,10.125,9.6875,9.9688,357600,0,1
2000-01-11,9.875,9.9375,9.6875,9.875,401800,0,1
2000-01-12,9.875,10.625,9.75,9.8125,837800,0,1
2000-01-13,9.8125,10.3125,9.75,10.2812,548200,0,1
2000-01-14,10.375,10.8438,10.25,10.375,888400,0,1
2000-01-18,10.2812,10.6562,10.2812,10.5312,413600,0,1
2000-01-19,10.5312,10.5625,10.3125,10.5312,567600,0,1
2000-01-20,10.5312,10.8438,10.4688,10.7812,592800,0,1
2000-01-21,10.7812,10.9375,10.75,10.7812,456800,0,1
2000-01-24,10.7812,10.9375,10.7812,10.9062,545600,0,1
2000-01-25,10.8438,10.9062,10.7812,10.875,397000,0,1
2000-01-26,10.875,10.875,10.7188,10.7812,272000,0,1
2000-01-27,10.75,10.8438,10.125,10.25,264600,0,1
2000-01-28,10.25,10.5,10.1875,10.2812,173800,0,1
2000-01-31,10.1875,10.375,10.125,10.2812,80800,0,1
2000-02-01,10.3125,11.0,10.3125,10.75,1751400,0,1
2000-02-02,10.8125,10.9375,10.75,10.7812,181200,0,1
2000-02-03,10.7812,10.875,10.25,10.5,180400,0,1
2000-02-04,10.4062,10.5312,10.25,10.375,179000,0,1
2000-02-07,10.3125,10.875,9.9375,10.7188,496200,0,1
2000-02-08,10.5,10.5938,9.6875,10.0938,662000,0,1
2000-02-09,9.75,10.0,9.2812,10.0,554000,0,1
2000-02-10,10.0,10.3125,9.375,10.25,577400,0,1
2000-02-11,10.375,10.4375,9.5312,9.5938,370200,0,1
2000-02-14,9.5312,10.1562,9.25,10.1562,570000,0,1
2000-02-15,10.2188,10.4375,10.0312,10.4375,470000,0,1
2000-02-16,10.3125,10.5,10.1562,10.3125,478600,0,1
2000-02-17,10.25,10.25,9.875,9.9375,132400,0,1
2000-02-18,9.875,9.875,9.375,9.75,312800,0,1
2000-02-22,9.6875,9.7188,9.4688,9.5625,153800,0,1
2000-02-23,9.5,10.0,9.375,9.6875,246200,0,1
2000-02-24,9.625,10.0625,9.625,9.875,250800,0,1
2000-02-25,9.8125,10.1875,9.75,10.0,211400,0,1
2000-02-28,9.9375,9.9688,9.7812,9.8438,109800,0,1
2000-02-29,9.8125,10.9062,9.8125,10.5938,818200,0,1
2000-03-01,10.5938,11.9375,10.5625,11.1562,2183800,0,1
2000-03-02,11.0938,12.1562,11.0938,11.3125,925200,0,1
2000-03-03,11.25,11.4375,10.8438,10.9375,224400,0,1
2000-03-06,10.875,13.1562,10.875,13.0312,1906600,0,1
2000-03-07,13.0312,14.25,13.0312,13.8125,1072400,0,1
2000-03-08,13.5,13.5,12.9062,12.9375,733600,0,1
2000-03-09,12.9062,13.125,12.8125,13.0,735200,0,1
2000-03-10,13.0,13.75,13.0,13.0625,292000,0,1
2000-03-13,12.875,13.0625,12.8125,12.9375,494000,0,1
2000-03-14,12.9375,13.0,12.7188,12.75,382200,0,1
2000-03-15,12.75,12.75,11.6562,11.8438,188400,0,1
