date,open,high,low,close,volume,dividend,split
2000-01-03,4.4583,4.4583,4.25,4.3021,1091200,0,1
2000-01-04,4.2917,4.2917,4.1354,4.1667,3175200,0,1
2000-01-05,4.2083,4.2708,4.1875,4.2083,3396400,0,1
2000-01-06,4.2083,4.4375,4.1875,4.4271,3552400,0,1
2000-01-07,4.4688,4.4688,4.1979,4.3333,4091200,0,1
2000-01-10,4.3333,4.3646,4.3021,4.3125,3091200,0,1
2000-01-11,4.2708,4.3438,4.1875,4.1875,2127600,0,1
2000-01-12,4.1875,4.2396,4.125,4.1667,7019200,0,1
2000-01-13,4.2083,4.5417,4.2083,4.5,4739200,0,1
2000-01-14,4.7917,4.7917,4.5729,4.5833,2637600,0,1
2000-01-18,4.5729,4.625,4.5,4.5,1459200,0,1
2000-01-19,4.5,4.5208,4.25,4.2812,2578800,0,1
2000-01-20,4.2812,4.3021,4.2604,4.2604,4549200,0,1
2000-01-21,4.2812,4.2812,4.0833,4.1667,1693600,0,1
2000-01-24,4.1667,4.1875,3.9583,3.9896,2839600,0,1
2000-01-25,4.0,4.2188,3.9688,4.0625,5592000,0,1
2000-01-26,4.0,4.125,3.8333,4.0625,3952800,0,1
2000-01-27,4.1771,4.3125,3.9583,4.0625,2560800,0,1
2000-01-28,3.9792,4.0938,3.9375,4.0729,4342800,0,1
2000-01-31,4.0729,4.1771,4.0417,4.1458,883200,0,1
2000-02-01,4.1458,4.2812,4.1458,4.25,3229200,0,1
2000-02-02,4.25,4.2917,4.1146,4.1562,4174800,0,1
2000-02-03,4.1562,4.1562,4.0208,4.0521,2208400,0,1
2000-02-04,4.0729,4.0729,3.9583,4.0104,3655200,0,1
2000-02-07,4.0208,4.0833,4.0,4.0104,2292400,0,1
2000-02-08,4.0417,4.1875,4.0417,4.1354,2611600,0,1
2000-02-09,4.1354,4.1458,3.9479,3.9688,3750400,0,1
2000-02-10,4.0104,4.1771,3.9792,4.1667,2984400,0,1
2000-02-11,4.1667,4.1771,4.125,4.1667,3352000,0,1
2000-02-14,4.1458,4.25,4.1354,4.1458,1968400,0,1
2000-02-15,4.1562,4.1667,4.0938,4.1042,2851600,0,1
2000-02-16,4.1042,4.1667,4.0938,4.1562,3007200,0,1
2000-02-17,4.1562,4.2292,4.125,4.1458,1568400,0,1
2000-02-18,4.1562,4.1771,4.0104,4.0417,1867600,0,1
2000-02-22,4.1146,4.1979,4.0729,4.0938,2362000,0,1
2000-02-23,4.0833,4.0833,3.9167,3.9271,2528800,0,1
2000-02-24,3.9688,3.9688,3.8542,3.8958,4320000,0,1
2000-02-25,4.0,4.0,3.875,3.9271,3036400,0,1
2000-02-28,3.9688,4.0208,3.9062,3.9896,1111600,0,1
2000-02-29,3.9896,4.0,3.9167,3.9271,2564800,0,1
2000-03-01,3.9271,4.0208,3.9062,3.9896,2251600,0,1
2000-03-02,3.9479,4.0,3.9479,3.9792,2816800,0,1
2000-03-03,3.9688,4.0312,3.9688,4.0104,2094400,0,1
2000-03-06,3.9479,4.0312,3.9479,4.0104,2596800,0,1
2000-03-07,4.0,4.0312,3.9167,3.9375,1662000,0,1
2000-03-08,3.9271,4.0,3.9271,3.9688,2176000,0,1
2000-03-09,3.7604,4.0208,3.7604,3.9896,1574800,0,1
2000-03-10,4.0417,4.1458,4.0104,4.0208,1564800,0,1
2000-03-13,3.9375,4.125,3.9375,4.1042,1220400,0,1
2000-03-14,4.1042,4.1458,3.9583,3.9688,1987200,0,1
2000-03-15,4.0417,4.1667,3.9896,4.1667,2950000,0,1
2000-03-16,4.2396,4.5417,4.2396,4.5104,5470000,0,1
2000-03-17,4.4792,4.875,4.4375,4.6667,2347600,0,1
2000-03-20,4.6458,4.6458,4.4896,4.5417,2464000,0,1
2000-03-21,4.5,4.5833,4.4375,4.5625,2590800,0,1
2000-03-22,4.5625,4.5938,4.3542,4.3646,5027200,0,1
2000-03-23,4.375,4.4792,4.375,4.4375,1760800,0,1
2000-03-24,4.4375,4.5104,4.4375,4.4896,5844000,0,1
2000-03-27,4.4688,4.5,4.4271,4.4792,2710000,0,1
