date,open,high,low,close,volume,dividend,split
2000-01-03,3.5938,3.6615,2.8854,3.25,1405200,0,1
2000-01-04,3.0938,3.1042,2.7812,2.8438,2026800,0,1
2000-01-05,2.8542,2.9271,2.7917,2.8229,2210400,0,1
2000-01-06,2.8229,2.9062,2.5729,2.625,1986000,0,1
2000-01-07,2.6302,2.9688,2.6198,2.9271,648000,0,1
2000-01-10,2.9792,3.0208,2.9115,2.9688,1221600,0,1
2000-01-11,2.9479,2.9688,2.849,2.849,596400,0,1
2000-01-12,2.9271,2.9271,2.8333,2.8542,3552000,0,1
2000-01-13,2.9062,2.9062,2.8333,2.8854,986400,0,1
2000-01-14,2.8854,2.9271,2.875,2.9219,2293200,0,1
2000-01-18,2.9271,2.9479,2.9167,2.9427,2076000,0,1
2000-01-19,2.9401,3.0938,2.9271,3.0104,2413200,0,1
2000-01-20,3.1042,3.2812,3.0833,3.276,2022000,0,1
2000-01-21,3.2917,3.3177,3.1615,3.25,2014800,0,1
2000-01-24,3.1823,3.2917,3.1771,3.2448,1581600,0,1
2000-01-25,3.3333,3.3333,2.5833,3.2552,1291600,0,1
2000-01-26,3.0417,3.1667,2.8333,3.0,1450000,0,1
2000-01-27,3.1615,3.1667,2.7292,2.9583,720400,0,1
2000-01-28,2.9583,3.0625,2.9375,3.0156,414000,0,1
2000-01-31,3.026,3.0312,2.7083,2.8333,1330800,0,1
2000-02-01,2.9583,3.0625,2.875,2.9167,554800,0,1
2000-02-02,3.0,3.0833,2.9583,3.0312,338400,0,1
2000-02-03,3.0729,3.1667,3.0,3.1458,932800,0,1
2000-02-04,3.1458,3.1458,3.0833,3.1458,1452000,0,1
2000-02-07,3.2083,3.2292,3.1562,3.2292,896800,0,1
2000-02-08,3.25,3.3021,3.2083,3.2188,1069600,0,1
2000-02-09,3.224,3.375,3.2188,3.3333,840000,0,1
2000-02-10,3.3229,3.6771,3.3125,3.6771,2610400,0,1
2000-02-11,3.6823,3.6875,3.4167,3.4688,2826400,0,1
2000-02-14,3.4635,3.5833,3.4167,3.5625,2654400,0,1
2000-02-15,3.6042,3.6042,3.5312,3.5625,919200,0,1
2000-02-16,3.5469,3.625,3.5417,3.5938,512400,0,1
2000-02-17,3.6198,3.6458,3.4896,3.5417,1261600,0,1
2000-02-18,3.5365,3.5417,3.4792,3.5,1128000,0,1
