date,open,high,low,close,volume,dividend,split
2003-10-28,13.1,14.15,13.1,14.15,1478400,0,1
2003-10-29,14.25,14.95,13.6,13.905,780800,0,1
2003-10-30,14.03,14.35,13.45,13.625,445200,0,1
2003-10-31,13.65,14.0,12.95,14.0,872600,0,1
2003-11-03,14.0,14.39,13.885,14.19,281200,0,1
2003-11-04,14.24,14.46,14.15,14.295,205800,0,1
2003-11-05,14.275,14.345,14.15,14.345,64600,0,1
2003-11-06,14.395,14.425,14.3,14.35,146800,0,1
2003-11-07,14.425,14.47,14.32,14.33,348000,0,1
2003-11-10,14.275,14.32,14.2,14.275,401600,0,1
2003-11-11,14.25,14.27,14.2,14.2,284400,0,1
2003-11-12,14.205,14.7,14.205,14.45,253400,0,1
2003-11-13,14.45,14.45,14.2,14.375,301000,0,1
2003-11-14,14.375,14.375,14.2,14.2,173200,0,1
2003-11-17,14.2,14.2,13.825,13.9,144800,0,1
2003-11-18,13.9,13.975,13.175,13.2,295200,0,1
2003-11-19,13.075,13.075,12.375,12.55,579400,0,1
2003-11-20,12.25,12.575,11.9,12.37,649400,0,1
2003-11-21,12.37,12.84,12.3,12.82,648800,0,1
2003-11-24,13.0,14.305,12.865,13.96,688000,0,1
2003-11-25,13.96,14.0,13.35,13.7,190000,0,1
2003-11-26,13.7,13.72,13.325,13.535,165400,0,1
2003-11-28,13.505,13.6,13.5,13.59,71000,0,1
2003-12-01,13.65,13.95,13.575,13.875,238400,0,1
2003-12-02,13.825,14.1,13.75,13.95,195000,0,1
2003-12-03,14.0,14.25,13.15,13.2,527400,0,1
2003-12-04,13.275,13.5,12.725,13.0,518200,0,1
2003-12-05,12.75,12.925,12.75,12.775,280400,0,1
2003-12-08,12.5,12.65,12.17,12.2,464600,0,1
2003-12-09,12.25,12.475,12.25,12.3,452400,0,1
2003-12-10,12.325,12.8,12.3,12.62,425800,0,1
2003-12-11,12.625,12.725,12.625,12.645,256000,0,1
2003-12-12,12.6,12.6,12.3,12.4,341200,0,1
2003-12-15,12.45,12.5,12.38,12.4,98400,0,1
2003-12-16,12.4,12.5,12.39,12.495,150800,0,1
2003-12-17,12.5,12.7,12.495,12.55,220800,0,1
2003-12-18,12.575,12.775,12.55,12.675,202400,0,1
2003-12-19,12.75,12.75,12.675,12.675,18800,0,1
2003-12-22,12.55,12.71,12.55,12.625,118400,0,1
2003-12-23,12.625,12.745,12.625,12.7,70600,0,1
2003-12-24,12.725,12.775,12.7,12.72,38400,0,1
2003-12-26,12.77,12.95,12.75,12.95,21200,0,1
2003-12-29,12.95,13.0,12.925,12.965,83000,0,1
2003-12-30,12.97,13.05,12.925,12.95,161400,0,1
2003-12-31,12.95,12.95,12.725,12.725,59000,0,1
2004-01-02,12.73,12.875,12.525,12.57,67800,0,1
2004-01-05,12.595,12.675,12.525,12.67,113600,0,1
2004-01-06,12.675,12.825,12.67,12.775,99600,0,1
2004-01-07,12.75,13.1,12.75,13.1,147600,0,1
2004-01-08,13.1,13.175,13.03,13.125,76000,0,1
2004-01-09,13.11,13.11,12.6,12.675,201400,0,1
2004-01-12,12.65,12.65,12.5,12.5,79400,0,1
2004-01-13,12.5,12.65,12.455,12.65,110800,0,1
2004-01-14,12.625,12.675,12.45,12.525,62400,0,1
2004-01-15,12.5,12.995,12.45,12.995,524000,0,1
2004-01-16,12.995,13.55,12.975,13.55,201000,0,1
2004-01-20,13.55,13.65,13.4,13.45,120000,0,1
2004-01-21,13.425,13.525,13.4,13.525,73000,0,1
2004-01-22,13.525,13.575,13.4,13.575,36400,0,1
2004-01-23,13.575,13.865,13.575,13.825,58600,0,1
2004-01-26,13.85,14.045,13.55,14.025,64000,0,1
2004-01-27,14.025,14.025,13.9,13.905,24400,0,1
2004-01-28,13.875,14.275,13.875,14.13,132000,0,1
2004-01-29,14.1,14.115,14.025,14.075,19800,0,1
2004-01-30,14.05,14.05,13.97,14.0,52000,0,1
2004-02-02,14.025,14.15,13.925,13.95,89000,0,1
2004-02-03,13.95,13.96,13.725,13.725,184000,0,1
2004-02-04,13.75,13.75,13.5,13.53,156000,0,1
2004-02-05,13.55,13.625,13.52,13.625,137800,0,1
2004-02-06,13.65,13.885,13.65,13.83,79000,0,1
2004-02-09,13.85,14.25,13.85,14.25,130200,0,1
2004-02-10,14.25,14.315,14.2,14.315,34600,0,1
2004-02-11,14.3,14.5,14.225,14.5,63800,0,1
2004-02-12,14.45,14.5,14.4,14.43,38000,0,1
2004-02-13,14.43,14.6,14.25,14.33,87200,0,1
2004-02-17,14.35,14.35,14.175,14.3,98600,0,1
2004-02-18,14.25,14.325,14.25,14.32,37000,0,1
2004-02-19,14.325,14.35,14.175,14.2,29400,0,1
2004-02-20,14.2,14.205,14.19,14.205,20200,0,1
2004-02-23,14.2,14.225,14.05,14.05,38000,0,1
2004-02-24,14.1,14.12,14.0,14.115,75400,0,1
2004-02-25,14.175,14.4,14.0,14.35,215400,0,1
2004-02-26,14.425,14.945,14.4,14.945,253000,0,1
2004-02-27,14.975,15.45,14.9,15.0,307800,0,1
2004-03-01,15.05,15.3,15.05,15.3,55200,0,1
2004-03-02,15.275,15.675,15.2,15.2,133800,0,1
2004-03-03,15.175,15.175,14.6,14.7,91000,0,1
2004-03-04,14.75,14.92,14.75,14.875,41800,0,1
2004-03-05,14.88,15.0,14.88,14.995,12200,0,1
2004-03-08,15.0,15.04,14.95,15.0,25800,0,1
2004-03-09,15.025,15.025,14.8,14.8,27000,0,1
2004-03-10,14.805,14.82,14.8,14.8,40800,0,1
2004-03-11,14.775,15.075,14.775,14.975,67400,0,1
2004-03-12,15.025,15.03,14.9,14.965,45000,0,1
2004-03-15,15.0,15.045,14.95,15.025,31600,0,1
2004-03-16,15.025,15.225,15.025,15.195,37600,0,1
2004-03-17,15.2,15.21,15.125,15.15,41000,0,1
2004-03-18,15.15,15.15,15.125,15.125,220000,0,1
2004-03-19,15.15,15.15,15.1,15.125,64000,0,1
2004-03-22,15.1,15.105,14.8,14.805,49000,0,1
2004-03-23,14.805,14.805,14.6,14.625,38400,0,1
2004-03-24,14.675,14.69,14.525,14.57,28400,0,1
2004-03-25,14.675,14.675,14.15,14.175,137800,0,1
2004-03-26,14.2,14.2,14.04,14.085,67800,0,1
2004-03-29,14.085,14.11,14.05,14.05,81200,0,1
2004-03-30,14.075,14.11,14.04,14.05,63200,0,1
2004-03-31,14.075,14.295,14.05,14.295,120600,0,1
2004-04-01,14.345,14.345,14.25,14.31,57400,0,1
2004-04-02,14.35,14.45,14.35,14.375,133800,0,1
2004-04-05,14.35,14.4,14.325,14.345,70200,0,1
2004-04-06,14.34,14.495,14.34,14.49,49600,0,1
2004-04-07,14.475,14.5,14.425,14.5,54400,0,1
2004-04-08,14.5,14.5,14.3,14.345,83600,0,1
2004-04-12,14.325,14.34,14.3,14.325,59800,0,1
2004-04-13,14.3,14.32,14.2,14.235,188000,0,1
2004-04-14,14.225,14.235,14.025,14.08,103200,0,1
2004-04-15,14.1,14.2,14.0,14.025,116600,0,1
2004-04-16,14.045,14.33,14.025,14.33,60400,0,1
2004-04-19,14.3,14.37,14.25,14.35,12200,0,1
2004-04-20,14.325,14.75,14.325,14.575,48000,0,1
2004-04-21,14.58,14.58,14.225,14.275,62200,0,1
2004-04-22,14.275,14.5,14.275,14.5,84000,0,1
2004-04-23,14.475,14.5,14.425,14.5,48600,0,1
2004-04-26,14.5,14.5,14.45,14.5,39200,0,1
2004-04-27,14.495,14.5,14.475,14.5,37600,0,1
2004-04-28,14.5,14.725,14.495,14.725,80400,0,1
2004-04-29,14.725,14.85,14.675,14.825,81000,0,1
2004-04-30,14.8,15.15,14.8,15.075,132800,0,1
2004-05-03,15.125,15.225,15.0,15.05,137200,0,1
2004-05-04,15.05,15.1,14.94,15.04,116400,0,1
2004-05-05,14.975,15.1,14.95,15.05,83400,0,1
2004-05-06,15.025,15.025,14.95,14.97,126800,0,1
2004-05-07,15.0,15.15,15.0,15.045,40200,0,1
2004-05-10,15.0,15.025,14.8,14.945,78800,0,1
2004-05-11,14.925,15.025,14.9,15.01,26600,0,1
2004-05-12,15.03,15.045,14.925,15.025,54000,0,1
2004-05-13,15.0,15.025,14.95,14.995,42000,0,1
2004-05-14,14.975,15.0,14.84,15.0,41800,0,1
2004-05-17,14.95,15.45,14.9,15.265,108200,0,1
2004-05-18,15.25,15.425,15.175,15.415,309800,0,1
2004-05-19,15.41,15.5,15.3,15.5,52600,0,1
2004-05-20,15.525,15.75,15.5,15.6,350400,0,1
2004-05-21,15.625,15.65,15.575,15.59,116400,0,1
2004-05-24,15.6,15.775,15.6,15.675,184600,0,1
2004-05-25,15.68,15.86,15.65,15.685,248200,0,1
2004-05-26,15.65,15.675,15.605,15.605,57400,0,1
2004-05-27,15.625,15.65,15.5,15.615,68000,0,1
2004-05-28,15.615,15.635,15.525,15.62,77400,0,1
2004-06-01,15.57,15.6,15.41,15.5,60200,0,1
2004-06-02,15.55,15.55,14.8,15.015,242000,0,1
2004-06-03,15.0,15.025,14.65,14.7,88800,0,1
2004-06-04,14.5,14.55,14.285,14.55,296200,0,1
2004-06-07,14.625,14.7,14.48,14.6,119600,0,1
2004-06-08,14.575,14.585,14.425,14.485,170200,0,1
2004-06-09,14.475,14.475,14.195,14.24,362200,0,1
2004-06-10,14.25,14.275,14.175,14.24,105000,0,1
2004-06-14,14.15,14.155,13.875,14.025,129000,0,1
2004-06-15,14.05,14.11,13.975,14.05,495400,0,1
2004-06-16,14.075,14.095,13.93,14.09,240200,0,1
2004-06-17,14.115,14.47,14.08,14.45,132200,0,1
2004-06-18,14.475,14.725,14.47,14.725,226400,0,1
2004-06-21,14.725,14.775,14.65,14.745,68400,0,1
2004-06-22,14.75,14.82,14.6,14.8,81000,0,1
2004-06-23,14.85,14.925,14.84,14.92,81000,0,1
2004-06-24,14.95,15.015,14.825,14.94,86200,0,1
2004-06-25,14.925,14.925,14.52,14.605,825400,0,1
2004-06-28,14.625,14.645,14.6,14.625,126200,0,1
2004-06-29,14.625,14.65,14.525,14.545,393200,0,1
2004-06-30,14.55,14.72,14.5,14.555,243000,0,1
2004-07-01,14.575,14.62,14.55,14.61,178600,0,1
2004-07-02,14.625,14.645,14.575,14.585,110200,0,1
2004-07-06,14.6,14.8,14.585,14.6,101200,0,1
2004-07-07,14.62,14.82,14.6,14.65,476000,0,1
2004-07-08,14.625,14.7,14.625,14.655,136200,0,1
2004-07-09,14.65,14.78,14.615,14.63,80400,0,1
2004-07-12,14.6,14.615,14.375,14.375,111200,0,1
2004-07-13,14.315,14.495,14.22,14.425,142400,0,1
2004-07-14,14.4,14.415,14.35,14.375,33400,0,1
2004-07-15,14.375,14.39,14.325,14.325,32000,0,1
2004-07-16,14.295,14.295,14.225,14.235,120400,0,1
2004-07-19,14.225,14.315,14.025,14.315,536600,0,1
2004-07-20,14.275,14.28,14.05,14.105,248000,0,1
2004-07-21,14.1,14.105,13.65,13.65,133000,0,1
2004-07-22,13.65,13.65,12.95,12.975,171800,0,1
2004-07-23,12.975,13.165,12.975,13.15,95000,0,1
2004-07-26,13.2,13.2,12.83,12.85,51800,0,1
2004-07-27,12.9,12.975,12.835,12.97,42200,0,1
2004-07-28,13.025,13.295,12.92,13.295,121400,0,1
2004-07-29,13.45,13.66,13.225,13.625,151800,0,1
2004-07-30,13.575,13.655,13.495,13.645,55400,0,1
2004-08-02,13.66,13.715,13.575,13.7,64200,0,1
2004-08-03,13.7,13.785,13.575,13.65,112600,0,1
2004-08-04,13.655,13.85,13.56,13.7,40800,0,1
2004-08-05,13.7,13.78,13.62,13.745,47800,0,1
2004-08-06,13.675,13.68,13.32,13.505,140600,0,1
2004-08-09,13.505,13.515,13.025,13.055,405000,0,1
2004-08-10,13.1,13.1,12.88,12.95,90400,0,1
2004-08-11,12.95,13.57,12.815,13.57,46800,0,1
2004-08-12,13.55,14.0,13.52,13.68,115400,0,1
2004-08-13,13.68,13.975,13.625,13.81,82000,0,1
2004-08-16,13.81,14.27,13.81,14.205,65000,0,1
2004-08-17,14.25,14.665,14.2,14.38,202600,0,1
2004-08-18,14.355,14.355,13.53,13.65,373200,0,1
2004-08-19,13.625,14.0,13.55,13.875,90600,0,1
2004-08-20,13.825,14.125,13.68,14.0,49200,0,1
2004-08-23,14.0,14.0,13.65,13.65,15800,0,1
2004-08-24,13.7,14.095,13.65,13.8,98800,0,1
2004-08-25,13.8,13.895,13.65,13.75,72800,0,1
2004-08-26,13.75,13.79,13.65,13.655,13800,0,1
2004-08-27,13.64,14.175,13.64,14.13,38800,0,1
2004-08-30,14.1,14.305,13.83,14.125,236200,0,1
2004-08-31,14.095,14.1,13.75,13.98,71400,0,1
2004-09-01,13.955,14.12,13.795,13.8,96800,0,1
2004-09-02,13.8,13.805,13.63,13.63,76800,0,1
2004-09-03,13.6,13.65,13.525,13.54,63400,0,1
2004-09-07,13.54,13.55,13.295,13.295,66000,0,1
2004-09-08,13.3,13.325,13.03,13.245,175600,0,1
2004-09-09,13.2,13.42,13.2,13.3,55800,0,1
2004-09-10,13.275,13.375,13.175,13.25,46800,0,1
2004-09-13,13.25,13.3,13.225,13.255,147200,0,1
2004-09-14,13.175,13.195,13.15,13.165,19200,0,1
2004-09-15,13.165,13.175,13.075,13.175,60000,0,1
2004-09-16,13.175,13.225,13.15,13.22,26200,0,1
2004-09-17,13.2,13.2,12.775,12.775,127800,0,1
2004-09-20,12.775,12.805,12.525,12.56,62000,0,1
2004-09-21,12.575,12.615,12.515,12.53,35000,0,1
2004-09-22,12.53,12.625,12.335,12.555,110600,0,1
2004-09-23,12.5,13.175,12.45,13.15,459200,0,1
2004-09-24,13.3,13.79,13.25,13.625,6065200,0,1
2004-09-27,13.575,13.58,13.425,13.51,639200,0,1
2004-09-28,13.55,13.64,13.525,13.62,278800,0,1
2004-09-29,13.625,13.65,13.545,13.62,242000,0,1
2004-09-30,13.6,13.845,13.575,13.845,443400,0,1
2004-10-01,13.845,14.05,13.75,14.05,228600,0,1
2004-10-04,14.05,14.1,13.945,14.1,187000,0,1
2004-10-05,14.05,14.315,14.025,14.315,141800,0,1
2004-10-06,14.25,14.5,14.25,14.47,144200,0,1
2004-10-07,14.45,14.745,14.41,14.48,184800,0,1
2004-10-08,14.45,14.675,14.185,14.185,108400,0,1
2004-10-11,14.1,14.23,14.1,14.17,57600,0,1
2004-10-12,14.125,14.15,13.985,14.115,139400,0,1
2004-10-13,14.175,14.475,14.175,14.26,99600,0,1
2004-10-14,14.26,14.42,14.255,14.385,198800,0,1
2004-10-15,14.385,14.845,14.385,14.65,215000,0,1
2004-10-18,14.67,14.67,14.325,14.4,162200,0,1
2004-10-19,14.4,14.535,14.325,14.44,273000,0,1
2004-10-20,14.525,14.6,14.505,14.6,273200,0,1
2004-10-21,14.57,14.58,14.455,14.575,433400,0,1
2004-10-22,14.55,14.575,14.35,14.55,186200,0,1
2004-10-25,14.5,14.72,14.46,14.72,115000,0,1
2004-10-26,14.7,15.225,14.575,15.225,181200,0,1
2004-10-27,15.25,16.225,15.25,16.0,1141000,0,1
2004-10-28,15.99,16.6,15.965,16.34,538400,0,1
2004-10-29,16.05,16.075,15.4,15.73,350200,0,1
2004-11-01,15.7,16.075,15.565,15.7,375000,0,1
2004-11-02,15.8,16.15,15.8,15.945,303600,0,1
2004-11-03,15.975,16.275,15.9,15.97,431200,0,1
2004-11-04,16.0,16.495,16.0,16.475,233800,0,1
2004-11-05,16.495,16.5,16.415,16.455,128400,0,1
2004-11-08,16.375,16.475,16.26,16.3,74600,0,1
2004-11-09,16.05,16.245,16.04,16.245,129200,0,1
2004-11-10,16.2,16.25,16.02,16.25,147800,0,1
2004-11-11,16.3,16.5,16.16,16.485,206200,0,1
2004-11-12,16.5,16.95,16.455,16.95,133800,0,1
2004-11-15,16.975,17.15,16.75,16.99,102000,0,1
2004-11-16,16.975,17.175,16.97,17.03,63000,0,1
2004-11-17,17.08,17.17,16.925,17.05,279600,0,1
2004-11-18,17.05,17.05,16.88,16.88,67600,0,1
2004-11-19,16.85,16.9,16.205,16.385,192400,0,1
2004-11-22,16.4,16.4,16.225,16.335,122600,0,1
2004-11-23,16.21,16.25,15.75,15.86,191000,0,1
2004-11-24,15.86,15.875,15.6,15.795,202600,0,1
2004-11-26,15.845,15.845,15.705,15.725,52600,0,1
2004-11-29,16.5,17.2,16.5,17.03,677400,0,1
2004-11-30,17.155,17.795,17.15,17.55,487000,0,1
2004-12-01,17.325,17.675,17.325,17.395,127400,0,1
2004-12-02,17.425,17.425,17.21,17.23,74800,0,1
2004-12-03,17.235,17.275,17.15,17.225,140600,0,1
2004-12-06,17.23,17.23,16.955,17.02,77600,0,1
2004-12-07,17.025,17.055,16.5,16.505,63800,0,1
2004-12-08,16.15,16.4,15.715,16.325,1508800,0,1
2004-12-09,16.3,16.415,16.205,16.325,207200,0,1
2004-12-10,16.35,16.35,16.11,16.25,334400,0,1
2004-12-13,16.2,16.2,15.825,15.95,126400,0,1
2004-12-14,16.025,16.025,15.8,15.825,215000,0,1
2004-12-15,15.95,15.95,15.705,15.775,926000,0,1
2004-12-16,15.8,15.905,15.585,15.86,457800,0,1
2004-12-17,15.95,16.26,15.95,16.175,358000,0,1
2004-12-20,16.15,16.2,15.915,16.175,655800,0,1
2004-12-21,16.175,16.555,16.175,16.515,651800,0,1
2004-12-22,16.5,16.52,16.25,16.355,276400,0,1
2004-12-23,16.4,16.52,16.4,16.5,128800,0,1
2004-12-27,16.5,16.675,16.5,16.58,272200,0,1
2004-12-28,16.625,16.625,16.53,16.6,135800,0,1
2004-12-29,16.6,16.735,16.55,16.575,116400,0,1
2004-12-30,16.575,16.625,16.55,16.575,42200,0,1
2004-12-31,16.85,16.995,16.625,16.995,323000,0,1
2005-01-03,16.995,16.995,16.425,16.55,195800,0,1
2005-01-04,16.575,16.745,16.23,16.535,214400,0,1
2005-01-05,16.5,16.5,16.325,16.355,94800,0,1
2005-01-06,16.38,16.575,16.3,16.575,240600,0,1
2005-01-07,16.58,16.69,16.55,16.575,217600,0,1
2005-01-10,16.5,16.705,16.5,16.705,138200,0,1
2005-01-11,16.925,17.09,16.73,16.975,209600,0,1
2005-01-12,16.98,17.0,16.8,16.9,179200,0,1
2005-01-13,16.875,16.89,16.485,16.55,196600,0,1
2005-01-14,16.6,16.925,16.565,16.915,105000,0,1
2005-01-18,16.92,17.395,16.745,17.365,308800,0,1
2005-01-19,17.37,17.37,17.125,17.15,144400,0,1
2005-01-20,17.15,17.18,17.05,17.085,136400,0,1
2005-01-21,17.085,17.105,17.015,17.04,49000,0,1
2005-01-24,17.005,17.1,16.795,16.955,155600,0,1
2005-01-25,16.955,17.0,16.86,16.97,156600,0,1
2005-01-26,16.975,17.495,16.975,17.35,207200,0,1
2005-01-27,17.355,18.225,17.355,18.13,397400,0,1
2005-01-28,18.135,18.17,17.83,17.885,441600,0,1
2005-01-31,17.935,18.28,17.935,18.28,542200,0,1
2005-02-01,18.26,18.275,18.12,18.135,194000,0,1
2005-02-02,18.15,18.225,18.05,18.125,238400,0,1
2005-02-03,18.15,18.15,18.03,18.11,52800,0,1
2005-02-04,18.14,18.225,18.05,18.215,117000,0,1
2005-02-07,18.2,19.0,18.2,18.89,532000,0,1
2005-02-08,18.89,19.05,18.89,19.025,285600,0,1
2005-02-09,19.025,19.4,19.005,19.4,624600,0,1
2005-02-10,19.4,19.45,19.1,19.115,241800,0,1
2005-02-11,19.15,19.25,19.1,19.19,145600,0,1
2005-02-14,19.225,19.225,18.93,19.05,296400,0,1
2005-02-15,19.05,19.06,18.675,18.865,155200,0,1
2005-02-16,18.85,18.905,18.71,18.77,106400,0,1
2005-02-17,18.775,18.78,18.46,18.475,106400,0,1
2005-02-18,18.5,18.535,18.305,18.305,109600,0,1
2005-02-22,18.105,18.5,18.08,18.375,472800,0,1
2005-02-23,19.0,19.745,18.75,19.7,918000,0,1
2005-02-24,19.7,19.875,19.405,19.79,295400,0,1
2005-02-25,19.625,19.85,19.5,19.725,214600,0,1
2005-02-28,19.735,20.1,19.695,19.9,379200,0,1
2005-03-01,19.86,19.865,19.555,19.625,470200,0,1
2005-03-02,19.625,19.625,19.475,19.49,288000,0,1
2005-03-03,19.49,19.615,19.47,19.495,390800,0,1
2005-03-04,19.495,20.32,19.495,20.15,854600,0,1
2005-03-07,20.0,20.27,19.89,20.23,214000,0,1
2005-03-08,20.18,20.185,19.92,20.0,197600,0,1
2005-03-09,20.015,20.015,19.85,19.85,336800,0,1
2005-03-10,19.825,19.855,19.725,19.77,205200,0,1
2005-03-11,19.77,20.115,19.77,20.0,169800,0,1
2005-03-14,19.875,19.955,19.75,19.935,187800,0,1
2005-03-15,19.935,20.35,19.935,20.345,426800,0,1
2005-03-16,20.345,20.55,20.345,20.395,588800,0,1
2005-03-17,20.4,20.575,20.305,20.48,250200,0,1
2005-03-18,20.6,20.6,20.385,20.5,158600,0,1
2005-03-21,20.5,20.52,20.28,20.42,77600,0,1
2005-03-22,20.47,20.545,20.25,20.265,305200,0,1
2005-03-23,20.265,20.265,19.72,19.775,283000,0,1
2005-03-24,19.8,19.95,19.765,19.92,208400,0,1
2005-03-28,19.9,19.9,19.56,19.595,269000,0,1
2005-03-29,19.595,19.595,18.97,19.125,410200,0,1
2005-03-30,19.15,19.45,19.15,19.37,200200,0,1
2005-03-31,19.38,19.94,19.3,19.875,323200,0,1
2005-04-01,20.0,20.025,19.82,19.86,264200,0,1
2005-04-04,19.865,19.9,19.54,19.575,180200,0,1
2005-04-05,19.575,19.66,19.285,19.35,273000,0,1
2005-04-06,19.4,19.415,19.25,19.295,213400,0,1
2005-04-07,19.275,19.275,18.995,19.05,114800,0,1
2005-04-08,19.075,19.65,18.835,19.485,278600,0,1
2005-04-11,19.515,19.515,19.28,19.405,204800,0,1
2005-04-12,19.35,20.615,19.325,20.545,526600,0,1
2005-04-13,20.55,21.175,20.55,21.0,396800,0,1
2005-04-14,21.0,21.065,20.775,20.875,229000,0,1
2005-04-15,20.875,20.995,20.55,20.64,223600,0,1
2005-04-18,20.645,20.745,20.51,20.685,192000,0,1
2005-04-19,20.675,21.16,20.67,20.925,183800,0,1
2005-04-20,20.92,21.2,20.85,21.005,221400,0,1
2005-04-21,21.13,21.22,20.86,20.98,290800,0,1
2005-04-22,21.05,21.3,20.75,20.85,282800,0,1
2005-04-25,20.845,20.975,20.415,20.75,167800,0,1
2005-04-26,20.775,20.805,20.425,20.55,213000,0,1
2005-04-27,20.8,20.87,19.28,19.75,781000,0,1
2005-04-28,19.78,19.915,19.13,19.385,365400,0,1
2005-04-29,19.39,19.53,18.805,18.86,342400,0,1
