date,open,high,low,close,volume,dividend,split
2000-01-03,2.2969,2.3125,1.7292,2.0,3955200,0,1
2000-01-04,1.9596,2.0443,1.8568,1.9323,2971200,0,1
2000-01-05,1.8672,2.0391,1.6875,2.0391,2836800,0,1
2000-01-06,2.0312,2.0417,1.9349,1.9349,1147200,0,1
2000-01-07,1.9193,1.9583,1.7917,1.9583,1324800,0,1
2000-01-10,2.0625,2.2214,1.9792,1.9961,2788800,0,1
2000-01-11,2.0,2.099,1.9531,1.9753,2064000,0,1
2000-01-12,1.9674,1.9766,1.8372,1.8906,691200,0,1
2000-01-13,1.9036,1.9583,1.8828,1.9583,907200,0,1
2000-01-14,2.0417,2.0716,1.875,1.901,1396800,0,1
2000-01-18,1.8854,1.9688,1.6667,1.6953,2304000,0,1
2000-01-19,1.6953,1.8906,1.6849,1.8307,1411200,0,1
2000-01-20,1.875,1.9583,1.7448,1.7695,2294400,0,1
2000-01-21,1.7487,1.7839,1.6589,1.7083,2030400,0,1
2000-01-24,1.6823,1.875,1.6823,1.8281,2832000,0,1
2000-01-25,1.832,1.875,1.7891,1.8698,916800,0,1
2000-01-26,1.875,2.1198,1.8685,1.8958,2577600,0,1
2000-01-27,1.9466,2.026,1.8958,1.8958,912000,0,1
2000-01-28,1.9688,1.9688,1.8568,1.8672,297600,0,1
2000-01-31,1.8268,1.9375,1.5208,1.5677,5491200,0,1
2000-02-01,1.6536,1.875,1.5833,1.8333,3057600,0,1
2000-02-02,1.8958,1.9583,1.8438,1.9167,1252800,0,1
2000-02-03,1.9245,1.9792,1.8438,1.9427,1987200,0,1
2000-02-04,2.0365,2.0365,1.9401,2.0156,1099200,0,1
2000-02-07,2.013,2.2708,2.013,2.263,5011200,0,1
2000-02-08,2.4622,2.6797,2.3385,2.5755,10214400,0,1
2000-02-09,2.625,2.625,2.4167,2.5482,3787200,0,1
2000-02-10,2.5208,2.5977,2.418,2.5781,2452800,0,1
2000-02-11,2.5794,2.7448,2.474,2.7083,9974400,0,1
2000-02-14,2.8073,2.8099,2.5833,2.6901,5020800,0,1
2000-02-15,2.7292,2.7292,2.5833,2.6589,1272000,0,1
2000-02-16,2.6406,2.6667,2.5833,2.5833,1708800,0,1
2000-02-17,2.6042,2.6562,2.5,2.5599,5707200,0,1
2000-02-18,2.5599,2.5599,2.4076,2.4089,2476800,0,1
2000-02-22,2.4062,2.4401,2.3125,2.3971,2496000,0,1
2000-02-23,2.3958,2.4036,2.3711,2.3737,2913600,0,1
2000-02-24,2.375,2.3906,2.2708,2.2708,2630400,0,1
2000-02-25,2.2917,2.3919,2.2812,2.3542,2505600,0,1
2000-02-28,2.3724,2.4076,2.2487,2.2487,2054400,0,1
2000-02-29,2.3092,2.3177,2.2096,2.2734,1440000,0,1
2000-03-01,2.2917,2.2917,2.2083,2.2552,1761600,0,1
2000-03-02,2.3438,2.5417,2.3177,2.4661,9590400,0,1
2000-03-03,2.4792,2.6042,2.4792,2.5221,5625600,0,1
2000-03-06,2.6719,2.6875,2.5625,2.6328,6091200,0,1
2000-03-07,2.6667,2.7161,2.5521,2.5521,1708800,0,1
2000-03-08,2.5938,2.5938,2.3984,2.5553,1910400,0,1
2000-03-09,2.5208,2.7917,2.457,2.7344,2016000,0,1
2000-03-10,2.763,2.7917,2.4896,2.5599,2116800,0,1
2000-03-13,2.4896,2.7161,2.4505,2.5,2121600,0,1
2000-03-14,2.6458,2.6458,2.2604,2.3333,4036800,0,1
2000-03-15,2.3581,2.3581,1.8763,2.1016,6057600,0,1
2000-03-16,2.0586,2.1354,1.9948,2.0417,5798400,0,1
2000-03-17,2.0417,2.3958,2.0312,2.3438,3758400,0,1
2000-03-20,2.3542,2.582,2.3125,2.3672,2536800,0,1
2000-03-21,2.2917,2.5,2.2396,2.487,3088800,0,1
2000-03-22,2.5391,2.6042,2.5,2.5801,1610400,0,1
2000-03-23,2.7031,2.9062,2.625,2.7031,6228000,0,1
2000-03-24,2.7188,2.9167,2.6979,2.7734,2445600,0,1
2000-03-27,2.8906,3.0052,2.75,2.8646,1953600,0,1
2000-03-28,2.9531,3.0,2.8333,2.9115,2025600,0,1
2000-03-29,2.9258,2.9349,2.3542,2.75,4636800,0,1
2000-03-30,2.6458,2.7083,2.4245,2.4844,2155200,0,1
2000-03-31,2.5417,2.638,2.3906,2.6042,1495200,0,1
2000-04-03,2.5456,2.6042,2.2057,2.25,1713600,0,1
2000-04-04,2.25,2.3958,1.6667,2.3464,3427200,0,1
2000-04-05,2.0677,2.2083,2.0365,2.1667,1749600,0,1
2000-04-06,2.1667,2.375,2.1198,2.2474,772800,0,1
