date,open,high,low,close,volume,dividend,split
2019-01-02,11.306,11.856,11.02,11.447,346300,0,1
2019-01-03,11.57,11.865,11.316,11.4,305700,0,1
2019-01-04,11.55,12.07,11.536,12.03,286500,0,1
2019-01-07,12.36,13.07,12.094,12.302,376400,0,1
2019-01-08,12.594,12.943,12.397,12.7,211800,0,1
2019-01-09,12.832,13.1,12.73,12.918,214600,0,1
2019-01-10,13.112,13.507,12.895,13.38,346400,0,1
2019-01-11,13.393,13.45,12.5,13.071,303900,0,1
2019-01-14,13.014,13.05,12.01,12.457,288000,0,1
2019-01-15,12.849,12.98,12.347,12.582,303200,0,1
2019-01-16,12.7,13.104,12.6,12.8,240700,0,1
2019-01-17,12.74,12.968,12.484,12.8,180500,0,1
2019-01-18,12.787,13.05,12.646,13.04,171000,0,1
2019-01-22,12.894,13.85,12.82,13.5,338300,0,1
2019-01-23,13.641,13.926,12.9,13.303,250800,0,1
2019-01-24,13.26,13.82,13.257,13.74,165000,0,1
2019-01-25,14.098,14.7,13.9,14.41,328900,0,1
2019-01-28,14.561,15.282,14.493,15.16,334700,0,1
2019-01-29,15.1,15.675,14.12,14.15,433200,0,1
2019-01-30,14.545,15.064,14.22,14.669,275300,0,1
2019-01-31,14.981,16.65,14.981,16.51,449900,0,1
2019-02-01,16.607,17.25,16.306,16.45,419800,0,1
2019-02-04,16.754,17.27,16.5,17.1,465000,0,1
2019-02-05,16.999,17.37,16.03,16.745,446100,0,1
2019-02-06,16.644,16.99,14.664,14.95,610100,0,1
2019-02-07,14.338,15.484,14.235,15.03,339700,0,1
2019-02-08,15.58,15.868,15.079,15.581,146200,0,1
2019-02-11,15.811,16.155,14.75,14.92,316400,0,1
2019-02-12,14.92,15.44,14.487,15.172,214300,0,1
2019-02-13,15.605,15.743,14.933,15.03,176500,0,1
2019-02-14,14.99,15.35,14.754,15.176,123200,0,1
2019-02-15,14.93,15.4,14.93,14.981,200000,0,1
2019-02-19,15.27,15.27,14.377,14.906,280500,0,1
2019-02-20,14.814,15.0,14.2,14.21,216200,0,1
2019-02-21,14.181,14.455,13.36,13.471,425100,0,1
2019-02-22,13.487,13.903,13.273,13.82,226000,0,1
2019-02-25,14.352,14.352,13.55,13.7,299700,0,1
2019-02-26,13.513,14.7,13.502,14.247,271800,0,1
2019-02-27,14.392,14.9,13.984,14.775,180500,0,1
2019-02-28,14.795,15.03,14.404,15.02,110600,0,1
2019-03-01,14.99,15.22,14.496,14.6,168900,0,1
2019-03-04,14.613,14.95,14.1,14.28,148400,0,1
2019-03-05,13.8,14.458,13.8,14.01,108400,0,1
2019-03-06,14.162,14.34,13.634,14.24,141500,0,1
2019-03-07,14.31,14.65,13.618,13.662,187500,0,1
2019-03-08,13.574,13.85,13.243,13.352,182600,0,1
2019-03-11,13.513,14.47,13.235,14.218,162700,0,1
2019-03-12,14.406,15.1,14.1,14.96,320400,0,1
2019-03-13,14.98,15.96,14.207,15.27,443600,0,1
2019-03-14,15.14,16.364,15.14,16.05,233600,0,1
2019-03-15,16.441,17.003,15.924,16.25,309700,0,1
2019-03-18,16.47,17.239,16.35,16.85,325800,0,1
2019-03-19,17.35,18.8,17.334,18.41,531100,0,1
2019-03-20,18.546,18.93,17.21,18.066,375100,0,1
2019-03-21,18.03,19.011,17.495,19.0,340800,0,1
2019-03-22,18.969,19.99,18.216,19.99,397400,0,1
2019-03-25,20.0,20.48,19.008,20.104,351200,0,1
2019-03-26,20.46,20.717,19.808,20.209,226500,0,1
2019-03-27,20.23,20.59,18.123,19.49,462800,0,1
2019-03-28,19.258,20.343,19.253,20.193,446700,0,1
2019-03-29,20.5,20.8,18.499,19.94,588700,0,1
2019-04-01,20.741,21.19,20.025,21.143,674200,0,1
2019-04-02,21.3,23.604,21.25,22.66,903100,0,1
2019-04-03,22.89,24.99,22.778,24.05,966400,0,1
2019-04-04,24.5,25.25,21.93,21.968,1118600,0,1
2019-04-05,22.052,22.986,21.473,21.907,516000,0,1
2019-04-08,22.1,22.742,21.026,22.13,470000,0,1
2019-04-09,22.57,22.57,20.918,20.918,445500,0,1
2019-04-10,21.1,21.75,20.82,21.418,299000,0,1
2019-04-11,21.18,22.11,19.995,20.037,335600,0,1
2019-04-12,20.37,20.776,19.488,19.648,426500,0,1
2019-04-15,19.799,20.0,18.15,18.432,506500,0,1
2019-04-16,18.633,19.74,18.18,19.36,315300,0,1
2019-04-17,20.077,21.159,19.8,20.911,349600,0,1
2019-04-18,21.13,21.822,19.986,20.45,346100,0,1
2019-04-22,21.0,21.18,20.0,20.326,205700,0,1
2019-04-23,20.29,20.77,19.976,20.09,178000,0,1
2019-04-24,20.127,20.38,19.164,19.285,327700,0,1
2019-04-25,19.23,19.358,18.5,18.5,313200,0,1
2019-04-26,18.995,19.48,18.55,18.979,202500,0,1
2019-04-29,19.55,20.195,19.4,19.96,256800,0,1
2019-04-30,21.0,21.0,19.055,19.25,169000,0,1
2019-05-01,19.3,19.76,19.1,19.346,133800,0,1
2019-05-02,19.09,19.397,18.489,18.525,218700,0,1
2019-05-03,18.99,19.664,18.57,19.66,182600,0,1
2019-05-06,19.61,19.65,19.098,19.18,240500,0,1
2019-05-07,19.53,19.605,18.487,18.75,289700,0,1
2019-05-08,19.2,19.2,17.005,17.3,621800,0,1
2019-05-09,15.212,17.3,14.487,14.957,1361100,0,1
2019-05-10,15.43,15.636,14.81,15.3,872000,0,1
2019-05-13,15.21,15.89,14.554,14.784,482900,0,1
2019-05-14,14.91,15.34,14.85,14.958,343700,0,1
2019-05-15,15.2,15.34,14.79,14.84,292600,0,1
2019-05-16,15.0,16.16,14.845,15.427,572700,0,1
2019-05-17,15.401,15.91,15.3,15.539,275600,0,1
2019-05-20,15.8,15.93,15.17,15.72,210700,0,1
2019-05-21,15.71,16.09,15.51,15.54,198000,0,1
2019-05-22,15.624,15.75,15.36,15.54,202000,0,1
2019-05-23,15.5,15.75,14.5,14.568,362100,0,1
2019-05-24,14.7,14.95,14.289,14.446,301600,0,1
2019-05-28,14.541,14.952,13.794,14.79,508900,0,1
2019-05-29,14.9,15.1,14.0,14.04,343500,0,1
2019-05-30,14.395,14.517,14.1,14.3,215200,0,1
2019-05-31,13.89,14.545,13.096,13.153,502900,0,1
2019-06-03,13.24,13.934,12.2,12.48,662800,0,1
2019-06-04,12.48,12.94,12.445,12.682,368600,0,1
2019-06-05,12.81,13.509,12.8,13.439,308400,0,1
2019-06-06,13.54,13.72,12.786,13.057,279600,0,1
2019-06-07,12.971,13.25,12.744,12.873,266500,0,1
2019-06-10,12.925,13.305,12.894,13.1,263100,0,1
2019-06-11,13.21,13.49,12.85,12.96,231600,0,1
2019-06-12,12.7,13.09,12.667,12.98,180800,0,1
2019-06-13,12.851,13.1,12.027,12.027,330500,0,1
2019-06-14,11.83,12.096,10.92,11.06,712700,0,1
2019-06-17,11.43,11.96,11.13,11.942,441700,0,1
2019-06-18,12.083,12.91,12.004,12.89,619500,0,1
2019-06-19,12.96,14.28,12.58,14.23,594800,0,1
2019-06-20,14.445,15.619,14.302,15.121,573600,0,1
2019-06-21,15.136,15.4,14.18,14.75,578600,0,1
2019-06-24,15.18,15.18,13.495,13.8,379000,0,1
2019-06-25,14.14,14.14,13.02,13.15,393300,0,1
2019-06-26,13.55,13.805,13.2,13.67,188000,0,1
2019-06-27,13.43,14.43,13.43,14.3,224000,0,1
2019-06-28,14.601,14.91,14.39,14.6,268100,0,1
2019-07-01,15.25,15.25,14.91,15.0,302800,0,1
2019-07-02,15.3,15.895,14.701,15.864,815700,0,1
2019-07-03,16.42,17.096,16.044,16.958,756000,0,1
2019-07-05,17.025,18.084,16.937,18.07,861600,0,1
2019-07-08,18.49,18.75,16.7,16.83,963100,0,1
2019-07-09,16.585,17.152,15.85,16.74,561300,0,1
2019-07-10,16.834,17.98,16.477,17.2,423300,0,1
2019-07-11,17.44,17.8,16.62,17.064,351000,0,1
2019-07-12,17.37,17.5,15.976,16.24,511400,0,1
2019-07-15,16.59,17.24,15.94,16.827,285400,0,1
2019-07-16,16.874,17.21,16.292,16.5,208700,0,1
2019-07-17,16.26,16.935,15.994,16.12,228800,0,1
2019-07-18,16.24,16.276,15.144,15.58,453200,0,1
2019-07-19,16.07,16.45,15.37,15.52,279200,0,1
2019-07-22,15.84,15.99,15.07,15.25,285000,0,1
2019-07-23,15.425,15.56,13.757,14.333,705800,0,1
2019-07-24,14.35,14.367,13.699,13.774,295400,0,1
2019-07-25,13.95,14.696,13.56,14.328,488400,0,1
2019-07-26,14.64,15.201,14.5,15.12,365700,0,1
2019-07-29,16.49,17.0,15.835,16.692,892200,0,1
2019-07-30,17.14,18.004,16.72,17.56,1018900,0,1
2019-07-31,18.62,18.63,17.15,17.6,808100,0,1
2019-08-01,17.815,20.43,17.752,20.32,2916700,0,1
2019-08-02,20.99,21.5,20.482,21.399,1971300,0,1
2019-08-05,22.8,23.9,21.49,22.99,1523700,0,1
2019-08-06,22.75,22.766,19.498,20.7,2121600,0,1
2019-08-07,19.89,20.254,18.8,19.85,1009700,0,1
2019-08-08,20.24,20.66,19.25,20.161,798000,0,1
2019-08-09,20.66,20.67,20.2,20.4,463500,0,1
2019-08-12,20.4,21.207,20.185,20.923,693800,0,1
2019-08-13,21.66,21.781,20.978,21.75,617700,0,1
2019-08-14,19.58,20.45,18.4,20.07,1326400,0,1
2019-08-15,20.05,20.266,17.322,18.73,1264800,0,1
2019-08-16,18.97,19.99,18.73,19.571,577500,0,1
2019-08-19,20.18,20.3,19.245,19.48,447600,0,1
2019-08-20,19.89,20.007,18.445,18.49,440800,0,1
2019-08-21,18.9,19.22,18.35,19.05,447000,0,1
2019-08-22,19.61,19.61,18.5,18.82,369800,0,1
2019-08-23,19.1,19.1,17.55,17.98,584100,0,1
2019-08-26,18.34,18.403,17.03,17.29,618200,0,1
2019-08-27,17.265,17.29,15.494,16.0,1188000,0,1
2019-08-28,16.0,16.82,15.06,16.677,642300,0,1
2019-08-29,16.63,17.552,16.63,17.278,613000,0,1
2019-08-30,17.481,17.942,16.19,16.51,534300,0,1
2019-09-03,16.65,17.062,16.435,17.04,353100,0,1
2019-09-04,17.55,17.562,16.85,17.2,305500,0,1
2019-09-05,17.89,17.89,17.12,17.327,313500,0,1
2019-09-06,17.05,17.919,17.05,17.235,288300,0,1
2019-09-09,17.54,17.54,16.249,16.274,447900,0,1
2019-09-10,16.82,16.82,15.896,16.39,316700,0,1
2019-09-11,16.55,16.918,16.03,16.097,219900,0,1
2019-09-12,15.79,17.25,15.79,17.12,562500,0,1
2019-09-13,17.5,18.083,17.15,18.03,649200,0,1
2019-09-16,18.31,18.31,17.05,17.17,508900,0,1
2019-09-17,17.006,17.443,16.37,17.0,473200,0,1
2019-09-18,17.22,17.47,16.45,16.55,389500,0,1
2019-09-19,16.61,17.1,16.53,16.8,299800,0,1
2019-09-20,17.138,17.17,16.498,16.746,277700,0,1
2019-09-23,17.4,17.4,15.993,16.054,471400,0,1
2019-09-24,16.14,16.18,14.9,15.106,927800,0,1
2019-09-25,15.24,15.25,13.974,14.571,858000,0,1
2019-09-26,15.07,15.222,14.592,15.07,310800,0,1
2019-09-27,15.34,15.34,13.95,13.953,555400,0,1
2019-09-30,13.96,14.433,13.719,13.86,414700,0,1
2019-10-01,14.0,14.13,12.25,12.355,924900,0,1
2019-10-02,12.5,14.0,11.739,13.67,1040000,0,1
2019-10-03,13.66,14.44,13.6,13.75,635200,0,1
2019-10-04,14.0,14.216,13.51,14.1,328800,0,1
2019-10-07,14.1,14.74,13.55,14.04,429900,0,1
2019-10-08,13.839,14.14,13.25,13.371,351700,0,1
2019-10-09,14.0,14.0,13.43,13.68,253000,0,1
2019-10-10,13.98,13.98,12.996,13.26,408300,0,1
2019-10-11,13.28,13.95,12.97,13.317,496100,0,1
2019-10-14,13.768,13.768,13.27,13.27,172300,0,1
2019-10-15,13.74,13.884,12.892,13.65,267400,0,1
2019-10-16,13.637,13.97,13.24,13.35,195600,0,1
2019-10-17,13.43,13.75,13.37,13.651,203900,0,1
2019-10-18,13.835,13.835,13.35,13.35,135600,0,1
2019-10-21,13.72,13.72,12.748,13.3,399700,0,1
2019-10-22,12.87,13.552,12.87,13.03,170300,0,1
2019-10-23,13.02,13.319,12.94,13.27,151800,0,1
2019-10-24,13.289,13.54,12.97,13.003,201500,0,1
2019-10-25,13.35,13.35,13.01,13.345,224200,0,1
2019-10-28,13.5,14.226,13.33,13.925,377100,0,1
2019-10-29,13.99,14.03,13.13,13.338,282500,0,1
2019-10-30,13.32,13.35,12.961,13.0,232900,0,1
2019-10-31,12.96,13.0,12.369,12.38,355800,0,1
2019-11-01,12.7,12.7,12.0,12.102,478200,0,1
2019-11-04,12.2,12.2,11.5,11.5,532400,0,1
2019-11-05,11.01,11.963,11.01,11.71,409700,0,1
2019-11-06,11.73,11.91,10.5,10.68,1157200,0,1
2019-11-07,10.92,10.98,10.27,10.27,832100,0,1
2019-11-08,10.325,11.1,10.22,11.09,494700,0,1
2019-11-11,11.25,11.62,10.65,10.65,432400,0,1
2019-11-12,10.97,10.97,9.996,10.05,735600,0,1
2019-11-13,9.42,9.75,9.14,9.29,1120000,0,1
2019-11-14,9.29,9.69,8.58,9.55,1059700,0,1
2019-11-15,9.77,10.6,9.572,10.35,895800,0,1
2019-11-18,10.66,11.623,10.5,10.515,880300,0,1
2019-11-19,11.25,11.27,10.71,10.868,537200,0,1
2019-11-20,11.13,12.37,10.889,12.02,803800,0,1
2019-11-21,12.16,12.99,11.5,11.69,1016000,0,1
2019-11-22,11.761,12.02,10.45,10.54,730600,0,1
2019-11-25,9.779,10.01,9.53,9.75,924100,0,1
2019-11-26,9.8,9.8,8.94,9.31,1430900,0,1
2019-11-27,9.06,9.9,9.06,9.78,515200,0,1
2019-11-29,9.975,10.04,9.7,9.73,172000,0,1
2019-12-02,9.84,9.86,8.889,8.89,849100,0,1
2019-12-03,8.85,9.39,8.747,9.14,578400,0,1
2019-12-04,9.25,9.35,8.846,8.935,352400,0,1
2019-12-05,9.0,9.24,8.8,8.82,355700,0,1
2019-12-06,8.6,8.98,8.585,8.63,509900,0,1
2019-12-09,8.722,9.233,8.6,9.19,477300,0,1
2019-12-10,9.05,9.33,8.71,8.71,355300,0,1
2019-12-11,8.85,9.05,8.62,8.677,403100,0,1
2019-12-12,8.86,8.95,8.5,8.566,516300,0,1
2019-12-13,8.59,8.786,8.51,8.65,296200,0,1
2019-12-16,8.78,8.78,8.48,8.48,518300,0,1
2019-12-17,8.28,8.5,7.65,7.977,1122300,0,1
2019-12-18,7.8,7.98,7.49,7.63,874300,0,1
2019-12-19,7.74,8.05,7.55,7.99,519200,0,1
2019-12-20,8.0,8.24,7.73,7.95,448200,0,1
2019-12-23,8.0,8.0,7.573,7.612,538900,0,1
2019-12-24,7.65,7.74,7.57,7.74,235600,0,1
2019-12-26,7.8,7.8,7.62,7.67,435200,0,1
2019-12-27,7.57,7.745,7.55,7.61,648600,0,1
2019-12-30,7.6,7.67,7.41,7.419,789500,0,1
2019-12-31,7.28,7.95,7.28,7.68,648000,0,1
2020-01-02,7.95,7.96,7.5,7.51,372100,0,1
2020-01-03,7.6,7.6,7.28,7.3,395400,0,1
2020-01-06,7.3,7.35,6.86,6.89,947900,0,1
2020-01-07,6.69,7.03,6.53,6.698,656000,0,1
2020-01-08,6.465,6.724,6.398,6.52,780000,0,1
2020-01-09,6.72,6.72,6.45,6.65,495200,0,1
2020-01-10,6.84,7.033,6.65,6.89,417400,0,1
2020-01-13,6.75,7.07,6.66,6.889,486700,0,1
2020-01-14,6.89,6.89,6.6,6.831,386600,0,1
2020-01-15,7.25,8.2,6.9,8.08,1305500,0,1
2020-01-16,8.34,9.061,8.13,8.813,1387900,0,1
2020-01-17,9.17,9.17,8.58,8.821,474400,0,1
2020-01-21,8.72,9.038,8.63,8.8,567400,0,1
2020-01-22,8.8,8.97,8.6,8.69,395700,0,1
2020-01-23,8.589,8.76,8.272,8.36,371100,0,1
2020-01-24,8.22,8.488,7.68,7.814,609500,0,1
2020-01-27,7.56,7.72,7.045,7.57,296600,0,1
2020-01-28,7.69,8.0,7.43,7.96,263400,0,1
2020-01-29,8.017,8.27,7.75,7.799,260500,0,1
2020-01-30,7.56,7.8,7.5,7.6,203800,0,1
2020-01-31,7.48,7.7,7.08,7.199,341800,0,1
2020-02-03,7.01,7.35,7.0,7.08,325700,0,1
2020-02-04,6.99,7.49,6.99,7.369,261400,0,1
2020-02-05,7.301,7.32,7.0,7.01,364600,0,1
2020-02-06,7.09,7.09,6.79,6.82,392400,0,1
2020-02-07,6.75,6.9,6.49,6.743,577500,0,1
2020-02-10,6.51,6.85,6.29,6.33,724300,0,1
2020-02-11,6.21,6.893,6.21,6.467,517300,0,1
2020-02-12,6.7,6.75,6.36,6.41,307800,0,1
2020-02-13,6.36,6.635,6.24,6.338,421200,0,1
2020-02-14,6.45,6.69,6.34,6.415,529500,0,1
2020-02-18,6.5,6.552,6.3,6.303,335900,0,1
2020-02-19,6.21,6.333,5.96,6.03,978400,0,1
2020-02-20,6.02,6.216,5.81,6.01,647900,0,1
2020-02-21,6.05,6.05,5.85,5.915,548900,0,1
2020-02-24,5.88,5.89,5.5,5.59,568300,0,1
2020-02-25,5.7,5.74,5.23,5.31,711600,0,1
2020-02-26,5.195,5.7,5.13,5.416,378300,0,1
2020-02-27,5.2,5.38,4.74,5.0,893400,0,1
2020-02-28,4.98,5.691,4.62,5.69,795000,0,1
2020-03-02,5.82,6.05,5.2,5.43,444700,0,1
2020-03-03,5.53,5.53,4.92,4.96,433800,0,1
2020-03-04,5.385,5.436,5.1,5.11,325400,0,1
2020-03-05,5.14,5.21,4.89,4.96,363200,0,1
2020-03-06,5.35,5.355,4.8,4.87,371000,0,1
2020-03-09,3.67,5.233,3.67,4.597,732600,0,1
2020-03-10,4.625,4.93,4.3,4.49,315900,0,1
2020-03-11,4.27,4.68,4.27,4.395,270200,0,1
2020-03-12,4.0,4.36,3.6,3.78,900300,0,1
2020-03-13,3.75,3.99,3.5,3.794,528500,0,1
2020-03-16,3.395,3.62,3.09,3.4,694700,0,1
2020-03-17,3.71,3.71,2.95,3.07,597300,0,1
2020-03-18,3.1,3.37,2.8,2.96,559300,0,1
2020-03-19,2.9,3.42,2.75,3.135,492800,0,1
2020-03-20,3.59,4.2,3.08,3.35,674300,0,1
2020-03-23,3.62,3.79,2.97,3.522,624500,0,1
2020-03-24,3.995,4.32,3.6,3.98,1053900,0,1
2020-03-25,4.116,4.46,4.0,4.31,928700,0,1
2020-03-26,4.35,5.09,4.28,4.8,919400,0,1
2020-03-27,4.82,5.036,4.39,4.44,517300,0,1
2020-03-30,4.44,4.75,3.991,4.1,520300,0,1
2020-03-31,4.1,4.551,4.021,4.358,338600,0,1
2020-04-01,3.65,4.4,3.65,4.034,416500,0,1
2020-04-02,4.36,4.511,3.84,4.233,230600,0,1
2020-04-03,4.11,4.4,3.997,4.06,208300,0,1
2020-04-06,4.5,4.5,4.1,4.3,326900,0,1
2020-04-07,4.5,4.635,4.178,4.247,334800,0,1
2020-04-08,4.22,4.51,4.02,4.195,267100,0,1
2020-04-09,4.45,4.45,3.997,4.03,421900,0,1
2020-04-13,4.0,4.19,4.0,4.17,343300,0,1
2020-04-14,4.385,4.385,4.15,4.15,227100,0,1
2020-04-15,4.145,4.2,4.0,4.1,183200,0,1
2020-04-16,4.11,4.206,3.95,4.0,250700,0,1
2020-04-17,3.82,4.19,3.82,4.04,225600,0,1
2020-04-20,3.83,4.33,3.83,4.24,320300,0,1
2020-04-21,4.38,4.38,4.0,4.11,235800,0,1
2020-04-22,3.86,4.2,3.86,4.05,182000,0,1
2020-04-23,4.005,4.19,3.9,4.04,202200,0,1
2020-04-24,4.151,4.2,4.0,4.157,203600,0,1
2020-04-27,4.16,4.55,4.115,4.48,470000,0,1
2020-04-28,4.86,4.86,4.35,4.44,315300,0,1
2020-04-29,4.74,4.75,4.385,4.7,302600,0,1
2020-04-30,4.45,4.96,4.45,4.55,292300,0,1
2020-05-01,4.48,4.66,4.04,4.26,391900,0,1
2020-05-04,3.81,4.229,3.81,4.12,330100,0,1
2020-05-05,4.12,4.34,4.07,4.16,213700,0,1
2020-05-06,4.44,4.44,4.151,4.28,195200,0,1
2020-05-07,4.09,4.59,4.08,4.23,220000,0,1
2020-05-08,4.25,4.42,4.17,4.21,231500,0,1
2020-05-11,4.21,4.28,4.027,4.23,269600,0,1
2020-05-12,4.1,4.5,3.97,4.4,320400,0,1
2020-05-13,4.5,4.79,4.045,4.08,380200,0,1
2020-05-14,3.8,4.25,3.75,4.08,248200,0,1
2020-05-15,4.31,4.4,3.95,4.304,331500,0,1
2020-05-18,4.5,4.6,4.35,4.47,476200,0,1
2020-05-19,4.45,4.74,4.345,4.576,399100,0,1
2020-05-20,4.83,5.0,4.5,4.803,505700,0,1
2020-05-21,5.0,5.35,4.84,5.25,746600,0,1
2020-05-22,5.6,6.88,5.298,6.52,1591500,0,1
2020-05-26,6.71,7.38,6.69,6.85,1289400,0,1
2020-05-27,6.87,7.36,5.7,6.246,1161600,0,1
2020-05-28,6.255,6.53,5.81,5.921,597700,0,1
2020-05-29,6.2,6.2,5.327,5.379,791900,0,1
2020-06-01,5.62,5.635,5.07,5.59,546300,0,1
2020-06-02,6.08,6.08,5.386,5.6,318200,0,1
2020-06-03,5.59,6.025,5.43,5.94,380500,0,1
2020-06-04,6.4,6.46,5.785,6.445,540000,0,1
2020-06-05,6.23,6.64,5.932,6.37,652700,0,1
2020-06-08,6.5,6.943,6.15,6.89,559000,0,1
2020-06-09,6.38,7.03,6.25,6.478,425600,0,1
2020-06-10,6.52,6.67,6.028,6.27,372200,0,1
2020-06-11,6.067,6.1,5.46,5.662,875100,0,1
2020-06-12,6.145,6.21,5.69,5.922,480100,0,1
2020-06-15,6.0,6.0,5.32,5.41,578100,0,1
2020-06-16,5.0,5.0,4.56,4.656,1840800,0,1
2020-06-17,4.668,4.85,4.51,4.52,777200,0,1
2020-06-18,4.577,4.65,4.41,4.49,718400,0,1
2020-06-19,4.4,4.63,4.4,4.604,431600,0,1
2020-06-22,4.84,4.84,4.41,4.43,415000,0,1
2020-06-23,4.41,4.6,4.41,4.44,491200,0,1
2020-06-24,4.52,4.52,4.022,4.09,824500,0,1
2020-06-25,3.9,4.34,3.815,3.892,964600,0,1
2020-06-26,3.91,4.15,3.73,3.77,819800,0,1
2020-06-29,3.824,4.05,3.69,3.98,586600,0,1
2020-06-30,3.987,4.02,3.8,3.82,415300,0,1
2020-07-01,3.81,3.99,3.81,3.89,233100,0,1
2020-07-02,3.99,3.99,3.73,3.8,553700,0,1
2020-07-06,3.801,3.9,3.57,3.63,795100,0,1
2020-07-07,3.515,3.64,3.48,3.6,627000,0,1
2020-07-08,3.685,3.73,3.48,3.575,402600,0,1
2020-07-09,3.415,3.78,3.4,3.58,404000,0,1
2020-07-10,3.84,3.84,3.562,3.815,409800,0,1
2020-07-13,4.09,4.09,3.55,3.55,829400,0,1
2020-07-14,3.37,3.666,3.37,3.52,648800,0,1
2020-07-15,3.33,3.65,3.33,3.6,361400,0,1
2020-07-16,3.625,3.84,3.528,3.721,327800,0,1
2020-07-17,3.555,3.88,3.53,3.75,373400,0,1
2020-07-20,3.761,3.8,3.55,3.653,278900,0,1
2020-07-21,3.65,3.7,3.48,3.55,483700,0,1
2020-07-22,3.8,3.802,3.51,3.575,292200,0,1
2020-07-23,3.78,3.78,3.57,3.605,328400,0,1
2020-07-24,3.65,3.71,3.6,3.692,266900,0,1
2020-07-27,3.895,3.9,3.708,3.74,408600,0,1
2020-07-28,3.78,3.86,3.66,3.834,405100,0,1
2020-07-29,3.85,4.07,3.55,3.591,528800,0,1
2020-07-30,3.52,3.6,3.495,3.518,312100,0,1
2020-07-31,3.62,3.62,3.42,3.49,359900,0,1
2020-08-03,3.5,3.6,3.49,3.59,284300,0,1
2020-08-04,3.65,3.65,3.44,3.569,422200,0,1
2020-08-05,3.549,3.61,3.45,3.47,427100,0,1
2020-08-06,3.45,3.54,3.43,3.45,390700,0,1
2020-08-07,3.21,3.47,3.21,3.32,647400,0,1
2020-08-10,3.35,3.58,3.33,3.57,527600,0,1
2020-08-11,3.5,3.61,3.28,3.3,541200,0,1
2020-08-12,3.185,3.425,3.185,3.4,337400,0,1
2020-08-13,3.4,3.56,3.21,3.49,319700,0,1
2020-08-14,3.51,3.75,3.42,3.73,500600,0,1
2020-08-17,3.8,3.88,3.68,3.789,460800,0,1
2020-08-18,3.79,3.834,3.7,3.82,543300,0,1
2020-08-19,3.735,3.85,3.49,3.539,653800,0,1
2020-08-20,3.56,3.56,3.35,3.44,625300,0,1
2020-08-21,3.5,3.5,3.27,3.3,534900,0,1
2020-08-24,3.52,3.52,3.15,3.34,401700,0,1
2020-08-25,3.19,3.555,3.19,3.45,245300,0,1
2020-08-26,3.65,3.65,3.3,3.316,280100,0,1
2020-08-27,3.25,3.444,3.25,3.34,260500,0,1
2020-08-28,3.25,3.466,3.25,3.433,276300,0,1
2020-08-31,3.625,3.625,3.35,3.39,405300,0,1
2020-09-01,3.59,3.59,3.26,3.275,616300,0,1
2020-09-02,3.42,3.42,3.18,3.25,560700,0,1
2020-09-03,3.0,3.26,3.0,3.154,581200,0,1
2020-09-04,3.23,3.23,3.02,3.175,441300,0,1
2020-09-08,3.21,3.21,2.98,3.101,630400,0,1
2020-09-09,3.3,3.3,3.04,3.06,287700,0,1
2020-09-10,3.035,3.17,3.02,3.02,267700,0,1
2020-09-11,3.015,3.05,2.93,3.006,513400,0,1
2020-09-14,2.9,2.98,2.8,2.82,921600,0,1
2020-09-15,2.705,2.88,2.705,2.827,435700,0,1
2020-09-16,2.91,2.91,2.7,2.75,826500,0,1
2020-09-17,2.54,2.85,2.54,2.76,381100,0,1
2020-09-18,2.94,2.94,2.61,2.81,162300,0,1
2020-09-21,2.8,2.82,2.65,2.654,484000,0,1
2020-09-22,2.655,2.71,2.56,2.62,251300,0,1
2020-09-23,2.55,2.635,2.44,2.45,766600,0,1
2020-09-24,2.4,2.49,2.3,2.34,503100,0,1
