date,open,high,low,close,volume,dividend,split
2016-10-07,23.75,24.35,22.03,22.5,11437700,0,1
2016-10-10,22.61,22.99,22.0,22.26,946200,0,1
2016-10-11,22.16,22.305,21.6,21.7,713700,0,1
2016-10-12,21.62,21.8,21.1,21.4,742700,0,1
2016-10-13,21.5,21.5,20.83,21.0,665600,0,1
2016-10-14,21.05,21.186,20.85,21.06,285300,0,1
2016-10-17,21.03,21.03,20.45,20.52,321000,0,1
2016-10-18,20.58,21.36,20.5,21.15,283800,0,1
2016-10-19,21.27,21.56,21.07,21.36,373400,0,1
2016-10-20,21.75,21.75,21.15,21.68,295000,0,1
2016-10-21,21.55,22.18,21.53,21.92,314300,0,1
2016-10-24,22.15,23.0,22.0,22.47,384000,0,1
2016-10-25,22.4,22.97,22.4,22.76,155000,0,1
2016-10-26,23.03,23.03,22.45,22.69,142000,0,1
2016-10-27,22.82,22.84,22.0,22.26,239600,0,1
2016-10-28,22.09,22.7,22.08,22.36,191100,0,1
2016-10-31,22.46,22.68,22.15,22.36,163300,0,1
2016-11-01,22.21,22.49,21.9,21.94,273200,0,1
2016-11-02,21.95,22.54,21.5,21.58,467800,0,1
2016-11-03,21.55,21.868,21.41,21.66,175200,0,1
2016-11-04,21.66,22.16,21.6,22.03,254500,0,1
2016-11-07,22.15,22.255,21.28,21.28,109200,0,1
2016-11-08,21.21,21.5,20.895,21.01,166800,0,1
2016-11-09,20.71,21.98,20.51,21.94,168700,0,1
2016-11-10,22.16,22.46,21.93,22.27,231900,0,1
2016-11-11,22.605,24.38,22.32,24.07,1044000,0,1
2016-11-14,24.5,24.97,24.22,24.5,526800,0,1
2016-11-15,24.48,24.61,23.07,23.98,225600,0,1
2016-11-16,24.2,24.31,23.44,24.0,99300,0,1
2016-11-17,24.24,24.66,23.93,23.99,121600,0,1
2016-11-18,23.95,24.22,23.485,23.98,91500,0,1
2016-11-21,24.32,24.325,23.89,24.1,100100,0,1
2016-11-22,24.1,25.28,24.1,25.23,326500,0,1
2016-11-23,24.98,26.348,24.98,26.11,276300,0,1
2016-11-25,26.13,27.067,25.91,26.92,89200,0,1
2016-11-28,26.97,27.027,26.422,26.84,137800,0,1
2016-11-29,27.45,27.89,26.95,27.67,423300,0,1
2016-11-30,27.88,28.22,27.67,27.9,215900,0,1
2016-12-01,28.0,28.19,27.0,27.79,244900,0,1
2016-12-02,27.86,27.894,26.68,27.07,193400,0,1
2016-12-05,27.18,27.61,26.74,27.04,212600,0,1
2016-12-06,26.99,27.38,26.79,27.21,189500,0,1
2016-12-07,27.3,28.24,27.08,28.05,161200,0,1
2016-12-08,28.4,29.14,28.05,28.76,311100,0,1
2016-12-09,28.97,30.34,28.904,30.26,420400,0,1
2016-12-12,30.5,31.33,30.361,30.95,374200,0,1
2016-12-13,31.44,31.54,30.18,30.6,493700,0,1
2016-12-14,30.51,30.64,29.75,30.07,542700,0,1
2016-12-15,30.29,33.031,30.08,31.57,647700,0,1
2016-12-16,31.96,32.7,31.21,31.77,1814100,0,1
2016-12-19,32.0,32.35,31.51,31.84,316900,0,1
2016-12-20,31.97,32.3,31.55,32.06,246300,0,1
2016-12-21,32.2,32.61,31.57,32.36,228400,0,1
2016-12-22,33.005,33.31,32.11,32.31,252400,0,1
2016-12-23,32.5,32.6,31.75,32.27,167700,0,1
2016-12-27,32.43,33.5,32.32,33.23,309500,0,1
2016-12-28,33.56,33.59,32.14,32.85,304000,0,1
2016-12-29,33.04,33.27,32.0,32.09,259300,0,1
2016-12-30,32.05,32.74,32.05,32.59,179300,0,1
2017-01-03,34.07,34.14,32.2,32.87,279200,0,1
2017-01-04,32.93,34.29,32.56,34.21,346700,0,1
2017-01-05,34.07,34.07,33.11,33.23,343600,0,1
2017-01-06,33.39,33.455,32.75,32.8,364500,0,1
2017-01-09,32.75,32.75,32.11,32.41,326700,0,1
2017-01-10,32.47,32.68,32.18,32.2,205500,0,1
2017-01-11,32.33,32.63,31.35,32.2,370600,0,1
2017-01-12,32.08,32.25,31.54,31.73,173300,0,1
2017-01-13,31.75,31.898,30.76,30.8,332200,0,1
2017-01-17,30.7,31.29,29.411,31.27,315100,0,1
2017-01-18,31.41,31.6,30.94,31.27,161900,0,1
2017-01-19,31.27,31.469,30.66,30.69,276600,0,1
2017-01-20,30.87,31.35,30.505,31.22,160500,0,1
2017-01-23,31.27,31.85,31.2,31.73,175000,0,1
2017-01-24,31.9,31.91,31.43,31.58,95700,0,1
2017-01-25,31.65,31.864,30.89,31.15,140300,0,1
2017-01-26,31.09,32.31,31.08,32.23,177800,0,1
2017-01-27,32.02,32.37,31.75,32.32,78200,0,1
2017-01-30,32.12,33.29,31.75,32.76,220900,0,1
2017-01-31,32.75,32.812,31.0,31.48,221600,0,1
2017-02-01,31.63,32.45,31.555,32.05,114700,0,1
2017-02-02,32.0,32.48,31.575,31.81,107300,0,1
2017-02-03,31.96,32.5,31.77,31.89,176000,0,1
2017-02-06,32.01,32.07,31.54,31.75,142600,0,1
2017-02-07,31.75,31.99,31.28,31.37,82500,0,1
