date,open,high,low,close,volume,dividend,split
2000-01-03,35.0625,35.2812,33.4375,33.875,104800,0,1
2000-01-04,33.0,33.0,30.75,30.75,38200,0,1
2000-01-05,29.25,29.5,28.75,29.25,17600,0,1
2000-01-06,29.75,29.75,29.0,29.0625,82200,0,1
2000-01-07,30.5,31.0,30.0,30.875,64800,0,1
2000-01-10,31.5,32.25,30.75,31.5,69000,0,1
2000-01-11,30.375,30.875,30.125,30.25,27000,0,1
2000-01-12,29.75,30.1875,29.2812,29.9375,23800,0,1
2000-01-13,30.25,31.0,30.25,31.0,27800,0,1
2000-01-14,31.625,32.3125,31.5,32.3125,34000,0,1
2000-01-18,31.6875,31.6875,31.25,31.2812,8000,0,1
2000-01-19,31.4375,32.0,31.125,32.0,3000,0,1
2000-01-20,32.6875,33.25,32.25,32.25,28600,0,1
2000-01-21,33.25,33.625,32.75,33.625,9400,0,1
2000-01-24,32.4688,32.4688,30.75,31.0625,18400,0,1
2000-01-25,31.75,32.25,31.25,31.625,9600,0,1
2000-01-26,33.5625,35.25,33.5625,34.875,62200,0,1
2000-01-27,35.0,36.875,34.625,36.25,73000,0,1
2000-01-28,35.75,35.7812,34.125,34.5,30600,0,1
2000-01-31,34.25,35.5,34.25,34.75,21400,0,1
2000-02-01,33.9375,33.9375,32.0625,32.5625,14400,0,1
2000-02-02,33.5,34.4375,33.5,33.5,13800,0,1
2000-02-03,35.6875,37.1172,35.125,36.625,21600,0,1
2000-02-04,38.125,38.875,37.0,37.375,50600,0,1
2000-02-07,39.375,39.5,37.5,38.125,11000,0,1
2000-02-08,40.375,43.125,40.375,42.125,109000,0,1
2000-02-09,44.375,45.4375,43.5,43.75,78000,0,1
2000-02-10,45.2812,46.0,44.625,44.75,148400,0,1
2000-02-11,45.8125,46.0,43.8125,43.8125,89200,0,1
2000-02-14,45.875,47.5,45.0,45.0,46600,0,1
2000-02-15,46.5,47.0,45.625,46.25,83600,0,1
2000-02-16,48.5,52.5,48.5,51.8438,229800,0,1
2000-02-17,51.5,53.625,51.5,53.5,105400,0,1
2000-02-18,48.625,50.0,46.1875,46.1875,38000,0,1
2000-02-22,46.75,47.75,46.0,47.75,24600,0,1
2000-02-23,47.75,50.625,47.75,50.375,58800,0,1
2000-02-24,51.2812,52.625,51.2812,52.3438,72400,0,1
2000-02-25,54.5312,57.5,54.5312,56.125,79400,0,1
2000-02-28,53.4375,55.0,52.5625,53.6875,43200,0,1
2000-02-29,54.375,55.0,53.875,54.1562,26600,0,1
2000-03-01,56.5,59.25,56.375,59.25,39800,0,1
2000-03-02,60.5938,60.5938,57.0,57.25,31800,0,1
2000-03-03,56.0,57.125,55.0,55.5,23400,0,1
2000-03-06,57.75,57.875,56.25,56.5,53000,0,1
2000-03-07,55.0,55.0,51.5,52.0,25200,0,1
2000-03-08,52.9375,52.9375,51.0,52.1875,60400,0,1
2000-03-09,54.75,55.0,53.25,54.875,15000,0,1
2000-03-10,54.75,56.3438,54.75,54.9375,35800,0,1
2000-03-13,51.5,52.0,49.75,52.0,11200,0,1
2000-03-14,48.5938,49.8125,44.8125,45.3125,25000,0,1
2000-03-15,45.4375,47.375,44.0,44.8125,30600,0,1
2000-03-16,45.2812,46.0,42.8125,42.8125,25200,0,1
2000-03-17,44.75,46.3125,43.9062,45.5,20800,0,1
2000-03-20,47.125,52.8125,47.125,50.75,35800,0,1
2000-03-21,46.0625,47.75,45.25,47.75,15400,0,1
2000-03-22,45.2969,45.875,44.5,45.875,28400,0,1
2000-03-23,43.5,44.375,43.0,44.0,20400,0,1
2000-03-24,44.6875,45.5859,44.6875,44.8125,13400,0,1
2000-03-27,47.0625,49.125,47.0625,47.8438,23800,0,1
2000-03-28,49.0625,49.5,47.9375,48.5,6400,0,1
2000-03-29,45.5,46.5,44.5625,44.5625,4800,0,1
2000-03-30,43.9375,43.9375,42.0,42.0,82600,0,1
2000-03-31,44.75,45.75,44.4062,45.5,34000,0,1
2000-04-03,42.5,43.0,37.75,37.75,32000,0,1
2000-04-04,40.5,42.375,37.0,37.9375,49200,0,1
2000-04-05,36.0,39.125,35.5,38.0,30200,0,1
2000-04-06,42.0,42.0,40.0,40.0,11600,0,1
2000-04-07,42.375,43.5,40.75,40.75,191400,0,1
2000-04-10,40.5625,41.125,40.5312,40.75,22200,0,1
2000-04-11,39.25,39.25,37.5625,37.8125,136400,0,1
2000-04-12,39.4375,39.4375,36.5,36.5,239800,0,1
2000-04-13,36.0,37.0,36.0,36.9375,9800,0,1
2000-04-14,35.5,36.5,34.5,34.5,20200,0,1
2000-04-17,34.9688,35.125,34.0,35.125,1600,0,1
2000-04-18,32.625,34.25,32.5,34.25,5800,0,1
2000-04-19,36.375,36.375,34.25,34.2812,48000,0,1
2000-04-20,34.4375,34.4375,33.5,33.875,13400,0,1
2000-04-24,33.5,33.75,32.5,32.5,15600,0,1
2000-04-25,32.25,33.6875,32.25,33.6875,13000,0,1
2000-04-26,35.75,37.5,35.6875,36.125,23800,0,1
2000-04-27,35.5,36.75,35.125,36.6875,12000,0,1
2000-04-28,38.0,39.0,37.6172,38.25,89400,0,1
2000-05-01,38.5,39.375,37.5,38.7188,7800,0,1
2000-05-02,39.2812,39.2812,37.625,37.625,8000,0,1
2000-05-03,37.0,37.25,36.4375,36.625,10200,0,1
2000-05-04,38.0625,38.375,37.6875,38.1875,49400,0,1
2000-05-05,37.2812,38.375,37.1875,37.5625,7400,0,1
2000-05-08,37.5312,38.25,37.5312,38.0,12200,0,1
2000-05-09,37.0078,37.4375,36.0,36.5,11800,0,1
2000-05-10,36.75,36.75,35.875,35.875,4200,0,1
2000-05-11,36.0,36.4375,36.0,36.0,3400,0,1
2000-05-12,36.75,37.375,36.75,37.375,10400,0,1
