date,open,high,low,close,volume,dividend,split
2000-01-03,2.8438,2.8542,2.6667,2.75,88500,0,1
2000-01-04,2.6875,2.75,2.625,2.625,145200,0,1
2000-01-05,2.6042,2.8125,2.6042,2.7708,118500,0,1
2000-01-06,2.7292,2.8125,2.6458,2.75,157500,0,1
2000-01-07,2.75,2.9167,2.75,2.9167,151800,0,1
2000-01-10,2.875,2.9583,2.7083,2.7917,156600,0,1
2000-01-11,2.8438,2.8438,2.625,2.6458,73800,0,1
2000-01-12,2.6354,2.7292,2.5833,2.6562,116700,0,1
2000-01-13,2.6667,2.6667,2.5833,2.6458,139500,0,1
2000-01-14,2.5833,2.6458,2.4583,2.5,78600,0,1
2000-01-18,2.4896,2.5833,2.2917,2.5,178800,0,1
2000-01-19,2.5,2.6979,2.5,2.6771,171900,0,1
2000-01-20,2.7448,2.8333,2.5833,2.7396,162300,0,1
2000-01-21,2.625,2.75,2.625,2.7396,146100,0,1
2000-01-24,2.7917,3.4583,2.7292,3.2917,1391700,0,1
2000-01-25,3.4896,3.625,3.2083,3.4167,719700,0,1
2000-01-26,3.375,3.3958,3.2917,3.3958,223500,0,1
2000-01-27,3.3229,3.3646,3.0833,3.2083,238800,0,1
2000-01-28,3.0833,3.3333,3.0833,3.3333,164100,0,1
2000-01-31,3.0417,3.4792,3.0312,3.4792,312000,0,1
2000-02-01,3.2917,3.4062,3.1667,3.3125,115500,0,1
2000-02-02,3.3333,3.3438,3.2292,3.3021,81000,0,1
2000-02-03,3.2865,3.5417,3.25,3.4896,664800,0,1
2000-02-04,3.375,3.4375,3.3229,3.375,278100,0,1
2000-02-07,3.4583,3.4583,3.2917,3.3333,108000,0,1
2000-02-08,3.2917,3.3542,3.25,3.3333,152700,0,1
2000-02-09,3.3333,3.3333,3.1667,3.1667,93900,0,1
2000-02-10,3.3438,3.3542,3.25,3.3333,167100,0,1
2000-02-11,3.3125,3.3125,3.1667,3.25,81600,0,1
2000-02-14,3.1667,3.1875,2.9167,3.1667,277800,0,1
2000-02-15,3.2083,3.2917,2.9583,3.2917,297300,0,1
2000-02-16,3.1562,3.5,3.1458,3.4062,743400,0,1
2000-02-17,3.375,3.3958,3.0208,3.1667,316200,0,1
2000-02-18,3.2917,3.375,3.1667,3.25,206700,0,1
2000-02-22,3.1771,3.3333,3.0833,3.1146,165900,0,1
2000-02-23,3.125,3.1875,3.0417,3.0833,183900,0,1
2000-02-24,3.125,3.1667,2.8333,2.9375,195600,0,1
2000-02-25,2.9583,3.2292,2.9583,3.2292,989700,0,1
2000-02-28,3.125,3.9792,3.0833,3.9792,1489500,0,1
2000-02-29,3.7083,3.9583,3.625,3.8854,378300,0,1
2000-03-01,3.8542,4.0833,3.7292,4.0208,551400,0,1
2000-03-02,3.9583,3.9792,3.7917,3.8542,294600,0,1
2000-03-03,3.875,4.25,3.8542,4.2396,710700,0,1
2000-03-06,4.2708,4.4167,4.0,4.1562,429300,0,1
2000-03-07,3.9583,4.0625,3.7083,3.8125,255600,0,1
2000-03-08,4.0,4.2917,3.3333,3.7917,815400,0,1
2000-03-09,3.6875,3.75,3.4583,3.7083,216300,0,1
2000-03-10,3.6458,3.6667,3.5208,3.5938,108000,0,1
2000-03-13,3.5208,4.0833,3.4375,4.0,620700,0,1
2000-03-14,4.0104,4.0104,3.5208,3.6667,216000,0,1
2000-03-15,3.6042,3.625,3.4167,3.5208,422400,0,1
2000-03-16,3.4375,3.7812,3.4375,3.6354,217500,0,1
2000-03-17,3.6667,3.7917,3.5625,3.7917,189300,0,1
2000-03-20,3.75,3.8333,3.4375,3.7083,492300,0,1
2000-03-21,3.625,3.625,3.3542,3.4375,118500,0,1
2000-03-22,3.375,3.5,3.2292,3.5,90900,0,1
2000-03-23,3.5,3.5,3.3542,3.4583,260700,0,1
2000-03-24,3.4167,3.6042,3.4167,3.5833,125400,0,1
2000-03-27,3.5208,3.5833,3.4167,3.5417,327000,0,1
2000-03-28,3.5,3.6458,3.5,3.625,101400,0,1
2000-03-29,3.5,3.5625,3.5,3.5417,202500,0,1
2000-03-30,3.4583,3.5833,2.8333,3.3333,419100,0,1
2000-03-31,3.3333,3.5,3.3333,3.4583,169500,0,1
2000-04-03,3.4375,3.5208,3.3125,3.4583,98400,0,1
2000-04-04,3.1667,3.5833,3.0833,3.3333,408900,0,1
2000-04-05,3.25,3.5417,3.1667,3.5417,137100,0,1
2000-04-06,3.5,3.5417,3.2083,3.4167,59700,0,1
2000-04-07,3.3333,3.4583,3.3333,3.4583,135600,0,1
2000-04-10,3.4375,3.4583,3.3333,3.3333,56700,0,1
2000-04-11,3.3333,3.4375,3.3333,3.4375,154800,0,1
2000-04-12,3.3333,3.3854,3.125,3.25,45600,0,1
2000-04-13,3.3125,3.375,3.25,3.2917,153000,0,1
2000-04-14,3.1042,3.1042,2.7917,2.875,153300,0,1
2000-04-17,2.875,2.9167,2.6667,2.8333,141300,0,1
2000-04-18,2.875,3.25,2.8333,3.2083,172200,0,1
2000-04-19,3.2083,3.25,3.0833,3.25,60900,0,1
