date,open,high,low,close,volume,dividend,split
2000-01-03,28.8551,29.5333,28.3619,29.4717,8402200,0,1
2000-01-04,29.595,31.4447,29.595,31.1981,16051100,0,1
2000-01-05,31.1981,32.6778,31.1981,32.4928,19823800,0,1
2000-01-06,32.4928,32.6778,31.1981,31.1981,7903100,0,1
2000-01-07,31.1981,31.6913,30.3965,30.7048,6773500,0,1
2000-01-10,33.541,35.4523,33.541,35.3907,33965800,0,1
2000-01-11,35.3907,36.2539,34.7741,35.7606,20134800,0,1
2000-01-12,35.4523,35.4523,32.8628,33.2327,13100900,0,1
2000-01-13,33.356,34.5275,33.356,34.3425,8732300,0,1
2000-01-14,34.3425,34.5275,32.9861,33.1094,8151500,0,1
2000-01-18,33.1094,34.3425,32.6162,34.0342,8101700,0,1
2000-01-19,34.0342,34.4658,33.6027,34.2809,6551300,0,1
2000-01-20,34.2809,34.9591,32.9861,33.1711,7212000,0,1
2000-01-21,33.1711,33.1711,32.2462,32.3079,8284100,0,1
2000-01-24,32.3079,33.541,31.9379,32.8628,8343000,0,1
2000-01-25,36.0073,37.487,36.0073,36.9938,29911200,0,1
2000-01-26,36.9321,36.9321,35.8839,36.1306,10400700,0,1
2000-01-27,36.1306,37.1171,36.1306,36.6238,9818400,0,1
2000-01-28,36.6238,36.9938,35.9456,36.2539,7500900,0,1
2000-01-31,35.9456,35.9456,35.329,35.8223,7909000,0,1
2000-02-01,35.8223,35.9456,35.4523,35.514,7237200,0,1
2000-02-02,35.514,37.487,35.329,36.7471,9411300,0,1
2000-02-03,37.0554,37.9803,37.0554,37.3637,10908100,0,1
2000-02-04,37.3637,37.7336,36.5005,37.6103,6272900,0,1
2000-02-07,37.6103,37.9186,37.0554,37.487,6153500,0,1
2000-02-08,37.4253,37.4253,36.5005,37.0554,5780200,0,1
2000-02-09,37.0554,38.4735,36.6238,37.1787,6158300,0,1
2000-02-10,37.1787,37.3637,36.3772,36.4388,5675900,0,1
2000-02-11,36.4388,38.1036,36.3155,37.3637,7247000,0,1
2000-02-14,36.8704,36.8704,36.1306,36.5005,5201600,0,1
2000-02-15,36.5005,36.6855,34.8974,36.3772,7082700,0,1
2000-02-16,36.3772,36.7471,36.0689,36.4388,4475200,0,1
2000-02-17,36.3772,36.3772,35.2057,36.0073,4756300,0,1
2000-02-18,35.8839,35.8839,34.8358,35.0207,6493800,0,1
2000-02-22,34.9591,34.9591,32.1846,32.9244,12744100,0,1
2000-02-23,32.9244,34.1576,32.1846,33.6643,8371700,0,1
2000-02-24,33.6027,33.6027,31.9996,32.7395,8338600,0,1
2000-02-25,32.6162,32.6162,30.5815,30.5815,8440600,0,1
2000-02-28,31.568,32.4928,31.568,32.3079,7943600,0,1
2000-02-29,32.3079,33.541,31.8146,33.541,5506400,0,1
2000-03-01,33.541,34.2809,32.7395,34.2192,7250300,0,1
2000-03-02,34.1576,34.1576,33.356,34.0342,6588200,0,1
2000-03-03,34.4042,36.0073,34.4042,36.0073,14559700,0,1
2000-03-06,36.0073,36.2539,35.0824,35.514,7341000,0,1
2000-03-07,35.514,35.8839,34.9591,35.514,7588100,0,1
2000-03-08,35.4523,35.4523,34.4042,34.4658,6294500,0,1
2000-03-09,34.4658,35.7606,34.1576,35.7606,5623000,0,1
2000-03-10,35.2674,35.2674,34.2192,34.6508,7061900,0,1
2000-03-13,34.6508,35.0207,32.5545,34.4658,5247400,0,1
2000-03-14,34.2809,34.2809,33.356,33.6643,5589500,0,1
2000-03-15,33.6643,34.4658,33.1711,34.3425,6642900,0,1
2000-03-16,34.3425,35.0207,33.2944,34.8358,8335100,0,1
2000-03-17,34.8358,36.4388,34.0959,36.3155,8753600,0,1
2000-03-20,37.1787,38.9668,37.1787,38.9051,16985600,0,1
2000-03-21,38.9051,39.5217,38.1036,38.6585,13362000,0,1
2000-03-22,39.2134,40.8781,39.2134,39.9533,13725800,0,1
2000-03-23,39.9533,41.3713,39.275,41.0014,8163800,0,1
2000-03-24,41.0014,41.1864,40.5082,40.8781,6630400,0,1
2000-03-27,40.8781,41.618,39.46,41.1864,5797600,0,1
2000-03-28,41.1864,41.9263,40.0766,40.3848,7592600,0,1
2000-03-29,40.3848,40.6315,39.7066,40.2615,5162400,0,1
2000-03-30,40.2615,40.4465,39.2134,39.7066,5418600,0,1
2000-03-31,39.7066,40.9398,39.7066,40.6931,5358200,0,1
2000-04-03,40.6931,41.3097,40.5082,41.248,4870600,0,1
2000-04-04,41.248,41.3713,37.8569,40.5698,7049900,0,1
2000-04-05,40.1999,40.1999,38.7201,39.46,5140100,0,1
2000-04-06,39.46,40.6931,39.46,39.8916,3615500,0,1
2000-04-07,39.9533,40.8164,39.9533,40.4465,3298000,0,1
2000-04-10,40.4465,40.8164,39.7066,40.7548,3665500,0,1
2000-04-11,41.1864,41.9263,41.1864,41.9263,6923300,0,1
2000-04-12,41.9263,43.0361,39.46,39.5217,8414200,0,1
2000-04-13,39.5217,40.1999,38.7201,38.7201,5078400,0,1
2000-04-14,38.7201,38.9668,37.1787,38.3502,8248200,0,1
2000-04-17,38.2269,38.2269,36.5622,38.2269,6537200,0,1
2000-04-18,38.2269,39.2134,37.487,38.9668,4275500,0,1
2000-04-19,39.46,40.9398,39.46,40.3848,8579200,0,1
2000-04-20,40.3848,41.9263,40.2615,41.6796,5438800,0,1
2000-04-24,40.8781,40.8781,39.5833,39.7066,3844100,0,1
2000-04-25,39.7066,40.0149,39.1517,39.9533,3749400,0,1
2000-04-26,40.1999,41.9263,40.1999,41.8029,6002600,0,1
2000-04-27,41.6796,41.6796,40.3232,41.0631,4674800,0,1
2000-04-28,41.6796,43.0361,41.6796,43.0361,11731200,0,1
2000-05-01,43.0361,43.2827,41.433,41.433,8919200,0,1
2000-05-02,41.433,42.4812,39.7683,42.4195,9296600,0,1
2000-05-03,41.433,41.433,39.0901,40.6931,6513700,0,1
2000-05-04,40.6931,41.3713,38.8434,39.1517,7127400,0,1
2000-05-05,39.1517,39.8916,38.7201,39.0284,3471300,0,1
2000-05-08,39.0284,40.5698,39.0284,40.0149,3582200,0,1
2000-05-09,40.0149,41.0631,39.2134,40.1999,3407000,0,1
2000-05-10,40.1999,41.1864,39.9533,40.5082,6369800,0,1
2000-05-11,40.5082,40.8164,40.0149,40.5698,3334500,0,1
2000-05-12,40.5698,40.8164,39.5217,40.2615,3104600,0,1
2000-05-15,40.2615,40.5698,39.645,40.2615,3892000,0,1
2000-05-16,40.6931,42.0496,40.6931,41.618,5938700,0,1
2000-05-17,41.618,42.2962,41.4947,41.6796,4089800,0,1
2000-05-18,41.6796,42.2345,40.4465,40.6315,4393600,0,1
2000-05-19,40.6315,40.6931,39.2134,40.5082,4461300,0,1
2000-05-22,40.5082,40.9398,39.46,40.3232,4200500,0,1
2000-05-23,40.1382,40.1382,39.2134,39.5217,4224400,0,1
2000-05-24,39.5217,40.2615,37.672,38.7818,4405800,0,1
2000-05-25,38.7818,39.8916,38.5352,39.275,3919000,0,1
2000-05-26,39.275,39.645,38.7201,39.3367,3368100,0,1
2000-05-30,40.0766,41.433,40.0766,41.3097,7346700,0,1
2000-05-31,41.3097,41.8646,41.0631,41.618,5180900,0,1
2000-06-01,41.618,41.9879,40.5698,41.1864,3898500,0,1
2000-06-02,41.1864,41.433,39.7066,39.8916,5836800,0,1
2000-06-05,39.8916,40.4465,39.46,40.0766,4218900,0,1
2000-06-06,40.0766,41.0014,39.8916,40.3232,3841900,0,1
2000-06-07,40.3232,40.3848,39.5833,39.645,3373600,0,1
2000-06-08,39.645,40.5698,39.5833,39.8916,3073300,0,1
2000-06-09,39.9533,41.433,39.9533,41.0014,4017500,0,1
2000-06-12,41.0014,41.1247,39.8299,40.169,3474500,0,1
2000-06-13,40.169,40.9398,39.645,39.645,5000400,0,1
2000-06-14,39.8916,40.5082,39.8916,40.1999,2941100,0,1
2000-06-15,40.3232,41.433,40.3232,41.433,4222100,0,1
2000-06-16,41.433,41.6796,40.5082,40.6315,4973500,0,1
2000-06-19,40.6315,41.433,40.5698,41.3713,2712000,0,1
2000-06-20,41.3713,41.4947,41.0014,41.1864,3295800,0,1
2000-06-21,41.1864,41.4947,40.9398,41.1864,2932200,0,1
2000-06-22,41.1864,41.248,40.5082,40.9398,2864300,0,1
2000-06-23,40.7548,40.7548,38.8434,39.0901,5519100,0,1
2000-06-26,39.0901,39.9533,39.0284,39.9533,3821900,0,1
2000-06-27,39.9533,39.9533,39.0284,39.46,3376700,0,1
