date,open,high,low,close,volume,dividend,split
2006-11-15,12.5,12.72,11.0,11.7,2391600,0,1
2006-11-16,11.8,11.8,11.1,11.2,167800,0,1
2006-11-17,11.15,11.65,10.7,11.2,447200,0,1
2006-11-20,11.8,11.8,11.29,11.3,56200,0,1
2006-11-21,11.35,11.36,11.05,11.05,96400,0,1
2006-11-22,11.06,11.1,10.45,10.87,113400,0,1
2006-11-24,11.0,11.0,10.7,10.81,9800,0,1
2006-11-27,10.95,11.0,10.6,10.6,41500,0,1
2006-11-28,10.68,10.75,10.4,10.44,10400,0,1
2006-11-29,10.44,10.65,10.4,10.65,19800,0,1
2006-11-30,10.5,10.75,10.3,10.49,36900,0,1
2006-12-01,10.35,11.13,10.33,10.85,91500,0,1
2006-12-04,10.75,10.94,10.56,10.64,112500,0,1
2006-12-05,10.6,10.96,10.5,10.65,23200,0,1
2006-12-06,10.6,10.9,10.6,10.7,40000,0,1
2006-12-07,10.65,10.84,10.65,10.84,13500,0,1
2006-12-08,10.81,10.81,10.65,10.8,22200,0,1
2006-12-11,10.66,10.74,10.51,10.55,61000,0,1
2006-12-12,10.52,10.8,9.76,10.13,96900,0,1
2006-12-13,10.22,10.4,9.75,9.77,69800,0,1
2006-12-14,10.0,11.28,10.0,10.35,264500,0,1
2006-12-15,10.3,10.5,10.07,10.12,245700,0,1
2006-12-18,10.14,10.44,10.14,10.22,45900,0,1
2006-12-19,10.21,10.53,9.95,10.37,94700,0,1
2006-12-20,10.73,11.85,10.73,11.4,302800,0,1
2006-12-21,11.41,11.7,11.16,11.31,76100,0,1
2006-12-22,11.35,11.5,11.0,11.36,43400,0,1
2006-12-26,11.41,11.6,11.26,11.49,63900,0,1
2006-12-27,11.55,11.65,11.38,11.47,25100,0,1
2006-12-28,11.4,11.5,10.97,11.07,29200,0,1
2006-12-29,11.1,11.3,10.8,11.16,71100,0,1
2007-01-03,11.4,11.55,11.2,11.3,96200,0,1
2007-01-04,11.48,11.59,11.13,11.4,122800,0,1
2007-01-05,11.3,12.47,10.85,11.03,98200,0,1
2007-01-08,11.1,11.62,10.9,11.42,199000,0,1
2007-01-09,11.36,11.99,11.36,11.93,177000,0,1
2007-01-10,11.93,12.04,11.6,11.77,79700,0,1
2007-01-11,11.85,12.0,11.72,11.93,96300,0,1
2007-01-12,11.94,12.87,11.84,12.81,255800,0,1
2007-01-16,13.2,13.5,13.09,13.42,234400,0,1
2007-01-17,13.75,13.89,13.3,13.82,226300,0,1
2007-01-18,13.81,14.03,13.5,13.91,95500,0,1
2007-01-19,13.99,15.33,13.9,15.19,125700,0,1
2007-01-22,15.55,16.93,15.33,15.76,264000,0,1
2007-01-23,15.76,16.06,15.75,16.0,108200,0,1
2007-01-24,16.05,17.5,15.99,16.98,269400,0,1
2007-01-25,17.4,17.75,16.5,16.91,198200,0,1
2007-01-26,16.99,16.99,15.37,15.84,192300,0,1
2007-01-29,15.68,16.02,15.15,15.74,208800,0,1
2007-01-30,15.7,15.7,15.38,15.42,131600,0,1
2007-01-31,15.42,15.42,14.59,15.09,136200,0,1
