date,open,high,low,close,volume,dividend,split
2006-09-15,6.34,6.925,6.3375,6.6,2122800,0,1
2006-09-18,6.75,7.075,6.6525,6.95,1936800,0,1
2006-09-19,7.0625,7.0775,6.625,6.6375,1153200,0,1
2006-09-20,6.75,6.895,6.625,6.8125,774000,0,1
2006-09-21,6.75,6.9275,6.6875,6.7025,621200,0,1
2006-09-22,6.6325,6.6925,6.375,6.4,785600,0,1
2006-09-25,6.4075,6.4425,5.95,5.995,1322000,0,1
2006-09-26,5.935,5.94,5.5,5.55,3485200,0,1
2006-09-27,5.66,5.97,5.66,5.8925,1211600,0,1
2006-09-28,5.9575,6.1125,5.8675,6.0475,966800,0,1
2006-09-29,6.0875,6.0875,5.75,6.05,979600,0,1
2006-10-02,6.0375,6.145,6.0175,6.07,376800,0,1
2006-10-03,6.05,6.05,5.995,6.0,427200,0,1
2006-10-04,6.0,6.125,6.0,6.0275,191600,0,1
2006-10-05,6.125,6.2025,6.125,6.1275,374800,0,1
2006-10-06,6.125,6.1625,6.125,6.1275,174000,0,1
2006-10-09,6.1275,6.1575,6.0625,6.125,387200,0,1
2006-10-10,6.1625,6.7075,6.1375,6.65,1166400,0,1
2006-10-11,6.5625,6.825,6.5,6.775,1558000,0,1
2006-10-12,6.75,6.9225,6.65,6.7,708800,0,1
2006-10-13,6.75,6.8225,6.6775,6.695,791600,0,1
2006-10-16,6.695,6.77,6.5,6.605,609600,0,1
2006-10-17,6.875,7.1,6.25,6.475,1664800,0,1
2006-10-18,6.495,6.5525,6.4025,6.4575,569200,0,1
2006-10-19,6.2725,6.2875,5.775,5.875,1390800,0,1
2006-10-20,5.875,6.135,5.8325,6.125,796400,0,1
2006-10-23,6.125,6.135,5.9625,5.965,384400,0,1
2006-10-24,5.965,6.2,5.9475,6.1625,855600,0,1
2006-10-25,6.19,6.2375,6.0025,6.22,1103600,0,1
2006-10-26,6.2325,6.2825,6.17,6.21,501600,0,1
2006-10-27,6.21,6.365,6.1625,6.1875,372800,0,1
2006-10-30,6.22,6.25,6.07,6.2075,177200,0,1
2006-10-31,6.19,6.24,6.0,6.025,857200,0,1
2006-11-01,6.25,6.3725,6.22,6.2475,1520800,0,1
2006-11-02,6.25,6.3675,6.25,6.33,175600,0,1
2006-11-03,6.3925,6.45,6.345,6.41,483200,0,1
2006-11-06,6.445,6.4625,6.38,6.39,111600,0,1
2006-11-07,6.4125,6.425,6.35,6.39,114800,0,1
2006-11-08,6.4225,6.9725,6.37,6.9725,1729200,0,1
2006-11-09,6.9625,7.2,6.9125,7.03,2125200,0,1
2006-11-10,7.0375,7.7825,7.0275,7.4625,3626000,0,1
2006-11-13,7.625,7.6675,7.0375,7.25,1593600,0,1
2006-11-14,7.3,7.9975,7.3,7.9625,2741200,0,1
2006-11-15,7.8375,8.7625,7.7725,8.5475,3280400,0,1
2006-11-16,8.5475,8.9,8.235,8.6825,2513200,0,1
2006-11-17,8.6825,8.6825,8.3125,8.4675,1339600,0,1
2006-11-20,8.5,8.5,7.925,8.01,1401600,0,1
2006-11-21,8.0,8.4575,7.9425,8.2875,892000,0,1
2006-11-22,8.4025,8.5875,8.3125,8.48,608000,0,1
2006-11-24,8.35,8.5475,8.25,8.275,466400,0,1
2006-11-27,8.25,8.2875,7.8375,7.875,947200,0,1
2006-11-28,7.8,7.815,7.45,7.4925,1370000,0,1
2006-11-29,7.5575,8.17,7.5575,8.1,1847200,0,1
2006-11-30,8.15,8.2375,7.8125,7.9775,498000,0,1
2006-12-01,8.05,8.2,8.0,8.175,688800,0,1
2006-12-04,8.3125,8.66,8.3,8.5125,1271200,0,1
2006-12-05,8.575,8.99,8.575,8.875,1410000,0,1
2006-12-06,8.99,8.99,8.6875,8.8775,702400,0,1
2006-12-07,8.88,9.06,8.7525,8.8475,713200,0,1
2006-12-08,8.8875,9.045,8.8875,8.9275,350800,0,1
2006-12-11,9.0125,9.39,8.9625,9.1975,1925600,0,1
2006-12-12,9.42,9.49,8.8275,8.8875,1778800,0,1
2006-12-13,8.9675,8.9675,8.6425,8.8275,557600,0,1
2006-12-14,8.875,9.05,8.8125,8.905,470400,0,1
2006-12-15,8.9875,9.0025,8.6775,8.7375,478400,0,1
2006-12-18,9.0,9.225,8.79,8.875,1532800,0,1
2006-12-19,8.84,9.14,8.6525,8.7275,1572800,0,1
2006-12-20,8.7275,8.85,8.5875,8.5975,782800,0,1
2006-12-21,8.5875,8.755,8.36,8.4075,640400,0,1
2006-12-22,8.435,8.4775,8.25,8.25,526800,0,1
2006-12-26,8.2625,8.58,8.2625,8.5,658000,0,1
2006-12-27,8.525,8.65,8.4375,8.5525,576400,0,1
2006-12-28,8.5625,8.75,8.4,8.555,1789600,0,1
2006-12-29,8.5775,8.6475,8.35,8.385,902800,0,1
2007-01-03,8.4,8.9125,8.3875,8.7975,1607200,0,1
2007-01-04,8.825,8.8875,8.5025,8.6375,902800,0,1
2007-01-05,8.6625,8.74,8.5,8.515,488800,0,1
2007-01-08,8.5325,8.735,8.5325,8.64,290400,0,1
2007-01-09,8.715,8.7625,8.4,8.5,998400,0,1
2007-01-10,8.455,8.9925,8.455,8.9325,1047600,0,1
2007-01-11,8.9925,9.4325,8.96,9.3125,1447200,0,1
2007-01-12,9.375,9.575,9.2025,9.35,1511200,0,1
2007-01-16,9.55,9.905,8.7525,8.8325,2294800,0,1
2007-01-17,8.78,8.93,8.525,8.89,1386400,0,1
2007-01-18,8.925,9.1225,8.6375,8.875,1147200,0,1
2007-01-19,8.875,9.09,8.2,8.2725,3490400,0,1
2007-01-22,8.3975,8.98,8.31,8.745,2378400,0,1
2007-01-23,8.745,8.745,8.59,8.7125,653600,0,1
2007-01-24,8.2875,8.9475,8.2875,8.8825,574400,0,1
2007-01-25,8.85,9.0125,8.7775,9.0,980800,0,1
2007-01-26,9.0,9.0,8.755,8.8125,541200,0,1
2007-01-29,9.0,9.455,8.77,9.2275,1756000,0,1
2007-01-30,9.2425,9.455,9.15,9.2875,826400,0,1
2007-01-31,9.15,9.235,8.89,8.9325,1434400,0,1
2007-02-01,8.995,9.0225,8.7,8.7475,553600,0,1
2007-02-02,8.7,9.0,8.5475,8.8875,680800,0,1
2007-02-05,8.9375,9.3,8.9325,9.2325,829200,0,1
2007-02-06,9.25,9.3525,9.125,9.31,1432400,0,1
2007-02-07,9.3875,10.4925,9.3625,10.2,3851200,0,1
2007-02-08,10.2,10.5625,10.1625,10.5625,2238800,0,1
2007-02-09,10.6625,10.675,10.3,10.3375,12069200,0,1
2007-02-12,10.4375,10.625,10.31,10.325,3382000,0,1
2007-02-13,10.5,10.5,10.0025,10.0075,2708400,0,1
2007-02-14,10.07,10.125,9.96,10.0725,1077600,0,1
2007-02-15,10.1625,10.26,10.125,10.2475,678800,0,1
2007-02-16,10.3325,10.47,10.22,10.4525,1100400,0,1
2007-02-20,10.4875,11.2,10.45,11.135,2436400,0,1
2007-02-21,11.175,11.175,10.795,10.8075,1355200,0,1
2007-02-22,10.9875,11.175,10.765,10.95,983200,0,1
2007-02-23,11.025,11.025,10.475,10.715,1182800,0,1
2007-02-26,10.8275,10.9825,10.78,10.88,810000,0,1
2007-02-27,9.9625,10.2625,9.7525,10.0025,4390400,0,1
2007-02-28,10.05,10.5825,9.875,10.53,2059600,0,1
2007-03-01,10.25,10.385,10.0025,10.2875,1094800,0,1
2007-03-02,10.04,10.375,9.45,9.505,2199200,0,1
2007-03-05,9.2525,9.255,8.65,8.7425,4386400,0,1
2007-03-06,9.1925,9.225,8.9775,9.15,1890800,0,1
2007-03-07,9.395,9.875,9.345,9.845,1838800,0,1
2007-03-08,10.0425,10.2525,9.8225,10.1475,1564800,0,1
2007-03-09,10.5625,10.5625,10.2225,10.315,1908000,0,1
2007-03-12,10.3,10.35,10.065,10.35,1056800,0,1
2007-03-13,10.35,10.385,9.4975,9.655,3052400,0,1
2007-03-14,9.725,10.05,9.565,10.0125,1387600,0,1
2007-03-15,10.0,10.0975,9.95,10.0,1298400,0,1
2007-03-16,10.0,10.2075,10.0,10.2025,1095600,0,1
2007-03-19,10.3475,10.7375,10.2825,10.5375,1832400,0,1
2007-03-20,10.5575,10.8,10.54,10.75,1219600,0,1
2007-03-21,10.7875,10.845,10.5425,10.75,596400,0,1
2007-03-22,10.75,10.9625,10.7125,10.9225,1538400,0,1
2007-03-23,10.9225,10.95,10.575,10.875,264800,0,1
2007-03-26,10.9475,10.9475,10.5875,10.745,696400,0,1
2007-03-27,10.875,10.92,10.7375,10.8425,892800,0,1
2007-03-28,10.78,10.835,10.7125,10.7475,424000,0,1
2007-03-29,10.75,10.8325,10.3275,10.405,706800,0,1
2007-03-30,10.395,10.4175,10.0625,10.1325,952000,0,1
2007-04-02,10.0,10.2475,10.0,10.1625,843600,0,1
2007-04-03,10.25,10.6125,10.25,10.425,801600,0,1
2007-04-04,10.3,10.475,10.3,10.475,467200,0,1
2007-04-05,10.3375,10.625,10.3175,10.6175,324800,0,1
2007-04-09,10.605,10.7525,10.55,10.555,545600,0,1
2007-04-10,10.555,10.805,10.555,10.745,718000,0,1
2007-04-11,10.75,10.7975,10.5575,10.595,239600,0,1
2007-04-12,10.595,10.7725,10.575,10.7,513600,0,1
2007-04-13,10.645,10.775,10.625,10.6725,545200,0,1
2007-04-16,10.895,11.725,10.7525,11.2825,3732400,0,1
2007-04-17,11.4325,11.5075,11.2825,11.445,1192000,0,1
2007-04-18,11.735,11.8725,11.2125,11.525,2470400,0,1
2007-04-19,10.9725,11.4925,10.875,11.3625,1108800,0,1
2007-04-20,11.5625,11.7375,11.45,11.5625,1364000,0,1
2007-04-23,11.975,12.16,11.7125,11.7275,1719600,0,1
2007-04-24,11.8325,11.8325,11.375,11.5025,969600,0,1
2007-04-25,11.8375,11.8475,11.5175,11.64,1048000,0,1
2007-04-26,11.395,11.705,11.355,11.525,747200,0,1
2007-04-27,11.5,12.0,11.47,11.975,4190400,0,1
2007-04-30,12.0,12.365,10.7825,10.9375,5186400,0,1
2007-05-01,11.0,11.3875,10.675,11.3125,2233600,0,1
2007-05-02,11.5,11.7725,11.375,11.5975,1406400,0,1
2007-05-03,11.75,12.0625,11.5875,11.975,1945200,0,1
2007-05-04,11.9625,11.9625,11.59,11.875,1084800,0,1
2007-05-07,11.875,12.0825,11.845,12.0,1083200,0,1
2007-05-08,12.0625,12.2675,11.9175,12.2475,1263600,0,1
2007-05-09,12.2475,12.4975,12.1975,12.485,1747200,0,1
2007-05-10,12.475,12.475,11.9475,11.9675,1333600,0,1
2007-05-11,12.0,12.355,11.9775,12.2825,674800,0,1
2007-05-14,12.245,12.245,11.7525,11.9625,878000,0,1
2007-05-15,12.0475,12.0725,11.5275,11.7025,1226400,0,1
2007-05-16,11.7475,11.7675,11.5625,11.75,527600,0,1
2007-05-17,11.7125,11.7125,11.3725,11.425,827600,0,1
2007-05-18,11.4275,11.5825,11.2925,11.385,831200,0,1
2007-05-21,11.625,12.1475,11.5525,12.0925,1786400,0,1
2007-05-22,12.375,12.55,12.375,12.51,1827600,0,1
2007-05-23,12.33,12.3325,11.7,11.76,1250400,0,1
2007-05-24,11.7125,12.0325,10.89,10.9825,2422000,0,1
2007-05-25,11.0375,11.4425,11.0,11.3675,2159200,0,1
