date,open,high,low,close,volume,dividend,split
2000-01-03,26.625,26.625,26.1875,26.3333,26100,0,1
2000-01-04,26.2083,26.2083,24.3333,24.3333,89100,0,1
2000-01-05,24.25,24.8542,24.0417,24.3333,83700,0,1
2000-01-06,24.3125,24.3125,23.0833,23.625,79500,0,1
2000-01-07,23.4583,23.6667,23.3333,23.5,66000,0,1
2000-01-10,23.5,23.5833,20.6667,21.375,170100,0,1
2000-01-11,21.0,22.7917,21.0,22.3542,98700,0,1
2000-01-12,22.4375,22.4792,21.25,21.5625,62100,0,1
2000-01-13,21.875,22.0417,21.3333,22.0417,357300,0,1
2000-01-14,22.5833,23.5833,22.0833,22.875,158400,0,1
2000-01-18,23.1667,24.0,23.125,23.5417,141600,0,1
2000-01-19,23.75,24.6458,23.75,24.6458,192900,0,1
2000-01-20,24.5833,24.9792,24.2917,24.8333,182400,0,1
2000-01-21,24.8333,25.3333,24.6042,24.6042,66600,0,1
2000-01-24,24.6667,24.6875,24.5625,24.625,72600,0,1
2000-01-25,24.5417,24.5833,24.0625,24.1042,138000,0,1
2000-01-26,24.0417,24.1042,23.4167,23.5417,38100,0,1
2000-01-27,23.375,23.9167,23.375,23.5,60600,0,1
2000-01-28,23.5,23.8125,22.8333,22.8333,67500,0,1
2000-01-31,22.875,23.0208,22.1458,22.3333,61800,0,1
2000-02-01,22.1667,22.4167,22.0625,22.4167,57000,0,1
2000-02-02,22.375,22.375,22.0833,22.1042,38100,0,1
2000-02-03,22.1875,22.4167,21.75,22.4167,74100,0,1
2000-02-04,22.4167,22.4167,21.375,21.5417,84000,0,1
2000-02-07,21.625,21.625,19.3333,20.7917,674200,0,1
2000-02-08,20.875,21.3333,20.1667,20.1667,91600,0,1
2000-02-09,20.3333,20.375,19.6667,19.875,69400,0,1
2000-02-10,19.8333,20.4167,19.75,19.875,215100,0,1
2000-02-11,20.0417,20.3333,19.9167,20.0833,173400,0,1
2000-02-14,20.25,20.25,18.8333,18.875,170700,0,1
2000-02-15,18.9583,19.0833,18.4583,18.4583,46500,0,1
2000-02-16,18.625,18.75,18.0833,18.5417,166500,0,1
2000-02-17,18.625,18.6667,17.9167,18.5833,129600,0,1
2000-02-18,18.6667,19.9167,18.6667,19.0,172600,0,1
2000-02-22,19.1667,19.625,18.8333,19.0,87400,0,1
2000-02-23,19.0,19.25,18.8333,18.875,57700,0,1
2000-02-24,18.9583,19.2917,18.1667,18.5,170100,0,1
2000-02-25,18.3333,18.5,18.1667,18.375,153100,0,1
2000-02-28,18.5417,19.5833,18.0833,19.4583,86100,0,1
2000-02-29,19.625,20.1667,19.625,20.0833,101500,0,1
2000-03-01,20.25,20.7917,20.25,20.7917,76000,0,1
2000-03-02,21.1667,21.5833,21.0833,21.375,64300,0,1
2000-03-03,21.375,22.0833,21.3333,21.3333,57000,0,1
2000-03-06,21.3333,21.3333,20.0417,20.2083,49200,0,1
2000-03-07,20.0417,20.0417,19.0833,19.4583,72600,0,1
2000-03-08,19.4583,19.4583,19.25,19.2917,61800,0,1
2000-03-09,19.4167,19.5833,19.1667,19.5833,67800,0,1
2000-03-10,19.5,20.6667,19.5,20.5417,57300,0,1
2000-03-13,20.4583,22.0833,20.4167,22.0833,108100,0,1
2000-03-14,22.2083,23.6667,21.2917,21.5,137800,0,1
2000-03-15,21.4167,21.4167,20.5833,20.625,27300,0,1
2000-03-16,20.6667,22.5417,20.1667,22.5417,57900,0,1
2000-03-17,21.8333,22.0,21.5,22.0,84700,0,1
2000-03-20,22.0833,22.25,20.6667,20.75,160200,0,1
2000-03-21,20.6667,20.6667,18.5,19.3333,293700,0,1
2000-03-22,19.3333,19.3333,18.0,18.0,252300,0,1
2000-03-23,17.9583,17.9583,16.7083,17.9167,291700,0,1
2000-03-24,18.0833,18.6667,18.0833,18.0833,180400,0,1
2000-03-27,18.0833,18.0833,17.4167,17.4167,377200,0,1
2000-03-28,17.5,17.6667,15.9167,17.4167,797500,0,1
2000-03-29,17.4583,17.5,16.5417,17.25,41500,0,1
2000-03-30,17.0833,17.2917,16.75,16.75,72100,0,1
2000-03-31,16.8333,18.1667,16.8333,18.0417,140800,0,1
2000-04-03,18.0417,18.0417,16.875,17.6667,147000,0,1
2000-04-04,17.5,17.6667,17.1667,17.5,298600,0,1
2000-04-05,17.375,18.0,17.3333,18.0,269200,0,1
2000-04-06,18.0,18.8333,18.0,18.8333,186100,0,1
2000-04-07,19.0,19.75,18.6667,19.5,193300,0,1
2000-04-10,19.3333,19.3333,18.6667,18.7917,174700,0,1
2000-04-11,18.9583,18.9583,18.0417,18.2083,90400,0,1
2000-04-12,18.2083,18.375,17.8333,18.1667,158400,0,1
2000-04-13,18.1667,19.0,18.1667,18.75,185800,0,1
2000-04-14,18.6667,18.6667,17.9167,18.375,134400,0,1
2000-04-17,18.2083,19.25,18.0833,19.1667,131400,0,1
2000-04-18,19.0,20.0,19.0,19.6667,157300,0,1
2000-04-19,19.8333,19.8333,19.3333,19.375,131700,0,1
2000-04-20,19.3333,20.0,19.2083,20.0,125100,0,1
2000-04-24,20.1667,20.2917,19.3333,20.0,93300,0,1
2000-04-25,19.6667,19.9583,19.4583,19.6667,97300,0,1
2000-04-26,19.8333,19.9167,19.0,19.6667,120300,0,1
2000-04-27,19.5,20.2083,19.1667,19.9583,118900,0,1
2000-04-28,19.7917,19.9583,19.1667,19.1667,75100,0,1
2000-05-01,19.3333,19.8333,19.3333,19.7917,70300,0,1
2000-05-02,19.625,20.0833,19.625,19.75,114600,0,1
2000-05-03,19.75,19.75,19.4583,19.7083,90100,0,1
2000-05-04,19.7083,20.0,19.7083,20.0,93900,0,1
2000-05-05,20.0,20.3333,20.0,20.3333,104200,0,1
2000-05-08,20.1667,20.3333,19.75,19.9583,74800,0,1
2000-05-09,19.9167,20.0833,19.5,19.75,99600,0,1
2000-05-10,19.6667,20.1667,19.5,20.1667,63100,0,1
2000-05-11,20.3333,20.5,19.3333,19.3333,91800,0,1
2000-05-12,19.25,19.375,19.0,19.2917,53400,0,1
2000-05-15,19.2917,19.2917,18.25,18.5,124600,0,1
2000-05-16,18.5,18.5,17.0,17.5833,156100,0,1
2000-05-17,17.5833,17.7917,17.1667,17.7083,230100,0,1
2000-05-18,16.5,16.5833,12.0,15.9583,2421400,0,1
2000-05-19,16.6667,16.6667,14.75,14.9583,386500,0,1
2000-05-22,14.9583,14.9583,14.1667,14.4167,137700,0,1
2000-05-23,14.4167,15.4167,12.6667,14.875,490800,0,1
2000-05-24,14.9583,16.25,14.875,16.0417,128700,0,1
2000-05-25,15.875,16.75,15.7083,15.875,156300,0,1
2000-05-26,15.75,16.3333,15.5833,16.2083,122700,0,1
2000-05-30,16.2917,17.0,16.0,16.9167,128500,0,1
2000-05-31,16.75,18.1667,16.0,17.1667,235800,0,1
2000-06-01,17.2083,18.3333,17.2083,18.0,138900,0,1
2000-06-02,17.9167,18.75,17.4583,18.125,122200,0,1
2000-06-05,18.2917,18.8333,18.2917,18.5833,142800,0,1
2000-06-06,18.6667,19.9167,18.3333,19.25,107100,0,1
2000-06-07,19.25,19.625,19.1667,19.2083,88800,0,1
2000-06-08,19.0417,19.2083,18.7083,18.9167,62800,0,1
2000-06-09,19.0833,19.2917,19.0833,19.125,38700,0,1
2000-06-12,19.2917,19.5,18.3333,19.3333,97200,0,1
2000-06-13,19.75,19.9167,18.3333,18.5833,118000,0,1
2000-06-14,18.75,18.75,18.1667,18.2083,40500,0,1
2000-06-15,18.2917,18.8333,18.1667,18.8333,64800,0,1
2000-06-16,18.8333,18.8333,18.1667,18.2917,135900,0,1
2000-06-19,18.375,18.4167,18.0,18.4167,32800,0,1
2000-06-20,18.25,18.5833,18.1667,18.375,95200,0,1
2000-06-21,18.4583,18.7083,18.2917,18.2917,76600,0,1
2000-06-22,18.375,18.375,18.0833,18.1667,64300,0,1
2000-06-23,18.0833,18.1667,17.9167,17.9583,18400,0,1
2000-06-26,17.7917,18.25,17.5,18.25,101400,0,1
2000-06-27,18.0833,18.7083,18.0833,18.6667,63300,0,1
2000-06-28,18.6667,20.1667,18.625,20.0833,124000,0,1
2000-06-29,20.0833,20.6667,19.6667,20.0,78900,0,1
2000-06-30,19.8333,20.6667,18.8333,18.8333,164800,0,1
2000-07-03,18.9167,19.0833,18.875,19.0,31800,0,1
2000-07-05,19.0,19.3333,18.6667,18.8333,51600,0,1
2000-07-06,18.8333,19.9167,18.8333,19.9167,106600,0,1
2000-07-07,19.9583,20.2917,19.6667,20.25,97500,0,1
2000-07-10,20.2083,21.0,20.0833,20.7917,121000,0,1
2000-07-11,20.9583,22.8333,20.875,22.2917,173500,0,1
2000-07-12,22.25,23.75,22.25,23.0417,250800,0,1
2000-07-13,23.125,23.125,22.6667,22.8333,51600,0,1
2000-07-14,22.75,23.125,22.75,22.9583,39700,0,1
2000-07-17,22.9583,23.2917,22.9583,23.0,62500,0,1
2000-07-18,22.8333,23.0,22.6667,22.7917,70600,0,1
2000-07-19,22.7083,22.7083,22.1667,22.1667,14700,0,1
2000-07-20,22.1667,22.5,22.125,22.4583,15900,0,1
2000-07-21,22.4583,22.625,21.5,21.5,25500,0,1
2000-07-24,21.5,21.9167,20.5833,21.5833,92200,0,1
2000-07-25,21.75,22.25,21.7083,21.875,32500,0,1
2000-07-26,21.7083,22.3333,21.5,22.3333,45700,0,1
2000-07-27,22.1667,22.1667,20.8333,21.0417,60400,0,1
2000-07-28,21.1667,21.1667,20.3333,20.4167,38700,0,1
2000-07-31,20.5833,22.0,20.5833,21.75,105900,0,1
2000-08-01,21.9167,22.25,21.75,21.7917,42900,0,1
2000-08-02,21.7083,22.4167,21.7083,22.0833,42300,0,1
2000-08-03,22.0,22.1667,21.9583,22.0,35400,0,1
2000-08-04,22.1667,22.9583,22.0833,22.6667,35700,0,1
2000-08-07,22.6667,23.0833,22.5833,22.8333,81600,0,1
2000-08-08,22.6667,22.75,22.625,22.625,8700,0,1
2000-08-09,22.625,22.625,22.0,22.0417,28500,0,1
2000-08-10,22.0833,23.0833,22.0833,22.875,84400,0,1
2000-08-11,22.7917,23.0,22.3333,22.3333,61900,0,1
2000-08-14,22.4167,22.9167,22.3333,22.7083,89400,0,1
2000-08-15,22.5833,22.8333,22.5,22.5,22900,0,1
2000-08-16,22.6667,23.0,22.5,22.7917,241200,0,1
2000-08-17,23.1667,23.75,23.0833,23.7083,138700,0,1
2000-08-18,23.8333,23.9167,22.6667,22.9167,87000,0,1
2000-08-21,23.0833,23.3333,23.0833,23.125,143800,0,1
2000-08-22,22.9583,22.9583,22.5833,22.5833,40600,0,1
2000-08-23,22.5833,23.2083,22.5417,22.9583,25500,0,1
2000-08-24,22.9167,22.9167,22.25,22.5833,41100,0,1
2000-08-25,22.8333,23.0833,22.7917,22.875,51300,0,1
2000-08-28,22.875,22.9167,22.2917,22.4167,19800,0,1
2000-08-29,22.2917,22.2917,22.0417,22.125,46300,0,1
2000-08-30,22.2083,22.4583,22.1667,22.4583,29800,0,1
2000-08-31,22.375,23.0,22.375,22.7917,45600,0,1
2000-09-01,22.9167,23.0417,22.75,22.9167,22800,0,1
2000-09-05,22.9167,22.9167,22.375,22.375,19300,0,1
2000-09-06,22.5,22.5417,22.2083,22.4583,20800,0,1
2000-09-07,22.5,23.0,22.5,23.0,106800,0,1
2000-09-08,23.0,23.0,22.1667,22.3333,43500,0,1
2000-09-11,22.4167,23.1667,22.4167,23.0,100000,0,1
2000-09-12,23.125,24.3333,23.125,24.25,134500,0,1
2000-09-13,24.3333,25.0,23.9167,24.9167,190000,0,1
2000-09-14,24.75,25.5417,24.75,25.1667,100000,0,1
2000-09-15,25.2083,25.25,24.5,25.2083,360300,0,1
2000-09-18,25.125,25.1667,24.4167,24.8333,153900,0,1
2000-09-19,24.8333,25.6667,24.75,25.625,76300,0,1
2000-09-20,25.625,25.625,24.8333,25.3229,169200,0,1
2000-09-21,25.3333,26.0,25.0,25.0833,120600,0,1
2000-09-22,24.9167,26.0833,24.6667,26.0833,93300,0,1
2000-09-25,26.0,26.6267,24.5,24.5,159600,0,1
2000-09-26,24.6667,25.7667,24.6667,25.0,71500,0,1
2000-09-27,25.1667,25.1667,24.0,24.0,51300,0,1
2000-09-28,24.1667,25.1333,23.5,25.1267,75000,0,1
2000-09-29,25.0667,26.1,25.0667,25.0667,78700,0,1
2000-10-02,25.0,25.1667,24.6,24.6333,35800,0,1
2000-10-03,24.6333,25.4867,24.6333,25.06,80700,0,1
2000-10-04,24.8933,26.3333,24.8333,26.0,226600,0,1
2000-10-05,25.8333,26.0,24.7467,24.9267,170700,0,1
2000-10-06,25.0667,25.3,24.7067,25.0733,56800,0,1
2000-10-09,25.0733,25.0733,24.1667,24.8333,44100,0,1
2000-10-10,24.8333,24.9667,23.6,23.8667,74400,0,1
2000-10-11,23.9333,24.2667,23.5667,24.2333,37000,0,1
2000-10-12,24.1333,24.6667,23.8667,24.2533,40200,0,1
2000-10-13,24.1333,25.6667,23.9333,25.1533,106900,0,1
2000-10-16,25.3333,25.5933,25.18,25.3467,112800,0,1
2000-10-17,25.2933,25.2933,24.52,24.6,62400,0,1
2000-10-18,24.0,24.86,23.7667,24.6067,66400,0,1
2000-10-19,24.7733,26.22,24.7733,26.1,138300,0,1
2000-10-20,26.0,26.5,26.0,26.1667,163300,0,1
2000-10-23,26.3333,26.6,25.1667,25.2667,70200,0,1
2000-10-24,25.4,25.4333,24.1333,24.3667,60000,0,1
2000-10-25,24.2,24.6333,23.3333,23.5733,62700,0,1
2000-10-26,23.6533,23.6533,23.0,23.1667,39900,0,1
2000-10-27,23.16,24.4667,23.16,24.4667,52500,0,1
2000-10-30,24.46,24.9,23.6667,24.0,60600,0,1
2000-10-31,24.1667,25.3333,24.1333,25.2467,106800,0,1
2000-11-01,25.3,25.6333,25.04,25.3333,119400,0,1
2000-11-02,24.5,25.0,24.5,24.9133,84600,0,1
2000-11-03,25.0,25.0,24.2,24.4,39900,0,1
2000-11-06,24.5667,25.1333,24.5667,24.8267,31600,0,1
2000-11-07,24.9333,24.9333,24.6667,24.7133,14500,0,1
2000-11-08,24.8333,25.3267,24.7333,24.8933,94200,0,1
2000-11-09,24.8667,24.9667,24.1667,24.2533,34000,0,1
2000-11-10,24.1,24.2,23.1667,23.2533,55300,0,1
2000-11-13,23.2,23.2,21.6667,22.8333,130300,0,1
2000-11-14,22.9667,23.7933,22.9667,23.6933,271900,0,1
2000-11-15,23.6933,23.8533,23.6,23.8533,132400,0,1
2000-11-16,23.7333,24.3,23.6333,24.0667,75700,0,1
