date,open,high,low,close,volume,dividend,split
2014-11-07,19.75,20.45,18.503,19.11,9931800,0,1
2014-11-10,19.1,19.19,18.08,18.42,856000,0,1
2014-11-11,18.5,19.37,17.0,18.51,596300,0,1
2014-11-12,18.06,18.51,18.0,18.3,183200,0,1
2014-11-13,18.05,18.99,18.05,18.21,325900,0,1
2014-11-14,18.5,19.08,18.25,18.84,274000,0,1
2014-11-17,19.19,19.49,18.53,19.2,295400,0,1
2014-11-18,19.1,20.299,19.1,19.45,338700,0,1
2014-11-19,19.1,19.55,18.6,18.7,209100,0,1
2014-11-20,18.65,18.65,17.3,17.59,632400,0,1
2014-11-21,17.6,18.18,17.06,17.2,230400,0,1
2014-11-24,17.11,17.85,16.59,17.66,381300,0,1
2014-11-25,17.49,17.93,17.42,17.8,438600,0,1
2014-11-26,17.68,17.68,17.0,17.09,355700,0,1
2014-11-28,16.91,16.91,16.388,16.71,266400,0,1
2014-12-01,16.73,16.76,15.8,16.73,661900,0,1
2014-12-02,17.0,17.95,16.773,17.23,1310900,0,1
2014-12-03,17.53,17.71,17.0,17.18,383600,0,1
2014-12-04,17.24,17.758,16.526,17.0,1017500,0,1
2014-12-05,17.03,17.26,16.56,16.88,1117400,0,1
2014-12-08,16.6,18.48,16.522,17.37,1120500,0,1
2014-12-09,17.5,17.59,16.89,17.48,895900,0,1
2014-12-10,16.5,18.82,16.4,18.52,1682500,0,1
2014-12-11,18.65,18.9,17.565,18.02,1070600,0,1
2014-12-12,17.86,18.0,16.885,17.14,738000,0,1
2014-12-15,16.88,17.58,16.75,16.93,892100,0,1
2014-12-16,16.58,17.3,16.58,16.95,725600,0,1
2014-12-17,17.06,18.02,15.8,16.45,593100,0,1
2014-12-18,16.69,16.92,16.17,16.22,575500,0,1
2014-12-19,16.06,16.18,14.61,15.01,2839900,0,1
2014-12-22,15.09,15.2,14.0,14.37,811000,0,1
2014-12-23,14.5,14.66,13.3,14.23,738600,0,1
2014-12-24,14.36,15.83,14.3,15.3,168800,0,1
2014-12-26,15.03,15.35,14.31,15.29,201300,0,1
2014-12-29,15.25,16.23,15.0,15.99,444500,0,1
2014-12-30,15.94,17.37,15.3,17.37,298400,0,1
2014-12-31,17.47,17.975,16.9,17.06,260200,0,1
