date,open,high,low,close,volume,dividend,split
2019-05-20,24.74,25.61,23.2,24.25,2719100,0,1
2019-05-21,24.31,24.5,22.4,22.66,1634900,0,1
2019-05-22,22.42,23.65,22.15,22.52,1105100,0,1
2019-05-23,22.16,23.38,22.0,22.5,1571800,0,1
2019-05-24,22.71,23.04,21.1,21.5,1145500,0,1
2019-05-28,21.51,22.36,21.51,21.98,625800,0,1
2019-05-29,21.81,21.96,19.74,21.26,827300,0,1
2019-05-30,21.41,21.952,21.26,21.79,232200,0,1
2019-05-31,21.58,21.58,20.3,20.8,715500,0,1
2019-06-03,20.8,20.8,19.33,20.04,974100,0,1
2019-06-04,20.26,21.0,19.52,20.92,350500,0,1
2019-06-05,20.83,20.83,19.52,19.77,604400,0,1
2019-06-06,19.93,20.27,19.4,20.13,526100,0,1
2019-06-07,20.18,21.44,20.18,21.24,570600,0,1
2019-06-10,21.51,23.1,21.51,22.86,866000,0,1
2019-06-11,22.9,23.1,21.0,22.87,1150900,0,1
2019-06-12,22.87,22.87,20.61,20.61,754800,0,1
2019-06-13,21.0,21.33,20.41,21.0,477700,0,1
2019-06-14,21.0,21.06,19.83,19.85,417300,0,1
2019-06-17,20.0,20.1,19.0,19.28,540500,0,1
2019-06-18,19.33,19.701,17.75,18.07,985800,0,1
2019-06-19,18.4,19.365,17.461,19.17,973400,0,1
2019-06-20,19.29,19.95,18.82,19.48,537400,0,1
2019-06-21,19.89,19.94,18.16,18.2,1295300,0,1
2019-06-24,18.5,18.8,17.26,17.5,755500,0,1
2019-06-25,17.49,17.91,16.81,17.13,1022800,0,1
2019-06-26,17.18,17.84,16.88,17.48,801300,0,1
2019-06-27,17.59,19.07,17.59,18.86,845700,0,1
2019-06-28,19.22,21.0,19.06,20.28,1088800,0,1
2019-07-01,20.5,21.74,20.33,20.47,839900,0,1
2019-07-02,20.64,21.35,19.99,20.13,601200,0,1
2019-07-03,20.21,21.0,20.04,20.55,396500,0,1
2019-07-05,20.5,21.5,20.17,21.1,311100,0,1
2019-07-08,21.06,21.1,20.2,20.38,386300,0,1
2019-07-09,20.25,20.62,19.411,19.5,675200,0,1
2019-07-10,19.6,20.0,18.92,19.44,454400,0,1
2019-07-11,19.48,20.65,19.28,20.05,648200,0,1
2019-07-12,20.09,21.2,19.656,21.08,409200,0,1
2019-07-15,21.2,22.23,21.06,22.14,495800,0,1
2019-07-16,22.3,22.46,20.96,21.28,566300,0,1
2019-07-17,21.29,21.9,20.931,21.63,380800,0,1
2019-07-18,21.55,21.92,21.21,21.36,205900,0,1
2019-07-19,21.55,22.12,21.38,21.89,533300,0,1
2019-07-22,22.09,22.09,21.21,21.53,375100,0,1
2019-07-23,21.82,22.0,21.375,21.78,367800,0,1
2019-07-24,21.96,22.45,21.62,22.0,478900,0,1
2019-07-25,21.97,23.22,21.8,22.97,766400,0,1
2019-07-26,23.14,24.83,22.8,24.68,894200,0,1
2019-07-29,24.9,25.55,22.62,23.37,934300,0,1
2019-07-30,23.23,23.44,22.72,23.19,553400,0,1
2019-07-31,23.19,23.42,21.51,21.7,1261800,0,1
2019-08-01,21.79,21.87,19.15,19.53,1193700,0,1
2019-08-02,19.6,20.29,18.75,18.94,886800,0,1
2019-08-05,18.5,19.935,17.51,19.8,680200,0,1
2019-08-06,20.13,20.86,19.95,20.74,576000,0,1
2019-08-07,20.8,20.81,19.03,19.58,1140500,0,1
2019-08-08,19.83,21.62,19.49,21.1,1153400,0,1
2019-08-09,15.7,17.99,15.5,17.29,4306700,0,1
2019-08-12,17.06,17.9,15.77,16.02,1012000,0,1
2019-08-13,15.81,16.48,15.71,15.95,947000,0,1
2019-08-14,16.43,16.44,14.5,14.85,934600,0,1
2019-08-15,14.98,15.83,14.12,15.77,670000,0,1
2019-08-16,16.21,17.49,15.8,16.39,1666100,0,1
2019-08-19,16.63,17.793,16.53,17.42,758500,0,1
2019-08-20,17.52,20.01,17.52,19.74,1473900,0,1
2019-08-21,20.24,21.94,20.12,21.0,1920700,0,1
2019-08-22,21.41,24.82,19.55,24.53,4902900,0,1
2019-08-23,25.21,27.98,24.0,25.0,5428600,0,1
2019-08-26,26.86,27.78,25.33,27.56,3481800,0,1
2019-08-27,28.04,29.97,27.77,29.41,3388200,0,1
2019-08-28,29.19,31.92,27.45,31.92,2774600,0,1
2019-08-29,33.15,34.88,27.57,27.94,5301900,0,1
2019-08-30,29.19,31.85,28.5,31.6,2631300,0,1
2019-09-03,31.0,31.54,28.8,31.02,1396900,0,1
2019-09-04,31.51,33.8,31.42,32.53,2181800,0,1
2019-09-05,33.99,35.248,32.774,33.81,1706900,0,1
2019-09-06,34.2,34.45,31.01,31.47,1341900,0,1
2019-09-09,31.62,32.085,26.5,27.23,3049700,0,1
2019-09-10,26.29,30.05,25.31,28.64,2122400,0,1
2019-09-11,29.0,33.8,28.64,32.3,2870500,0,1
