date,open,high,low,close,volume,dividend,split
2018-10-04,27.75,35.5,27.04,32.2,10336300,0,1
2018-10-05,31.89,32.69,28.75,29.2,1703300,0,1
2018-10-08,29.78,30.41,28.52,29.55,1061800,0,1
2018-10-09,29.63,32.56,28.73,31.51,719600,0,1
2018-10-10,31.51,32.68,30.66,30.92,1297400,0,1
2018-10-11,31.58,32.4,30.85,31.6,478500,0,1
2018-10-12,32.0,34.42,31.98,33.58,483800,0,1
2018-10-15,33.88,34.34,32.72,33.37,471300,0,1
2018-10-16,33.75,37.9,33.75,37.72,690400,0,1
2018-10-17,38.49,43.8,37.77,40.73,935900,0,1
2018-10-18,40.53,44.25,37.75,40.11,1296200,0,1
2018-10-19,40.51,43.25,35.38,35.79,774000,0,1
2018-10-22,36.01,38.37,35.52,37.41,363600,0,1
2018-10-23,36.46,36.5,33.43,34.48,502200,0,1
2018-10-24,34.06,37.84,34.06,34.71,308500,0,1
2018-10-25,34.55,35.24,32.18,35.14,379500,0,1
2018-10-26,34.82,35.72,33.6,34.99,329600,0,1
2018-10-29,36.0,37.0,31.52,32.59,516300,0,1
2018-10-30,31.99,34.24,31.01,34.07,340900,0,1
2018-10-31,34.41,35.89,33.05,33.48,340000,0,1
2018-11-01,33.64,35.77,33.34,34.23,295400,0,1
2018-11-02,34.16,40.22,34.16,40.11,453800,0,1
2018-11-05,40.07,40.98,35.13,35.13,523200,0,1
2018-11-06,35.0,37.43,35.0,35.69,374200,0,1
2018-11-07,35.92,38.0,35.71,36.86,392600,0,1
2018-11-08,37.05,38.29,36.8,38.18,198900,0,1
2018-11-09,38.15,38.5,35.5,38.1,453400,0,1
2018-11-12,38.1,39.97,38.1,39.12,339200,0,1
2018-11-13,39.65,39.65,37.2,37.67,388400,0,1
2018-11-14,38.0,38.37,36.66,37.26,254900,0,1
2018-11-15,37.5,38.13,36.3,37.5,288900,0,1
2018-11-16,37.25,37.6,36.87,37.25,138900,0,1
2018-11-19,37.22,37.74,32.15,33.62,507800,0,1
2018-11-20,33.66,35.85,31.06,34.74,542700,0,1
2018-11-21,34.76,38.0,33.69,37.16,680600,0,1
2018-11-23,38.69,38.83,37.25,38.4,393200,0,1
2018-11-26,39.79,40.0,38.0,39.81,643200,0,1
2018-11-27,39.35,39.99,37.01,38.05,492200,0,1
2018-11-28,38.5,39.45,37.62,37.73,264700,0,1
2018-11-29,37.5,37.87,37.05,37.55,341400,0,1
2018-11-30,38.17,38.69,35.43,35.73,893300,0,1
2018-12-03,36.7,46.28,36.38,45.94,2034500,0,1
2018-12-04,45.99,45.99,41.3,42.46,1196000,0,1
2018-12-06,41.5,46.27,40.28,46.1,798700,0,1
2018-12-07,46.4,49.55,44.13,45.01,1339200,0,1
2018-12-10,45.5,45.68,42.15,43.66,318900,0,1
2018-12-11,44.28,46.41,43.21,43.74,427800,0,1
2018-12-12,44.28,44.65,42.01,42.44,406000,0,1
2018-12-13,42.76,43.2,40.3,41.89,537000,0,1
2018-12-14,41.73,41.85,38.02,39.81,778000,0,1
2018-12-17,39.75,39.8,36.19,36.24,757700,0,1
2018-12-18,36.49,37.75,34.55,34.92,689300,0,1
2018-12-19,35.19,37.83,35.17,36.23,674000,0,1
2018-12-20,36.68,37.05,34.13,35.68,880500,0,1
2018-12-21,35.9,37.27,33.61,34.35,2787400,0,1
2018-12-24,33.51,34.92,32.4,32.53,304100,0,1
2018-12-26,32.82,35.99,32.33,35.46,427800,0,1
2018-12-27,34.93,36.01,33.68,35.63,351400,0,1
2018-12-28,35.92,38.54,35.79,37.71,468800,0,1
2018-12-31,38.03,38.65,36.38,37.59,361800,0,1
2019-01-02,37.16,38.64,35.36,36.5,524500,0,1
2019-01-03,36.17,36.17,33.7,34.3,414500,0,1
2019-01-04,34.82,36.99,34.0,36.2,559500,0,1
2019-01-07,36.39,39.2,36.22,38.14,349200,0,1
2019-01-08,38.69,39.98,38.0,39.93,411000,0,1
2019-01-09,40.8,40.87,39.36,39.97,445500,0,1
2019-01-10,39.23,41.62,38.54,41.54,456600,0,1
2019-01-11,41.52,43.48,40.8,42.94,380400,0,1
2019-01-14,42.88,43.3,39.49,39.53,479600,0,1
2019-01-15,39.69,41.99,39.69,40.08,425100,0,1
2019-01-16,40.47,41.2,39.67,40.34,233000,0,1
2019-01-17,40.31,41.8,40.24,41.39,264300,0,1
2019-01-18,41.48,42.28,40.47,41.25,234400,0,1
2019-01-22,41.0,41.87,39.71,40.61,242100,0,1
2019-01-23,41.0,41.3,39.37,39.99,200100,0,1
2019-01-24,40.0,40.39,39.1,39.47,199900,0,1
2019-01-25,39.82,40.46,38.71,39.25,709400,0,1
2019-01-28,39.51,41.41,39.05,41.14,380200,0,1
2019-01-29,41.14,41.87,40.47,40.47,142900,0,1
2019-01-30,40.5,40.84,38.81,39.86,260800,0,1
2019-01-31,39.73,41.8,39.28,40.34,251400,0,1
2019-02-01,40.09,40.51,39.07,40.2,184200,0,1
2019-02-04,40.19,41.0,39.31,39.9,232000,0,1
2019-02-05,40.0,42.49,39.51,42.02,391200,0,1
2019-02-06,41.92,42.9,40.86,41.27,128800,0,1
2019-02-07,41.11,41.34,39.63,39.97,184400,0,1
2019-02-08,39.95,40.5,38.88,39.92,217400,0,1
2019-02-11,39.85,41.68,39.13,41.43,289600,0,1
2019-02-12,41.43,42.44,41.24,42.03,173800,0,1
2019-02-13,42.29,43.83,41.61,43.06,245400,0,1
2019-02-14,43.02,49.12,42.3,48.87,1217500,0,1
2019-02-15,50.21,52.13,49.25,51.07,802400,0,1
2019-02-19,52.62,54.32,49.46,50.23,658300,0,1
2019-02-20,50.53,51.39,49.66,50.42,405400,0,1
2019-02-21,50.44,52.92,50.43,52.91,442800,0,1
2019-02-22,53.99,57.0,53.25,54.13,631600,0,1
2019-02-25,56.17,57.16,55.01,55.06,485900,0,1
2019-02-26,55.89,56.6,54.0,54.9,333600,0,1
2019-02-27,55.0,57.26,54.75,55.67,282400,0,1
2019-02-28,58.25,67.13,57.8,66.64,1084300,0,1
2019-03-01,67.51,74.47,67.0,70.59,1611700,0,1
2019-03-04,71.89,72.6,65.9,68.03,979200,0,1
2019-03-05,66.6,69.51,66.38,67.04,367300,0,1
2019-03-06,67.04,68.18,61.24,61.94,731800,0,1
2019-03-07,62.0,64.2,58.18,62.71,586100,0,1
2019-03-08,62.38,63.1,60.72,62.92,357000,0,1
2019-03-11,63.03,68.23,63.03,66.82,569600,0,1
2019-03-12,68.7,74.82,68.01,74.0,981600,0,1
2019-03-13,78.95,98.25,78.51,94.45,3711100,0,1
2019-03-14,95.01,100.74,94.15,97.51,2092000,0,1
2019-03-15,97.21,106.58,96.62,97.98,2242900,0,1
2019-03-18,98.05,101.4,87.13,93.5,1919000,0,1
2019-03-19,94.97,95.07,87.21,91.23,1318700,0,1
2019-03-20,91.09,91.24,87.04,88.08,813600,0,1
2019-03-21,87.95,90.0,83.96,85.07,1325100,0,1
