date,open,high,low,close,volume,dividend,split
2000-01-03,1.7852,1.8008,1.7168,1.7598,54070400,0,1
2000-01-04,1.7031,1.7188,1.6641,1.6797,38960000,0,1
2000-01-05,1.6797,1.6836,1.6445,1.666,24038400,0,1
2000-01-06,1.6562,1.7891,1.6562,1.7793,35760000,0,1
2000-01-07,1.7969,2.1016,1.7949,2.0508,67779200,0,1
2000-01-10,2.0586,2.4512,2.0508,2.3184,61219200,0,1
2000-01-11,2.3223,2.3242,2.0703,2.1064,46502400,0,1
2000-01-12,2.1367,2.1562,2.0352,2.0879,21923200,0,1
2000-01-13,2.1562,2.207,2.0938,2.2031,23811200,0,1
2000-01-14,2.2178,2.2593,2.125,2.1523,38908800,0,1
2000-01-18,2.1484,2.1504,1.9648,2.1387,38672000,0,1
2000-01-19,2.1211,2.1211,1.8711,1.9648,81686400,0,1
2000-01-20,2.0449,2.0469,1.8359,1.9551,39651200,0,1
2000-01-21,1.959,2.0215,1.9375,1.9492,25081600,0,1
2000-01-24,2.002,2.002,1.7305,1.7324,51062400,0,1
2000-01-25,1.75,1.7793,1.6406,1.7695,38486400,0,1
2000-01-26,1.7754,1.7754,1.6328,1.6865,29126400,0,1
2000-01-27,1.709,1.7207,1.5469,1.5508,23321600,0,1
2000-01-28,1.5625,1.5977,1.4434,1.5303,44937600,0,1
2000-01-31,1.5371,1.6328,1.4023,1.4629,23894400,0,1
2000-02-01,1.4492,1.5234,1.4336,1.4434,31091200,0,1
2000-02-02,1.457,1.5312,1.418,1.4355,40953600,0,1
2000-02-03,1.4688,1.4727,1.3984,1.4062,39974400,0,1
2000-02-04,1.4375,1.4688,1.4102,1.4609,34313600,0,1
2000-02-07,1.4844,1.748,1.4531,1.6973,55174400,0,1
2000-02-08,1.7324,1.8672,1.6719,1.8535,42739200,0,1
2000-02-09,1.8887,1.9062,1.6953,1.7168,36944000,0,1
2000-02-10,1.7549,1.832,1.6719,1.73,31875200,0,1
2000-02-11,1.7324,1.7695,1.668,1.748,35638400,0,1
2000-02-14,1.7549,1.8906,1.7539,1.877,34112000,0,1
2000-02-15,1.8906,2.0,1.8594,1.9844,52416000,0,1
2000-02-16,2.0,2.125,1.9922,2.0,65075200,0,1
2000-02-17,2.0977,2.3711,2.0977,2.3281,72723200,0,1
2000-02-18,2.2812,2.5156,2.209,2.4082,75715200,0,1
2000-02-22,2.3633,2.3906,2.1328,2.3408,44249600,0,1
2000-02-23,2.3887,2.4141,2.3125,2.3672,25321600,0,1
2000-02-24,2.3945,2.4336,2.2578,2.293,22582400,0,1
2000-02-25,2.375,2.3906,2.0938,2.2607,35862400,0,1
2000-02-28,2.209,2.2891,2.1523,2.2168,28585600,0,1
2000-02-29,2.2227,2.3984,2.2188,2.3906,23766400,0,1
2000-03-01,2.3691,2.541,2.3691,2.499,36835200,0,1
2000-03-02,2.5234,2.5625,2.3945,2.4375,16652800,0,1
2000-03-03,2.4688,2.5898,2.4375,2.4961,16841600,0,1
2000-03-06,2.5078,2.6406,2.4648,2.5742,22163200,0,1
2000-03-07,2.6133,2.6562,2.2891,2.3965,19222400,0,1
2000-03-08,2.5239,2.5312,2.2344,2.3105,15993600,0,1
2000-03-09,2.3438,2.375,2.2188,2.2383,14304000,0,1
2000-03-10,2.2812,2.3164,2.168,2.2402,18297600,0,1
2000-03-13,2.1504,2.2148,2.084,2.1172,18227200,0,1
2000-03-14,2.1543,2.3047,2.0,2.1211,43184000,0,1
2000-03-15,2.1445,2.1914,1.9961,1.998,23276800,0,1
2000-03-16,2.1875,2.1934,2.0156,2.0664,17696000,0,1
2000-03-17,2.0234,2.1797,1.9375,1.9922,18880000,0,1
2000-03-20,1.9883,2.1562,1.7344,1.7949,29299200,0,1
2000-03-21,1.793,1.9102,1.6641,1.7793,48233600,0,1
2000-03-22,1.8613,2.0156,1.8516,2.002,17088000,0,1
2000-03-23,2.1094,2.2383,2.0625,2.1758,43878400,0,1
2000-03-24,2.1836,2.2734,2.168,2.1992,18467200,0,1
2000-03-27,2.248,2.2539,2.1172,2.1816,17868800,0,1
2000-03-28,2.2383,2.3359,2.1758,2.2012,13974400,0,1
2000-03-29,2.25,2.3438,2.0312,2.082,21843200,0,1
2000-03-30,2.0254,2.0254,1.8438,1.8438,29782400,0,1
2000-03-31,1.9258,2.0078,1.9062,1.9805,32233600,0,1
2000-04-03,1.9219,1.9844,1.875,1.877,19635200,0,1
2000-04-04,1.8984,1.9199,1.7148,1.8516,23440000,0,1
2000-04-05,1.8516,2.0312,1.793,1.9453,35942400,0,1
2000-04-06,2.0527,2.1016,1.9531,2.061,28924800,0,1
2000-04-07,2.1094,2.1094,1.9688,1.9785,24265600,0,1
2000-04-10,1.9922,2.0391,1.9219,1.9375,15536000,0,1
2000-04-11,1.9609,1.9668,1.8203,1.9531,18240000,0,1
2000-04-12,1.918,1.9219,1.7539,1.8184,20832000,0,1
2000-04-13,1.8379,1.9414,1.7109,1.9023,24284800,0,1
2000-04-14,1.9043,1.9062,1.7109,1.7285,18460800,0,1
2000-04-17,1.7051,1.7188,1.5781,1.5898,32432000,0,1
2000-04-18,1.6016,1.7344,1.5684,1.709,31932800,0,1
2000-04-19,1.7578,1.7578,1.625,1.6255,14256000,0,1
2000-04-20,1.6836,1.6836,1.5215,1.6016,20832000,0,1
2000-04-24,1.625,1.625,1.457,1.5352,8732800,0,1
2000-04-25,1.5645,1.5781,1.4961,1.498,17948800,0,1
2000-04-26,1.5293,1.5312,1.3984,1.4375,23382400,0,1
2000-04-27,1.418,1.418,1.3516,1.3574,20278400,0,1
2000-04-28,1.416,1.6992,1.3906,1.6934,31238400,0,1
2000-05-01,1.6895,1.7695,1.5234,1.7422,24006400,0,1
2000-05-02,1.7793,1.875,1.6328,1.7891,22195200,0,1
2000-05-03,1.7949,1.7969,1.6641,1.6758,12617600,0,1
2000-05-04,1.709,2.0234,1.7012,1.9746,32393600,0,1
2000-05-05,1.8926,2.2104,1.8359,2.1562,41792000,0,1
2000-05-08,2.125,2.1406,2.0078,2.0977,22076800,0,1
2000-05-09,2.1152,2.1484,2.0273,2.0332,28553600,0,1
2000-05-10,2.0117,2.0156,1.8633,1.9375,14000000,0,1
2000-05-11,1.9531,2.0527,1.9219,1.939,7113600,0,1
2000-05-12,1.9355,1.9609,1.9004,1.9434,11344000,0,1
2000-05-15,1.9473,2.0156,1.8438,2.0137,7756800,0,1
2000-05-16,2.0117,2.1562,2.0117,2.1289,15056000,0,1
2000-05-17,2.123,2.125,2.0176,2.0508,22387200,0,1
2000-05-18,2.0625,2.0625,1.9609,1.9648,16163200,0,1
2000-05-19,1.9766,1.9766,1.8359,1.8687,10886400,0,1
2000-05-22,1.875,1.9141,1.7852,1.8672,10668800,0,1
2000-05-23,1.8535,1.9141,1.8359,1.8926,17440000,0,1
2000-05-24,1.8789,2.0815,1.8398,2.0293,19913600,0,1
2000-05-25,2.0254,2.1074,1.9219,1.9336,12307200,0,1
2000-05-26,1.7651,1.7676,1.6094,1.6602,31942400,0,1
2000-05-30,1.6953,1.7539,1.543,1.7539,29011200,0,1
2000-05-31,1.7461,1.7539,1.6992,1.709,6003200,0,1
2000-06-01,1.75,1.7852,1.7188,1.7695,5356800,0,1
2000-06-02,1.8105,1.9551,1.7773,1.9492,9289600,0,1
2000-06-05,1.9141,1.9336,1.8223,1.875,8361600,0,1
2000-06-06,1.8945,2.0469,1.8711,1.9414,10672000,0,1
2000-06-07,1.9688,2.0703,1.8906,2.0625,13897600,0,1
2000-06-08,2.0723,2.0723,1.875,1.8848,12883200,0,1
2000-06-09,1.918,2.1367,1.916,2.0781,18563200,0,1
