date,open,high,low,close,volume,dividend,split
2004-08-19,49.8133,51.8357,47.8008,49.9827,44871300,0,1
2004-08-20,50.3164,54.3363,50.0624,53.9528,22942800,0,1
2004-08-23,55.1682,56.5281,54.3214,54.4957,18342800,0,1
2004-08-24,55.4123,55.5916,51.5916,52.2392,15319700,0,1
2004-08-25,52.284,53.7984,51.746,52.8021,9232100,0,1
2004-08-26,52.279,53.7734,52.1346,53.7535,7128600,0,1
2004-08-27,53.8482,54.1072,52.6477,52.8768,6241200,0,1
2004-08-30,52.4434,52.548,50.8145,50.8145,5221400,0,1
2004-08-31,50.959,51.6614,50.8893,50.9939,4941200,0,1
2004-09-01,51.1582,51.2927,49.6489,49.9378,9181600,0,1
2004-09-02,49.4098,50.9939,49.2853,50.5655,15190400,0,1
2004-09-03,50.2865,50.68,49.4746,49.8183,5176800,0,1
2004-09-07,50.3164,50.8096,49.619,50.6003,5875200,0,1
2004-09-08,50.1819,51.3226,50.0624,50.959,5009200,0,1
2004-09-09,51.0736,51.1632,50.3114,50.964,4080900,0,1
2004-09-10,50.6103,53.081,50.4609,52.4683,8740200,0,1
2004-09-13,53.1159,54.0026,53.0312,53.5493,7881300,0,1
2004-09-14,53.5244,55.7909,53.1956,55.5368,10880300,0,1
2004-09-15,55.0736,56.9017,54.8942,55.7909,10763900,0,1
2004-09-16,55.9602,57.6838,55.6165,56.7722,9310200,0,1
2004-09-17,56.9964,58.5256,56.563,58.5256,9517400,0,1
2004-09-20,58.2566,60.573,58.167,59.4571,10679200,0,1
2004-09-21,59.6813,59.9852,58.5356,58.7,7263000,0,1
2004-09-22,58.4808,59.6116,58.1869,58.969,7617100,0,1
2004-09-23,59.1981,61.086,58.2915,60.1844,8576100,0,1
2004-09-24,60.2442,61.8183,59.6564,59.6913,9166700,0,1
2004-09-27,59.5568,60.2143,58.6801,58.9092,7099600,0,1
2004-09-28,60.4235,63.4621,59.8806,63.1931,17009400,0,1
2004-09-29,63.1134,67.2579,62.8793,65.2953,30661400,0,1
2004-09-30,64.7075,65.903,64.2591,64.558,13823300,0,1
2004-10-01,65.1558,66.8694,64.2093,66.0425,15196700,0,1
2004-10-04,67.3725,68.1794,66.7647,67.2778,13084600,0,1
2004-10-05,67.0786,69.0063,65.8731,68.9266,15044200,0,1
2004-10-06,68.5182,68.9665,67.7461,68.2841,13444900,0,1
2004-10-07,68.2044,69.6788,68.02,69.1657,14182100,0,1
2004-10-08,69.101,69.5792,68.2542,68.6078,11122000,0,1
2004-10-11,68.2442,69.1707,66.6751,67.3774,10521800,0,1
2004-10-12,66.969,68.5481,66.4509,68.4435,11720800,0,1
2004-10-13,71.3924,71.507,69.7785,70.1869,19860000,0,1
2004-10-14,70.2417,70.9242,69.0213,70.7349,10491700,0,1
2004-10-15,72.1944,72.4783,70.71,71.7859,13257400,0,1
2004-10-18,71.3326,74.3214,70.3413,74.3015,14103000,0,1
2004-10-19,74.969,75.9155,73.3999,73.6938,18195900,0,1
2004-10-20,73.7386,74.2168,69.5394,69.9827,22830600,0,1
2004-10-21,71.9304,74.7847,70.5456,74.4111,29288200,0,1
2004-10-22,84.9516,89.7486,81.7336,85.8931,74060200,0,1
2004-10-25,87.8706,96.852,85.9528,93.3501,65773900,0,1
2004-10-26,92.8221,95.9603,89.6639,90.5606,44781400,0,1
2004-10-27,91.0188,94.4061,90.5456,92.6378,26813100,0,1
2004-10-28,92.9914,96.832,92.4535,96.2891,29804800,0,1
2004-10-29,99.0736,99.6017,94.9441,94.9641,42483600,0,1
2004-11-01,96.4136,98.4659,95.2779,97.649,24541300,0,1
2004-11-02,99.0189,99.253,96.309,97.0712,22777500,0,1
2004-11-03,98.72,100.4236,95.0188,95.4771,27881400,0,1
2004-11-04,93.8682,94.8445,91.3327,92.0051,28927200,0,1
2004-11-05,90.6502,90.8096,83.9603,84.3588,39814800,0,1
2004-11-08,85.1459,87.3924,84.3837,85.9528,22467400,0,1
2004-11-09,86.7249,87.2729,82.3264,84.035,22211300,0,1
2004-11-10,85.0163,85.9379,82.8544,83.6166,21367700,0,1
2004-11-11,84.2492,91.5319,83.4721,91.1683,30083200,0,1
2004-11-12,92.2691,94.5456,88.3688,90.6602,33617600,0,1
2004-11-15,89.8881,93.8084,89.0413,92.0898,23892200,0,1
2004-11-16,88.4186,89.3999,85.096,85.9478,41991500,0,1
2004-11-17,84.1944,88.4186,84.1845,85.9279,36401600,0,1
2004-11-18,84.827,86.8843,82.5556,83.4572,33383800,0,1
2004-11-19,84.2343,84.6726,82.9491,84.3837,17604300,0,1
2004-11-22,81.9279,84.4335,80.3538,82.2417,24829000,0,1
2004-11-23,83.6714,85.096,82.9391,83.4472,24919600,0,1
2004-11-24,87.0836,88.2741,85.9329,87.0537,30676400,0,1
2004-11-26,87.5718,89.6789,87.3327,89.3601,13008700,0,1
2004-11-29,89.8432,91.1334,88.4236,90.187,21413100,0,1
2004-11-30,90.0176,91.1583,89.7885,90.6502,15457600,0,1
2004-12-01,90.6353,90.9092,89.4398,89.644,15787100,0,1
2004-12-02,89.6141,90.4161,88.9416,89.365,12568700,0,1
2004-12-03,89.639,90.1919,88.4684,89.8632,11782300,0,1
2004-12-06,89.2305,90.0126,87.6814,87.8158,12554800,0,1
2004-12-07,87.6714,87.771,84.9566,85.3949,13793200,0,1
2004-12-08,84.8569,86.5157,84.05,84.6726,15140000,0,1
2004-12-09,84.8071,86.4261,83.9204,86.3912,15365300,0,1
2004-12-10,86.3912,87.1135,85.3252,85.5045,8666700,0,1
2004-12-13,85.7635,86.2667,84.4086,84.9067,9673200,0,1
2004-12-14,85.1807,89.0761,84.4833,89.0114,22259800,0,1
2004-12-15,88.6627,90.0076,88.0002,89.5543,23027900,0,1
2004-12-16,88.1446,89.908,87.6465,87.9055,17209800,0,1
2004-12-17,88.05,89.913,87.9454,89.7038,14827600,0,1
2004-12-20,90.6602,93.8781,90.5954,92.1645,19742600,0,1
2004-12-21,92.8071,93.5892,91.3576,91.5319,11073900,0,1
2004-12-22,91.6066,93.0761,91.1633,92.8022,7843200,0,1
2004-12-23,93.375,93.9479,92.6527,93.5992,7256200,0,1
2004-12-27,94.2218,96.2891,94.1969,95.5967,12253900,0,1
2004-12-28,95.6963,96.4136,95.1484,96.0201,8322500,0,1
2004-12-29,95.5319,96.3987,95.5319,96.0898,5376200,0,1
2004-12-30,96.1247,98.7449,95.5668,98.4311,11852800,0,1
2004-12-31,99.243,99.5668,95.9205,96.035,15394400,0,1
2005-01-03,98.3314,101.4398,97.3651,100.9765,31807000,0,1
2005-01-04,100.324,101.0861,96.3787,96.8868,27614900,0,1
2005-01-05,96.3638,98.0824,95.7561,96.3937,16534800,0,1
2005-01-06,97.1758,97.5842,93.5095,93.923,20851900,0,1
2005-01-07,94.9641,96.7623,94.0375,96.5631,19398200,0,1
2005-01-10,96.8868,98.6801,95.5568,97.1658,15135600,0,1
2005-01-11,97.4448,98.4858,96.2293,96.4086,13969500,0,1
2005-01-12,96.8022,97.5992,94.8943,97.3252,16416800,0,1
2005-01-13,97.3252,98.3264,96.6627,97.3003,13750000,0,1
2005-01-14,97.634,99.6316,96.7025,99.6116,19352700,0,1
2005-01-18,100.1098,102.1272,98.9591,101.5693,26443900,0,1
2005-01-19,101.9429,102.2667,97.9877,98.2816,22599700,0,1
2005-01-20,95.8906,97.7586,95.6415,96.5979,18070600,0,1
2005-01-21,96.9068,97.3152,93.7088,93.7885,18586100,0,1
2005-01-24,93.9927,94.3115,89.8233,90.0226,28150400,0,1
2005-01-25,90.6303,90.7797,87.8158,88.2293,21398200,0,1
2005-01-26,89.3003,94.3513,89.2405,94.2667,24708000,0,1
2005-01-27,94.0276,94.0774,92.2542,93.6888,13304400,0,1
2005-01-28,94.6552,96.9865,92.8221,94.8146,24507900,0,1
2005-01-31,96.4834,97.8134,95.502,97.4448,19265200,0,1
2005-02-01,96.8271,97.9628,94.9591,95.5917,37819100,0,1
2005-02-02,107.3725,107.9952,101.4497,102.5954,65844300,0,1
2005-02-03,102.6104,106.2866,102.5207,105.0363,26073400,0,1
2005-02-04,102.8495,103.4871,100.9217,101.7984,29749600,0,1
2005-02-07,102.2468,102.8146,97.39,97.649,26017900,0,1
2005-02-08,98.1123,99.6365,96.9018,98.9491,23045900,0,1
2005-02-09,100.0052,100.4236,94.3763,95.4323,34471600,0,1
2005-02-10,95.6266,95.7461,92.2791,93.639,38107600,0,1
2005-02-11,92.9815,95.8009,92.6876,93.3501,26330200,0,1
2005-02-14,91.0836,96.1795,90.162,96.1347,77413400,0,1
2005-02-15,96.4385,99.5469,96.1795,97.2505,51758800,0,1
2005-02-16,96.9865,99.2928,96.7872,98.8345,33188400,0,1
2005-02-17,98.5456,99.502,98.0375,98.5805,20906800,0,1
2005-02-18,98.8844,99.0487,97.9628,98.6054,17035300,0,1
2005-02-22,97.8831,99.0786,94.8395,95.3277,27068400,0,1
2005-02-23,96.2891,96.8769,93.9777,96.6129,31288700,0,1
2005-02-24,91.3426,94.5705,90.7748,94.0923,51822000,0,1
2005-02-25,94.2218,94.6054,92.4086,92.588,20021700,0,1
2005-02-28,92.6527,94.5805,92.578,93.644,15695300,0,1
2005-03-01,94.2916,94.5207,90.6602,92.6826,18692100,0,1
2005-03-02,92.6278,93.4846,91.8358,92.2442,14625500,0,1
2005-03-03,92.7175,93.5244,91.8109,93.1558,15274200,0,1
2005-03-04,93.0014,93.2754,92.1895,92.6029,13598900,0,1
2005-03-07,93.5394,94.446,93.1658,94.0525,17399700,0,1
2005-03-08,94.1969,94.5705,92.1396,92.2542,16152400,0,1
2005-03-09,91.7611,91.9802,89.7436,90.3364,22805900,0,1
2005-03-10,90.167,90.2617,88.3688,89.654,22003100,0,1
2005-03-11,89.8831,90.1371,88.2442,88.568,16116700,0,1
2005-03-14,88.832,88.8669,85.9628,87.1683,22376600,0,1
2005-03-15,87.3227,89.6639,86.7797,88.9715,20922200,0,1
2005-03-16,88.0201,88.9715,87.1782,87.4721,14265800,0,1
2005-03-17,88.2343,89.4846,87.5718,89.3102,16583100,0,1
2005-03-18,89.0711,89.8632,88.8221,89.6838,14233000,0,1
2005-03-21,89.3003,90.7449,88.2941,90.1023,15023400,0,1
2005-03-22,90.2517,90.6303,88.5929,88.9665,11305500,0,1
2005-03-23,88.6527,89.7835,88.6527,89.1558,9726200,0,1
2005-03-24,90.0126,90.0923,89.2654,89.2903,7438100,0,1
2005-03-28,90.5008,92.055,90.1371,90.3713,17541400,0,1
2005-03-29,90.187,91.2978,88.7025,89.4497,12994400,0,1
2005-03-30,89.9827,90.3862,89.4647,89.8881,12518800,0,1
2005-03-31,88.6427,90.3563,88.4883,89.918,13587900,0,1
2005-04-01,90.5406,91.1334,89.6589,89.6838,12410200,0,1
2005-04-04,89.639,92.314,89.5842,92.299,16213200,0,1
2005-04-05,93.5145,94.7748,93.4348,93.9329,17538800,0,1
2005-04-06,94.2667,94.4709,93.4398,94.2567,10544500,0,1
2005-04-07,94.0375,96.9466,93.9678,96.5182,19456900,0,1
2005-04-08,96.4834,97.1857,95.3675,95.6664,10271500,0,1
2005-04-11,96.1845,97.0363,95.8009,96.2542,10861500,0,1
2005-04-12,96.1396,96.847,94.3513,96.6179,14694000,0,1
2005-04-13,96.3738,96.7972,94.5107,96.1048,13160700,0,1
2005-04-14,96.2741,96.8171,94.6951,95.3675,12351500,0,1
2005-04-15,94.6951,94.8146,91.9852,92.1546,23241500,0,1
2005-04-18,91.9454,93.5892,91.4024,93.1359,13149700,0,1
2005-04-19,94.3115,95.6415,93.6639,95.3426,16923100,0,1
2005-04-20,98.9192,99.8756,97.5892,98.6801,31018800,0,1
2005-04-21,99.8358,102.1172,99.2878,101.7287,35636800,0,1
2005-04-22,111.0338,111.5818,106.7299,107.5021,66659100,0,1
2005-04-25,108.5033,111.9504,108.3539,111.3476,39828600,0,1
2005-04-26,109.6988,110.5855,108.7374,108.9666,34673400,0,1
2005-04-27,108.588,110.0126,107.9653,109.4796,20606500,0,1
2005-04-28,109.3402,110.6254,108.4485,109.3153,17430600,0,1
2005-04-29,110.5407,110.71,108.5033,109.5892,18409100,0,1
2005-05-02,110.6104,111.4323,109.6938,110.73,19607900,0,1
2005-05-03,110.5108,113.649,110.2468,112.6727,35693600,0,1
2005-05-04,113.1907,114.5108,113.0762,113.8234,24257500,0,1
2005-05-05,113.8831,113.8831,112.5183,113.0662,15075400,0,1
2005-05-06,113.7736,114.197,112.8121,113.5843,13578400,0,1
2005-05-09,113.5743,113.8234,112.2941,112.588,11115000,0,1
2005-05-10,112.314,113.4747,111.9404,113.4747,12739000,0,1
2005-05-11,114.0575,115.5569,113.5394,115.2132,23043500,0,1
2005-05-12,114.9741,115.6814,113.6739,113.933,17963300,0,1
2005-05-13,114.1621,115.1135,113.2356,114.192,14886500,0,1
2005-05-16,114.4112,115.3775,113.8582,115.0936,11405300,0,1
2005-05-17,114.8495,116.2891,114.6702,116.1297,15676300,0,1
2005-05-18,116.3688,119.5369,116.324,119.1335,24716200,0,1
2005-05-19,119.7213,120.1347,118.6901,119.1434,19505800,0,1
2005-05-20,120.1546,120.3838,119.3775,120.3539,16388100,0,1
2005-05-23,121.126,128.5681,120.9018,127.248,42936800,0,1
2005-05-24,128.0002,132.2244,126.2767,127.522,58303800,0,1
2005-05-25,125.8931,130.0027,124.847,129.918,36251100,0,1
2005-05-26,129.9928,131.3875,128.6677,129.116,27194600,0,1
2005-05-27,129.7437,132.5282,129.1409,132.5033,24459400,0,1
2005-05-31,134.2119,138.6802,134.1821,138.1173,44640200,0,1
2005-06-01,141.0712,145.8981,140.4834,143.4623,70647100,0,1
2005-06-02,143.8259,144.3489,141.7686,143.4125,36082800,0,1
2005-06-03,142.8595,144.1098,138.187,139.6067,37705300,0,1
2005-06-06,140.6677,146.3265,140.3888,144.9268,45220600,0,1
2005-06-07,147.9953,149.2356,144.608,146.0127,48828200,0,1
2005-06-08,145.8782,146.0476,138.4809,139.258,51594400,0,1
2005-06-09,141.8284,143.7113,139.7562,142.6204,33005300,0,1
2005-06-10,142.9592,143.1036,139.4872,140.7225,25488200,0,1
2005-06-13,139.3875,141.5644,137.7437,140.8471,25702300,0,1
2005-06-14,138.7748,140.0949,138.3564,138.6553,20259300,0,1
2005-06-15,136.9865,138.1322,133.2157,136.8869,41922600,0,1
2005-06-16,136.6179,138.6304,136.0251,138.202,25018100,0,1
2005-06-17,138.9791,139.6266,137.4349,139.6266,20946900,0,1
2005-06-20,137.5295,143.2979,135.3577,142.8147,42206900,0,1
2005-06-21,143.4971,144.608,141.9529,143.3826,30377900,0,1
2005-06-22,144.2941,145.6142,143.796,144.1098,21026400,0,1
2005-06-23,143.4623,146.8546,142.7151,144.3141,28218100,0,1
2005-06-24,144.9069,148.4436,144.2493,148.07,35675500,0,1
2005-06-27,148.8919,151.6665,146.3813,151.4822,35739200,0,1
2005-06-28,152.5681,154.0476,150.4361,150.4361,38215600,0,1
2005-06-29,150.6852,151.6217,145.5295,145.8135,36734400,0,1
2005-06-30,146.6204,148.9069,144.9766,146.5258,30301800,0,1
2005-07-01,146.9691,147.5669,144.07,145.0812,18524300,0,1
2005-07-05,145.5046,147.4374,144.5731,147.3029,15044000,0,1
2005-07-06,148.0949,148.2443,145.146,145.2157,16060500,0,1
2005-07-07,144.1547,147.3477,143.7163,147.2182,21424100,0,1
2005-07-08,147.5719,148.1945,146.476,147.5619,14971000,0,1
2005-07-11,147.6466,147.7462,144.9666,146.1273,16843400,0,1
2005-07-12,146.1472,146.6503,144.9218,145.3452,11773700,0,1
2005-07-13,145.7088,149.0613,145.5046,148.872,22961400,0,1
2005-07-14,152.0999,152.8023,149.4747,149.8832,21415300,0,1
2005-07-15,150.0575,151.1335,149.3303,150.0326,16939900,0,1
2005-07-18,149.4399,150.3863,148.3191,149.2107,12462100,0,1
2005-07-19,150.4859,154.5955,150.3365,154.3714,25337300,0,1
2005-07-20,152.2145,155.7213,150.3365,155.4174,28728000,0,1
