date,open,high,low,close,volume,dividend,split
2004-08-19,50.05,52.0821,48.028,50.2202,44659000,0,1
2004-08-20,50.5556,54.5946,50.3003,54.2092,22834300,0,1
2004-08-23,55.4304,56.7968,54.5796,54.7548,18256100,0,1
2004-08-24,55.6757,55.8559,51.8368,52.4875,15247300,0,1
2004-08-25,52.5325,54.0541,51.992,53.0531,9188600,0,1
2004-08-26,52.5275,54.029,52.3824,54.009,7094800,0,1
2004-08-27,54.1041,54.3644,52.8979,53.1281,6211700,0,1
2004-08-30,52.6927,52.7978,51.0561,51.0561,5196700,0,1
2004-08-31,51.2012,51.9069,51.1311,51.2362,4917800,0,1
2004-09-01,51.4014,51.5365,49.8849,50.1752,9138200,0,1
2004-09-02,49.6446,51.2362,49.5195,50.8058,15118600,0,1
2004-09-03,50.5255,50.9209,49.7097,50.0551,5152400,0,1
2004-09-07,50.5556,51.0511,49.8549,50.8408,5847500,0,1
2004-09-08,50.4204,51.5666,50.3003,51.2012,4985600,0,1
2004-09-09,51.3163,51.4064,50.5506,51.2062,4061700,0,1
2004-09-10,50.8508,53.3333,50.7007,52.7177,8698800,0,1
2004-09-13,53.3684,54.2593,53.2833,53.8038,7844100,0,1
2004-09-14,53.7788,56.0561,53.4484,55.8008,10828900,0,1
2004-09-15,55.3353,57.1722,55.1552,56.0561,10713000,0,1
2004-09-16,56.2262,57.958,55.8809,57.042,9266300,0,1
2004-09-17,57.2673,58.8038,56.8318,58.8038,9472500,0,1
2004-09-20,58.5335,60.8609,58.4434,59.7397,10628700,0,1
2004-09-21,59.965,60.2703,58.8138,58.979,7228700,0,1
2004-09-22,58.7588,59.8949,58.4635,59.2492,7581200,0,1
2004-09-23,59.4795,61.3764,58.5686,60.4705,8535600,0,1
2004-09-24,60.5305,62.1121,59.9399,59.975,9123400,0,1
2004-09-27,59.8398,60.5005,58.959,59.1892,7066100,0,1
2004-09-28,60.7107,63.7638,60.1652,63.4935,16929000,0,1
2004-09-29,63.4134,67.5776,63.1782,65.6056,30516400,0,1
2004-09-30,65.015,66.2162,64.5646,64.8649,13758000,0,1
2004-10-01,65.4655,67.1872,64.5145,66.3564,15124800,0,1
2004-10-04,67.6927,68.5035,67.0821,67.5976,13022700,0,1
2004-10-05,67.3974,69.3343,66.1862,69.2543,14973200,0,1
2004-10-06,68.8438,69.2943,68.0681,68.6086,13381400,0,1
2004-10-07,68.5285,70.01,68.3433,69.4945,14115000,0,1
2004-10-08,69.4294,69.9099,68.5786,68.9339,11069500,0,1
2004-10-11,68.5686,69.4995,66.992,67.6977,10472100,0,1
2004-10-12,67.2873,68.8739,66.7668,68.7688,11665500,0,1
2004-10-13,71.7317,71.8468,70.1101,70.5205,19766200,0,1
2004-10-14,70.5756,71.2613,69.3493,71.0711,10442100,0,1
2004-10-15,72.5375,72.8228,71.046,72.1271,13194700,0,1
2004-10-18,71.6717,74.6747,70.6757,74.6547,14036300,0,1
2004-10-19,75.3253,76.2763,73.7487,74.044,18109800,0,1
2004-10-20,74.0891,74.5696,69.8699,70.3153,22722600,0,1
2004-10-21,72.2723,75.1401,70.8809,74.7648,29149800,0,1
2004-10-22,85.3554,90.1752,82.1221,86.3013,73710000,0,1
2004-10-25,88.2883,97.3123,86.3614,93.7938,65462800,0,1
2004-10-26,93.2633,96.4164,90.0901,90.991,44569500,0,1
