date,open,high,low,close,volume,dividend,split
2000-01-03,2.0625,2.1875,2.0625,2.125,33700,0,1
2000-01-04,2.1875,2.1875,2.0625,2.0625,20000,0,1
2000-01-05,2.0625,2.125,2.0,2.0625,123000,0,1
2000-01-06,2.125,2.125,2.0,2.0,32700,0,1
2000-01-07,2.125,2.125,2.0,2.0625,5900,0,1
2000-01-10,2.125,2.125,2.0,2.0625,25600,0,1
2000-01-11,2.0625,2.0625,2.0,2.0625,46300,0,1
2000-01-12,2.0,2.0625,2.0,2.0625,77800,0,1
2000-01-13,2.0,2.0625,2.0,2.0,38500,0,1
2000-01-14,2.0625,2.0625,2.0,2.0,43200,0,1
2000-01-18,2.0625,2.0625,2.0,2.0,68000,0,1
2000-01-19,2.0,2.0625,2.0,2.0625,70700,0,1
2000-01-20,2.0625,2.0625,2.0,2.0625,73700,0,1
2000-01-21,2.0625,2.0625,2.0,2.0,12900,0,1
2000-01-24,2.0,2.0,1.9375,1.9375,67800,0,1
2000-01-25,2.0,2.0,1.875,1.9375,56300,0,1
2000-01-26,1.9375,2.0,1.875,2.0,15600,0,1
2000-01-27,1.9375,2.0,1.9375,1.9375,12200,0,1
2000-01-28,1.9375,2.0,1.875,1.875,50500,0,1
2000-01-31,1.875,2.0,1.875,1.9375,38200,0,1
2000-02-01,1.9375,2.0,1.9375,1.9375,16200,0,1
2000-02-02,2.0,2.0,1.9375,1.9375,25500,0,1
2000-02-03,1.9375,2.0,1.9375,1.9375,33700,0,1
2000-02-04,1.875,2.0,1.875,2.0,125800,0,1
2000-02-07,2.0625,2.0625,1.9375,2.0,31600,0,1
2000-02-08,2.0,2.0,1.9375,2.0,10600,0,1
2000-02-09,1.9375,2.0,1.9375,2.0,42300,0,1
2000-02-10,1.9375,1.9375,1.875,1.875,11200,0,1
2000-02-11,1.875,1.9375,1.875,1.875,32600,0,1
2000-02-14,1.9375,2.0,1.875,1.9375,27700,0,1
2000-02-15,2.0,2.0,1.875,1.9375,25100,0,1
2000-02-16,1.875,1.9375,1.875,1.875,21900,0,1
2000-02-17,1.9375,2.0,1.875,1.875,101900,0,1
2000-02-18,1.9375,1.9375,1.875,1.9375,5600,0,1
2000-02-22,1.9375,1.9375,1.875,1.875,7900,0,1
2000-02-23,2.0,2.0,1.875,1.9375,10400,0,1
2000-02-24,1.9375,1.9375,1.875,1.875,26800,0,1
2000-02-25,1.9375,1.9375,1.875,1.875,31900,0,1
2000-02-28,1.9375,1.9375,1.8125,1.8125,29600,0,1
2000-02-29,1.875,1.875,1.8125,1.875,55400,0,1
2000-03-01,1.875,1.875,1.8125,1.875,9800,0,1
2000-03-02,1.875,1.875,1.75,1.8125,37200,0,1
2000-03-03,1.875,1.9375,1.8125,1.875,21800,0,1
2000-03-06,1.8125,1.9375,1.8125,1.875,20000,0,1
2000-03-07,1.875,1.9375,1.875,1.9375,29000,0,1
2000-03-08,1.875,1.9375,1.875,1.9375,18200,0,1
2000-03-09,1.875,2.0,1.875,2.0,61300,0,1
2000-03-10,1.9375,2.0,1.875,1.9375,24600,0,1
2000-03-13,2.0,2.0,1.875,1.875,11600,0,1
2000-03-14,1.875,1.9375,1.875,1.9375,26700,0,1
2000-03-15,1.875,2.0,1.875,1.9375,80500,0,1
