date,open,high,low,close,volume,dividend,split
2000-01-03,3.4073,3.4073,3.299,3.3187,142600,0,1
2000-01-04,3.23,3.2793,3.1512,3.1906,172200,0,1
2000-01-05,3.1512,3.1512,3.0331,3.102,175700,0,1
2000-01-06,3.0626,3.0626,2.9543,2.9937,76000,0,1
2000-01-07,2.9543,3.102,2.9543,3.0922,139100,0,1
2000-01-10,3.0922,3.2103,3.0823,3.2103,201200,0,1
2000-01-11,3.2103,3.3876,3.2103,3.3285,299300,0,1
2000-01-12,3.299,3.3088,3.2694,3.2694,44100,0,1
2000-01-13,3.1906,3.2694,3.1906,3.23,168200,0,1
2000-01-14,3.2103,3.2202,3.1906,3.2005,13500,0,1
2000-01-18,3.2399,3.2399,3.1906,3.2005,72100,0,1
2000-01-19,3.1906,3.23,3.1709,3.1906,71300,0,1
2000-01-20,3.2005,3.2005,3.1217,3.1315,47800,0,1
2000-01-21,3.1119,3.1119,2.9937,3.0429,101000,0,1
2000-01-24,2.9543,2.9543,2.8755,2.8755,280700,0,1
2000-01-25,2.8558,2.8657,2.8066,2.8066,93100,0,1
2000-01-26,2.7967,2.8066,2.7967,2.8066,23300,0,1
2000-01-27,2.8066,2.8066,2.7179,2.7179,82100,0,1
2000-01-28,2.7376,2.7573,2.7278,2.7376,9000,0,1
2000-01-31,2.7179,2.7475,2.6983,2.7179,64700,0,1
2000-02-01,2.7179,2.7179,2.6392,2.6786,80600,0,1
2000-02-02,2.6589,2.7179,2.6392,2.7179,47700,0,1
2000-02-03,2.7278,2.7672,2.7179,2.7475,86000,0,1
2000-02-04,2.7573,2.8361,2.7573,2.8361,76200,0,1
2000-02-07,2.8755,2.8854,2.8164,2.846,151500,0,1
2000-02-08,2.8361,2.846,2.8164,2.8263,62700,0,1
2000-02-09,2.8755,2.8854,2.8164,2.8164,66800,0,1
2000-02-10,2.7967,2.7967,2.7475,2.7475,91600,0,1
2000-02-11,2.7475,2.7475,2.5899,2.5998,147000,0,1
2000-02-14,2.6589,2.6589,2.521,2.521,76000,0,1
2000-02-15,2.5308,2.5308,2.4816,2.4816,41800,0,1
2000-02-16,2.4816,2.4816,2.4422,2.4422,37800,0,1
2000-02-17,2.4422,2.4816,2.4324,2.4324,283100,0,1
