date,open,high,low,close,volume,dividend,split
2014-07-31,20.0,20.0,17.04,17.6,7235400,0,1
2014-08-01,18.21,18.21,16.77,16.95,863900,0,1
2014-08-04,16.84,17.27,16.11,16.85,540200,0,1
2014-08-05,16.55,17.2,16.48,16.75,196500,0,1
2014-08-06,16.75,17.48,16.26,17.06,140900,0,1
2014-08-07,17.08,17.59,17.0,17.49,118700,0,1
2014-08-08,17.55,17.93,17.35,17.51,70400,0,1
2014-08-11,17.55,17.95,17.5,17.85,111200,0,1
2014-08-12,17.87,18.4,17.63,18.34,193700,0,1
2014-08-13,18.61,20.0,18.26,19.8,277100,0,1
2014-08-14,19.41,20.91,19.41,20.77,115900,0,1
2014-08-15,21.48,21.48,19.95,19.96,89900,0,1
2014-08-18,20.2,20.6,20.0,20.47,29800,0,1
2014-08-19,20.47,20.75,20.1,20.39,55700,0,1
2014-08-20,20.16,20.9,20.16,20.49,89100,0,1
2014-08-21,20.32,20.6,19.32,20.16,109900,0,1
2014-08-22,19.98,21.0,19.97,20.46,101900,0,1
2014-08-25,20.49,20.6,19.69,19.87,56100,0,1
2014-08-26,19.8,20.6,19.66,19.73,107100,0,1
2014-08-27,19.52,20.15,19.35,19.51,80800,0,1
2014-08-28,19.5,19.97,19.29,19.4,98100,0,1
2014-08-29,19.4,19.655,19.0,19.38,123100,0,1
2014-09-02,19.78,20.12,19.38,19.77,109700,0,1
2014-09-03,19.8,19.98,18.81,18.89,129300,0,1
2014-09-04,18.95,19.65,18.6,18.93,166800,0,1
2014-09-05,18.95,19.43,18.95,19.04,85400,0,1
2014-09-08,19.25,19.46,18.38,18.65,150200,0,1
2014-09-09,19.0,19.43,18.771,19.41,87600,0,1
2014-09-10,19.3,22.114,18.62,21.62,335800,0,1
2014-09-11,21.45,22.84,20.55,20.93,900200,0,1
2014-09-12,21.0,21.23,19.29,20.74,286800,0,1
2014-09-15,20.93,20.95,20.02,20.87,74500,0,1
2014-09-16,21.14,21.14,19.73,20.1,207900,0,1
2014-09-17,19.9,20.49,19.66,20.03,118600,0,1
2014-09-18,20.0,20.45,19.8,20.16,77900,0,1
2014-09-19,20.22,20.43,19.57,19.57,269700,0,1
2014-09-22,19.77,20.0,19.08,19.76,116900,0,1
2014-09-23,19.52,20.22,18.7,18.82,256700,0,1
2014-09-24,18.74,18.98,17.58,18.24,209100,0,1
2014-09-25,18.3,18.89,17.86,18.16,194500,0,1
2014-09-26,18.17,18.93,18.04,18.45,205100,0,1
2014-09-29,18.43,18.55,17.88,18.24,145700,0,1
2014-09-30,18.2,18.73,17.78,18.31,1283400,0,1
2014-10-01,18.3,18.67,17.56,17.77,237400,0,1
2014-10-02,17.81,18.21,17.23,17.38,235600,0,1
2014-10-03,17.5,18.99,17.36,18.9,139400,0,1
2014-10-06,18.87,19.57,18.56,18.68,91900,0,1
2014-10-07,18.57,19.66,17.58,19.29,97200,0,1
2014-10-08,19.28,19.645,19.16,19.37,93900,0,1
2014-10-09,19.3,19.4,18.46,18.52,104200,0,1
2014-10-10,18.41,19.07,17.94,17.98,129000,0,1
2014-10-13,18.41,18.655,17.65,18.22,132700,0,1
2014-10-14,18.35,18.5,17.98,18.44,152100,0,1
2014-10-15,18.14,19.54,17.89,19.44,130900,0,1
2014-10-16,19.49,20.55,19.25,20.32,99500,0,1
2014-10-17,20.61,20.69,19.39,19.41,43500,0,1
2014-10-20,19.37,20.26,19.35,20.12,71400,0,1
2014-10-21,20.27,20.75,19.0,20.37,90400,0,1
2014-10-22,20.3,21.032,20.01,20.17,107300,0,1
2014-10-23,20.37,21.11,20.362,20.67,60900,0,1
2014-10-24,20.69,20.968,19.99,20.03,32600,0,1
2014-10-27,20.03,20.49,19.77,19.95,36000,0,1
2014-10-28,19.96,20.48,19.55,20.47,54900,0,1
2014-10-29,19.84,20.67,19.84,19.95,54400,0,1
2014-10-30,19.37,20.51,19.37,20.23,76300,0,1
2014-10-31,20.77,20.77,20.07,20.4,40000,0,1
2014-11-03,20.4,20.51,19.67,19.89,64800,0,1
2014-11-04,19.76,19.99,19.5,19.59,68500,0,1
2014-11-05,19.82,19.82,19.29,19.69,107300,0,1
2014-11-06,19.61,19.94,19.58,19.8,37800,0,1
2014-11-07,19.73,21.29,19.63,20.51,88500,0,1
2014-11-10,19.97,21.0,19.97,20.79,50000,0,1
2014-11-11,20.7,21.99,20.7,21.06,94300,0,1
2014-11-12,21.04,21.52,20.858,21.44,34100,0,1
2014-11-13,21.72,21.72,20.52,21.4,72200,0,1
2014-11-14,21.35,21.805,21.19,21.36,42900,0,1
2014-11-17,21.44,21.87,21.3,21.51,34000,0,1
2014-11-18,21.64,22.79,21.64,22.27,71300,0,1
2014-11-19,22.16,22.84,21.71,21.72,36800,0,1
2014-11-20,21.63,22.49,21.63,22.08,55500,0,1
2014-11-21,22.38,23.75,22.13,22.96,90200,0,1
2014-11-24,23.03,23.2,22.53,23.08,82800,0,1
2014-11-25,23.03,24.19,22.47,23.78,224100,0,1
2014-11-26,23.76,23.9,22.88,23.53,79900,0,1
2014-11-28,23.58,25.28,22.93,24.83,83800,0,1
2014-12-01,24.83,27.74,23.98,24.01,49800,0,1
2014-12-02,24.12,25.17,22.56,22.59,146000,0,1
2014-12-03,22.7,23.09,22.33,22.7,84000,0,1
2014-12-04,22.77,22.77,22.21,22.45,77900,0,1
2014-12-05,22.41,22.72,22.23,22.29,71500,0,1
