date,open,high,low,close,volume,dividend,split
2000-01-03,17.0035,17.0371,16.2992,16.8023,340100,0,1
2000-01-04,16.7017,16.8694,16.6346,16.7017,234900,0,1
2000-01-05,16.6681,16.7352,16.5005,16.6346,298900,0,1
2000-01-06,16.6346,17.3724,16.6011,17.2383,207600,0,1
2000-01-07,17.4395,18.2444,17.406,18.1773,166600,0,1
2000-01-10,18.1773,18.2779,18.0096,18.0096,269100,0,1
2000-01-11,18.1438,18.4456,16.7017,17.6072,445300,0,1
2000-01-12,17.6072,18.1103,17.6072,17.8419,188500,0,1
2000-01-13,17.909,19.5859,17.909,19.3511,394800,0,1
2000-01-14,19.2505,19.8542,19.1164,19.1835,212600,0,1
2000-01-18,19.0493,19.3176,18.9822,19.2505,306900,0,1
2000-01-19,19.2505,20.0554,19.2505,19.9213,384800,0,1
2000-01-20,19.9213,20.525,19.9213,20.4243,427100,0,1
2000-01-21,20.4579,20.5585,20.1225,20.3908,189300,0,1
2000-01-24,20.3237,20.525,20.1896,20.3908,256600,0,1
2000-01-25,20.3908,20.592,19.7871,19.8207,399700,0,1
2000-01-26,19.7536,19.7536,18.1103,18.6133,318800,0,1
2000-01-27,18.5798,19.0493,18.1103,18.8145,452400,0,1
2000-01-28,18.9151,19.3176,18.8816,19.217,246700,0,1
2000-01-31,19.0828,19.0828,18.0432,18.2444,413900,0,1
2000-02-01,18.1103,18.1773,17.7749,18.1438,278900,0,1
2000-02-02,18.1438,18.781,17.9426,18.6804,128900,0,1
2000-02-03,18.6469,18.7475,18.4792,18.5127,174600,0,1
2000-02-04,18.5798,18.781,18.4121,18.5798,105600,0,1
2000-02-07,18.6469,18.6804,17.7749,17.8419,106500,0,1
2000-02-08,17.8755,18.2444,17.6407,17.7413,139700,0,1
2000-02-09,17.7749,17.7749,17.3053,17.3053,278000,0,1
2000-02-10,17.3053,17.8419,16.6346,17.1377,305200,0,1
2000-02-11,17.1041,17.1041,16.7352,16.7687,142900,0,1
2000-02-14,16.8023,16.8023,16.4334,16.534,182000,0,1
