date,open,high,low,close,volume,dividend,split
2000-01-03,4.0078,4.0625,3.9844,4.0156,1220000,0,1
2000-01-04,3.9531,3.9844,3.625,3.6562,4204000,0,1
2000-01-05,3.75,3.8125,3.6875,3.7656,3565200,0,1
2000-01-06,3.7656,3.7812,3.7188,3.75,2865200,0,1
2000-01-07,3.7578,3.9688,3.6875,3.9531,2336000,0,1
2000-01-10,3.9531,4.1094,3.9219,4.0938,620400,0,1
2000-01-11,4.1094,4.4531,4.0938,4.4375,2500800,0,1
2000-01-12,4.3438,4.4375,4.2969,4.375,1569600,0,1
2000-01-13,4.4219,4.4375,4.3125,4.4375,1152400,0,1
2000-01-14,4.3906,4.5469,4.3125,4.4219,1019600,0,1
2000-01-18,4.3906,4.4062,4.2812,4.2812,3671600,0,1
2000-01-19,4.2891,4.2969,4.1875,4.2188,2106800,0,1
2000-01-20,4.1875,4.2188,3.9688,4.125,1270400,0,1
2000-01-21,4.125,4.1719,4.0703,4.0938,461600,0,1
2000-01-24,4.0938,4.1094,4.0,4.0156,758400,0,1
2000-01-25,4.0078,4.0312,3.7656,3.7812,5472800,0,1
2000-01-26,3.8438,4.125,3.7969,3.9844,2132400,0,1
2000-01-27,3.9688,4.0,3.9062,3.9062,740400,0,1
2000-01-28,4.0156,4.2188,3.8906,4.0,723600,0,1
2000-01-31,3.9141,3.9375,3.6562,3.7656,1909200,0,1
2000-02-01,3.8438,4.1562,3.7344,4.0625,1814000,0,1
2000-02-02,3.9922,4.1562,3.9375,4.1094,1836000,0,1
2000-02-03,4.1719,4.375,4.125,4.375,1960400,0,1
2000-02-04,4.3203,4.4844,4.3125,4.4219,1971200,0,1
2000-02-07,4.4688,4.5,4.4375,4.4844,1440400,0,1
2000-02-08,4.5,4.8125,4.4688,4.7188,1374400,0,1
2000-02-09,4.5938,4.6406,4.4844,4.4844,709600,0,1
2000-02-10,4.5625,4.5625,4.4375,4.5,1322000,0,1
2000-02-11,4.5,4.5625,4.4688,4.4922,762000,0,1
2000-02-14,4.4844,4.625,4.4688,4.5781,912400,0,1
2000-02-15,4.5312,4.7188,4.4844,4.5312,1932800,0,1
2000-02-16,4.625,5.1875,4.5312,5.0625,1170000,0,1
2000-02-17,4.9688,5.25,4.9375,5.1562,1514000,0,1
2000-02-18,5.2188,5.2344,4.875,4.9688,1434800,0,1
2000-02-22,4.9688,5.0938,4.9688,5.0938,845200,0,1
2000-02-23,5.0312,5.8125,5.0312,5.75,1756800,0,1
2000-02-24,5.7656,6.25,5.625,6.0781,1912400,0,1
2000-02-25,6.0156,7.6094,5.9375,7.0469,7387600,0,1
2000-02-28,7.0156,7.2188,6.75,7.1406,4328400,0,1
2000-02-29,7.0938,7.5,6.9531,7.3906,4144800,0,1
2000-03-01,7.375,7.4844,7.082,7.2812,2490800,0,1
2000-03-02,7.1797,7.25,7.0312,7.1719,1358400,0,1
2000-03-03,7.125,7.25,7.125,7.25,830800,0,1
2000-03-06,7.1719,7.3125,7.0312,7.0938,3761200,0,1
2000-03-07,7.0,7.0156,6.75,6.9219,2091200,0,1
2000-03-08,6.7969,7.0312,6.4062,7.0,1628800,0,1
2000-03-09,6.9375,7.1562,6.875,7.125,1281600,0,1
2000-03-10,7.0625,7.4688,6.9062,6.9844,2014000,0,1
2000-03-13,6.9297,6.9375,6.625,6.625,855200,0,1
2000-03-14,6.625,6.8125,6.1875,6.3906,1654000,0,1
2000-03-15,6.3906,6.9062,6.2812,6.6719,1332800,0,1
2000-03-16,6.8203,7.0469,6.6875,7.0469,1070000,0,1
2000-03-17,6.9453,7.0938,6.2344,6.4531,702800,0,1
2000-03-20,6.4062,6.9062,6.2812,6.5938,1115600,0,1
