date,open,high,low,close,volume,dividend,split
2000-01-03,2.5547,2.5547,2.25,2.3281,143200,0,1
2000-01-04,2.3438,2.5,2.3125,2.375,90400,0,1
2000-01-05,2.3125,2.75,2.2812,2.75,365600,0,1
2000-01-06,2.5781,3.1562,2.5781,2.875,982400,0,1
2000-01-07,2.8125,3.0625,2.7188,2.875,828000,0,1
2000-01-10,2.9219,3.1406,2.9062,3.0,767200,0,1
2000-01-11,3.0156,3.1406,2.875,3.0,884000,0,1
2000-01-12,3.0,3.0,2.5312,2.8594,456800,0,1
2000-01-13,2.9336,2.9375,2.3906,2.5859,500000,0,1
2000-01-14,2.5547,2.5938,2.4297,2.4297,262400,0,1
2000-01-18,2.4062,2.7812,2.3828,2.6875,352800,0,1
2000-01-19,2.6875,2.8906,2.625,2.8438,298400,0,1
2000-01-20,2.7188,2.7578,2.4688,2.5625,836000,0,1
2000-01-21,2.6094,3.1406,2.5078,3.0781,1648000,0,1
2000-01-24,3.0938,3.4844,3.0156,3.3125,3062400,0,1
2000-01-25,3.4453,3.5,3.125,3.1406,750400,0,1
2000-01-26,3.1875,3.25,3.1328,3.1875,288000,0,1
2000-01-27,3.1562,3.2656,3.1562,3.1875,403200,0,1
2000-01-28,3.125,3.1875,2.7188,2.7812,416800,0,1
2000-01-31,2.7031,2.875,2.7031,2.875,380800,0,1
2000-02-01,2.8906,3.0938,2.7812,2.9375,140800,0,1
2000-02-02,2.9219,3.0,2.75,2.9062,302400,0,1
2000-02-03,2.8906,3.0312,2.7031,2.75,400000,0,1
2000-02-04,2.7344,2.875,2.7344,2.7812,396800,0,1
2000-02-07,2.8789,2.8828,2.6719,2.7031,476000,0,1
2000-02-08,2.7266,2.875,2.6562,2.7031,854400,0,1
2000-02-09,2.75,2.8438,2.6875,2.7188,178400,0,1
2000-02-10,2.7969,2.7969,2.5,2.5938,370400,0,1
2000-02-11,2.5156,2.625,2.5,2.5078,281600,0,1
2000-02-14,2.5938,2.7422,2.5625,2.6875,408000,0,1
2000-02-15,2.8125,3.125,2.75,3.0625,1095200,0,1
2000-02-16,3.125,3.5,3.0859,3.4375,2176000,0,1
2000-02-17,3.4922,3.6719,3.3594,3.3906,1408000,0,1
2000-02-18,3.5156,4.0625,3.4688,3.8906,2643200,0,1
2000-02-22,4.375,4.4531,3.5625,3.8516,2707200,0,1
2000-02-23,3.6094,3.9766,3.3828,3.8594,1769600,0,1
2000-02-24,3.9766,4.2188,3.625,4.0469,642400,0,1
2000-02-25,3.9531,4.0703,3.5664,3.625,1028800,0,1
2000-02-28,3.5625,4.0625,3.5625,4.0625,900800,0,1
2000-02-29,4.0625,4.3828,4.0469,4.2969,1891200,0,1
2000-03-01,4.3906,4.3906,4.25,4.375,764000,0,1
2000-03-02,6.5,7.8438,6.1562,7.5,17240800,0,1
2000-03-03,6.375,8.5,6.375,8.2969,8577600,0,1
2000-03-06,8.6875,9.0312,8.2969,8.9375,5576800,0,1
2000-03-07,9.0,9.25,8.4062,8.7344,4085600,0,1
2000-03-08,8.9375,9.0312,7.6875,7.9219,2303200,0,1
2000-03-09,7.9062,8.0,6.7969,7.1406,3142400,0,1
2000-03-10,7.1875,7.2344,5.8125,5.8594,3436000,0,1
2000-03-13,5.2188,6.5,4.875,5.875,3125600,0,1
2000-03-14,5.8906,6.7344,5.8906,6.0625,1500000,0,1
2000-03-15,5.9844,6.2812,5.6719,6.0938,1040800,0,1
2000-03-16,6.125,6.1719,5.0234,5.7188,1221600,0,1
2000-03-17,5.8125,6.5,5.7344,6.4062,696000,0,1
2000-03-20,6.5156,6.6406,5.7344,5.9609,765600,0,1
2000-03-21,5.8438,5.9219,5.25,5.6562,882400,0,1
2000-03-22,5.6875,6.5234,5.625,6.125,768000,0,1
2000-03-23,6.1875,6.25,5.5,6.25,615200,0,1
2000-03-24,6.2344,6.8594,5.9375,6.5938,1093600,0,1
2000-03-27,6.6875,6.75,6.252,6.375,324800,0,1
2000-03-28,6.25,6.375,5.9844,6.2812,298400,0,1
2000-03-29,6.3047,6.3438,5.75,5.8594,563200,0,1
2000-03-30,5.6875,5.7188,4.625,5.0078,1739200,0,1
2000-03-31,5.125,5.2344,4.5,4.75,1396800,0,1
2000-04-03,4.4375,4.4531,3.7812,3.8438,1716800,0,1
2000-04-04,3.7812,4.0625,3.0078,3.8906,1679200,0,1
2000-04-05,3.6406,4.125,3.625,3.8047,550400,0,1
2000-04-06,3.75,4.0391,3.5625,3.8125,930400,0,1
2000-04-07,3.8125,4.1094,3.8125,4.0469,668800,0,1
2000-04-10,4.1016,4.4219,3.9688,4.1406,1558400,0,1
2000-04-11,3.875,4.25,3.6875,4.0625,1154400,0,1
2000-04-12,4.1406,4.1562,3.7344,3.7344,371200,0,1
2000-04-13,4.0,4.0,3.7344,3.875,712000,0,1
2000-04-14,3.8125,3.8594,3.5938,3.7656,975200,0,1
2000-04-17,3.4688,4.0156,3.4688,3.8438,812000,0,1
2000-04-18,3.9375,4.9922,3.8125,4.9844,868800,0,1
2000-04-19,4.9922,4.9922,4.625,4.8672,394400,0,1
2000-04-20,4.8438,4.9844,4.375,4.4531,562400,0,1
2000-04-24,4.4062,4.5625,4.25,4.5625,697600,0,1
2000-04-25,4.5938,4.5938,4.3125,4.5,238400,0,1
2000-04-26,4.5,4.625,4.3828,4.4688,894400,0,1
2000-04-27,4.4141,4.9688,4.25,4.9688,1558400,0,1
2000-04-28,5.0625,5.3047,4.8438,5.0625,392000,0,1
2000-05-01,4.9844,5.5,4.9844,5.4844,484000,0,1
2000-05-02,5.4219,5.7344,4.7344,4.8672,633600,0,1
2000-05-03,4.8438,4.8438,4.125,4.7188,741600,0,1
2000-05-04,4.625,4.625,4.5,4.5156,304000,0,1
2000-05-05,4.4219,4.8281,4.4219,4.6719,168000,0,1
2000-05-08,4.6719,5.0781,4.5625,4.625,382400,0,1
2000-05-09,4.875,4.9688,4.5781,4.7188,164800,0,1
2000-05-10,4.7188,4.875,4.5,4.6875,483200,0,1
2000-05-11,4.6875,5.4844,4.6875,5.125,765600,0,1
2000-05-12,5.125,5.2188,4.3906,5.0,289600,0,1
2000-05-15,5.0,5.25,4.8594,5.25,135200,0,1
2000-05-16,5.1875,5.4375,5.1875,5.4297,468800,0,1
2000-05-17,5.2344,5.4375,5.2344,5.3906,279200,0,1
2000-05-18,5.375,5.4453,5.0,5.0781,179200,0,1
2000-05-19,5.125,5.2188,5.0156,5.0156,120800,0,1
2000-05-22,4.9062,4.9531,4.375,4.8906,214400,0,1
2000-05-23,4.9062,4.9062,4.5,4.5,128800,0,1
2000-05-24,4.5,4.7188,4.3438,4.5,600800,0,1
2000-05-25,4.75,4.875,4.4375,4.4375,329600,0,1
2000-05-26,4.6875,4.7344,4.3594,4.625,182400,0,1
2000-05-30,4.5156,4.875,4.5156,4.8125,200000,0,1
2000-05-31,4.8594,4.8594,4.6562,4.8281,125600,0,1
2000-06-01,4.6562,4.8125,4.5,4.625,344000,0,1
2000-06-02,4.75,4.8125,4.625,4.6562,135200,0,1
2000-06-05,4.7031,4.9375,4.3438,4.75,224000,0,1
2000-06-06,4.625,5.1875,4.5,4.625,417600,0,1
2000-06-07,4.7266,5.0,4.7266,4.8125,94400,0,1
2000-06-08,4.9375,5.3281,4.875,4.875,153600,0,1
2000-06-09,5.0,5.125,4.9375,5.125,136000,0,1
2000-06-12,5.3594,5.7656,5.2188,5.625,533600,0,1
2000-06-13,5.8125,5.8125,5.4062,5.6328,152800,0,1
2000-06-14,5.5938,5.9375,5.5938,5.875,360800,0,1
2000-06-15,5.6875,5.6875,5.3281,5.6875,273600,0,1
2000-06-16,5.4688,5.75,5.4688,5.5,56000,0,1
2000-06-19,5.75,5.9922,5.4844,5.9375,106400,0,1
