date,open,high,low,close,volume,dividend,split
2000-01-03,29.8047,30.1875,27.0,30.125,5070600,0,1
2000-01-04,28.5625,31.0625,28.3438,30.4375,6766400,0,1
2000-01-05,30.9688,39.9688,30.75,39.2188,22553000,0,1
2000-01-06,36.7188,37.9688,35.0,35.0,8734000,0,1
2000-01-07,34.8125,37.375,31.8438,36.7812,8537800,0,1
2000-01-10,37.5,45.0,36.625,42.5625,8397400,0,1
2000-01-11,41.4688,42.1875,39.625,41.1875,5694200,0,1
2000-01-12,40.875,40.9062,33.1875,35.5625,8344000,0,1
2000-01-13,36.8125,40.875,36.6562,40.0,7782200,0,1
2000-01-14,41.4062,42.9375,38.8125,40.6875,5880800,0,1
2000-01-18,40.6562,40.6562,37.75,38.375,3520400,0,1
2000-01-19,38.5,39.0625,36.9688,37.25,3553600,0,1
2000-01-20,37.75,39.1562,37.0,38.1875,4420800,0,1
2000-01-21,39.5,39.625,37.0625,37.8125,6374400,0,1
2000-01-24,37.7812,37.8125,33.6875,33.7812,4457400,0,1
2000-01-25,35.0,36.125,34.0625,35.1562,5063400,0,1
2000-01-26,35.625,36.5,32.7812,32.875,2935600,0,1
2000-01-27,33.5312,35.4688,30.2188,32.0,6132200,0,1
2000-01-28,31.5312,32.6875,28.3125,28.875,7144600,0,1
2000-01-31,28.4375,30.5312,27.75,30.1562,6092400,0,1
2000-02-01,31.0938,32.4375,29.625,32.4062,4481400,0,1
2000-02-02,32.8438,35.5,32.75,33.9375,6300200,0,1
2000-02-03,34.5938,35.1562,32.75,34.8125,5153000,0,1
2000-02-04,35.4922,36.125,34.125,34.625,3843000,0,1
2000-02-07,34.6875,34.6875,33.4062,33.7812,2878800,0,1
2000-02-08,34.9688,36.0,34.3125,34.5,4420200,0,1
2000-02-09,34.6562,35.1484,32.4688,32.625,5163000,0,1
2000-02-10,32.1875,32.3438,30.5,31.875,6262200,0,1
2000-02-11,31.5312,31.9375,29.9375,30.5,5457800,0,1
2000-02-14,30.6875,30.6875,29.5,29.875,3166200,0,1
2000-02-15,29.6875,30.5,27.5,28.7188,8945000,0,1
2000-02-16,29.5,31.5,29.125,30.5312,7932800,0,1
2000-02-17,31.5938,32.3125,31.0,32.1562,4530400,0,1
2000-02-18,32.875,32.875,29.9375,30.5938,4089000,0,1
2000-02-22,30.3125,31.3125,29.875,31.0625,4723600,0,1
2000-02-23,30.8438,34.0312,30.8125,33.7812,7542400,0,1
2000-02-24,34.3125,36.375,34.0,36.1562,10621000,0,1
2000-02-25,31.5,31.75,28.5,29.2812,42818200,0,1
2000-02-28,29.2812,29.75,26.3438,26.8438,11239600,0,1
2000-02-29,27.375,27.4375,25.625,26.25,10886000,0,1
2000-03-01,26.3125,26.9375,23.875,24.125,15564800,0,1
2000-03-02,24.3438,24.8125,22.75,23.2812,10233800,0,1
2000-03-03,25.625,27.5,24.7656,26.4375,11739400,0,1
2000-03-06,27.75,28.625,26.9062,27.5312,9520600,0,1
2000-03-07,28.1875,28.375,25.25,25.8438,6480400,0,1
2000-03-08,26.75,26.9375,25.375,25.6875,5495400,0,1
2000-03-09,25.25,28.1875,25.0,28.125,10622800,0,1
2000-03-10,27.625,29.8125,27.4688,29.2188,9411800,0,1
2000-03-13,28.6562,28.7188,26.7188,26.75,6526800,0,1
2000-03-14,27.625,28.0,25.5,25.5312,4877600,0,1
2000-03-15,26.5,26.5,24.4062,25.0312,6086000,0,1
2000-03-16,25.875,26.5078,23.125,25.9688,10410800,0,1
