date,open,high,low,close,volume,dividend,split
2000-06-16,6.0417,6.1667,6.0,6.0833,173700,0,1
2000-06-19,6.0833,6.1667,6.0,6.0,454200,0,1
2000-06-20,6.0208,6.5417,5.25,6.25,392400,0,1
2000-06-21,6.6667,7.4167,6.4167,7.3333,780600,0,1
2000-06-22,7.375,7.4167,6.3542,6.5833,285900,0,1
2000-06-23,6.7917,7.0833,6.6667,6.9167,204900,0,1
2000-06-26,7.0,7.0833,6.5,6.6667,152700,0,1
2000-06-27,6.6667,6.9583,6.0,6.3333,205200,0,1
2000-06-28,6.4167,6.5833,6.0833,6.4167,276000,0,1
2000-06-29,6.5833,6.5833,6.0,6.0,278100,0,1
2000-06-30,6.2083,6.4167,6.0833,6.2917,286500,0,1
2000-07-03,6.5,6.5,6.3333,6.4167,48000,0,1
2000-07-05,6.5,6.6667,6.3333,6.6667,207300,0,1
2000-07-06,6.6667,6.7083,6.2917,6.5,194700,0,1
2000-07-07,6.6875,7.75,6.375,6.8333,1190400,0,1
2000-07-10,7.375,8.8333,6.9583,8.375,943500,0,1
2000-07-11,9.0417,9.5,7.9167,8.5,2005500,0,1
2000-07-12,9.3125,10.2917,8.4583,10.0,1641900,0,1
2000-07-13,12.0,12.0833,10.75,11.1667,1830300,0,1
2000-07-14,11.75,11.8333,9.9167,10.3333,845700,0,1
2000-07-17,10.6667,10.75,10.1667,10.4167,276600,0,1
2000-07-18,10.4583,10.625,9.5833,9.6667,201300,0,1
2000-07-19,9.5833,9.6667,8.75,9.3333,264300,0,1
2000-07-20,9.2083,11.0833,9.0833,10.5833,394800,0,1
2000-07-21,10.5833,11.4167,10.4167,11.4167,285900,0,1
2000-07-24,11.3333,11.8333,10.7083,11.1667,279300,0,1
2000-07-25,11.25,11.5,10.3333,10.75,144900,0,1
2000-07-26,10.75,11.6667,9.4167,11.5833,294600,0,1
2000-07-27,11.1667,12.6667,11.0,11.4167,334800,0,1
2000-07-28,11.4167,11.4583,10.3333,10.8333,227100,0,1
2000-07-31,10.6667,12.7083,9.9167,12.5833,479400,0,1
2000-08-01,11.9583,12.0833,11.5833,11.625,148800,0,1
2000-08-02,11.6667,12.125,11.3333,11.375,99300,0,1
2000-08-03,11.3333,12.0,11.0,11.7083,73500,0,1
2000-08-04,12.0,12.0417,11.25,11.375,122100,0,1
2000-08-07,11.3333,11.5833,10.3333,10.6667,174000,0,1
2000-08-08,11.1667,11.1667,10.3333,10.5,49500,0,1
2000-08-09,10.4792,10.625,9.6667,9.7917,118200,0,1
2000-08-10,9.8333,10.4167,9.75,9.8333,75300,0,1
2000-08-11,9.5417,9.8333,8.7917,9.3333,129300,0,1
2000-08-14,9.7708,9.7708,9.3333,9.3333,55800,0,1
2000-08-15,9.2917,9.3333,8.4167,8.4167,205500,0,1
2000-08-16,8.5,9.4583,8.5,9.125,81000,0,1
2000-08-17,9.3333,9.6667,9.0833,9.6667,179100,0,1
