date,open,high,low,close,volume,dividend,split
2002-04-12,11.117,13.7007,11.0993,13.3333,47796700,0,1
2002-04-15,13.437,14.16,12.803,13.3956,8215600,0,1
2002-04-16,13.363,13.6296,12.8089,13.5733,3956800,0,1
2002-04-17,13.5704,13.7333,13.0933,13.363,2886400,0,1
2002-04-18,13.3837,13.3867,12.6933,13.0963,2856600,0,1
2002-04-19,13.1644,13.3807,12.8978,12.9274,1197600,0,1
2002-04-22,12.9156,13.0074,12.4415,12.4444,2061600,0,1
2002-04-23,12.4178,12.5926,12.0,12.563,1937200,0,1
2002-04-24,12.6281,13.5467,12.6104,13.5111,1702900,0,1
2002-04-25,13.5081,13.5704,12.9333,13.3185,712300,0,1
2002-04-26,13.36,13.8074,13.0519,13.8074,1232100,0,1
2002-04-29,13.76,14.3407,13.76,14.1215,1103500,0,1
2002-04-30,14.0444,14.96,14.003,14.9037,4282200,0,1
2002-05-01,14.6193,14.8859,14.3852,14.7615,2407900,0,1
2002-05-02,14.8,14.8,14.2519,14.563,789000,0,1
2002-05-03,14.5185,15.4222,14.3704,15.4193,1441900,0,1
2002-05-06,15.5556,16.3407,15.437,16.1481,2406300,0,1
2002-05-07,15.8222,15.9704,14.4296,14.6963,3379000,0,1
2002-05-08,14.8148,14.8148,13.5704,13.9704,1863900,0,1
2002-05-09,13.9348,14.7674,13.9348,14.4178,1005700,0,1
2002-05-10,14.5185,14.6667,13.9407,14.0148,786300,0,1
2002-05-13,13.9259,13.9793,13.4815,13.9259,600900,0,1
2002-05-14,13.8844,13.8963,13.4815,13.837,630000,0,1
2002-05-15,13.7333,13.9022,13.5052,13.6296,853800,0,1
2002-05-16,13.6919,13.7511,13.52,13.5319,537400,0,1
2002-05-17,13.5793,13.6178,13.4074,13.4993,315100,0,1
2002-05-20,13.5022,13.5911,12.8978,12.9185,664300,0,1
2002-05-21,12.9896,13.0667,12.7674,13.0044,352300,0,1
2002-05-22,12.9481,13.1822,12.9037,13.1556,181000,0,1
2002-05-23,13.1763,13.3481,13.037,13.3185,143200,0,1
2002-05-24,13.3185,13.4756,13.1111,13.1111,353200,0,1
2002-05-28,13.1141,13.3778,13.0667,13.3778,256500,0,1
2002-05-29,13.3837,13.7304,13.3215,13.603,383400,0,1
2002-05-30,13.5852,13.7096,13.5407,13.6889,340300,0,1
2002-05-31,13.7156,13.8074,13.0667,13.1259,357900,0,1
2002-06-03,13.3926,13.6711,13.3778,13.4222,461800,0,1
2002-06-04,13.3926,13.5111,13.2741,13.3659,500400,0,1
2002-06-05,13.363,13.8459,13.3185,13.6296,411700,0,1
2002-06-06,13.7748,13.9259,13.7037,13.8015,263400,0,1
2002-06-07,13.8519,14.0859,13.3837,14.0444,517600,0,1
2002-06-10,14.0652,14.237,14.0652,14.1333,319900,0,1
