date,open,high,low,close,volume,dividend,split
2000-01-03,6.9898,6.9898,6.401,6.6099,509500,0,1
2000-01-04,6.401,6.5529,6.401,6.477,312800,0,1
2000-01-05,6.477,6.515,6.382,6.458,320400,0,1
2000-01-06,6.5339,6.6099,6.515,6.5529,119000,0,1
2000-01-07,6.6099,6.7239,6.5909,6.7239,130900,0,1
2000-01-10,6.6859,6.7429,6.6479,6.6669,170300,0,1
2000-01-11,6.6289,6.6669,6.5719,6.6669,195400,0,1
2000-01-12,6.6669,6.6859,6.5909,6.6859,203300,0,1
2000-01-13,6.6859,6.6859,6.6099,6.6289,98600,0,1
2000-01-14,6.6669,6.6859,6.5529,6.5529,239000,0,1
2000-01-18,6.5339,6.6289,6.515,6.6289,190700,0,1
2000-01-19,6.6289,6.7429,6.6289,6.7049,85700,0,1
2000-01-20,6.7049,6.7049,6.477,6.477,439100,0,1
2000-01-21,6.42,6.458,6.382,6.458,166700,0,1
2000-01-24,6.401,6.458,6.382,6.382,186900,0,1
2000-01-25,6.363,6.458,6.363,6.42,1101200,0,1
2000-01-26,6.439,6.5909,6.439,6.477,426600,0,1
2000-01-27,6.458,6.5339,6.439,6.477,98000,0,1
2000-01-28,6.382,6.5719,6.382,6.439,602900,0,1
2000-01-31,6.458,6.5719,6.439,6.458,223200,0,1
2000-02-01,6.477,6.6099,6.439,6.5339,696800,0,1
2000-02-02,6.5529,6.5529,6.42,6.458,847500,0,1
2000-02-03,6.42,6.6289,6.42,6.6099,641500,0,1
2000-02-04,6.6099,6.9328,6.6099,6.9328,539700,0,1
2000-02-07,6.8758,6.9138,6.7999,6.7999,265100,0,1
2000-02-08,6.7809,6.7809,6.6099,6.6479,103200,0,1
2000-02-09,6.6859,6.6859,6.5339,6.5909,284100,0,1
2000-02-10,6.5909,6.6099,6.5339,6.5529,178900,0,1
2000-02-11,6.5529,6.5719,6.5339,6.5529,349600,0,1
2000-02-14,6.5339,6.5909,6.496,6.5909,273000,0,1
2000-02-15,6.5529,6.5719,6.515,6.5339,225600,0,1
2000-02-16,6.5339,6.5719,6.515,6.5719,734300,0,1
2000-02-17,6.5909,6.5909,6.5339,6.5719,567200,0,1
2000-02-18,6.5339,6.5719,6.515,6.5339,803400,0,1
2000-02-22,6.5339,6.6099,6.5339,6.5719,272600,0,1
2000-02-23,6.6099,6.6099,6.515,6.5529,806700,0,1
2000-02-24,6.5339,6.5909,6.515,6.5339,329600,0,1
2000-02-25,6.515,6.515,6.477,6.515,433100,0,1
2000-02-28,6.477,6.515,6.42,6.458,331100,0,1
2000-02-29,6.458,6.496,6.382,6.496,754300,0,1
2000-03-01,6.496,6.515,6.458,6.515,193400,0,1
2000-03-02,6.477,6.5339,6.458,6.515,341700,0,1
2000-03-03,6.5339,6.5339,6.458,6.5339,382300,0,1
2000-03-06,6.496,6.5719,6.496,6.496,87600,0,1
2000-03-07,6.458,6.496,6.382,6.458,768800,0,1
2000-03-08,6.458,6.477,6.401,6.439,591500,0,1
2000-03-09,6.439,6.439,6.382,6.439,533200,0,1
2000-03-10,6.42,6.458,6.42,6.439,171000,0,1
2000-03-13,6.401,6.42,6.363,6.42,131700,0,1
2000-03-14,6.382,6.5719,6.382,6.515,191700,0,1
2000-03-15,6.477,6.515,6.268,6.496,190300,0,1
2000-03-16,6.496,6.9328,6.344,6.8948,333600,0,1
2000-03-17,6.7239,6.7429,6.5339,6.6099,237700,0,1
2000-03-20,6.5339,6.5909,6.458,6.5529,121000,0,1
2000-03-21,6.477,6.5339,6.382,6.5339,167900,0,1
2000-03-22,6.5339,6.6099,6.496,6.6099,118400,0,1
2000-03-23,6.6099,6.6099,6.382,6.6099,314000,0,1
2000-03-24,6.5339,6.7999,6.458,6.7429,190700,0,1
2000-03-27,6.8189,6.8189,6.6859,6.7619,135700,0,1
2000-03-28,6.6479,6.8568,6.6099,6.8189,224600,0,1
2000-03-29,6.7809,6.8379,6.7239,6.8379,217900,0,1
2000-03-30,6.7999,6.9898,6.7999,6.8568,252000,0,1
2000-03-31,6.8568,7.3507,6.8189,7.2177,640200,0,1
2000-04-03,7.1797,7.1797,6.9898,7.0658,87000,0,1
2000-04-04,7.0278,7.0278,6.8189,6.8948,223900,0,1
2000-04-05,6.7809,6.9138,6.7239,6.8568,262000,0,1
2000-04-06,6.8948,6.9138,6.8189,6.8758,114700,0,1
2000-04-07,6.8189,6.9138,6.7619,6.9138,162700,0,1
2000-04-10,6.9898,7.0468,6.9138,6.9138,320400,0,1
2000-04-11,6.9898,7.2937,6.9898,7.2937,390800,0,1
2000-04-12,7.2557,7.4267,7.2557,7.4267,329600,0,1
2000-04-13,7.3697,7.4836,7.3317,7.3887,350700,0,1
2000-04-14,7.3127,7.3697,6.9518,6.9708,338200,0,1
2000-04-17,6.9708,7.1607,6.9138,7.1607,192100,0,1
2000-04-18,7.1607,7.1987,7.0088,7.1987,159800,0,1
2000-04-19,7.1607,7.1607,6.7809,6.8948,207900,0,1
2000-04-20,6.8948,7.2937,6.7999,7.2367,258500,0,1
2000-04-24,7.1797,7.1797,6.8758,6.9708,158000,0,1
2000-04-25,7.0468,7.3507,6.9898,7.3507,135700,0,1
2000-04-26,7.3317,7.3317,7.0658,7.1418,142300,0,1
2000-04-27,7.1418,7.1418,6.9138,7.0278,129100,0,1
2000-04-28,6.9518,7.1228,6.9518,7.0848,82400,0,1
2000-05-01,7.1418,7.2747,7.1228,7.1797,99300,0,1
2000-05-02,7.2557,7.2557,6.9138,7.0278,100100,0,1
2000-05-03,7.0278,7.0278,6.8379,6.9138,63900,0,1
2000-05-04,6.9898,7.2557,6.9138,7.2367,233100,0,1
2000-05-05,7.3127,7.3127,7.1607,7.2937,62600,0,1
2000-05-08,7.2557,7.2557,7.1607,7.1607,53500,0,1
2000-05-09,7.2177,7.2177,7.1038,7.1228,146700,0,1
2000-05-10,7.1418,7.2177,7.0658,7.1607,63100,0,1
2000-05-11,7.1607,7.2937,7.1607,7.2747,71000,0,1
2000-05-12,7.2937,7.2937,6.9898,7.0088,154800,0,1
2000-05-15,6.9898,7.0658,6.8379,7.0658,335700,0,1
2000-05-16,7.0658,7.1228,6.8189,6.9328,204800,0,1
2000-05-17,6.9898,7.0278,6.9328,6.9328,103400,0,1
2000-05-18,6.9518,6.9518,6.8568,6.8948,60000,0,1
2000-05-19,6.8758,6.9328,6.8568,6.8758,179800,0,1
2000-05-22,6.8568,6.9898,6.8379,6.8758,120500,0,1
2000-05-23,6.9138,7.0658,6.8758,6.8948,92900,0,1
2000-05-24,6.9328,7.1418,6.9328,7.0278,174500,0,1
2000-05-25,6.9898,7.1418,6.9898,7.0088,169200,0,1
2000-05-26,7.2937,8.0155,7.2937,7.8825,1199600,0,1
2000-05-30,7.9015,7.9585,7.5596,7.8635,1104400,0,1
2000-05-31,7.8255,7.9775,7.8255,7.9205,431000,0,1
2000-06-01,7.9015,7.9395,7.8255,7.9395,541700,0,1
2000-06-02,7.9205,8.1294,7.9205,8.0915,275800,0,1
2000-06-05,8.0915,8.0915,7.9205,7.9205,258100,0,1
2000-06-06,7.9965,8.0915,7.9395,7.9775,302200,0,1
2000-06-07,7.9775,8.0345,7.9015,8.0155,227900,0,1
2000-06-08,8.0345,8.0345,7.9395,7.9775,98800,0,1
2000-06-09,7.9585,8.0535,7.9585,8.0345,250200,0,1
2000-06-12,7.9775,8.0535,7.8255,7.8255,997600,0,1
2000-06-13,7.8255,7.9965,7.8255,7.9965,291400,0,1
2000-06-14,7.9395,8.0535,7.9395,7.9585,138800,0,1
2000-06-15,7.9585,7.9585,7.6736,7.9395,258500,0,1
2000-06-16,7.9585,7.9585,7.7116,7.7876,190300,0,1
2000-06-19,7.8255,7.8255,7.6356,7.7686,184400,0,1
2000-06-20,7.7496,7.7496,7.4836,7.6166,136100,0,1
2000-06-21,7.6166,7.6166,7.4267,7.4267,242100,0,1
2000-06-22,7.3697,7.3697,7.1038,7.1038,254800,0,1
2000-06-23,7.1038,7.2937,7.1038,7.1228,422700,0,1
2000-06-26,7.1987,7.3317,7.1987,7.2937,135100,0,1
2000-06-27,7.4457,7.6736,7.4457,7.5596,225600,0,1
