date,open,high,low,close,volume,dividend,split
2004-09-29,9.49,11.45,9.305,10.575,12136800,0,1
2004-09-30,10.54,10.645,10.17,10.375,2241200,0,1
2004-10-01,10.325,13.55,10.175,13.15,1518600,0,1
2004-10-04,13.355,14.93,12.185,13.35,1791600,0,1
2004-10-05,13.25,13.5,12.905,13.215,473400,0,1
2004-10-06,13.075,13.94,12.3,13.71,1305400,0,1
2004-10-07,13.965,14.0,12.925,13.3,476200,0,1
2004-10-08,13.09,13.445,12.205,12.385,686200,0,1
2004-10-11,12.2,12.525,11.75,12.49,583000,0,1
2004-10-12,12.165,12.95,11.895,12.625,473200,0,1
2004-10-13,12.65,12.875,12.0,12.25,410000,0,1
2004-10-14,12.25,12.485,12.0,12.0,286800,0,1
2004-10-15,12.0,12.48,12.0,12.25,210200,0,1
2004-10-18,12.435,12.745,12.025,12.525,418400,0,1
2004-10-19,12.67,14.64,12.58,14.375,1716000,0,1
2004-10-20,14.7,15.31,13.67,14.385,1404000,0,1
2004-10-21,14.6,15.15,13.85,14.065,491400,0,1
2004-10-22,14.175,14.61,13.8,14.32,352200,0,1
2004-10-25,14.375,16.445,13.795,16.145,1137000,0,1
2004-10-26,16.395,17.025,15.39,16.075,472600,0,1
2004-10-27,16.495,16.95,15.405,15.495,914400,0,1
2004-10-28,15.975,15.975,13.325,13.865,1161400,0,1
2004-10-29,13.97,14.07,12.95,13.45,591600,0,1
2004-11-01,13.25,13.995,13.15,13.705,404400,0,1
2004-11-02,13.995,14.845,13.7,14.255,653600,0,1
2004-11-03,14.8,14.985,13.88,14.13,474000,0,1
2004-11-04,14.145,15.75,14.13,15.335,429800,0,1
2004-11-05,16.545,16.545,15.63,16.055,822600,0,1
2004-11-08,16.68,17.7,16.125,17.7,711600,0,1
2004-11-09,17.695,17.7,16.715,17.055,421400,0,1
2004-11-10,16.905,18.22,16.905,17.55,553000,0,1
2004-11-11,17.255,17.74,17.21,17.605,426400,0,1
2004-11-12,17.785,17.785,17.0,17.055,102000,0,1
2004-11-15,17.375,17.74,16.825,17.015,239800,0,1
2004-11-16,17.125,17.6,16.25,16.65,411600,0,1
2004-11-17,16.82,18.545,15.05,16.0,969600,0,1
2004-11-18,16.7,16.7,15.135,15.85,340400,0,1
2004-11-19,15.93,16.845,15.255,15.475,423000,0,1
2004-11-22,16.13,16.13,15.1,16.05,320000,0,1
2004-11-23,15.85,17.25,15.55,16.875,457200,0,1
2004-11-24,17.235,18.03,17.0,17.63,317600,0,1
2004-11-26,18.095,18.095,17.3,17.5,120400,0,1
2004-11-29,17.5,17.85,17.25,17.5,134000,0,1
2004-11-30,17.3,18.06,16.925,17.795,263000,0,1
2004-12-01,18.75,19.99,18.55,19.7,880800,0,1
2004-12-02,19.68,19.8,18.58,19.025,339600,0,1
2004-12-03,19.1,19.875,18.775,19.0,102200,0,1
2004-12-06,19.745,19.755,18.75,19.495,274000,0,1
2004-12-07,19.795,20.2,18.43,19.0,671000,0,1
2004-12-08,19.175,20.295,18.505,20.125,434400,0,1
2004-12-09,20.2,21.57,19.76,21.15,699800,0,1
2004-12-10,23.345,24.65,22.0,24.59,6580400,0,1
2004-12-13,26.195,27.775,25.585,27.675,5765000,0,1
2004-12-14,27.09,27.44,24.385,24.45,4610800,0,1
2004-12-15,25.24,25.75,23.675,23.935,3030800,0,1
2004-12-16,23.625,25.29,22.75,23.1,2414200,0,1
2004-12-17,24.245,25.02,23.61,24.5,2071200,0,1
2004-12-20,24.85,25.725,24.25,25.325,1676600,0,1
2004-12-21,25.775,26.815,25.325,26.25,1853800,0,1
2004-12-22,26.395,26.515,24.755,25.01,1724800,0,1
2004-12-23,25.49,25.75,24.925,25.21,681400,0,1
2004-12-27,25.5,26.2,24.275,24.43,766600,0,1
2004-12-28,24.65,25.455,24.35,25.195,745800,0,1
2004-12-29,25.015,25.59,24.925,25.4,697400,0,1
