date,open,high,low,close,volume,dividend,split
2000-01-03,2.32,2.4,2.2,2.28,212000,0,1
2000-01-04,2.48,2.56,2.28,2.48,629000,0,1
2000-01-05,2.56,3.04,2.4,3.0,684300,0,1
2000-01-06,2.6,3.0,2.44,2.44,447800,0,1
2000-01-07,2.44,2.48,2.32,2.44,241500,0,1
2000-01-10,2.44,3.08,2.4,2.56,706200,0,1
2000-01-11,3.0,3.04,2.56,2.56,521500,0,1
2000-01-12,2.6,3.0,2.52,2.6,166900,0,1
2000-01-13,2.56,2.6,2.56,2.56,128100,0,1
2000-01-14,3.0,3.0,2.56,2.56,184900,0,1
2000-01-18,2.56,3.0,2.52,2.56,131000,0,1
2000-01-19,2.6,3.0,2.56,3.0,141100,0,1
2000-01-20,3.0,3.0,2.6,2.6,88700,0,1
2000-01-21,3.0,3.0,2.52,2.56,97200,0,1
2000-01-24,2.52,2.52,2.4,2.48,177700,0,1
2000-01-25,2.48,2.48,2.4,2.4,109400,0,1
2000-01-26,2.4,2.48,2.36,2.44,123500,0,1
2000-01-27,2.48,2.56,2.44,2.52,133400,0,1
2000-01-28,2.52,2.52,2.44,2.48,97700,0,1
2000-01-31,2.44,2.48,2.4,2.48,77400,0,1
2000-02-01,2.4,2.48,2.4,2.44,44500,0,1
2000-02-02,2.48,2.48,2.4,2.44,107200,0,1
2000-02-03,2.48,2.48,2.4,2.44,96500,0,1
2000-02-04,2.48,2.48,2.4,2.4,81000,0,1
2000-02-07,2.44,2.48,2.4,2.44,123100,0,1
2000-02-08,2.48,2.48,2.32,2.44,154900,0,1
2000-02-09,2.36,2.44,2.36,2.36,86100,0,1
2000-02-10,2.36,2.44,2.32,2.44,86900,0,1
2000-02-11,2.44,2.44,2.36,2.4,95200,0,1
2000-02-14,2.44,2.52,2.44,2.48,265300,0,1
2000-02-15,2.44,2.52,2.44,2.52,95500,0,1
2000-02-16,2.52,2.56,2.48,2.52,104300,0,1
2000-02-17,2.48,2.52,2.36,2.36,112400,0,1
2000-02-18,2.36,2.4,2.36,2.4,50900,0,1
2000-02-22,2.36,2.4,2.32,2.4,112800,0,1
2000-02-23,2.4,2.52,2.36,2.48,125300,0,1
2000-02-24,2.44,2.48,2.36,2.44,72200,0,1
2000-02-25,2.4,2.48,2.36,2.36,117000,0,1
2000-02-28,2.36,2.44,2.36,2.4,86900,0,1
2000-02-29,2.44,2.48,2.4,2.44,129300,0,1
2000-03-01,2.48,2.56,2.4,2.44,142300,0,1
2000-03-02,2.48,2.52,2.4,2.48,174000,0,1
2000-03-03,2.44,3.08,2.44,3.0,521700,0,1
2000-03-06,3.16,3.56,3.12,3.28,1137900,0,1
2000-03-07,3.44,4.08,3.4,3.48,574300,0,1
2000-03-08,3.56,4.0,3.4,3.48,484800,0,1
2000-03-09,3.48,3.48,3.16,3.36,320700,0,1
2000-03-10,3.36,3.36,3.16,3.16,229600,0,1
2000-03-13,3.24,3.28,3.16,3.24,313900,0,1
2000-03-14,3.4,3.48,3.24,3.24,174200,0,1
2000-03-15,3.32,3.36,3.2,3.2,178700,0,1
2000-03-16,3.28,3.32,3.2,3.24,69400,0,1
2000-03-17,3.24,3.32,3.2,3.28,162000,0,1
2000-03-20,3.32,3.36,3.2,3.24,165700,0,1
2000-03-21,3.2,3.24,3.16,3.2,96500,0,1
2000-03-22,3.28,4.08,3.24,3.48,508000,0,1
2000-03-23,3.56,3.6,3.48,3.56,183300,0,1
2000-03-24,3.56,3.56,3.36,3.36,182200,0,1
2000-03-27,3.44,5.0,3.4,3.48,1086600,0,1
2000-03-28,3.48,3.56,3.36,3.4,405400,0,1
2000-03-29,3.4,3.4,3.24,3.24,188200,0,1
2000-03-30,3.2,3.24,3.08,3.08,160900,0,1
2000-03-31,3.2,3.44,3.12,3.36,192000,0,1
2000-04-03,3.32,3.4,3.16,3.16,158400,0,1
2000-04-04,3.16,3.32,3.0,3.12,195800,0,1
2000-04-05,3.04,3.24,3.04,3.16,58100,0,1
2000-04-06,3.24,3.32,3.2,3.28,31000,0,1
2000-04-07,3.4,3.48,3.32,3.44,178300,0,1
2000-04-10,3.44,3.48,3.32,3.4,142000,0,1
2000-04-11,3.32,3.36,3.2,3.28,182800,0,1
2000-04-12,3.24,3.28,3.16,3.2,60800,0,1
2000-04-13,3.24,3.32,3.12,3.16,177800,0,1
2000-04-14,3.16,3.24,2.6,3.08,431400,0,1
2000-04-17,2.6,3.08,2.28,2.52,237800,0,1
2000-04-18,3.0,3.08,2.52,2.6,208800,0,1
2000-04-19,2.6,2.6,2.44,2.48,43300,0,1
2000-04-20,2.48,3.24,2.48,3.16,85400,0,1
