date,open,high,low,close,volume,dividend,split
2016-12-09,26.1,27.01,25.5,26.37,1429400,0,1
2016-12-12,26.6,26.94,25.46,25.6,2419200,0,1
2016-12-13,25.59,26.34,25.45,25.8,2587200,0,1
2016-12-14,25.8,26.14,25.54,25.72,1547700,0,1
2016-12-15,25.57,26.24,24.95,24.95,913400,0,1
2016-12-16,25.08,25.75,24.91,25.61,919600,0,1
2016-12-19,25.51,26.18,25.36,25.86,796500,0,1
2016-12-20,26.0,26.21,25.45,25.48,833500,0,1
2016-12-21,25.31,25.82,25.3,25.46,531800,0,1
2016-12-22,25.29,25.78,25.17,25.66,376600,0,1
2016-12-23,25.66,25.9,25.47,25.73,218400,0,1
2016-12-27,25.9,25.9,25.52,25.79,399300,0,1
2016-12-28,25.73,25.82,24.96,25.22,1176500,0,1
2016-12-29,25.1,25.33,24.82,25.02,586100,0,1
2016-12-30,24.97,25.28,24.46,24.54,824700,0,1
2017-01-03,24.41,24.87,23.93,24.4,1759200,0,1
2017-01-04,24.35,25.13,24.29,25.03,1360500,0,1
2017-01-05,24.6,25.68,24.6,25.65,1360700,0,1
2017-01-06,25.6,26.22,25.51,25.87,1305100,0,1
2017-01-09,25.72,26.27,25.35,26.01,1187800,0,1
2017-01-10,25.91,26.42,25.851,26.2,818000,0,1
2017-01-11,26.39,26.76,26.1,26.41,712400,0,1
2017-01-12,26.27,26.45,26.09,26.18,702200,0,1
2017-01-13,26.29,26.57,26.18,26.36,534100,0,1
2017-01-17,26.45,26.59,26.04,26.2,643100,0,1
2017-01-18,26.14,26.59,26.0,26.11,983200,0,1
2017-01-19,25.85,26.22,25.83,25.94,575000,0,1
2017-01-20,25.76,26.07,25.65,26.01,704500,0,1
2017-01-23,25.8,26.29,25.75,26.03,792000,0,1
2017-01-24,25.87,26.66,25.83,26.59,580300,0,1
2017-01-25,26.55,26.9,26.42,26.73,437300,0,1
2017-01-26,26.58,27.06,26.561,27.05,365700,0,1
2017-01-27,27.1,27.14,26.69,26.76,606500,0,1
2017-01-30,26.76,26.84,26.51,26.65,747700,0,1
2017-01-31,26.6,26.98,26.41,26.79,654800,0,1
2017-02-01,26.84,26.89,26.39,26.65,676000,0,1
2017-02-02,26.69,26.69,26.43,26.6,385700,0,1
2017-02-03,26.5,26.68,26.38,26.62,327500,0,1
2017-02-06,26.45,26.56,26.14,26.54,388900,0,1
2017-02-07,26.43,26.71,26.32,26.36,607400,0,1
2017-02-08,26.12,26.284,25.905,25.98,762800,0,1
2017-02-09,25.65,26.39,25.51,26.27,650800,0,1
2017-02-10,26.2,26.725,26.2,26.64,296600,0,1
2017-02-13,26.14,26.83,25.87,26.5,566100,0,1
2017-02-14,26.28,26.54,26.11,26.35,378900,0,1
2017-02-15,26.23,26.55,26.13,26.28,679800,0,1
2017-02-16,26.2,26.485,25.89,26.09,665100,0,1
2017-02-17,25.95,26.22,25.68,25.81,248100,0,1
2017-02-21,25.68,26.285,25.56,25.72,450200,0,1
2017-02-22,25.59,25.76,25.54,25.68,283800,0,1
2017-02-23,25.55,25.75,25.19,25.35,431500,0,1
2017-02-24,25.11,25.32,24.99,25.16,303100,0,1
2017-02-27,24.88,25.27,24.77,25.03,628500,0,1
2017-02-28,24.99,25.12,24.9,24.98,951700,0,1
2017-03-01,25.11,25.5,24.96,25.34,914400,0,1
2017-03-02,25.25,25.39,24.69,24.72,381300,0,1
2017-03-03,24.74,25.01,24.63,24.82,358800,0,1
2017-03-06,24.83,24.88,24.48,24.64,412500,0,1
2017-03-07,24.7,24.75,24.26,24.31,456400,0,1
2017-03-08,24.13,24.69,24.13,24.44,468700,0,1
2017-03-09,24.28,24.5,24.06,24.45,396900,0,1
2017-03-10,24.6,24.78,24.12,24.18,408200,0,1
2017-03-13,24.31,24.4,23.91,24.01,275700,0,1
2017-03-14,23.86,23.93,23.68,23.73,281000,0,1
2017-03-15,23.79,23.92,23.23,23.63,382000,0,1
2017-03-16,23.74,23.9,23.54,23.7,274700,0,1
2017-03-17,23.65,23.94,23.61,23.68,1037000,0,1
2017-03-20,23.21,23.61,22.87,23.5,372800,0,1
2017-03-21,23.6,23.65,22.72,22.98,607000,0,1
2017-03-22,22.87,23.31,22.74,23.2,352500,0,1
2017-03-23,23.06,24.23,23.06,23.33,639300,0,1
2017-03-24,23.44,24.14,23.24,23.93,815900,0,1
2017-03-27,23.66,24.78,23.57,24.71,1240300,0,1
2017-03-28,24.5,24.75,24.34,24.51,486500,0,1
2017-03-29,24.52,24.85,24.49,24.63,370900,0,1
2017-03-30,24.48,24.68,24.37,24.53,223800,0,1
2017-03-31,24.52,24.62,24.28,24.38,379200,0,1
2017-04-03,24.38,24.438,24.01,24.3,690700,0,1
2017-04-04,24.29,24.49,24.04,24.31,423400,0,1
2017-04-05,24.28,24.48,23.69,23.75,439800,0,1
2017-04-06,23.74,23.795,23.15,23.23,350600,0,1
2017-04-07,23.17,23.31,22.855,23.28,984500,0,1
2017-04-10,23.12,23.31,23.02,23.16,527900,0,1
2017-04-11,22.97,23.51,22.97,23.2,486000,0,1
2017-04-12,23.26,23.42,23.11,23.28,243800,0,1
2017-04-13,23.14,23.63,23.14,23.32,407200,0,1
2017-04-17,23.28,23.58,23.18,23.54,400600,0,1
2017-04-18,23.56,23.76,23.48,23.63,298700,0,1
2017-04-19,23.82,23.91,23.69,23.73,261100,0,1
2017-04-20,23.77,24.07,23.7,23.89,498200,0,1
2017-04-21,23.82,24.16,23.81,23.9,347300,0,1
2017-04-24,24.11,24.11,23.67,23.78,225700,0,1
2017-04-25,23.88,24.2,23.742,23.98,345100,0,1
2017-04-26,24.22,24.23,23.94,24.13,383900,0,1
2017-04-27,24.18,24.385,23.96,24.0,478000,0,1
2017-04-28,23.89,23.99,23.5,23.85,513400,0,1
2017-05-01,23.97,24.09,23.66,23.83,462800,0,1
2017-05-02,23.85,23.93,23.36,23.55,623300,0,1
2017-05-03,23.43,23.43,22.85,22.89,742300,0,1
2017-05-04,22.9,23.06,22.59,23.03,668700,0,1
2017-05-05,23.01,23.165,22.75,22.85,657300,0,1
2017-05-08,22.85,22.97,22.68,22.85,557300,0,1
2017-05-09,22.87,23.06,22.73,23.01,301500,0,1
2017-05-10,22.95,23.42,22.72,23.37,547500,0,1
2017-05-11,23.24,23.58,22.96,23.34,337000,0,1
2017-05-12,23.24,23.77,23.24,23.72,528400,0,1
2017-05-15,23.88,24.15,23.56,23.65,407700,0,1
2017-05-16,23.59,23.73,23.27,23.29,192000,0,1
2017-05-17,23.0,23.05,22.53,22.6,305500,0,1
2017-05-18,22.51,22.82,22.5,22.72,251400,0,1
2017-05-19,22.68,23.47,22.68,23.38,492500,0,1
2017-05-22,23.3,24.01,23.3,23.82,382700,0,1
2017-05-23,23.83,23.86,23.22,23.45,397500,0,1
2017-05-24,23.32,23.54,23.0,23.14,583800,0,1
2017-05-25,23.22,23.58,23.0,23.45,496900,0,1
2017-05-26,23.77,25.75,23.77,25.56,885500,0,1
2017-05-30,25.41,25.56,24.74,25.22,589500,0,1
2017-05-31,25.09,25.37,24.59,25.29,941900,0,1
2017-06-01,25.05,26.06,25.03,26.03,489700,0,1
2017-06-02,26.25,26.35,25.9,25.96,629600,0,1
2017-06-05,25.84,25.95,25.52,25.53,228900,0,1
2017-06-06,25.33,25.53,25.258,25.47,213000,0,1
2017-06-07,25.49,25.95,25.09,25.09,272500,0,1
2017-06-08,24.96,25.0,24.42,24.47,315700,0,1
2017-06-09,24.39,24.747,24.26,24.57,1397300,0,1
2017-06-12,24.38,25.02,24.38,24.9,516100,0,1
2017-06-13,24.89,25.17,24.87,24.91,480400,0,1
2017-06-14,24.91,25.04,24.82,24.9,437600,0,1
2017-06-15,24.75,25.015,24.73,24.92,429300,0,1
2017-06-16,24.87,25.05,24.82,25.05,711900,0,1
2017-06-19,25.04,25.48,24.98,25.27,606100,0,1
2017-06-20,25.21,25.32,24.625,24.79,344800,0,1
2017-06-21,24.8,25.29,24.69,25.06,237500,0,1
2017-06-22,25.14,25.15,24.72,25.04,223600,0,1
2017-06-23,25.06,25.42,24.88,25.38,755300,0,1
