date,open,high,low,close,volume,dividend,split
2000-01-03,3.4531,3.4688,3.4062,3.4336,76000,0,1
2000-01-04,3.5469,3.6875,3.5156,3.6328,772800,0,1
2000-01-05,3.7188,3.7812,3.625,3.7812,164800,0,1
2000-01-06,3.9375,4.0,3.8125,3.9062,94400,0,1
2000-01-07,3.9375,4.125,3.8906,4.0312,995200,0,1
2000-01-10,4.5625,4.7344,4.4844,4.6562,217600,0,1
2000-01-11,4.8438,5.1875,4.8438,5.0312,187200,0,1
2000-01-12,4.8125,4.8125,4.6875,4.6875,151200,0,1
2000-01-13,4.625,4.625,4.4062,4.4844,50400,0,1
2000-01-14,4.5625,5.0625,4.5625,4.9688,172000,0,1
2000-01-18,4.75,4.875,4.7031,4.875,61600,0,1
2000-01-19,4.75,4.875,4.7188,4.75,58400,0,1
2000-01-20,4.7188,4.875,4.6875,4.875,20000,0,1
2000-01-21,5.0,5.1719,4.9688,5.125,94400,0,1
2000-01-24,5.2812,5.375,5.125,5.25,80800,0,1
2000-01-25,5.25,5.8125,5.1875,5.625,448800,0,1
2000-01-26,5.875,6.125,5.875,5.9375,185600,0,1
2000-01-27,5.9688,6.2188,5.7812,6.0938,508000,0,1
2000-01-28,6.125,6.125,5.75,5.75,67200,0,1
2000-01-31,5.8438,5.8438,5.5938,5.7812,104800,0,1
2000-02-01,5.7812,5.9688,5.7812,5.9688,34400,0,1
2000-02-02,6.375,6.5938,6.2812,6.5625,163200,0,1
2000-02-03,6.6094,7.0938,6.5312,7.0938,137600,0,1
2000-02-04,7.5781,7.8125,7.5312,7.7812,221600,0,1
2000-02-07,8.6406,8.7656,8.2656,8.6875,246400,0,1
2000-02-08,9.3125,9.3906,9.0,9.3438,498400,0,1
2000-02-09,8.75,8.75,8.0,8.375,368800,0,1
2000-02-10,8.1562,8.375,8.1562,8.2812,143200,0,1
2000-02-11,8.1172,8.1406,7.1875,7.5,228800,0,1
2000-02-14,7.5625,7.75,7.5,7.6328,143200,0,1
2000-02-15,7.6562,7.9062,7.375,7.5,119200,0,1
2000-02-16,7.5781,7.7812,7.5625,7.5625,44000,0,1
2000-02-17,7.5938,7.875,7.5938,7.75,230400,0,1
2000-02-18,7.75,7.75,7.4062,7.4062,51200,0,1
2000-02-22,7.7812,7.8125,7.5312,7.6875,148800,0,1
2000-02-23,7.8125,7.8125,7.6875,7.7188,41600,0,1
2000-02-24,8.1875,8.5312,8.0938,8.5,275200,0,1
2000-02-25,8.2031,8.375,8.0625,8.2344,25600,0,1
2000-02-28,7.7812,8.1875,7.6875,8.0625,34400,0,1
2000-02-29,8.0469,8.125,8.0,8.0156,52800,0,1
2000-03-01,8.0,8.25,8.0,8.1562,49600,0,1
2000-03-02,8.5938,9.0,8.5938,8.875,107200,0,1
2000-03-03,9.25,9.25,9.0,9.2188,105600,0,1
2000-03-06,9.0,9.3125,9.0,9.2031,38400,0,1
2000-03-07,9.25,9.5,9.125,9.125,81600,0,1
2000-03-08,8.625,8.625,8.25,8.4375,80000,0,1
2000-03-09,8.25,8.25,7.75,7.8281,174400,0,1
2000-03-10,8.4375,8.625,8.1875,8.625,89600,0,1
2000-03-13,8.1875,8.1875,7.75,8.1719,74400,0,1
2000-03-14,8.1172,9.5,8.1172,9.375,135200,0,1
2000-03-15,9.0,9.0625,8.625,9.0,72800,0,1
2000-03-16,8.4688,8.4688,7.7188,7.8125,107200,0,1
2000-03-17,8.0,8.2188,7.75,8.2188,80800,0,1
2000-03-20,8.4375,8.75,8.4375,8.5,36800,0,1
2000-03-21,8.375,8.625,7.9844,8.3438,60800,0,1
2000-03-22,8.125,8.25,8.0625,8.25,21600,0,1
2000-03-23,8.0625,8.0625,8.0625,8.0625,1600,0,1
2000-03-24,8.125,9.0625,8.125,8.75,136000,0,1
2000-03-27,8.625,8.625,8.4375,8.4375,15200,0,1
2000-03-28,8.1875,8.25,8.0625,8.25,6400,0,1
2000-03-29,7.9375,8.0,7.8125,7.8125,20000,0,1
2000-03-30,7.875,8.25,7.875,8.0,64000,0,1
2000-03-31,8.3125,8.3125,8.1875,8.1875,6400,0,1
2000-04-03,8.0,8.0,7.5312,7.5312,44000,0,1
2000-04-04,7.375,7.375,6.875,6.875,80800,0,1
2000-04-05,6.6875,7.3438,6.6875,7.25,40800,0,1
2000-04-06,7.6328,7.7188,7.5781,7.5781,39200,0,1
2000-04-07,7.75,8.0,7.75,7.75,16000,0,1
2000-04-10,7.625,7.75,7.4375,7.4375,20000,0,1
2000-04-11,7.3125,7.3125,7.1562,7.25,16800,0,1
2000-04-12,7.1562,7.375,7.1562,7.375,47200,0,1
2000-04-13,6.75,7.0625,6.75,6.8125,20000,0,1
2000-04-14,6.5,6.5391,6.3438,6.3438,74400,0,1
2000-04-17,6.0625,6.4375,6.0078,6.375,64800,0,1
2000-04-18,6.75,6.75,6.5,6.5,18400,0,1
2000-04-19,7.0625,7.0625,7.0625,7.0625,3200,0,1
2000-04-20,7.0625,7.25,7.0,7.125,36000,0,1
2000-04-24,7.0,7.0,6.8438,6.8438,12800,0,1
2000-04-25,7.2266,7.4531,7.2188,7.2656,195200,0,1
2000-04-26,7.9766,8.0312,7.7891,7.7891,124800,0,1
2000-04-27,8.0312,8.0312,7.875,7.9375,366400,0,1
2000-04-28,8.1328,8.375,8.1328,8.1406,96000,0,1
2000-05-01,8.25,8.4375,8.1406,8.25,50400,0,1
2000-05-02,8.5156,8.75,8.5156,8.5312,143200,0,1
2000-05-03,8.5938,8.5938,7.875,8.2031,102400,0,1
2000-05-04,8.0625,8.2734,8.0625,8.2734,5600,0,1
2000-05-05,8.0625,8.0625,7.7734,8.0,23200,0,1
2000-05-08,8.2812,8.2812,8.1875,8.2656,136800,0,1
2000-05-09,8.0312,8.0312,7.8125,7.8125,11200,0,1
2000-05-10,7.8281,8.1172,7.5,8.0,80800,0,1
2000-05-11,7.8125,8.0,7.625,7.625,24000,0,1
2000-05-12,7.8125,8.0312,7.8125,7.8594,23200,0,1
2000-05-15,8.0312,8.0742,7.8125,7.875,14400,0,1
2000-05-16,7.9375,7.9375,7.875,7.875,5600,0,1
2000-05-17,7.9609,7.9609,7.7031,7.7031,20800,0,1
2000-05-18,7.5,7.5,7.375,7.375,27200,0,1
2000-05-19,7.25,7.25,6.875,7.125,25600,0,1
2000-05-22,7.0,7.0625,6.875,7.0625,32800,0,1
2000-05-23,7.0312,7.0312,6.9375,6.9375,6400,0,1
2000-05-24,6.8438,6.9375,6.6875,6.9375,21600,0,1
2000-05-25,6.75,6.875,6.75,6.7812,10400,0,1
2000-05-26,6.875,7.0,6.6562,7.0,16000,0,1
2000-05-30,6.9375,6.9375,6.875,6.875,8800,0,1
2000-05-31,7.0938,7.375,7.0781,7.375,16800,0,1
2000-06-01,7.0938,7.0938,7.0312,7.0312,2400,0,1
2000-06-02,7.8672,8.125,7.8672,8.0938,178400,0,1
2000-06-05,7.75,8.0,7.6562,8.0,129600,0,1
2000-06-06,7.9922,7.9922,7.7812,7.7812,1600,0,1
2000-06-07,7.5859,7.5938,7.4688,7.4688,11200,0,1
2000-06-08,7.4062,7.5859,7.4062,7.4062,4000,0,1
2000-06-09,7.5,7.5,7.4062,7.4062,25600,0,1
2000-06-12,7.375,7.6875,7.3125,7.6875,8800,0,1
2000-06-13,7.6172,7.625,7.25,7.25,21600,0,1
2000-06-14,7.6875,7.75,7.5781,7.75,116000,0,1
2000-06-15,7.5469,7.75,7.5469,7.7344,33600,0,1
2000-06-16,7.75,7.75,7.6875,7.6953,128800,0,1
2000-06-19,7.625,7.75,7.625,7.625,68000,0,1
2000-06-20,8.0312,8.1875,8.0,8.125,32800,0,1
2000-06-21,8.25,8.25,8.125,8.125,10400,0,1
2000-06-22,7.875,8.1875,7.875,8.1875,15200,0,1
2000-06-23,8.0,8.125,8.0,8.125,13600,0,1
2000-06-26,8.0312,8.25,8.0,8.25,72000,0,1
2000-06-27,8.375,8.5,8.375,8.375,602400,0,1
2000-06-28,8.3828,8.5,8.3594,8.5,77600,0,1
2000-06-29,8.625,8.9062,8.5781,8.7188,313600,0,1
2000-06-30,8.8438,9.125,8.75,9.125,244000,0,1
2000-07-03,9.125,9.2344,9.0,9.2344,182400,0,1
2000-07-05,9.125,9.4375,9.0,9.375,88000,0,1
2000-07-06,9.375,9.75,9.2344,9.625,55600,0,1
2000-07-07,9.625,9.6875,9.375,9.5625,82000,0,1
2000-07-10,9.1406,9.625,9.0312,9.5938,163200,0,1
2000-07-11,9.0781,9.3125,8.9688,9.0938,558800,0,1
2000-07-12,8.8906,9.0078,8.6719,8.8438,454800,0,1
2000-07-13,8.4375,8.7188,8.1875,8.625,92000,0,1
2000-07-14,8.625,8.9688,8.5,8.9688,54000,0,1
2000-07-17,9.0,9.0,8.2969,8.5625,35200,0,1
2000-07-18,8.875,8.875,8.5938,8.5938,44800,0,1
2000-07-19,8.125,8.4375,8.125,8.375,98000,0,1
2000-07-20,8.5,8.75,8.4688,8.5625,81200,0,1
2000-07-21,9.0156,9.2188,9.0156,9.1875,23600,0,1
2000-07-24,9.25,9.4688,8.9688,8.9688,47200,0,1
2000-07-25,9.0,9.125,8.3438,8.8125,236400,0,1
2000-07-26,9.0625,9.3125,9.0,9.1875,534000,0,1
2000-07-27,9.1562,9.25,8.9375,8.9375,353600,0,1
2000-07-28,8.875,8.875,8.0625,8.3125,386000,0,1
2000-07-31,8.7188,8.7188,8.2812,8.5625,102800,0,1
2000-08-01,8.75,8.8438,8.1875,8.25,33200,0,1
2000-08-02,8.625,8.7188,8.1562,8.375,345600,0,1
2000-08-03,7.9688,8.0625,7.75,8.0625,31600,0,1
2000-08-04,8.1875,8.5,8.0312,8.0312,200400,0,1
2000-08-07,7.9688,8.125,7.6875,8.125,32800,0,1
2000-08-08,8.0312,8.3125,7.8438,8.25,42800,0,1
2000-08-09,8.125,8.375,7.875,8.0938,107200,0,1
2000-08-10,8.0,8.1562,7.875,8.125,33600,0,1
2000-08-11,7.625,8.0,7.5,7.6094,35200,0,1
2000-08-14,7.625,7.9688,7.375,7.9688,95200,0,1
2000-08-15,8.0,8.2188,8.0,8.2188,43200,0,1
2000-08-16,8.25,8.4062,8.1875,8.3125,18400,0,1
2000-08-17,8.3125,8.4062,8.0625,8.4062,51600,0,1
2000-08-18,8.0625,8.375,8.0625,8.375,12000,0,1
2000-08-21,8.375,8.4688,8.0938,8.3125,89200,0,1
2000-08-22,8.125,8.5,8.125,8.25,149200,0,1
2000-08-23,8.5,8.625,8.2812,8.2812,502800,0,1
2000-08-24,8.3281,8.5625,8.0938,8.2812,311200,0,1
2000-08-25,8.5625,8.6875,8.25,8.25,354400,0,1
2000-08-28,8.3125,8.3125,8.0625,8.2656,163200,0,1
2000-08-29,8.2812,8.3438,8.0938,8.1875,352800,0,1
2000-08-30,8.0938,8.3125,8.0938,8.3125,18000,0,1
2000-08-31,8.4375,8.5,8.125,8.2656,364800,0,1
2000-09-01,8.3125,8.4375,8.25,8.4375,186800,0,1
2000-09-05,8.125,8.375,7.8438,7.9062,61600,0,1
2000-09-06,7.9062,7.9688,7.5,7.5,48400,0,1
2000-09-07,7.75,7.75,7.3438,7.3438,64000,0,1
2000-09-08,7.4375,7.625,7.3438,7.5312,61600,0,1
2000-09-11,7.8906,8.0938,7.5312,7.5312,24800,0,1
2000-09-12,7.8438,7.8438,7.4688,7.5312,98400,0,1
2000-09-13,7.5938,7.7031,7.375,7.375,53600,0,1
2000-09-14,7.6562,7.6562,7.4375,7.5625,40800,0,1
2000-09-15,7.625,7.625,7.25,7.3281,120800,0,1
2000-09-18,7.4375,7.5938,7.4375,7.5938,13600,0,1
2000-09-19,7.0469,7.4062,6.9414,7.4062,14400,0,1
2000-09-20,7.3125,7.4375,7.25,7.4062,24800,0,1
2000-09-21,7.125,7.2188,6.8125,7.1875,28400,0,1
2000-09-22,6.6875,6.6875,6.2812,6.5,462000,0,1
2000-09-25,6.625,6.875,6.5742,6.6875,894400,0,1
2000-09-26,6.7812,6.9219,6.75,6.9062,475600,0,1
2000-09-27,7.25,7.375,7.0273,7.2812,171600,0,1
2000-09-28,7.7812,7.8594,7.75,7.7656,153600,0,1
2000-09-29,7.75,7.75,7.5625,7.6875,275200,0,1
2000-10-02,7.5625,7.5664,7.25,7.25,220400,0,1
2000-10-03,7.25,7.375,7.0469,7.0469,61600,0,1
2000-10-04,7.125,7.125,6.8438,7.0625,63200,0,1
2000-10-05,6.8906,7.125,6.7969,6.7969,125200,0,1
2000-10-06,6.9688,6.9688,6.6406,6.6406,82400,0,1
2000-10-09,6.5312,6.6875,6.5,6.5156,60800,0,1
2000-10-10,6.5,6.625,6.5,6.5469,69600,0,1
2000-10-11,6.3125,6.3125,5.9688,5.9844,66400,0,1
2000-10-12,6.7812,6.7812,6.3125,6.3125,66800,0,1
2000-10-13,6.625,7.0312,6.5,6.9375,118800,0,1
2000-10-16,6.9375,7.1562,6.875,6.875,43600,0,1
2000-10-17,6.6875,6.75,6.5938,6.5938,26400,0,1
2000-10-18,5.7812,6.0,5.75,5.7812,64400,0,1
2000-10-19,6.125,6.75,6.0156,6.75,120400,0,1
2000-10-20,6.625,7.0,6.5,6.5,19600,0,1
2000-10-23,7.375,7.375,7.0,7.0312,34800,0,1
2000-10-24,7.2812,8.3125,7.25,7.4219,150000,0,1
2000-10-25,7.375,7.625,7.375,7.625,198800,0,1
2000-10-26,7.7188,8.0,7.4062,7.875,952400,0,1
2000-10-27,7.6719,7.9688,7.5625,7.75,1149200,0,1
2000-10-30,7.4375,7.75,7.4375,7.4688,199200,0,1
2000-10-31,7.4375,7.625,7.4375,7.4688,50400,0,1
2000-11-01,7.6094,7.6875,7.25,7.6562,35200,0,1
2000-11-02,7.625,8.0,7.625,8.0,44000,0,1
2000-11-03,8.0312,8.0312,7.875,7.875,676400,0,1
2000-11-06,7.875,8.0312,7.875,8.0312,1933200,0,1
2000-11-07,7.9688,7.9688,7.8125,7.8125,1728400,0,1
2000-11-08,7.9062,7.9062,7.75,7.75,451200,0,1
2000-11-09,7.6875,7.75,7.5,7.5,16400,0,1
2000-11-10,7.375,7.5,7.125,7.3125,12000,0,1
2000-11-13,6.75,7.125,6.625,6.625,14400,0,1
2000-11-14,7.0312,7.1875,6.7812,7.1562,25600,0,1
2000-11-15,7.3281,7.75,7.3281,7.5,386000,0,1
2000-11-16,7.75,8.0,7.5625,7.8906,138000,0,1
2000-11-17,7.8281,7.8438,7.5156,7.75,40800,0,1
2000-11-20,7.75,7.75,7.3438,7.5625,68800,0,1
2000-11-21,7.25,7.4141,7.0312,7.0312,24000,0,1
2000-11-22,7.0625,7.3125,6.9531,7.125,32800,0,1
2000-11-24,7.75,7.75,7.4219,7.6875,188800,0,1
2000-11-27,7.9062,8.0,7.6875,8.0,17200,0,1
2000-11-28,7.5312,8.0,7.5156,7.5156,52800,0,1
2000-11-29,7.6562,7.875,7.5,7.625,24000,0,1
2000-11-30,7.0938,7.375,6.875,7.0,22400,0,1
2000-12-01,7.0,7.25,6.75,7.125,50000,0,1
2000-12-04,6.8125,6.8125,6.5,6.625,13200,0,1
2000-12-05,7.25,7.4844,7.0625,7.375,59200,0,1
2000-12-06,7.4844,7.625,6.9844,7.0,135600,0,1
