date,open,high,low,close,volume,dividend,split
2000-04-07,8.75,11.0,8.75,9.5,3106600,0,1
2000-04-10,10.375,10.6875,9.0,9.125,805800,0,1
2000-04-11,8.6875,8.875,8.0,8.25,382500,0,1
2000-04-12,8.5,8.625,7.875,8.0625,141800,0,1
2000-04-13,8.0,8.25,8.0,8.0,107300,0,1
2000-04-14,8.0,8.1875,8.0,8.0156,267300,0,1
2000-04-17,8.0,8.0312,7.875,8.0,243700,0,1
2000-04-18,8.0,8.125,8.0,8.0625,187200,0,1
2000-04-19,8.0,8.25,8.0,8.125,96400,0,1
2000-04-20,8.25,8.25,8.0,8.125,49400,0,1
2000-04-24,8.0,8.125,7.9375,8.0156,58400,0,1
2000-04-25,8.25,8.25,7.875,8.0,28400,0,1
2000-04-26,8.0,8.125,5.375,6.0,78800,0,1
2000-04-27,6.125,6.5,5.875,6.125,74100,0,1
2000-04-28,6.5,6.625,5.5,6.25,593900,0,1
2000-05-01,6.5,6.875,6.25,6.25,176300,0,1
2000-05-02,6.2812,6.875,6.125,6.875,128800,0,1
2000-05-03,7.4375,8.125,7.4375,7.75,289400,0,1
2000-05-04,7.75,8.25,7.5,8.125,108200,0,1
2000-05-05,8.125,8.125,7.75,7.75,116300,0,1
2000-05-08,8.0,8.0,7.5,7.75,14300,0,1
2000-05-09,7.8438,8.0625,7.625,7.9375,17700,0,1
2000-05-10,8.0625,8.0625,7.375,7.375,39500,0,1
2000-05-11,7.5,7.75,7.5,7.5625,30100,0,1
2000-05-12,7.625,7.75,6.875,7.25,13300,0,1
2000-05-15,7.0,7.5,6.0,6.875,72700,0,1
2000-05-16,7.5,8.0625,6.875,8.0,106000,0,1
2000-05-17,8.0,8.125,7.8125,8.0,404800,0,1
2000-05-18,8.0625,8.125,7.0,7.5,17400,0,1
2000-05-19,7.5625,8.0,7.375,8.0,10200,0,1
2000-05-22,7.9062,8.0,7.6875,7.75,14300,0,1
2000-05-23,7.8125,7.875,7.0,7.5,15600,0,1
2000-05-24,7.0,7.5,6.875,6.9844,43800,0,1
2000-05-25,6.8125,7.5,6.8125,7.25,46400,0,1
2000-05-26,7.2188,7.75,7.2188,7.625,8000,0,1
2000-05-30,7.6875,7.875,7.625,7.875,14000,0,1
2000-05-31,7.75,7.9062,7.625,7.625,53500,0,1
2000-06-01,7.9375,7.9375,7.4375,7.75,213500,0,1
2000-06-02,7.8125,8.25,7.6875,8.25,36900,0,1
2000-06-05,8.25,8.375,8.0,8.25,58300,0,1
2000-06-06,8.125,8.25,8.0,8.1875,49600,0,1
2000-06-07,8.25,8.25,7.9375,8.25,55200,0,1
2000-06-08,7.875,8.125,7.875,7.9375,54900,0,1
2000-06-09,8.0,8.0,7.75,7.875,41800,0,1
2000-06-12,7.875,8.25,7.875,8.25,56700,0,1
2000-06-13,8.1875,8.25,7.875,7.9375,80700,0,1
2000-06-14,8.0,8.125,7.9375,7.9375,23800,0,1
2000-06-15,7.875,8.0,7.875,7.9844,16700,0,1
2000-06-16,8.0,8.0,7.5,7.8438,7700,0,1
2000-06-19,8.25,8.25,7.8438,8.25,10000,0,1
2000-06-20,8.25,8.25,8.0,8.25,99500,0,1
2000-06-21,8.25,9.2188,8.25,8.875,48200,0,1
2000-06-22,8.8438,9.0,8.8125,9.0,23400,0,1
2000-06-23,9.0938,9.25,8.75,8.75,103500,0,1
2000-06-26,9.125,9.125,8.75,9.0,27400,0,1
2000-06-27,8.75,9.0,8.75,9.0,23100,0,1
2000-06-28,8.75,9.125,8.75,9.0625,18800,0,1
2000-06-29,8.7812,9.0625,8.5,8.625,37800,0,1
2000-06-30,8.625,9.0625,8.625,8.6875,240500,0,1
2000-07-03,8.6875,8.75,8.3125,8.5,38900,0,1
2000-07-05,8.375,8.4375,8.25,8.3125,23100,0,1
2000-07-06,8.375,8.5,8.25,8.5,61500,0,1
2000-07-07,8.4844,8.625,8.25,8.375,28100,0,1
2000-07-10,8.375,8.5,8.375,8.4375,4000,0,1
2000-07-11,8.4375,8.75,8.125,8.75,71800,0,1
2000-07-12,8.875,8.875,8.5,8.75,39600,0,1
2000-07-13,8.5,9.125,8.5,9.0,40000,0,1
2000-07-14,9.125,9.125,8.875,9.0625,36600,0,1
2000-07-17,9.125,9.375,8.875,9.0,76700,0,1
2000-07-18,9.0312,9.1875,8.875,9.0,9500,0,1
2000-07-19,9.0938,9.4375,9.0,9.1875,26800,0,1
2000-07-20,9.1875,9.3125,8.9375,9.25,50600,0,1
2000-07-21,9.0,9.25,9.0,9.0625,3100,0,1
2000-07-24,9.1562,9.25,9.0,9.0625,18700,0,1
2000-07-25,9.25,9.25,9.0,9.25,87300,0,1
2000-07-26,9.2031,9.5,8.8125,8.8125,34800,0,1
2000-07-27,8.8125,8.875,8.5625,8.75,6200,0,1
2000-07-28,8.75,9.0,8.5625,8.5625,37300,0,1
2000-07-31,8.5,9.5,8.3125,9.5,48700,0,1
2000-08-01,9.3125,9.3125,9.125,9.25,26200,0,1
2000-08-02,9.1875,9.25,9.0,9.0625,131100,0,1
2000-08-03,9.0,9.0,8.875,9.0,5800,0,1
2000-08-04,8.9688,9.25,8.9688,9.0,17800,0,1
2000-08-07,8.875,9.0,8.5,8.625,13700,0,1
2000-08-08,8.5625,9.0625,8.5,8.5,6400,0,1
2000-08-09,8.5,8.75,8.375,8.4375,24400,0,1
2000-08-10,8.2188,8.25,7.8125,7.8125,9100,0,1
2000-08-11,7.75,8.25,6.75,7.625,50000,0,1
2000-08-14,7.6875,7.6875,7.125,7.25,4600,0,1
2000-08-15,7.3125,7.5,7.125,7.125,44900,0,1
2000-08-16,7.1875,7.5,6.0625,6.625,34000,0,1
2000-08-17,6.75,6.875,5.75,6.3438,9700,0,1
2000-08-18,6.5,6.5,5.875,5.875,31300,0,1
