date,open,high,low,close,volume,dividend,split
2007-07-27,12.5,14.32,12.46,14.0,29257200,0,1
2007-07-30,14.43,15.925,14.18,14.99,5767200,0,1
2007-07-31,16.0,17.085,15.105,16.07,4441600,0,1
2007-08-01,16.49,16.625,15.2,15.54,3063600,0,1
2007-08-02,16.0,16.915,15.99,16.525,1969400,0,1
2007-08-03,17.225,17.25,15.045,15.5,2349400,0,1
2007-08-06,16.0,16.425,15.045,16.375,3002200,0,1
2007-08-07,16.5,18.515,16.065,18.12,3980800,0,1
2007-08-08,18.5,19.425,18.2,18.875,4066800,0,1
2007-08-09,18.325,18.875,17.25,17.675,1828200,0,1
2007-08-10,17.0,18.1,16.13,18.075,2232800,0,1
2007-08-13,19.0,19.0,18.255,18.44,962800,0,1
2007-08-14,18.5,18.595,16.745,16.75,2153400,0,1
2007-08-15,17.625,17.625,16.055,16.725,1529200,0,1
2007-08-16,15.975,16.695,14.35,16.015,2732400,0,1
2007-08-17,17.495,17.495,15.84,16.47,1150000,0,1
2007-08-20,17.0,17.085,16.0,16.5,582200,0,1
2007-08-21,16.88,17.35,16.15,17.01,1251000,0,1
2007-08-22,17.4,18.0,17.05,17.145,819400,0,1
2007-08-23,17.62,17.62,16.81,16.895,619000,0,1
2007-08-24,17.115,17.245,16.645,17.185,354200,0,1
2007-08-27,17.25,17.25,16.435,16.525,375000,0,1
2007-08-28,16.46,16.49,16.04,16.15,637000,0,1
2007-08-29,16.175,16.875,16.175,16.745,1069600,0,1
2007-08-30,16.19,16.895,16.19,16.785,682200,0,1
2007-08-31,16.9,17.385,16.835,17.035,776200,0,1
2007-09-04,17.0,17.625,16.995,17.48,665400,0,1
2007-09-05,17.445,17.605,16.655,17.42,621400,0,1
2007-09-06,17.625,18.62,17.135,18.475,1376800,0,1
2007-09-07,17.775,18.3,17.38,17.95,1053600,0,1
2007-09-10,18.49,18.49,17.82,18.33,1852400,0,1
2007-09-11,17.25,18.22,17.18,17.81,2988400,0,1
2007-09-12,17.595,18.265,17.535,17.915,674000,0,1
2007-09-13,18.36,18.365,17.415,17.515,563400,0,1
2007-09-14,17.365,17.8,16.75,17.09,887400,0,1
2007-09-17,17.4,17.4,16.67,17.355,673600,0,1
2007-09-18,17.35,18.115,17.25,18.1,656200,0,1
2007-09-19,18.375,20.18,18.15,19.665,3555600,0,1
2007-09-20,19.87,20.67,19.5,19.895,1844000,0,1
2007-09-21,20.945,20.95,19.945,19.945,2671600,0,1
2007-09-24,20.545,20.74,19.525,19.685,1133200,0,1
2007-09-25,19.685,21.245,19.25,21.15,1704400,0,1
2007-09-26,21.575,22.115,21.395,21.515,2240000,0,1
2007-09-27,21.985,21.995,20.55,20.65,1058200,0,1
2007-09-28,21.0,21.075,20.395,21.015,4138800,0,1
2007-10-01,21.415,21.65,20.865,21.53,1160200,0,1
2007-10-02,21.55,23.64,21.54,22.8,2952600,0,1
2007-10-03,22.625,23.86,22.0,23.195,1942400,0,1
2007-10-04,23.5,23.59,22.04,22.25,1434400,0,1
2007-10-05,23.0,23.0,22.06,22.13,1068000,0,1
2007-10-08,22.255,23.25,22.15,23.1,943400,0,1
2007-10-09,23.25,23.625,22.535,22.925,1016000,0,1
2007-10-10,22.77,23.525,22.295,23.35,799800,0,1
2007-10-11,23.34,24.29,22.29,22.53,2062600,0,1
2007-10-12,22.5,23.0,21.39,21.66,1557200,0,1
2007-10-15,21.75,22.11,20.435,20.565,2093400,0,1
2007-10-16,22.675,25.405,22.0,23.65,11337200,0,1
2007-10-17,23.75,27.0,23.45,26.9,6713600,0,1
2007-10-18,25.955,28.55,25.83,28.06,7665200,0,1
2007-10-19,28.01,28.3,27.0,27.615,3012400,0,1
2007-10-22,26.025,29.175,25.705,29.0,3250000,0,1
2007-10-23,29.715,30.35,28.15,28.815,3174800,0,1
2007-10-24,28.86,29.0,26.01,28.0,3122000,0,1
2007-10-25,27.51,27.515,25.455,25.5,2734200,0,1
2007-10-26,26.245,26.5,24.975,25.23,2933600,0,1
2007-10-29,25.83,26.475,24.635,24.87,2585800,0,1
2007-10-30,24.45,25.815,24.255,25.03,2181800,0,1
2007-10-31,25.5,26.75,24.35,26.61,3039800,0,1
2007-11-01,25.35,25.97,24.44,24.565,2532400,0,1
2007-11-02,24.505,24.85,22.0,23.475,4224000,0,1
2007-11-05,22.78,23.34,21.375,21.865,2640800,0,1
2007-11-06,22.0,22.35,21.355,21.42,2159800,0,1
2007-11-07,21.685,22.49,20.325,20.65,2993200,0,1
2007-11-08,21.255,21.255,18.445,20.83,3839600,0,1
2007-11-09,20.475,20.56,19.55,20.045,1591800,0,1
2007-11-12,20.0,20.86,19.5,19.905,1230800,0,1
2007-11-13,20.315,21.75,20.0,21.75,1707200,0,1
2007-11-14,20.425,22.36,19.875,22.145,5428400,0,1
2007-11-15,21.54,22.315,20.605,20.75,1471200,0,1
2007-11-16,21.0,22.25,20.095,20.87,1200600,0,1
2007-11-19,20.5,20.72,18.655,19.105,1558000,0,1
2007-11-20,19.025,19.845,17.44,17.735,1902000,0,1
2007-11-21,17.52,19.335,16.9,18.885,1914000,0,1
2007-11-23,19.5,19.66,18.875,19.57,384000,0,1
2007-11-26,19.73,20.0,18.815,19.06,1026600,0,1
2007-11-27,19.335,19.5,18.94,19.3,997400,0,1
2007-11-28,19.54,21.31,19.54,20.25,1989000,0,1
2007-11-29,21.66,22.195,20.05,20.77,3748800,0,1
2007-11-30,21.73,21.74,18.335,18.335,3652800,0,1
2007-12-03,18.65,19.985,18.505,19.485,1909800,0,1
2007-12-04,19.26,19.645,18.625,18.825,1061800,0,1
2007-12-05,19.205,19.68,18.96,19.56,1213000,0,1
2007-12-06,19.605,20.23,19.58,20.0,729400,0,1
2007-12-07,20.15,20.975,20.15,20.925,849800,0,1
2007-12-10,21.12,21.87,21.025,21.8,1229000,0,1
2007-12-11,21.8,24.25,21.765,23.5,4379600,0,1
2007-12-12,23.935,24.785,22.57,23.225,1825000,0,1
2007-12-13,22.92,23.635,22.29,23.58,955400,0,1
2007-12-14,23.245,23.46,22.27,22.43,792400,0,1
2007-12-17,22.18,22.875,21.385,21.61,691000,0,1
2007-12-18,22.0,22.48,21.25,22.205,792600,0,1
2007-12-19,22.23,23.08,21.355,22.075,611200,0,1
2007-12-20,22.51,23.4,22.325,22.99,711400,0,1
2007-12-21,23.545,23.8,23.045,23.74,925800,0,1
2007-12-24,23.7,25.215,23.6,24.58,561600,0,1
2007-12-26,24.895,25.3,24.585,25.01,752400,0,1
2007-12-27,24.8,25.0,23.5,23.91,562000,0,1
2007-12-28,24.115,24.625,23.75,23.935,548200,0,1
2007-12-31,23.89,24.135,23.505,23.685,472600,0,1
2008-01-02,23.695,24.165,22.265,22.41,708200,0,1
2008-01-03,22.41,22.64,21.78,22.38,709400,0,1
2008-01-04,21.87,21.915,20.165,20.27,1559000,0,1
2008-01-07,20.735,20.735,18.885,19.225,1583200,0,1
2008-01-08,19.355,19.86,18.42,18.465,1163800,0,1
2008-01-09,18.495,18.495,16.855,17.0,2324200,0,1
2008-01-10,17.0,17.85,16.875,17.36,2726000,0,1
2008-01-11,17.255,17.375,16.47,16.535,1570800,0,1
