date,open,high,low,close,volume,dividend,split
2019-07-25,40.51,45.46,37.74,38.1,14798200.0,0,1
2019-07-26,37.75,40.5,37.26,38.12,2633100.0,0,1
2019-07-29,38.84,42.0,38.223,41.63,1410600.0,0,1
2019-07-30,41.46,42.8,40.1,41.0,910400.0,0,1
2019-07-31,41.11,45.68,41.11,44.25,2864600.0,0,1
2019-08-01,43.97,44.5,41.01,41.01,527000.0,0,1
2019-08-02,41.01,41.01,36.67,37.49,1230700.0,0,1
2019-08-05,36.5,36.5,33.2,33.53,803900.0,0,1
2019-08-06,34.16,35.97,31.598,33.15,603400.0,0,1
2019-08-07,32.8,34.71,31.78,33.21,547400.0,0,1
2019-08-08,33.22,35.36,33.12,33.21,570700.0,0,1
2019-08-09,34.71,38.44,34.5,37.57,1154000.0,0,1
2019-08-12,37.57,38.969,35.51,36.94,575000.0,0,1
2019-08-13,36.86,38.89,36.03,36.25,472000.0,0,1
2019-08-14,36.0,36.08,32.51,33.92,816700.0,0,1
2019-08-15,34.08,34.867,33.57,34.03,258800.0,0,1
2019-08-16,34.5,37.04,34.5,36.79,406800.0,0,1
2019-08-19,37.7,38.98,34.31,36.5,813200.0,0,1
2019-08-20,36.32,37.99,34.95,34.99,383600.0,0,1
2019-08-21,35.25,36.955,34.501,34.95,493000.0,0,1
2019-08-22,35.5,36.247,35.24,35.42,351100.0,0,1
2019-08-23,35.5,35.975,34.37,34.64,139000.0,0,1
2019-08-26,34.88,35.5,31.34,31.34,1446200.0,0,1
2019-08-27,31.82,32.25,29.52,29.69,1053100.0,0,1
2019-08-28,30.99,31.5,29.8,30.04,812200.0,0,1
2019-08-29,30.5,31.23,30.01,30.84,424100.0,0,1
2019-08-30,30.96,31.99,29.63,30.64,682000.0,0,1
2019-09-03,30.61,31.376,30.01,30.23,508000.0,0,1
2019-09-04,30.91,31.0,29.85,30.89,892800.0,0,1
2019-09-05,30.01,31.29,23.7,25.55,5733800.0,0,1
2019-09-06,25.99,27.36,25.821,26.06,1169100.0,0,1
2019-09-09,26.29,26.8,23.22,23.47,1517600.0,0,1
2019-09-10,23.36,24.0,22.88,23.35,1377300.0,0,1
2019-09-11,23.5,24.398,23.45,23.93,1222300.0,0,1
2019-09-12,24.16,25.6,24.16,25.28,1333600.0,0,1
2019-09-13,25.21,26.19,24.36,24.64,553600.0,0,1
2019-09-16,24.81,25.22,23.45,23.48,957200.0,0,1
2019-09-17,23.52,24.0,22.3,22.57,1174500.0,0,1
2019-09-18,22.55,23.18,21.9,22.59,1013100.0,0,1
2019-09-19,22.69,23.3,22.45,23.06,858500.0,0,1
2019-09-20,22.97,23.93,22.69,23.86,2395500.0,0,1
2019-09-23,23.85,24.35,22.3,22.49,770100.0,0,1
2019-09-24,22.47,22.49,19.23,19.39,3095700.0,0,1
2019-09-25,19.69,19.69,18.15,19.0,1668000.0,0,1
2019-09-26,18.91,19.05,17.578,17.89,1152000.0,0,1
2019-09-27,17.89,18.154,16.65,17.05,1439900.0,0,1
2019-09-30,17.11,17.687,16.854,17.44,924300.0,0,1
2019-10-01,17.53,17.535,15.7,15.92,1386100.0,0,1
2019-10-02,15.57,16.99,15.12,16.87,1484100.0,0,1
2019-10-03,16.88,18.08,16.733,17.66,861500.0,0,1
2019-10-04,17.73,17.918,16.8,17.32,985500.0,0,1
2019-10-07,19.24,20.8,17.8,20.5,2911600.0,0,1
2019-10-08,20.61,20.75,18.89,19.1,1685100.0,0,1
2019-10-09,19.11,19.5,18.302,19.12,1826400.0,0,1
2019-10-10,19.12,19.52,18.63,18.86,964300.0,0,1
2019-10-11,18.95,19.205,17.41,17.64,1410600.0,0,1
2019-10-14,17.58,18.56,17.25,18.45,862300.0,0,1
2019-10-15,18.65,19.64,18.503,19.46,966400.0,0,1
2019-10-16,19.46,20.5,18.975,20.33,713800.0,0,1
2019-10-17,19.98,21.5,19.78,21.22,1356600.0,0,1
