date,open,high,low,close,volume,dividend,split
2000-01-03,14.7115,14.7407,14.1872,14.2163,2506500,0,1
2000-01-04,14.1289,14.3328,14.0124,14.1289,1036200,0,1
2000-01-05,14.1289,14.5367,14.1289,14.3619,960500,0,1
2000-01-06,14.3911,14.5659,14.3037,14.5659,889400,0,1
2000-01-07,14.5659,15.0611,14.5659,14.9737,1114500,0,1
2000-01-10,15.3816,16.1972,15.3233,15.7603,2767900,0,1
2000-01-11,15.6437,15.9059,15.2068,15.2068,1572400,0,1
2000-01-12,15.2068,15.4689,14.9154,15.3524,1020600,0,1
2000-01-13,15.3524,15.6146,15.3233,15.3816,941700,0,1
2000-01-14,15.3816,15.5855,15.2359,15.265,798200,0,1
2000-01-18,15.1485,15.3524,14.9737,15.0611,949800,0,1
2000-01-19,14.9446,15.3524,14.9446,15.1485,933600,0,1
2000-01-20,14.9737,15.1776,14.9154,15.0028,880400,0,1
2000-01-21,15.0028,15.0902,14.8863,14.9446,1187500,0,1
2000-01-24,14.9446,14.9446,14.0415,14.0706,1540200,0,1
2000-01-25,14.0415,14.8863,14.0415,14.4202,1266500,0,1
2000-01-26,14.4493,14.5076,14.0998,14.5076,1036000,0,1
2000-01-27,14.4493,14.8572,14.4493,14.5659,1029900,0,1
2000-01-28,14.4785,14.9737,14.3328,14.3619,2047400,0,1
2000-01-31,14.4493,14.5367,14.1872,14.4785,1058900,0,1
2000-02-01,14.4493,15.2068,14.4202,14.8863,966400,0,1
2000-02-02,14.7698,15.032,14.6241,14.6533,767600,0,1
2000-02-03,14.6533,15.1485,14.6241,15.032,1575300,0,1
2000-02-04,14.9737,15.8185,14.9154,15.7894,1463600,0,1
2000-02-07,15.5855,15.7894,15.1485,15.4981,1331800,0,1
2000-02-08,15.4981,15.8185,15.3233,15.6146,1953000,0,1
2000-02-09,15.4398,15.702,15.2068,15.2359,1726000,0,1
2000-02-10,15.2942,15.2942,14.8863,14.9446,1801300,0,1
2000-02-11,14.9446,15.4981,14.8281,15.2359,847200,0,1
2000-02-14,15.265,15.5563,14.8281,15.032,1089600,0,1
2000-02-15,15.2068,15.5855,14.9737,15.2942,733300,0,1
2000-02-16,15.3816,15.5855,14.6241,15.2359,1230000,0,1
2000-02-17,15.1194,15.2068,14.3328,14.7407,1272800,0,1
2000-02-18,14.6241,14.8863,14.2454,14.3328,707500,0,1
2000-02-22,14.3328,14.3328,13.8084,14.1289,772500,0,1
2000-02-23,14.1289,14.1289,13.8084,13.8376,997300,0,1
2000-02-24,13.8667,13.8667,12.4975,12.7597,1717700,0,1
2000-02-25,13.051,13.6045,12.9928,12.9928,1563400,0,1
2000-02-28,12.7014,13.1384,12.6723,13.051,2012500,0,1
2000-02-29,13.051,13.1093,12.6723,12.8471,1932900,0,1
2000-03-01,12.7888,12.9054,12.7014,12.818,1157100,0,1
2000-03-02,12.7597,12.8471,12.6432,12.7597,877000,0,1
2000-03-03,12.614,12.7597,12.4975,12.6723,1283000,0,1
2000-03-06,12.6432,12.818,12.381,12.4392,1751100,0,1
2000-03-07,12.4392,12.7306,12.381,12.4101,2425000,0,1
2000-03-08,12.1771,12.7888,12.1771,12.5266,1631100,0,1
2000-03-09,12.4684,12.5849,12.3519,12.5849,830300,0,1
2000-03-10,12.5558,12.818,12.4975,12.5558,970200,0,1
2000-03-13,12.4684,12.7597,12.4392,12.6723,937800,0,1
2000-03-14,12.5558,12.9636,12.4975,12.7888,1116000,0,1
2000-03-15,12.5849,13.2549,12.4101,13.0219,1881600,0,1
2000-03-16,13.1384,14.8281,13.051,14.7407,1739100,0,1
2000-03-17,14.7989,15.0028,14.6241,14.7698,1546400,0,1
2000-03-20,14.5659,14.7407,14.158,14.2745,1213100,0,1
2000-03-21,14.2163,14.7989,14.2163,14.5076,782100,0,1
2000-03-22,14.595,14.9446,14.1872,14.3037,1899800,0,1
2000-03-23,14.2163,14.595,14.0998,14.5076,797400,0,1
2000-03-24,14.3911,14.8863,13.9832,13.9832,1090700,0,1
2000-03-27,14.4493,14.4493,14.1289,14.1289,862300,0,1
2000-03-28,13.8667,14.3037,13.8667,14.1872,931300,0,1
2000-03-29,14.158,14.7407,14.0124,14.5659,1407800,0,1
2000-03-30,14.6241,14.8863,14.3619,14.4785,876100,0,1
2000-03-31,14.4785,15.0902,14.3328,14.6824,1039200,0,1
2000-04-03,14.7115,15.1776,14.6533,15.032,1081100,0,1
2000-04-04,14.9154,15.6146,14.8863,15.3524,1456800,0,1
2000-04-05,15.3524,15.4981,15.1194,15.1485,691600,0,1
2000-04-06,15.3233,15.6729,15.2942,15.5563,728400,0,1
2000-04-07,15.4398,15.702,14.8281,14.9737,822100,0,1
2000-04-10,14.8572,15.2068,14.7989,15.0611,578400,0,1
2000-04-11,14.9446,15.4107,14.9446,15.2942,700500,0,1
2000-04-12,15.4981,15.8185,15.3233,15.4689,732300,0,1
2000-04-13,15.3816,15.5563,14.7698,14.7698,790800,0,1
2000-04-14,14.8572,15.032,14.158,14.2745,923400,0,1
2000-04-17,14.5659,14.6241,13.8084,13.8958,950400,0,1
2000-04-18,13.8958,14.3911,13.7502,14.1289,1021700,0,1
2000-04-19,14.0415,14.4202,14.0415,14.2163,670900,0,1
2000-04-20,14.2745,14.4202,14.158,14.3328,584300,0,1
2000-04-24,14.3619,14.7407,14.3328,14.4785,935900,0,1
2000-04-25,14.4493,14.6824,14.2745,14.3619,933000,0,1
2000-04-26,14.3037,14.9154,14.3037,14.7407,567800,0,1
2000-04-27,14.5076,15.0028,14.5076,14.8281,924100,0,1
2000-04-28,14.8572,15.0611,14.7407,14.9154,1448400,0,1
2000-05-01,14.9154,15.5272,14.9154,15.3816,865100,0,1
2000-05-02,15.4689,15.8477,15.265,15.4398,1134500,0,1
2000-05-03,15.5563,15.702,14.8572,14.9154,723400,0,1
2000-05-04,14.9154,15.3233,14.8281,15.0611,685700,0,1
2000-05-05,14.9154,15.032,14.8863,14.9446,908600,0,1
2000-05-08,14.9446,15.2359,14.8863,15.1194,754600,0,1
2000-05-09,15.1485,15.5855,15.0611,15.3524,878000,0,1
2000-05-10,15.3816,15.7311,15.2942,15.7311,1058500,0,1
2000-05-11,15.6729,15.9351,15.3233,15.4398,779000,0,1
2000-05-12,15.5563,16.3138,15.5563,16.1972,1439900,0,1
2000-05-15,16.2555,16.8964,16.1681,16.809,1648500,0,1
2000-05-16,16.6051,17.1295,16.5468,17.0421,1358000,0,1
2000-05-17,16.8381,17.0129,16.6633,16.6925,789100,0,1
2000-05-18,16.6925,16.9547,16.5177,16.6925,1280800,0,1
2000-05-19,16.576,17.2751,16.5468,17.246,1354400,0,1
2000-05-22,17.4499,17.479,16.6342,16.8673,1556500,0,1
2000-05-23,16.8673,16.8673,16.5177,16.6051,531500,0,1
2000-05-24,16.7799,17.3334,16.7507,17.1877,1156200,0,1
2000-05-25,17.1003,17.1877,16.4886,16.6342,738400,0,1
2000-05-26,16.6342,16.8964,16.4886,16.576,478600,0,1
2000-05-30,16.5177,17.1586,16.4594,17.1295,1275400,0,1
2000-05-31,17.0712,17.1003,16.8381,16.8964,981300,0,1
2000-06-01,16.8381,16.8381,16.576,16.6925,1033900,0,1
2000-06-02,16.6633,16.9838,16.5177,16.809,1171800,0,1
