date,open,high,low,close,volume,dividend,split
2017-10-19,33.0,34.0,29.1,32.07,11508500,0,1
2017-10-20,33.37,33.37,30.1,30.68,2358700,0,1
2017-10-23,30.51,31.33,30.19,30.5,749400,0,1
2017-10-24,30.46,30.92,30.439,30.57,420700,0,1
2017-10-25,30.5,31.1,29.88,31.0,1219400,0,1
2017-10-26,31.68,31.73,30.729,31.1,605200,0,1
2017-10-27,31.01,31.29,30.0,30.89,549500,0,1
2017-10-30,30.69,30.69,29.59,29.85,727800,0,1
2017-10-31,29.8,30.68,29.8,30.48,318100,0,1
2017-11-01,30.37,30.57,29.702,29.8,432000,0,1
2017-11-02,29.72,30.46,29.661,29.95,313400,0,1
2017-11-03,29.89,30.17,29.35,29.63,229200,0,1
2017-11-06,29.63,30.72,29.36,30.61,304800,0,1
2017-11-07,30.61,30.89,29.71,29.81,279000,0,1
2017-11-08,29.69,29.99,29.41,29.88,241300,0,1
2017-11-09,29.7,29.9,29.01,29.22,204700,0,1
2017-11-10,29.16,30.26,29.16,30.2,137500,0,1
2017-11-13,29.65,31.11,29.297,30.68,296200,0,1
2017-11-14,30.68,30.7,29.695,29.88,124400,0,1
2017-11-15,29.76,30.106,29.57,29.63,176000,0,1
2017-11-16,29.69,30.32,29.69,29.87,140700,0,1
2017-11-17,29.98,30.13,29.59,29.83,89800,0,1
2017-11-20,29.87,29.931,29.075,29.26,292400,0,1
2017-11-21,29.25,29.49,29.01,29.21,242200,0,1
2017-11-22,29.39,29.56,29.2,29.28,225400,0,1
2017-11-24,29.31,29.99,29.25,29.92,81200,0,1
2017-11-27,29.95,29.95,29.07,29.69,171400,0,1
2017-11-28,29.81,30.0,29.51,29.55,153300,0,1
2017-11-29,29.39,29.57,28.5,28.71,679700,0,1
2017-11-30,28.8,29.03,28.41,28.53,198100,0,1
2017-12-01,28.53,28.6,27.52,27.8,229200,0,1
2017-12-04,28.12,28.252,27.26,27.36,170600,0,1
2017-12-05,27.31,27.31,25.86,26.15,392800,0,1
2017-12-06,26.0,27.1,25.69,26.87,400100,0,1
2017-12-07,26.89,27.49,26.53,26.62,244100,0,1
2017-12-08,26.77,26.905,25.62,25.76,295800,0,1
2017-12-11,25.77,27.0,24.62,26.86,706900,0,1
2017-12-12,27.15,29.1,26.57,29.0,1164700,0,1
2017-12-13,27.49,28.89,26.36,27.35,710100,0,1
2017-12-14,27.53,28.6,27.15,28.13,401100,0,1
2017-12-15,28.28,29.69,27.05,29.42,795500,0,1
2017-12-18,29.5,29.5,28.11,28.3,276400,0,1
2017-12-19,28.26,28.49,27.53,28.05,203600,0,1
2017-12-20,28.29,29.98,27.935,29.5,410700,0,1
2017-12-21,29.61,29.61,28.5,28.68,162600,0,1
2017-12-22,28.56,29.29,28.03,28.45,182900,0,1
2017-12-26,28.42,29.062,28.42,28.8,84000,0,1
2017-12-27,28.86,29.46,28.76,29.1,190600,0,1
2017-12-28,28.97,30.49,28.53,30.24,482500,0,1
2017-12-29,30.35,30.39,29.52,29.68,324600,0,1
2018-01-02,29.93,30.08,28.855,29.25,231600,0,1
2018-01-03,29.31,29.42,28.94,29.15,256700,0,1
2018-01-04,29.29,29.49,28.9,29.05,198900,0,1
2018-01-05,29.09,29.135,28.59,29.05,205600,0,1
2018-01-08,29.09,29.09,28.21,28.81,205400,0,1
2018-01-09,28.87,28.92,28.54,28.79,88400,0,1
2018-01-10,28.7,28.99,28.2,28.87,162400,0,1
2018-01-11,28.81,29.86,28.8,29.61,219000,0,1
2018-01-12,29.5,29.95,28.754,29.28,108500,0,1
2018-01-16,29.46,29.87,28.97,29.06,169500,0,1
2018-01-17,29.2,29.59,29.2,29.53,160500,0,1
2018-01-18,29.47,29.644,28.841,29.08,108000,0,1
2018-01-19,28.86,29.49,28.61,29.12,224000,0,1
2018-01-22,29.13,29.4,28.34,28.81,131000,0,1
2018-01-23,28.68,29.14,28.58,28.83,87500,0,1
2018-01-24,29.0,29.0,27.56,28.17,277400,0,1
2018-01-25,28.17,28.46,27.75,28.01,89600,0,1
2018-01-26,28.08,28.365,27.57,28.19,143600,0,1
2018-01-29,28.21,28.437,27.51,27.68,127200,0,1
2018-01-30,27.55,27.94,27.2,27.83,196800,0,1
2018-01-31,27.99,28.001,26.78,27.11,234500,0,1
2018-02-01,26.74,27.8,26.65,27.45,149100,0,1
2018-02-02,27.29,27.48,26.41,26.52,169200,0,1
2018-02-05,26.0,27.02,25.56,25.88,179800,0,1
2018-02-06,25.62,26.03,25.16,25.78,76900,0,1
2018-02-07,25.7,26.47,25.37,26.39,74500,0,1
2018-02-08,26.4,27.02,26.23,26.5,150200,0,1
2018-02-09,26.64,26.9,25.54,26.4,175900,0,1
2018-02-12,26.59,27.5,25.93,27.16,98100,0,1
2018-02-13,27.1,28.16,27.1,28.15,88700,0,1
2018-02-14,28.88,30.875,28.46,30.13,422600,0,1
2018-02-15,30.45,30.63,29.33,29.89,151800,0,1
2018-02-16,29.9,30.48,29.57,29.96,116100,0,1
2018-02-20,29.95,30.485,29.85,30.27,82400,0,1
2018-02-21,30.22,31.88,30.22,31.05,167300,0,1
2018-02-22,31.11,31.5,30.03,30.08,151600,0,1
2018-02-23,30.36,31.64,30.0,31.62,149300,0,1
2018-02-26,31.65,31.65,30.71,30.87,153300,0,1
2018-02-27,30.95,31.5,30.36,31.4,195100,0,1
2018-02-28,31.5,32.75,30.4,32.21,548400,0,1
2018-03-01,33.1,35.0,32.89,32.94,755500,0,1
2018-03-02,33.01,36.35,33.01,35.25,690400,0,1
2018-03-05,35.99,37.33,35.033,36.01,875600,0,1
2018-03-06,36.64,36.64,33.88,34.52,650300,0,1
2018-03-07,34.35,38.362,33.75,38.02,788200,0,1
2018-03-08,38.2,39.92,38.121,38.56,694700,0,1
2018-03-09,39.55,41.21,36.25,37.79,896600,0,1
2018-03-12,38.14,40.67,37.51,39.5,594000,0,1
2018-03-13,39.65,40.5,36.51,37.86,943300,0,1
2018-03-14,40.5,41.5,37.9,40.67,1291300,0,1
2018-03-15,41.18,41.18,39.4,39.73,508100,0,1
2018-03-16,39.73,40.189,38.06,39.28,777400,0,1
2018-03-19,39.66,40.01,38.75,39.62,541100,0,1
2018-03-20,39.45,40.53,38.932,39.98,658200,0,1
2018-03-21,40.27,40.84,39.47,40.12,626000,0,1
2018-03-22,40.12,41.5,39.8,40.2,688000,0,1
2018-03-23,40.25,40.86,38.31,38.72,962400,0,1
2018-03-26,39.91,45.09,39.831,44.8,1132000,0,1
2018-03-27,44.9,46.26,40.68,41.94,1420600,0,1
2018-03-28,42.5,42.83,40.32,41.71,676000,0,1
2018-03-29,41.83,43.723,41.83,43.4,610700,0,1
2018-04-02,43.01,44.25,42.56,44.2,722400,0,1
2018-04-03,44.86,45.94,42.12,42.79,731000,0,1
2018-04-04,42.04,42.56,41.176,42.44,329300,0,1
2018-04-05,42.91,43.86,41.94,43.0,347100,0,1
2018-04-06,42.76,43.169,40.57,40.77,293100,0,1
2018-04-09,41.11,42.18,40.0,40.08,433200,0,1
2018-04-10,40.32,41.26,40.16,40.57,402700,0,1
2018-04-11,40.93,42.2,40.53,40.69,347800,0,1
2018-04-12,40.73,41.539,39.39,40.21,493000,0,1
2018-04-13,40.12,40.61,39.56,39.66,409100,0,1
2018-04-16,39.95,39.97,38.12,39.46,641900,0,1
2018-04-17,39.02,39.34,37.876,38.35,3646500,0,1
2018-04-18,38.38,39.0,38.01,38.47,1011200,0,1
2018-04-19,38.37,38.74,37.8,37.82,941300,0,1
2018-04-20,37.57,38.25,37.09,37.77,609300,0,1
2018-04-23,37.94,38.0,36.1,36.75,592600,0,1
2018-04-24,36.75,37.17,34.58,34.77,984800,0,1
2018-04-25,35.08,35.41,32.35,34.9,1595000,0,1
2018-04-26,35.25,37.62,35.0,37.39,2301200,0,1
2018-04-27,37.77,38.0,35.5,36.26,851200,0,1
2018-04-30,36.5,37.17,35.545,35.99,692100,0,1
2018-05-01,35.71,36.8,35.225,36.51,962500,0,1
2018-05-02,36.71,37.72,36.349,37.11,433400,0,1
2018-05-03,37.25,38.9,36.826,38.55,1452400,0,1
2018-05-04,38.61,39.35,36.3,36.97,1249000,0,1
2018-05-07,37.0,37.98,36.86,37.76,562700,0,1
2018-05-08,37.95,41.01,37.79,41.01,2731600,0,1
2018-05-09,40.75,41.605,40.001,41.2,574100,0,1
2018-05-10,41.44,41.52,40.33,40.75,438800,0,1
2018-05-11,41.41,44.42,41.37,43.21,1044200,0,1
2018-05-14,45.0,46.56,43.25,43.32,1007800,0,1
2018-05-15,42.96,42.96,41.1,42.06,807900,0,1
2018-05-16,41.93,42.5,41.32,42.14,411600,0,1
2018-05-17,42.0,42.22,40.61,41.49,527600,0,1
2018-05-18,41.94,43.95,41.94,43.38,543800,0,1
2018-05-21,43.88,44.41,43.11,43.53,395100,0,1
2018-05-22,43.78,44.2,42.72,43.25,326800,0,1
2018-05-23,43.0,44.75,42.24,44.45,444700,0,1
2018-05-24,44.58,45.434,43.73,44.45,480200,0,1
2018-05-25,44.45,45.44,44.39,44.99,407500,0,1
2018-05-29,45.2,45.85,43.66,45.76,555500,0,1
2018-05-30,46.0,46.5,45.67,46.3,834300,0,1
2018-05-31,46.47,47.39,45.59,47.13,644900,0,1
2018-06-01,47.14,47.48,46.1,46.52,945100,0,1
2018-06-04,46.91,48.81,46.72,48.25,1610300,0,1
2018-06-05,48.56,49.8,48.32,49.24,1061300,0,1
2018-06-06,49.55,52.02,49.362,51.26,1520100,0,1
2018-06-07,50.74,51.9,48.6,49.58,1684600,0,1
2018-06-08,49.54,54.03,49.096,51.92,942100,0,1
2018-06-11,51.02,54.24,50.61,53.86,1846200,0,1
2018-06-12,54.18,57.35,54.013,56.23,1613800,0,1
2018-06-13,57.0,57.91,55.25,57.21,1256800,0,1
2018-06-14,57.2,59.54,57.1,58.61,964200,0,1
2018-06-15,58.14,59.53,56.723,59.23,1238500,0,1
2018-06-18,58.26,59.44,57.28,59.2,875700,0,1
2018-06-19,57.93,58.88,57.03,58.79,1273400,0,1
2018-06-20,58.89,59.48,58.35,58.42,614000,0,1
2018-06-21,58.2,58.51,54.52,56.86,1055800,0,1
2018-06-22,57.0,57.335,54.82,56.94,840900,0,1
2018-06-25,54.97,55.35,51.355,53.45,1555400,0,1
2018-06-26,52.77,53.05,51.41,51.52,1493000,0,1
2018-06-27,51.47,52.5,47.82,48.0,1881500,0,1
2018-06-28,48.11,50.08,47.69,49.21,934300,0,1
2018-06-29,49.78,50.57,48.79,49.63,744400,0,1
2018-07-02,49.4,50.334,48.33,50.03,579900,0,1
2018-07-03,50.48,51.21,50.09,50.23,261800,0,1
2018-07-05,50.97,52.15,50.7,51.18,512700,0,1
2018-07-06,51.3,52.49,51.14,51.91,521800,0,1
2018-07-09,52.01,52.92,50.6,52.91,1342200,0,1
2018-07-10,53.59,53.728,52.33,52.79,790700,0,1
2018-07-11,52.3,53.32,52.3,53.24,396700,0,1
2018-07-12,54.0,58.9,54.0,57.88,1316100,0,1
2018-07-13,57.97,58.4,54.64,56.94,1532700,0,1
2018-07-16,57.17,57.87,56.12,56.69,659800,0,1
2018-07-17,56.23,57.9,56.0,57.72,693700,0,1
2018-07-18,58.04,58.196,56.36,57.71,703600,0,1
2018-07-19,56.74,58.0,56.16,57.71,493200,0,1
2018-07-20,57.92,58.0,56.63,57.75,480300,0,1
2018-07-23,57.93,59.53,57.32,58.95,944900,0,1
2018-07-24,59.28,60.11,55.71,58.81,1633000,0,1
2018-07-25,58.51,61.0,58.51,60.56,896300,0,1
2018-07-26,60.01,61.9,59.51,61.38,759900,0,1
2018-07-27,61.9,62.01,57.4,59.56,1309600,0,1
2018-07-30,59.76,59.8,53.81,55.49,1504800,0,1
2018-07-31,55.65,56.68,53.2,54.11,1520600,0,1
2018-08-01,54.0,54.77,53.49,54.09,1157000,0,1
2018-08-02,53.84,58.49,53.8,58.21,1114100,0,1
2018-08-03,58.37,58.46,56.209,57.89,585400,0,1
2018-08-06,58.0,59.13,57.27,58.87,502500,0,1
2018-08-07,59.1,60.36,58.51,60.17,586000,0,1
2018-08-08,60.26,60.71,59.01,60.03,557300,0,1
2018-08-09,60.24,61.95,60.12,61.58,646600,0,1
2018-08-10,61.05,63.16,60.56,63.1,838700,0,1
2018-08-13,63.8,65.94,62.87,62.99,840700,0,1
2018-08-14,63.04,64.89,62.03,64.22,595100,0,1
2018-08-15,63.9,64.68,62.83,63.68,659400,0,1
2018-08-16,64.48,64.494,63.06,64.07,361100,0,1
2018-08-17,64.43,64.909,63.51,64.75,433100,0,1
2018-08-20,64.54,65.89,64.253,65.0,384300,0,1
2018-08-21,65.08,66.03,64.98,64.99,404700,0,1
2018-08-22,65.22,66.64,65.22,66.45,456000,0,1
2018-08-23,66.99,69.598,66.75,68.25,699100,0,1
2018-08-24,68.99,70.85,68.5,70.23,847400,0,1
2018-08-27,71.64,72.27,69.65,70.82,612100,0,1
2018-08-28,71.08,71.96,70.0,71.86,333200,0,1
2018-08-29,72.34,73.71,71.52,71.91,724300,0,1
2018-08-30,71.95,72.47,69.52,70.19,835600,0,1
2018-08-31,70.01,72.16,70.01,71.96,624100,0,1
2018-09-04,73.12,74.43,70.06,73.65,1009700,0,1
2018-09-05,73.73,74.19,69.77,72.04,1843500,0,1
2018-09-06,73.5,79.11,70.55,78.65,2454500,0,1
2018-09-07,78.4,81.926,76.01,79.94,1700100,0,1
2018-09-10,78.56,83.42,77.96,83.3,1398200,0,1
2018-09-11,82.44,85.25,81.67,84.77,1294800,0,1
2018-09-12,84.0,85.25,79.51,81.94,1818900,0,1
2018-09-13,82.06,83.0,80.56,81.2,677400,0,1
2018-09-14,80.6,82.16,80.56,81.99,685100,0,1
