date,open,high,low,close,volume,dividend,split
2000-01-03,0.9271,0.9792,0.9271,0.9688,359400,0,1
2000-01-04,1.0,1.0,0.9271,0.9375,775800,0,1
2000-01-05,0.9635,1.0,0.9271,1.0,49200,0,1
2000-01-06,1.0,1.0,0.9167,0.9271,12000,0,1
2000-01-07,0.9479,1.0833,0.9479,1.0312,2986800,0,1
2000-01-10,1.1042,1.1667,1.0312,1.0833,279600,0,1
2000-01-11,1.0833,1.0833,1.0417,1.0417,165600,0,1
2000-01-12,1.0417,1.0833,1.0417,1.0521,532200,0,1
2000-01-13,1.0833,1.0833,1.0417,1.0521,31200,0,1
2000-01-14,1.0833,1.0833,1.0521,1.0625,345000,0,1
2000-01-18,1.0521,1.0833,1.0521,1.0573,199200,0,1
2000-01-19,1.0833,1.1042,1.0729,1.0938,71400,0,1
2000-01-20,1.0729,1.1042,1.0729,1.1042,73200,0,1
2000-01-21,1.0833,1.125,1.0833,1.1042,117000,0,1
2000-01-24,1.1094,1.1458,1.0729,1.0938,255600,0,1
2000-01-25,1.0625,1.1146,1.0521,1.0833,147600,0,1
2000-01-26,1.1146,1.1146,1.0833,1.1146,31800,0,1
2000-01-27,1.1458,1.1667,1.1042,1.1667,60000,0,1
2000-01-28,1.1667,1.1667,1.125,1.1458,55200,0,1
2000-01-31,1.125,1.125,1.0521,1.0625,39600,0,1
2000-02-01,1.0521,1.1562,1.0521,1.0833,27000,0,1
2000-02-02,1.0625,1.1042,1.0625,1.0625,10800,0,1
2000-02-03,1.1458,1.1458,1.0208,1.0729,3139200,0,1
2000-02-04,1.0729,1.0833,1.0417,1.0417,186600,0,1
2000-02-07,1.0625,1.125,1.0625,1.0625,147000,0,1
2000-02-08,1.1354,1.1354,1.0833,1.0833,23400,0,1
2000-02-09,1.0833,1.125,1.0833,1.0938,96000,0,1
2000-02-10,1.0938,1.0938,1.0938,1.0938,78600,0,1
2000-02-11,1.0833,1.1667,1.0833,1.1667,70200,0,1
2000-02-14,1.125,1.1667,1.125,1.1667,111000,0,1
2000-02-15,1.1667,1.1667,1.125,1.1667,46800,0,1
2000-02-16,1.125,1.1875,1.125,1.1771,469800,0,1
2000-02-17,1.2083,1.25,1.1562,1.1771,738000,0,1
2000-02-18,1.1771,1.2292,1.1562,1.1875,363600,0,1
2000-02-22,1.1771,1.1875,1.1667,1.1771,261600,0,1
2000-02-23,1.2396,1.2396,1.1875,1.1875,10200,0,1
2000-02-24,1.1875,1.2396,1.1667,1.1667,40800,0,1
2000-02-25,1.1875,1.1875,1.1562,1.1562,103800,0,1
2000-02-28,1.1354,1.1875,1.1354,1.1458,45600,0,1
2000-02-29,1.1458,1.1771,1.125,1.125,29400,0,1
2000-03-01,1.125,1.125,1.0312,1.0417,64800,0,1
2000-03-02,1.0833,1.1146,1.0312,1.0625,294000,0,1
2000-03-03,1.0833,1.1042,1.0833,1.0833,28800,0,1
2000-03-06,1.0833,1.1354,1.0312,1.1354,19200,0,1
2000-03-07,1.1458,1.1458,1.0417,1.0625,181800,0,1
2000-03-08,1.1146,1.1146,1.0833,1.0833,109200,0,1
2000-03-09,1.0625,1.1042,1.0,1.1042,85800,0,1
2000-03-10,1.0417,1.0833,1.0208,1.0833,141600,0,1
2000-03-13,1.0729,1.0729,1.0417,1.0417,10200,0,1
2000-03-14,1.0417,1.0833,1.0417,1.0417,17400,0,1
2000-03-15,1.0417,1.0417,1.0417,1.0417,0,0,1
2000-03-16,1.0625,1.0625,1.0625,1.0625,12000,0,1
2000-03-17,1.0417,1.0417,1.0417,1.0417,3000,0,1
2000-03-20,1.0469,1.0521,1.0417,1.0417,41400,0,1
2000-03-21,1.0417,1.0417,0.9062,1.0417,372600,0,1
2000-03-22,0.9792,0.9792,0.9167,0.9792,25200,0,1
2000-03-23,0.9479,0.9479,0.9271,0.9479,57600,0,1
2000-03-24,0.9271,0.9896,0.9271,0.9896,21000,0,1
2000-03-27,0.974,1.0,0.974,0.9896,109200,0,1
2000-03-28,0.9896,1.0208,0.9688,0.9688,226200,0,1
2000-03-29,0.9531,0.9792,0.9479,0.9479,124800,0,1
2000-03-30,0.9479,0.9896,0.9479,0.9688,613800,0,1
2000-03-31,0.9688,0.9688,0.9271,0.9479,954000,0,1
2000-04-03,0.9479,0.9688,0.9375,0.9688,85200,0,1
2000-04-04,0.9375,0.9792,0.9167,0.9792,251400,0,1
2000-04-05,0.9792,1.0,0.9271,0.9271,48000,0,1
2000-04-06,0.9271,0.9479,0.9271,0.9479,229800,0,1
2000-04-07,0.9583,1.0,0.9583,0.9792,53400,0,1
2000-04-10,1.0,1.0,0.9583,0.9583,41400,0,1
2000-04-11,0.9792,0.9896,0.9271,0.9271,75600,0,1
2000-04-12,0.9271,0.9896,0.9193,0.9792,243600,0,1
2000-04-13,0.9271,0.9792,0.9271,0.9271,280200,0,1
2000-04-14,0.9167,0.9479,0.8958,0.9271,354000,0,1
2000-04-17,0.9062,0.9167,0.8958,0.8958,117000,0,1
2000-04-18,0.8958,0.9167,0.8958,0.9062,67200,0,1
2000-04-19,0.9062,0.9271,0.8958,0.9271,58800,0,1
2000-04-20,0.8958,0.9271,0.8958,0.9062,249000,0,1
2000-04-24,0.9167,0.9167,0.8958,0.9062,85800,0,1
2000-04-25,0.9062,0.9167,0.8958,0.8958,310200,0,1
2000-04-26,0.9062,0.9167,0.9062,0.9062,28200,0,1
2000-04-27,0.901,0.9062,0.8698,0.8854,90000,0,1
2000-04-28,0.8958,0.9062,0.8646,0.875,527400,0,1
2000-05-01,0.8646,0.8854,0.8646,0.875,199200,0,1
2000-05-02,0.8698,0.8802,0.8646,0.8646,209400,0,1
2000-05-03,0.8646,0.8802,0.8646,0.8646,313800,0,1
2000-05-04,0.8802,0.9167,0.8542,0.8854,1402800,0,1
2000-05-05,0.8958,0.9271,0.8958,0.9167,52200,0,1
2000-05-08,0.9375,0.9583,0.9375,0.9583,22800,0,1
2000-05-09,0.9427,0.9792,0.9375,0.9375,123000,0,1
2000-05-10,0.9375,0.9375,0.9375,0.9375,0,0,1
2000-05-11,0.9375,1.0,0.9375,1.0,70200,0,1
2000-05-12,0.9792,1.0104,0.9792,1.0104,84600,0,1
2000-05-15,1.0104,1.0208,1.0,1.0208,18600,0,1
2000-05-16,1.0208,1.0208,0.9427,0.9583,137400,0,1
