date,open,high,low,close,volume,dividend,split
2000-01-03,7.5,7.5,6.8438,6.9844,832800,0,1
2000-01-04,6.9688,7.0938,6.8906,7.0781,259600,0,1
2000-01-05,7.0156,7.1719,6.9531,7.1406,459200,0,1
2000-01-06,7.0781,7.1094,6.8281,7.0469,301600,0,1
2000-01-07,7.0156,7.0781,6.9688,7.0156,161600,0,1
2000-01-10,6.9531,6.9531,6.6875,6.7031,456400,0,1
2000-01-11,6.7188,6.8438,6.6406,6.6562,648400,0,1
2000-01-12,6.5938,6.6875,6.2812,6.6562,826400,0,1
2000-01-13,6.7188,7.0938,6.7188,6.8125,1039600,0,1
2000-01-14,6.8438,7.0312,6.8438,6.875,995200,0,1
2000-01-18,6.875,6.9062,6.5,6.5,1020400,0,1
2000-01-19,6.5,6.5469,6.1875,6.3594,960400,0,1
2000-01-20,6.3438,6.3594,6.25,6.2812,443600,0,1
2000-01-21,6.3438,6.3594,6.1406,6.25,534800,0,1
2000-01-24,6.2188,6.2656,5.9531,6.0312,838800,0,1
2000-01-25,6.0625,6.1562,5.9375,6.0156,816400,0,1
2000-01-26,6.0625,6.4688,6.0625,6.1562,1647200,0,1
2000-01-27,6.3438,6.5625,6.2969,6.3438,779200,0,1
2000-01-28,6.3125,6.5,6.1875,6.4688,738000,0,1
2000-01-31,6.4375,6.6719,6.4375,6.6094,479600,0,1
2000-02-01,6.625,6.625,6.3594,6.5469,426400,0,1
2000-02-02,6.5,6.5156,6.0781,6.1875,626800,0,1
2000-02-03,6.3125,6.5625,6.2812,6.5,1090400,0,1
2000-02-04,6.5938,6.875,6.5,6.8125,1041600,0,1
2000-02-07,6.7656,6.7656,6.5312,6.6094,617600,0,1
2000-02-08,6.5938,6.8438,6.5938,6.75,497200,0,1
2000-02-09,6.7031,6.7656,6.6719,6.7656,389600,0,1
2000-02-10,6.7656,6.875,6.75,6.7812,561200,0,1
2000-02-11,6.8125,6.9062,6.7656,6.7812,823600,0,1
2000-02-14,6.7656,6.7969,6.7344,6.7656,424800,0,1
2000-02-15,6.75,7.0156,6.75,7.0156,761600,0,1
2000-02-16,6.9531,6.9688,6.8438,6.875,725200,0,1
2000-02-17,6.8594,6.9062,6.8125,6.8281,424000,0,1
2000-02-18,6.7812,6.9062,6.7812,6.875,1544800,0,1
2000-02-22,6.75,6.9062,6.75,6.8594,248400,0,1
2000-02-23,6.8594,7.0156,6.8438,7.0156,478000,0,1
2000-02-24,6.8906,6.8906,6.5781,6.6406,636800,0,1
2000-02-25,6.5781,6.625,6.5469,6.5781,176400,0,1
2000-02-28,6.5625,6.6875,6.3906,6.6094,378800,0,1
2000-02-29,6.6406,6.8438,6.5781,6.8438,600400,0,1
2000-03-01,6.8125,6.8594,6.7031,6.8594,470400,0,1
2000-03-02,6.8281,6.8594,6.6562,6.6719,568000,0,1
2000-03-03,6.7031,6.75,6.5781,6.6094,225200,0,1
2000-03-06,6.5469,6.5625,6.3125,6.4375,396800,0,1
2000-03-07,6.4531,6.4531,6.2422,6.4062,624800,0,1
2000-03-08,6.3438,6.625,6.2188,6.5625,518400,0,1
2000-03-09,6.5469,6.6719,6.5469,6.6719,276000,0,1
2000-03-10,6.6406,6.7344,6.5938,6.6094,566400,0,1
2000-03-13,6.5781,6.5781,6.3594,6.4219,723200,0,1
2000-03-14,6.5,6.6875,6.4219,6.5469,1754000,0,1
2000-03-15,6.5469,7.5938,6.4688,7.5781,2096000,0,1
2000-03-16,7.4688,7.75,7.3438,7.7188,3049600,0,1
2000-03-17,7.4375,7.75,7.0938,7.5469,1621600,0,1
2000-03-20,7.5469,7.875,7.5469,7.6094,1228800,0,1
2000-03-21,7.5938,8.0625,7.5625,7.9375,1349600,0,1
2000-03-22,7.9375,8.1562,7.9375,7.9844,1334800,0,1
2000-03-23,7.9844,7.9844,7.625,7.7344,446800,0,1
2000-03-24,7.7031,7.7031,7.375,7.4375,967200,0,1
2000-03-27,7.5,7.5312,7.2031,7.2812,697600,0,1
2000-03-28,7.3125,7.4219,7.25,7.375,1676000,0,1
2000-03-29,7.3438,7.7344,7.3438,7.6875,1487600,0,1
2000-03-30,7.625,7.8906,7.625,7.8125,993600,0,1
2000-03-31,7.875,8.0625,7.8594,8.0625,1632000,0,1
2000-04-03,8.0625,8.0625,7.6562,7.75,2223600,0,1
2000-04-04,7.75,7.8125,7.5,7.8125,2611200,0,1
2000-04-05,7.9062,8.375,7.9062,8.0469,1026800,0,1
2000-04-06,8.0938,8.4062,8.0625,8.3438,978400,0,1
2000-04-07,8.3281,8.4844,8.2656,8.4688,604800,0,1
2000-04-10,8.4062,8.4531,8.2969,8.2969,438400,0,1
2000-04-11,8.3281,8.4688,8.25,8.4531,428400,0,1
2000-04-12,8.4219,8.8438,8.4219,8.7812,656400,0,1
2000-04-13,9.125,9.1406,8.9219,9.0,1321200,0,1
2000-04-14,8.8125,8.8125,8.4375,8.4531,668400,0,1
2000-04-17,8.4062,8.6719,8.125,8.6719,807200,0,1
2000-04-18,8.6719,8.6719,8.1875,8.25,705200,0,1
2000-04-19,8.25,8.2969,8.1875,8.2344,549600,0,1
2000-04-20,8.25,8.3281,8.1562,8.2969,642800,0,1
2000-04-24,8.2969,8.4375,8.1875,8.2031,226800,0,1
2000-04-25,8.1875,8.5,7.7812,8.4219,712000,0,1
2000-04-26,8.4844,8.4844,8.2188,8.25,300000,0,1
2000-04-27,8.2344,8.2344,7.875,7.9531,394400,0,1
2000-04-28,7.9219,7.9219,7.6875,7.7969,655200,0,1
2000-05-01,7.8438,8.0156,7.7812,7.9844,360000,0,1
2000-05-02,7.9688,8.1094,7.9062,7.9062,421200,0,1
2000-05-03,7.9688,8.1875,7.9062,7.9375,326800,0,1
2000-05-04,8.0,8.75,8.0,8.625,829200,0,1
2000-05-05,8.625,8.625,8.375,8.4688,447600,0,1
2000-05-08,8.4062,8.6875,8.3594,8.6875,522400,0,1
2000-05-09,8.6562,8.7812,8.5781,8.7812,639600,0,1
2000-05-10,8.7812,8.7812,8.625,8.7031,291200,0,1
2000-05-11,8.6719,8.8594,8.6562,8.8125,612000,0,1
2000-05-12,8.8125,8.8125,8.5,8.5469,345600,0,1
2000-05-15,8.5,8.8125,8.5,8.5156,527600,0,1
2000-05-16,8.5469,8.5625,8.375,8.4219,545200,0,1
2000-05-17,8.4375,8.4375,8.1719,8.1875,372000,0,1
2000-05-18,8.1719,8.2812,8.0625,8.0938,350400,0,1
2000-05-19,8.125,8.3438,8.1094,8.2969,331600,0,1
2000-05-22,8.2656,8.4688,8.2656,8.3594,206800,0,1
2000-05-23,8.3594,8.4062,8.3281,8.3594,444800,0,1
2000-05-24,8.3281,8.5312,8.3281,8.4219,353600,0,1
2000-05-25,8.4375,8.4531,8.1719,8.3125,282400,0,1
2000-05-26,8.25,8.25,8.2188,8.2344,246400,0,1
2000-05-30,8.25,8.25,8.1094,8.25,358800,0,1
2000-05-31,8.1875,8.2031,8.0312,8.125,630400,0,1
2000-06-01,8.1094,8.2188,8.0625,8.2031,446000,0,1
2000-06-02,8.2031,8.2188,8.0625,8.0781,144800,0,1
2000-06-05,8.0156,8.0312,7.7656,7.8281,624800,0,1
2000-06-06,7.7891,7.9219,7.75,7.8125,1019600,0,1
2000-06-07,7.875,8.3281,7.8438,8.1719,1392000,0,1
2000-06-08,8.1094,8.1094,7.9688,8.0781,378000,0,1
2000-06-09,8.0781,8.0781,7.9062,7.9844,396800,0,1
2000-06-12,7.9375,8.2188,7.9375,8.1719,507600,0,1
2000-06-13,8.125,8.25,8.125,8.1406,1216400,0,1
2000-06-14,8.1875,8.4219,8.1875,8.3906,1003200,0,1
