date,open,high,low,close,volume,dividend,split
2000-01-03,0.0892,0.0938,0.0872,0.0898,585600,0,1
2000-01-04,0.0898,0.0911,0.0859,0.0859,1219200,0,1
2000-01-05,0.0885,0.0911,0.0859,0.0859,715200,0,1
2000-01-06,0.0866,0.0885,0.0859,0.0885,1200000,0,1
2000-01-07,0.0866,0.0938,0.0859,0.0866,2625600,0,1
2000-01-10,0.0879,0.0885,0.0866,0.0872,3153600,0,1
2000-01-11,0.0898,0.0911,0.0866,0.0911,3019200,0,1
2000-01-12,0.0892,0.0911,0.0866,0.0872,1372800,0,1
2000-01-13,0.0885,0.0911,0.0872,0.0872,1795200,0,1
2000-01-14,0.0885,0.0911,0.0872,0.0898,1070400,0,1
2000-01-18,0.0911,0.0911,0.0885,0.0911,1569600,0,1
2000-01-19,0.0885,0.0911,0.0885,0.0885,350400,0,1
2000-01-20,0.0895,0.0905,0.0885,0.0905,1099200,0,1
2000-01-21,0.0898,0.0911,0.0885,0.0885,566400,0,1
2000-01-24,0.0905,0.0911,0.0885,0.0885,1612800,0,1
2000-01-25,0.0905,0.0924,0.0898,0.0911,2222400,0,1
2000-01-26,0.0924,0.0964,0.0898,0.0951,3638400,0,1
2000-01-27,0.0947,0.0957,0.0898,0.0898,2241600,0,1
2000-01-28,0.0911,0.0924,0.0898,0.0911,504000,0,1
2000-01-31,0.0911,0.0938,0.0898,0.0938,3292800,0,1
2000-02-01,0.0924,0.0938,0.0911,0.0924,955200,0,1
2000-02-02,0.0938,0.0938,0.0911,0.0931,1339200,0,1
2000-02-03,0.0931,0.0938,0.0898,0.0911,3345600,0,1
2000-02-04,0.0924,0.0938,0.0892,0.0911,1387200,0,1
2000-02-07,0.0931,0.0951,0.0898,0.0938,1728000,0,1
2000-02-08,0.0928,0.0928,0.0892,0.0905,1132800,0,1
2000-02-09,0.0905,0.0911,0.0892,0.0911,1545600,0,1
2000-02-10,0.0892,0.0911,0.0885,0.0885,1329600,0,1
2000-02-11,0.0885,0.0911,0.0885,0.0898,758400,0,1
2000-02-14,0.0895,0.0898,0.0885,0.0885,1444800,0,1
2000-02-15,0.0885,0.0911,0.0885,0.0885,417600,0,1
2000-02-16,0.0885,0.0898,0.0885,0.0885,1012800,0,1
2000-02-17,0.0885,0.0898,0.0859,0.0898,1737600,0,1
2000-02-18,0.0859,0.0898,0.0853,0.0853,1032000,0,1
2000-02-22,0.0866,0.0885,0.0833,0.0833,724800,0,1
2000-02-23,0.0885,0.0885,0.0833,0.0859,936000,0,1
2000-02-24,0.0879,0.0885,0.084,0.0885,1344000,0,1
2000-02-25,0.0905,0.0911,0.0885,0.0892,1123200,0,1
2000-02-28,0.0898,0.0898,0.0859,0.0898,2174400,0,1
2000-02-29,0.0879,0.0885,0.084,0.0872,2620800,0,1
2000-03-01,0.0879,0.0885,0.0846,0.0872,2256000,0,1
2000-03-02,0.0866,0.0872,0.0859,0.0859,940800,0,1
2000-03-03,0.0872,0.0885,0.0833,0.0859,3100800,0,1
2000-03-06,0.0872,0.0898,0.0846,0.0872,4315200,0,1
2000-03-07,0.0872,0.0885,0.0859,0.0885,1036800,0,1
2000-03-08,0.0872,0.0879,0.0846,0.0872,1094400,0,1
2000-03-09,0.0879,0.0885,0.0846,0.0846,2217600,0,1
2000-03-10,0.0872,0.0898,0.0859,0.0885,2726400,0,1
2000-03-13,0.0885,0.0898,0.0859,0.0859,3292800,0,1
2000-03-14,0.0879,0.0898,0.0859,0.0872,1363200,0,1
2000-03-15,0.0885,0.0898,0.0859,0.0885,1180800,0,1
2000-03-16,0.0879,0.0898,0.0859,0.0872,1776000,0,1
2000-03-17,0.0872,0.0911,0.0859,0.0879,1948800,0,1
2000-03-20,0.0885,0.0885,0.0872,0.0885,1958400,0,1
2000-03-21,0.0898,0.0911,0.0879,0.0879,523200,0,1
2000-03-22,0.0898,0.0898,0.0872,0.0885,1180800,0,1
2000-03-23,0.0885,0.0898,0.0872,0.0885,849600,0,1
2000-03-24,0.0885,0.0911,0.0872,0.0898,1699200,0,1
2000-03-27,0.0892,0.0898,0.0872,0.0885,1214400,0,1
2000-03-28,0.0898,0.0911,0.0879,0.0879,1142400,0,1
