date,open,high,low,close,volume,dividend,split
2000-01-03,1155.0,1155.0,979.0625,1042.5,53500,0,1
2000-01-04,1048.75,1141.25,978.75,980.0,87400,0,1
2000-01-05,995.0,1058.75,897.8125,1042.5,61300,0,1
2000-01-06,1075.0,1080.625,995.0,1001.25,45600,0,1
2000-01-07,1024.6875,1085.0,986.25,1051.875,56300,0,1
2000-01-10,1110.0,1310.0,1110.0,1256.25,83600,0,1
2000-01-11,1256.875,1280.0,1160.0,1192.5,35300,0,1
2000-01-12,1235.0,1250.0,1126.25,1155.0,34700,0,1
2000-01-13,1165.0,1165.9375,1090.0,1135.0,34500,0,1
2000-01-14,1135.0,1150.0,1098.125,1139.6875,18500,0,1
2000-01-18,1221.25,1250.0,1175.0,1206.875,39400,0,1
2000-01-19,1225.0,1380.0,1205.0,1325.0,74500,0,1
2000-01-20,1350.0,1500.0,1347.5,1439.1406,83000,0,1
2000-01-21,1406.5625,1480.0,1362.5,1445.625,51800,0,1
2000-01-24,1467.5,1570.0,1389.6875,1415.0,87900,0,1
2000-01-25,1449.0625,1449.375,1330.0,1445.0,48900,0,1
2000-01-26,1467.5,1550.0,1440.0,1475.0,67100,0,1
2000-01-27,1513.75,1548.75,1420.0,1495.625,33700,0,1
2000-01-28,1386.25,1560.0,1361.25,1550.0,51000,0,1
2000-01-31,1545.625,1550.0,1315.0,1388.75,55400,0,1
2000-02-01,1381.875,1381.875,1240.0,1327.5,62900,0,1
2000-02-02,1296.25,1470.0,1280.0,1450.0,38400,0,1
2000-02-03,1480.0,1510.0,1441.25,1490.0,26800,0,1
2000-02-04,1499.0625,1510.0,1370.1562,1419.6875,16400,0,1
2000-02-07,1422.3438,1460.0,1350.625,1411.25,38900,0,1
2000-02-08,1426.25,1600.0,1425.0,1584.375,70100,0,1
2000-02-09,1615.0,1618.75,1510.0,1573.125,36400,0,1
2000-02-10,1552.5,1661.25,1550.625,1646.875,43300,0,1
2000-02-11,1638.75,1684.375,1582.5,1678.75,48200,0,1
2000-02-14,1703.75,1720.0,1620.625,1698.75,44400,0,1
2000-02-15,1680.0,1749.375,1620.625,1717.5,27300,0,1
2000-02-16,1718.75,1785.0,1680.0,1747.5,26900,0,1
2000-02-17,1780.0,1785.0,1676.25,1725.0,27300,0,1
2000-02-18,1730.0,1735.0,1596.25,1605.0,55500,0,1
2000-02-22,1556.25,1561.25,1400.0,1505.625,63400,0,1
2000-02-23,1522.5,1569.375,1482.5,1546.25,36800,0,1
2000-02-24,1550.0,1578.75,1475.0,1575.0,26600,0,1
2000-02-25,1579.375,1580.0,1450.0,1500.0,58400,0,1
2000-02-28,1473.125,1515.0,1456.25,1500.0,32200,0,1
2000-02-29,1501.875,1505.0,1376.25,1390.625,65200,0,1
2000-03-01,1345.0,1940.0,1340.0,1769.375,112200,0,1
2000-03-02,1755.0,1817.5,1650.0,1800.625,57700,0,1
2000-03-03,1848.75,1883.125,1700.0,1880.0,45200,0,1
2000-03-06,1879.375,2250.0,1879.375,2250.0,47700,0,1
2000-03-07,2120.0,2680.0,2120.0,2460.0,86600,0,1
2000-03-08,2495.0,2610.0,2230.0,2438.75,60300,0,1
2000-03-09,2450.625,2990.625,2330.0,2831.875,48700,0,1
2000-03-10,2800.0,3330.0,2800.0,3130.0,84100,0,1
2000-03-13,2900.0,3170.0,2850.0,2943.5938,57700,0,1
2000-03-14,2940.625,3191.25,2830.0,2920.0,60700,0,1
2000-03-15,2946.25,3000.0,2622.5,2686.25,63100,0,1
2000-03-16,2676.25,2676.25,2150.0,2486.25,127200,0,1
2000-03-17,2340.0,2435.0,2142.5,2267.5,95400,0,1
2000-03-20,1092.5,1190.0,857.5,867.5,1732500,0,1
2000-03-21,840.0,850.0,630.0,723.125,787100,0,1
2000-03-22,781.25,925.0,780.0,887.3438,722000,0,1
2000-03-23,979.375,1328.75,917.5,1177.3438,1459900,0,1
2000-03-24,1305.0,1420.0,1210.0,1290.0,713400,0,1
2000-03-27,1300.0,1303.75,1120.0,1130.0,345500,0,1
2000-03-28,1035.0,1097.5,950.0,985.0,466000,0,1
2000-03-29,1008.125,1038.75,955.0,962.5,256900,0,1
2000-03-30,910.0,1010.625,907.5,960.0,154200,0,1
2000-03-31,1010.0,1015.0,865.0,870.625,135200,0,1
2000-04-03,851.25,886.25,770.0,771.25,104700,0,1
2000-04-04,775.0,790.625,580.625,712.5,217200,0,1
2000-04-05,661.25,750.0,630.0,653.75,202000,0,1
2000-04-06,677.5,680.0,598.75,610.0,226700,0,1
2000-04-07,628.75,665.0,620.0,643.75,167000,0,1
2000-04-10,674.375,677.5,575.0,576.25,159100,0,1
2000-04-11,552.5,562.5,485.0,498.75,169000,0,1
2000-04-12,510.0,530.0,410.0,425.0,140100,0,1
2000-04-13,443.75,520.0,361.25,390.625,431800,0,1
2000-04-14,365.0,440.0,330.0,335.625,288200,0,1
2000-04-17,300.625,336.875,261.25,306.25,222500,0,1
2000-04-18,315.0,383.75,300.0,354.375,238000,0,1
2000-04-19,390.0,391.25,340.0,353.75,156100,0,1
2000-04-20,377.5,377.5,321.25,336.875,80500,0,1
2000-04-24,315.625,321.25,282.5,295.0,109100,0,1
2000-04-25,330.625,340.0,302.5,313.75,142300,0,1
2000-04-26,327.5,343.75,290.0,296.875,164200,0,1
2000-04-27,244.375,254.375,210.625,246.25,571000,0,1
2000-04-28,257.5,282.5,251.25,258.75,256100,0,1
2000-05-01,270.0,272.5,252.5,266.25,143200,0,1
2000-05-02,273.75,279.375,255.0,255.625,154800,0,1
2000-05-03,252.9688,256.875,236.25,247.5,102000,0,1
2000-05-04,248.75,276.875,245.0,261.25,116300,0,1
2000-05-05,260.0,269.375,247.5,250.0,113100,0,1
2000-05-08,248.4375,248.75,230.0,230.0,75700,0,1
2000-05-09,235.0,236.25,202.5,215.0,170900,0,1
2000-05-10,208.75,213.75,190.0,200.0,121100,0,1
2000-05-11,212.5,215.0,195.0,199.5312,108700,0,1
2000-05-12,207.5,246.875,203.125,238.75,229100,0,1
2000-05-15,236.875,236.875,218.75,232.5,183600,0,1
2000-05-16,233.75,258.125,233.75,240.0,126800,0,1
2000-05-17,230.0,295.0,228.75,255.0,543000,0,1
2000-05-18,263.125,263.75,237.5,239.375,124100,0,1
2000-05-19,237.5,250.0,215.0,218.75,168900,0,1
2000-05-22,223.125,226.25,200.0,210.0,147100,0,1
2000-05-23,212.1875,233.75,208.75,212.5,119700,0,1
2000-05-24,200.625,206.875,180.0,188.125,227800,0,1
2000-05-25,195.0,200.0,170.625,173.125,97400,0,1
2000-05-26,175.0,180.0,165.625,179.375,90800,0,1
2000-05-30,185.625,198.75,180.625,190.0,120700,0,1
2000-05-31,189.375,215.625,186.25,190.625,186000,0,1
2000-06-01,202.5,203.125,190.625,193.125,104700,0,1
2000-06-02,219.375,226.25,205.0,226.25,151200,0,1
2000-06-05,226.25,255.0,225.0,241.875,200500,0,1
2000-06-06,250.0,300.0,243.75,280.0,507400,0,1
2000-06-07,297.5,393.75,295.0,376.25,1674100,0,1
2000-06-08,440.0,468.75,405.0,441.25,1557300,0,1
2000-06-09,500.0,627.5,475.0,622.5,2679800,0,1
2000-06-12,550.0,553.75,360.0,389.375,2386600,0,1
2000-06-13,362.5,460.0,355.0,428.125,1589900,0,1
2000-06-14,441.875,475.0,420.0,422.5,496200,0,1
2000-06-15,383.75,417.5,362.5,393.125,434300,0,1
2000-06-16,401.875,403.75,370.625,385.625,200500,0,1
2000-06-19,459.2188,488.125,407.5,424.375,808600,0,1
2000-06-20,432.5,435.625,397.5,410.0,254800,0,1
2000-06-21,384.375,407.5,380.0,392.5,197900,0,1
2000-06-22,393.75,397.5,351.25,356.25,183900,0,1
2000-06-23,360.0,367.5,330.0,336.25,171900,0,1
2000-06-26,341.25,396.25,307.1875,382.5,487100,0,1
2000-06-27,370.0,380.0,330.0,333.75,199700,0,1
2000-06-28,350.0,372.5,325.0,333.75,340200,0,1
2000-06-29,335.0,358.75,326.25,326.25,231800,0,1
2000-06-30,331.25,332.5,290.0,300.0,551800,0,1
2000-07-03,303.125,303.75,290.0,290.625,87900,0,1
2000-07-05,286.875,288.125,267.5,273.75,191500,0,1
2000-07-06,274.375,317.5,252.5,313.75,477300,0,1
2000-07-07,323.125,348.75,318.125,325.0,554100,0,1
2000-07-10,328.125,328.125,290.0,290.0,201600,0,1
2000-07-11,287.3438,313.75,275.0,288.125,187200,0,1
2000-07-12,305.0,325.0,295.625,325.0,265000,0,1
2000-07-13,327.5,341.875,312.5,318.75,268000,0,1
2000-07-14,338.125,339.375,323.75,328.75,170300,0,1
2000-07-17,333.125,371.25,328.75,357.5,310100,0,1
2000-07-18,351.25,362.5,332.5,347.5,200700,0,1
2000-07-19,340.625,344.375,331.875,335.0,89100,0,1
2000-07-20,340.0,350.625,315.0,323.75,155400,0,1
2000-07-21,315.0,315.625,295.0,300.0,143900,0,1
2000-07-24,301.875,310.0,278.75,281.875,129800,0,1
2000-07-25,294.375,297.5,281.875,289.8438,87100,0,1
2000-07-26,287.5,305.0,267.5,300.0,192000,0,1
2000-07-27,247.5,255.0,221.25,237.5,474900,0,1
2000-07-28,238.75,240.625,220.0,223.75,113200,0,1
2000-07-31,231.875,235.0,215.0,221.875,101600,0,1
2000-08-01,216.875,218.125,201.25,203.125,130600,0,1
2000-08-02,201.875,240.0,198.125,217.5,230400,0,1
2000-08-03,215.0,222.5,201.25,211.875,90900,0,1
2000-08-04,221.25,243.75,215.0,221.875,171000,0,1
2000-08-07,224.375,227.5,218.125,221.875,92400,0,1
2000-08-08,218.75,234.375,211.875,217.5,75500,0,1
2000-08-09,226.25,227.5,210.0,218.125,69900,0,1
2000-08-10,217.5,220.0,206.25,208.125,62300,0,1
2000-08-11,207.5,209.375,200.0,202.5,71000,0,1
2000-08-14,207.5,215.0,203.75,207.5,45800,0,1
2000-08-15,210.625,212.5,203.125,210.0,68100,0,1
2000-08-16,211.25,212.5,206.25,208.125,97300,0,1
2000-08-17,206.25,206.25,200.0,202.5,93200,0,1
2000-08-18,201.875,217.5,198.75,210.0,137300,0,1
2000-08-21,211.25,305.0,210.0,295.625,1924100,0,1
2000-08-22,297.5,308.75,253.75,255.4688,910300,0,1
2000-08-23,246.875,270.0,246.25,261.25,253600,0,1
2000-08-24,263.125,289.375,252.5,273.75,277900,0,1
2000-08-25,267.5,285.0,265.0,268.75,133800,0,1
2000-08-28,271.875,286.25,270.0,275.0,165900,0,1
2000-08-29,283.75,298.75,275.0,281.25,209000,0,1
2000-08-30,283.75,293.75,280.0,281.875,127600,0,1
2000-08-31,285.0,291.25,275.0,278.75,123900,0,1
2000-09-01,282.5,322.5,281.25,313.75,401700,0,1
2000-09-05,323.125,368.125,315.0,349.2188,587800,0,1
2000-09-06,347.5,350.0,322.5,328.125,210800,0,1
2000-09-07,333.75,338.75,316.875,332.5,158100,0,1
2000-09-08,330.0,347.5,309.375,337.5,225000,0,1
2000-09-11,322.5,346.25,317.5,318.125,111400,0,1
2000-09-12,325.0,326.25,292.5,295.0,97900,0,1
2000-09-13,286.875,314.375,280.0,310.0,152900,0,1
2000-09-14,320.0,320.0,295.0,296.25,75900,0,1
2000-09-15,295.625,298.75,281.875,293.125,84000,0,1
2000-09-18,290.625,292.5,263.125,263.75,90100,0,1
2000-09-19,267.5,288.125,262.5,278.125,101600,0,1
2000-09-20,278.75,283.75,270.0,270.0,60000,0,1
2000-09-21,265.625,281.25,260.0,268.75,71100,0,1
2000-09-22,251.875,268.125,251.25,263.75,71000,0,1
2000-09-25,263.75,275.0,260.0,260.625,61500,0,1
2000-09-26,260.0,262.5,235.0,236.25,99900,0,1
2000-09-27,236.875,265.0,235.0,242.5,88300,0,1
2000-09-28,235.625,278.125,233.75,277.5,126000,0,1
2000-09-29,270.0,285.0,262.5,273.125,100900,0,1
2000-10-02,279.375,289.375,269.375,272.5,85000,0,1
2000-10-03,272.5,276.875,256.25,259.375,59400,0,1
2000-10-04,256.875,275.0,250.0,275.0,83500,0,1
2000-10-05,270.0,285.625,268.75,280.0,56300,0,1
2000-10-06,276.25,276.25,248.75,254.375,87300,0,1
2000-10-09,250.0,267.5,242.5,255.625,64700,0,1
2000-10-10,253.75,264.375,239.375,240.625,75600,0,1
2000-10-11,233.125,235.625,208.75,215.0,143400,0,1
2000-10-12,220.0,228.75,198.75,198.75,107400,0,1
2000-10-13,200.0,221.25,191.25,219.375,91600,0,1
2000-10-16,224.375,237.5,212.5,215.0,74400,0,1
2000-10-17,215.0,243.75,204.375,240.625,103000,0,1
2000-10-18,216.25,241.25,216.25,218.75,100100,0,1
2000-10-19,230.0,256.25,223.75,254.375,138800,0,1
2000-10-20,267.5,268.75,241.25,241.875,189200,0,1
2000-10-23,227.5,253.75,227.5,245.625,97200,0,1
2000-10-24,255.625,257.5,245.0,247.5,82500,0,1
2000-10-25,242.5,266.25,240.625,245.625,92800,0,1
2000-10-26,248.125,248.125,210.0,230.0,95100,0,1
2000-10-27,264.375,273.75,239.375,243.75,169700,0,1
2000-10-30,250.625,260.0,228.75,235.0,47100,0,1
2000-10-31,234.375,249.375,234.375,239.375,55300,0,1
2000-11-01,235.0,243.75,230.0,230.1562,43200,0,1
2000-11-02,235.625,243.75,231.25,239.375,66100,0,1
2000-11-03,241.875,252.5,235.0,242.5,55300,0,1
2000-11-06,243.75,247.5,230.0,232.5,45500,0,1
2000-11-07,232.5,240.0,223.4375,240.0,42200,0,1
2000-11-08,234.375,240.0,223.75,225.0,22000,0,1
2000-11-09,223.125,226.25,217.5,220.0,43500,0,1
2000-11-10,215.3125,223.75,210.0,213.75,43000,0,1
2000-11-13,210.0,213.75,195.0,213.125,58900,0,1
2000-11-14,218.75,231.25,218.75,229.375,48600,0,1
2000-11-15,225.625,231.25,213.2812,217.5,40300,0,1
2000-11-16,215.0,218.125,197.5,200.0,31800,0,1
2000-11-17,202.5,211.875,197.5,197.5,41400,0,1
2000-11-20,199.375,199.375,181.25,181.25,48500,0,1
2000-11-21,186.875,187.5,165.625,166.25,59700,0,1
2000-11-22,165.625,168.75,148.75,155.0,103700,0,1
2000-11-24,161.25,168.75,155.0,168.75,48000,0,1
2000-11-27,173.75,180.0,153.75,156.25,43000,0,1
2000-11-28,153.75,155.625,137.5,138.75,70900,0,1
2000-11-29,138.75,141.875,124.375,127.3438,94700,0,1
2000-11-30,120.0,123.75,92.5,92.5,195700,0,1
2000-12-01,101.25,141.875,97.5,120.625,211000,0,1
2000-12-04,121.25,122.5,110.0,110.0,81300,0,1
2000-12-05,121.875,136.25,115.3125,135.0,107800,0,1
2000-12-06,135.0,141.25,128.75,130.9375,96300,0,1
2000-12-07,126.875,128.125,110.625,111.875,71100,0,1
2000-12-08,130.1562,138.75,126.25,132.5,68400,0,1
