date,open,high,low,close,volume,dividend,split
2000-01-03,7.4925,7.5444,6.8522,7.5271,6276600,0,1
2000-01-04,7.4665,7.6136,6.8868,6.9214,4951800,0,1
2000-01-05,6.8349,6.9214,6.4889,6.6619,7599600,0,1
2000-01-06,6.584,7.0426,6.4716,6.9387,10763700,0,1
2000-01-07,6.9128,7.0599,6.8176,6.9041,4478000,0,1
2000-01-10,7.1291,8.0462,7.1291,7.7174,22739800,0,1
2000-01-11,7.5098,7.5098,7.0599,7.207,9348900,0,1
2000-01-12,7.0945,7.2935,6.7311,6.8176,14878500,0,1
2000-01-13,6.9387,7.5098,6.9041,7.4752,11210600,0,1
2000-01-14,7.5876,7.6309,7.008,7.0166,7112900,0,1
2000-01-18,7.0166,7.3021,6.9993,7.207,4559200,0,1
2000-01-19,7.2156,7.2589,6.9993,7.207,3197600,0,1
2000-01-20,7.2329,7.752,7.181,7.4146,11164700,0,1
2000-01-21,7.4752,7.7174,7.2502,7.6568,6977300,0,1
2000-01-24,7.7347,7.9078,6.8868,6.9907,9729600,0,1
2000-01-25,7.0426,7.6482,6.9734,7.4665,10311900,0,1
2000-01-26,7.4492,7.7001,7.1118,7.1291,3555900,0,1
2000-01-27,7.1377,7.4059,7.0945,7.3454,3929500,0,1
2000-01-28,7.3021,7.354,6.9993,7.1204,5957900,0,1
2000-01-31,7.1204,7.181,6.4023,6.8695,16224700,0,1
2000-02-01,6.8695,6.9474,6.8263,6.9128,7816100,0,1
2000-02-02,6.9993,7.6309,6.9474,7.1832,14735000,0,1
2000-02-03,7.3367,7.6309,7.1377,7.5747,15235100,0,1
2000-02-04,7.6482,7.9597,7.6482,7.778,10108100,0,1
2000-02-07,7.8039,7.8904,7.5444,7.8472,5024300,0,1
2000-02-08,7.9078,7.9683,7.579,7.6395,7330300,0,1
2000-02-09,7.6395,7.8039,7.3713,7.3886,5499100,0,1
2000-02-10,7.4579,7.579,7.4059,7.553,3471100,0,1
2000-02-11,7.579,7.5963,7.0599,7.0858,5354900,0,1
2000-02-14,7.1983,7.2156,6.7484,6.9128,7066600,0,1
2000-02-15,6.8695,7.0945,6.783,6.9214,11922900,0,1
