date,open,high,low,close,volume,dividend,split
2000-01-03,2.6875,2.7188,2.5,2.5625,61200,0,1
2000-01-04,2.4688,2.4688,2.4375,2.4375,14800,0,1
2000-01-05,2.4375,2.5,2.3438,2.4844,35200,0,1
2000-01-06,2.4219,2.5,2.4219,2.4688,16000,0,1
2000-01-07,2.4688,2.4688,2.4375,2.4531,8000,0,1
2000-01-10,2.4844,2.4844,2.4531,2.4688,12800,0,1
2000-01-11,2.4688,2.4688,2.3438,2.3438,14800,0,1
2000-01-12,2.4062,2.5312,2.375,2.5,26000,0,1
2000-01-13,2.5,2.5,2.4688,2.4688,5600,0,1
2000-01-14,2.4531,2.4844,2.4375,2.4688,32800,0,1
2000-01-18,2.4375,2.4531,2.4375,2.4375,1600,0,1
2000-01-19,2.4062,2.4062,2.3594,2.3594,24400,0,1
2000-01-20,2.3438,2.375,2.2188,2.25,49600,0,1
2000-01-21,2.25,2.25,2.2188,2.2188,34400,0,1
2000-01-24,2.1875,2.3438,2.1875,2.3438,113600,0,1
2000-01-25,2.375,2.5,2.375,2.5,22400,0,1
2000-01-26,2.5,2.5,2.375,2.4688,36400,0,1
2000-01-27,2.5,2.5,2.4531,2.4531,16800,0,1
2000-01-28,2.4219,2.5,2.4219,2.5,4000,0,1
2000-01-31,2.5,2.5781,2.375,2.5469,32800,0,1
2000-02-01,2.5625,2.625,2.5625,2.625,10000,0,1
2000-02-02,2.5938,2.6562,2.5938,2.625,42800,0,1
2000-02-03,2.6875,2.6875,2.625,2.625,36400,0,1
2000-02-04,2.6562,2.6875,2.625,2.6875,4400,0,1
2000-02-07,2.6562,2.75,2.6562,2.75,11200,0,1
2000-02-08,2.7812,2.875,2.75,2.7812,30000,0,1
2000-02-09,2.8594,2.8594,2.7344,2.7812,25200,0,1
2000-02-10,2.75,2.7656,2.7344,2.7344,51600,0,1
2000-02-11,2.7344,2.7344,2.7188,2.7188,8800,0,1
2000-02-14,2.7656,2.7656,2.75,2.75,23200,0,1
2000-02-15,2.7812,2.7812,2.75,2.75,28800,0,1
2000-02-16,2.75,2.75,2.7188,2.75,12000,0,1
2000-02-17,2.75,2.8594,2.75,2.7812,58000,0,1
2000-02-18,2.7812,2.8125,2.75,2.75,17600,0,1
2000-02-22,2.75,2.7969,2.7188,2.7969,54400,0,1
2000-02-23,2.7656,2.7812,2.7344,2.75,43600,0,1
2000-02-24,2.7812,2.7969,2.7812,2.7812,12800,0,1
2000-02-25,2.8125,2.8125,2.75,2.75,41200,0,1
2000-02-28,2.75,2.8438,2.75,2.8281,10800,0,1
2000-02-29,2.7969,2.8438,2.7969,2.8281,29600,0,1
2000-03-01,2.7969,2.8594,2.7344,2.7344,150000,0,1
2000-03-02,2.7344,2.8438,2.6875,2.75,56000,0,1
2000-03-03,2.7812,2.8438,2.5625,2.8438,91200,0,1
2000-03-06,2.8125,2.8125,2.6875,2.75,12800,0,1
2000-03-07,2.75,2.75,2.75,2.75,0,0,1
2000-03-08,2.75,2.75,2.75,2.75,0,0,1
