date,open,high,low,close,volume,dividend,split
2000-01-03,29.8333,29.9167,28.0417,28.5833,108900,0,1
2000-01-04,28.4167,28.4583,27.1667,27.6667,137400,0,1
2000-01-05,27.625,28.1667,27.625,28.0833,95800,0,1
2000-01-06,28.125,28.2917,28.0,28.25,71400,0,1
2000-01-07,28.4167,29.1667,28.4167,28.7917,251200,0,1
2000-01-10,28.875,28.9583,28.0,28.4167,88200,0,1
2000-01-11,28.4167,28.5,28.1667,28.3333,77400,0,1
2000-01-12,28.3333,28.9167,28.2917,28.7917,187000,0,1
2000-01-13,28.8333,29.1667,28.75,29.0417,103900,0,1
2000-01-14,29.1667,29.5833,28.7083,28.7083,80400,0,1
2000-01-18,28.5833,29.3333,28.0833,29.3333,125800,0,1
2000-01-19,29.4167,31.3333,29.375,31.25,209700,0,1
2000-01-20,31.6667,32.375,31.1667,31.5833,181600,0,1
2000-01-21,31.5833,33.1667,31.3333,33.125,339000,0,1
2000-01-24,33.125,33.2917,32.7917,33.25,147400,0,1
2000-01-25,33.0833,33.125,32.3333,32.4583,111900,0,1
2000-01-26,32.3333,32.4583,31.4167,31.5,155800,0,1
2000-01-27,32.1667,33.1667,32.0,32.0417,404700,0,1
2000-01-28,32.3333,32.4583,31.0,31.2083,175800,0,1
2000-01-31,31.0833,31.9167,30.7917,30.7917,109900,0,1
2000-02-01,30.8333,31.9167,30.8333,31.625,130000,0,1
2000-02-02,31.5417,32.5833,31.5417,32.2917,56700,0,1
2000-02-03,32.1667,32.3333,31.8333,32.2083,80100,0,1
2000-02-04,32.3333,33.3333,32.3333,33.3333,284100,0,1
2000-02-07,33.5,34.5,33.0833,33.4167,203400,0,1
2000-02-08,33.5,34.125,33.3333,33.625,112500,0,1
2000-02-09,33.5417,33.5833,30.6667,31.625,280500,0,1
2000-02-10,31.7917,32.4167,31.75,31.9583,159400,0,1
2000-02-11,32.0833,32.4167,32.0,32.375,78400,0,1
2000-02-14,32.5417,33.875,32.25,33.7917,129900,0,1
2000-02-15,33.9583,35.75,33.625,35.6667,273600,0,1
2000-02-16,35.7083,37.5833,35.625,37.25,308700,0,1
2000-02-17,37.75,38.4583,37.6667,38.125,425200,0,1
2000-02-18,37.8333,37.8333,37.3333,37.5833,69900,0,1
2000-02-22,37.4167,38.1667,37.4167,38.0417,292500,0,1
2000-02-23,38.0,38.0,36.8333,37.5833,54700,0,1
2000-02-24,37.75,38.0,37.4167,37.5417,154800,0,1
2000-02-25,36.6667,37.3333,36.0833,36.5,2073400,0,1
2000-02-28,36.5,37.25,36.5,37.1667,301500,0,1
2000-02-29,37.3333,38.5833,37.3333,38.4167,304300,0,1
2000-03-01,43.3333,44.4167,42.4167,44.25,1413400,0,1
2000-03-02,45.3333,47.3333,43.25,43.875,759100,0,1
