date,open,high,low,close,volume,dividend,split
2000-01-03,16.7778,17.5556,16.2222,16.8889,309700,0,1
2000-01-04,17.3889,17.3889,16.3333,16.6389,118900,0,1
2000-01-05,16.6389,16.6667,15.3889,16.0556,219100,0,1
2000-01-06,15.8889,16.0556,15.1667,15.5556,398200,0,1
2000-01-07,15.5556,15.7778,14.9444,15.5278,399100,0,1
2000-01-10,15.5556,16.0278,15.5,15.9167,190000,0,1
2000-01-11,15.8889,16.25,15.6111,16.1667,214300,0,1
2000-01-12,16.1528,16.5,16.0,16.2778,229500,0,1
2000-01-13,16.25,17.7778,16.2222,17.1111,234100,0,1
2000-01-14,17.0,17.3333,16.8056,16.8611,297100,0,1
2000-01-18,16.8056,16.9444,16.6667,16.7778,165700,0,1
2000-01-19,16.8333,17.1111,16.6667,16.9444,158400,0,1
2000-01-20,17.0278,18.2222,17.0,17.9167,474400,0,1
2000-01-21,17.8333,18.0556,17.3333,18.0278,126000,0,1
2000-01-24,17.9583,18.5556,17.9167,18.1806,163800,0,1
2000-01-25,18.3333,18.3333,16.8889,17.4444,226000,0,1
2000-01-26,17.3333,19.0833,16.8889,18.5278,202000,0,1
2000-01-27,18.6667,18.6667,16.9444,17.0556,135100,0,1
2000-01-28,17.1944,17.7222,16.7778,17.6667,319900,0,1
2000-01-31,17.6944,17.7222,16.8889,16.9167,242100,0,1
2000-02-01,16.9167,16.9444,16.2222,16.6667,172800,0,1
2000-02-02,16.9167,16.9444,16.3333,16.4306,375000,0,1
2000-02-03,16.4583,16.8056,16.1389,16.75,235900,0,1
2000-02-04,16.6667,16.75,16.3333,16.5556,162100,0,1
2000-02-07,16.6944,17.0,16.4306,16.6667,160600,0,1
2000-02-08,16.6667,17.3333,16.6111,17.2222,1063900,0,1
2000-02-09,17.25,17.4167,17.0278,17.1111,305700,0,1
2000-02-10,17.3056,17.5278,16.8611,17.0,331600,0,1
2000-02-11,16.8889,17.3056,16.8333,17.2222,387100,0,1
2000-02-14,17.1389,17.1389,16.6111,16.8333,324900,0,1
2000-02-15,16.7778,16.8333,15.9444,15.9444,385600,0,1
2000-02-16,16.0278,16.6944,15.9167,16.6667,269500,0,1
2000-02-17,16.6389,17.0,16.3889,16.8333,197200,0,1
2000-02-18,16.8333,16.8333,16.3611,16.6389,508200,0,1
2000-02-22,16.7222,16.9444,16.6111,16.9167,324100,0,1
2000-02-23,16.8611,17.0556,16.8333,17.0278,546300,0,1
2000-02-24,17.0556,18.4444,17.0,17.4444,472000,0,1
2000-02-25,17.4722,18.3889,17.3889,17.9444,553500,0,1
2000-02-28,18.0,18.7778,18.0,18.6944,934300,0,1
2000-02-29,18.6667,20.2778,18.6667,19.9583,478900,0,1
2000-03-01,19.8889,21.5,19.3333,20.6944,336600,0,1
2000-03-02,20.8889,20.8889,18.4444,19.4444,240900,0,1
2000-03-03,19.5833,19.8333,18.9167,19.1111,539700,0,1
2000-03-06,19.1667,19.1667,17.5556,18.25,314500,0,1
2000-03-07,18.2778,19.2222,18.2222,19.1944,565800,0,1
2000-03-08,19.0833,19.9722,18.7778,19.9722,421300,0,1
2000-03-09,19.8889,21.1389,19.8889,21.1389,97300,0,1
2000-03-10,20.9722,21.5556,20.75,20.75,258900,0,1
2000-03-13,20.4444,20.5556,19.8333,20.4444,148000,0,1
2000-03-14,20.6389,22.1667,20.6389,21.8889,546000,0,1
2000-03-15,22.0,22.1111,17.0278,18.7778,443400,0,1
2000-03-16,18.8889,21.0,18.4444,21.0,348400,0,1
2000-03-17,20.0556,21.7778,20.0556,21.6806,207600,0,1
2000-03-20,21.625,21.8889,20.7778,20.8333,307500,0,1
2000-03-21,21.2222,21.4444,20.4722,21.3889,222000,0,1
2000-03-22,21.4167,21.4167,20.6389,20.9167,403800,0,1
2000-03-23,21.0,21.9722,20.7778,21.7222,450400,0,1
2000-03-24,21.8056,22.25,21.7361,21.7778,626800,0,1
2000-03-27,22.2222,22.4444,21.8889,22.0556,345100,0,1
2000-03-28,22.0556,22.2222,21.8889,22.0,139900,0,1
2000-03-29,22.4444,23.0,22.0556,22.3056,579300,0,1
2000-03-30,22.0,22.6389,20.2778,21.1389,612600,0,1
2000-03-31,21.1389,22.6111,20.5556,20.8611,711900,0,1
2000-04-03,21.0556,21.9167,20.8889,21.8889,280800,0,1
2000-04-04,21.4444,22.2778,20.8889,22.2222,420000,0,1
2000-04-05,21.3333,22.1111,20.2222,21.9722,423100,0,1
2000-04-06,22.0,25.3333,21.2222,24.1111,451000,0,1
2000-04-07,24.5278,26.4444,24.1667,25.2222,546900,0,1
2000-04-10,25.4722,25.5,22.0556,22.1667,793900,0,1
2000-04-11,22.1667,22.1944,21.0,21.7778,279600,0,1
2000-04-12,22.0972,22.5556,21.6111,22.1944,442000,0,1
2000-04-13,22.1944,22.4444,22.1389,22.1667,123000,0,1
2000-04-14,21.8194,22.3611,19.9167,20.4722,404200,0,1
2000-04-17,20.0,21.3611,19.9444,21.3611,233100,0,1
2000-04-18,21.2222,24.1806,21.2222,22.9167,388800,0,1
2000-04-19,23.3889,23.3889,19.8889,21.7778,328900,0,1
2000-04-20,21.7778,22.4444,21.5,22.2222,1381000,0,1
2000-04-24,22.2639,22.2778,18.0,18.6667,686800,0,1
2000-04-25,19.1667,19.3056,17.5556,18.6944,795300,0,1
2000-04-26,18.6944,19.1667,18.0,18.8611,398800,0,1
2000-04-27,18.2222,21.3889,18.1667,20.8611,322200,0,1
2000-04-28,21.0556,21.6667,18.4444,21.6667,376300,0,1
2000-05-01,21.6111,22.0556,21.3333,21.9722,530100,0,1
2000-05-02,21.8889,22.2222,21.2778,21.2778,354700,0,1
2000-05-03,21.2778,21.3333,19.1111,20.0,540100,0,1
2000-05-04,20.0833,20.2708,18.9444,19.7222,232600,0,1
2000-05-05,19.9167,20.5,19.6667,20.1111,237600,0,1
2000-05-08,20.1111,20.1111,18.3056,18.4444,248400,0,1
2000-05-09,19.1389,19.1389,17.7778,18.2222,333000,0,1
2000-05-10,18.4444,18.4444,15.8333,17.1111,389200,0,1
2000-05-11,17.6389,18.3333,17.0,17.8958,523500,0,1
2000-05-12,18.1667,18.4444,17.2222,17.8333,388000,0,1
2000-05-15,17.9722,18.2222,17.3889,18.1667,181500,0,1
2000-05-16,18.0139,19.6111,17.8681,19.5139,387000,0,1
2000-05-17,19.0556,19.5,17.9722,18.8889,124600,0,1
2000-05-18,18.6667,18.7778,16.75,16.7986,144400,0,1
2000-05-19,17.2778,18.3333,16.8889,16.8958,287700,0,1
2000-05-22,17.1111,17.1111,15.5556,16.9444,425800,0,1
2000-05-23,16.9167,16.9444,14.6667,14.6667,348700,0,1
2000-05-24,15.1111,17.0556,14.1667,16.9167,393000,0,1
2000-05-25,18.0,18.2222,14.8889,14.9722,323700,0,1
2000-05-26,15.2917,16.0,14.8333,15.0556,171400,0,1
2000-05-30,15.5556,17.1944,15.3333,17.1111,299200,0,1
2000-05-31,16.8889,16.8889,15.25,16.1667,322800,0,1
2000-06-01,16.0833,16.3611,15.9444,16.3056,311800,0,1
2000-06-02,16.3611,18.4444,16.3472,17.5,555400,0,1
2000-06-05,17.75,17.7778,16.6667,16.8889,132700,0,1
2000-06-06,16.9722,17.3889,16.6667,16.8472,161200,0,1
2000-06-07,17.5556,18.3333,17.4444,18.1111,230400,0,1
2000-06-08,18.5556,18.6667,17.4444,18.6667,273600,0,1
2000-06-09,18.5556,19.6389,17.7778,18.9444,287500,0,1
2000-06-12,19.0417,20.0,18.9722,19.3056,344400,0,1
2000-06-13,19.0556,19.3611,18.6944,18.9444,372600,0,1
2000-06-14,19.4444,19.4444,18.6667,18.7778,276700,0,1
2000-06-15,19.2222,19.2778,18.1944,18.6111,290700,0,1
2000-06-16,19.5278,19.6667,18.8889,19.0,246100,0,1
2000-06-19,19.0972,19.6667,18.8333,19.6111,101700,0,1
2000-06-20,19.8611,20.6111,19.3611,20.6111,353200,0,1
2000-06-21,20.0,20.3333,18.9444,19.1389,251100,0,1
2000-06-22,19.4722,19.6944,19.0,19.0556,391000,0,1
2000-06-23,18.9167,19.6667,18.1667,19.6667,582300,0,1
2000-06-26,19.5556,20.3889,18.6944,20.3889,175500,0,1
2000-06-27,20.1111,20.2778,18.6667,18.9444,606100,0,1
2000-06-28,19.1667,21.4444,19.0556,21.1111,395200,0,1
2000-06-29,21.0,21.2917,18.5833,18.8333,713200,0,1
2000-06-30,18.8333,20.5,18.1389,19.3889,1582600,0,1
2000-07-03,19.4167,20.0,19.3333,19.8611,226300,0,1
2000-07-05,19.6111,19.6667,19.1111,19.2778,354700,0,1
2000-07-06,19.5556,19.6667,18.7222,19.4722,357900,0,1
2000-07-07,19.5,19.6667,18.7222,19.3611,180600,0,1
2000-07-10,18.8889,18.8889,18.2222,18.6667,425200,0,1
2000-07-11,18.3056,19.4444,18.2778,19.3889,288400,0,1
2000-07-12,19.3333,20.3056,19.1111,20.3056,137800,0,1
2000-07-13,20.6111,21.4167,20.3056,21.3056,240900,0,1
2000-07-14,21.2778,22.5,20.8889,21.0556,564700,0,1
2000-07-17,21.3889,21.9444,20.9444,21.7222,76200,0,1
2000-07-18,22.0556,22.0556,20.8333,20.8333,148000,0,1
2000-07-19,21.0,21.0,20.2778,20.3333,60300,0,1
2000-07-20,20.6667,22.0556,19.6111,21.7222,166600,0,1
2000-07-21,20.8611,20.9167,19.0833,19.6667,244300,0,1
2000-07-24,19.6667,19.8889,19.1111,19.1111,121900,0,1
2000-07-25,19.4444,19.4444,17.9444,18.1389,419500,0,1
2000-07-26,18.1806,18.25,17.7778,18.1667,691200,0,1
2000-07-27,18.3611,19.1111,18.0,18.8889,218800,0,1
2000-07-28,18.9167,18.9444,18.3889,18.4167,504000,0,1
2000-07-31,18.5556,19.3889,18.4444,19.1944,231000,0,1
2000-08-01,18.9444,19.0556,18.2778,18.7778,186900,0,1
2000-08-02,18.6667,19.0,18.6667,18.7778,92800,0,1
2000-08-03,19.0556,19.4444,18.5,19.3056,139900,0,1
2000-08-04,19.3194,20.0,18.5,19.5556,235900,0,1
2000-08-07,19.4444,19.9722,19.4444,19.9167,477000,0,1
2000-08-08,20.0,20.0,19.7222,19.7778,275500,0,1
2000-08-09,19.9722,20.0,19.7778,19.8889,220000,0,1
2000-08-10,19.8333,19.8333,19.1667,19.3611,222400,0,1
2000-08-11,19.5,20.1111,19.2222,19.9167,330900,0,1
2000-08-14,19.9722,21.0,19.1111,20.8889,654000,0,1
2000-08-15,21.1111,21.4444,20.7778,21.0556,424900,0,1
2000-08-16,21.0556,21.3333,20.9444,21.3333,187600,0,1
2000-08-17,21.2222,21.3333,20.7222,21.0,105300,0,1
2000-08-18,20.8472,20.8472,18.0,19.25,514300,0,1
2000-08-21,19.4444,20.2222,19.25,20.2222,438700,0,1
2000-08-22,20.2778,20.3333,19.5278,19.5556,87000,0,1
2000-08-23,19.8333,20.2222,19.4444,19.6944,224500,0,1
2000-08-24,19.6667,20.0556,19.5,19.8056,131800,0,1
2000-08-25,19.9306,20.0556,19.5833,19.9167,125700,0,1
2000-08-28,19.5833,20.1667,19.5833,19.8889,209800,0,1
2000-08-29,19.8333,20.8889,19.8333,20.5,153400,0,1
2000-08-30,20.0139,20.0139,19.3333,19.8889,67200,0,1
2000-08-31,19.8333,20.0,18.8889,19.1944,505500,0,1
2000-09-01,19.2778,19.9444,19.2222,19.9167,396100,0,1
2000-09-05,19.9444,19.9444,19.0,19.1111,76500,0,1
2000-09-06,19.0972,19.6667,18.5556,19.3333,187800,0,1
2000-09-07,19.375,20.0,18.8889,19.8889,203800,0,1
2000-09-08,19.8889,20.2778,19.6667,19.6667,112200,0,1
2000-09-11,19.6806,19.6944,18.7778,19.1944,150300,0,1
2000-09-12,19.0278,20.8333,19.0278,20.0556,327300,0,1
2000-09-13,19.8333,20.7778,19.7222,20.3333,291600,0,1
2000-09-14,20.3611,20.5556,20.3611,20.5,114700,0,1
2000-09-15,20.4861,20.5833,20.2222,20.2778,332200,0,1
2000-09-18,20.3194,20.3889,19.6111,19.6667,268600,0,1
2000-09-19,19.6667,19.7778,18.7778,19.4444,239500,0,1
2000-09-20,19.3889,20.9444,19.0,20.4444,257500,0,1
2000-09-21,20.3333,21.1111,20.0556,20.1111,109900,0,1
2000-09-22,20.0,20.5486,19.6667,20.4167,163000,0,1
2000-09-25,20.7222,20.8333,19.4444,19.4444,176800,0,1
2000-09-26,19.4167,20.5,19.3333,20.4722,162600,0,1
2000-09-27,20.0278,20.3333,19.1111,19.1111,90100,0,1
2000-09-28,19.1389,20.1389,19.1111,20.1389,117400,0,1
2000-09-29,20.0,20.25,19.3611,19.6111,155200,0,1
2000-10-02,20.0,20.5486,19.7778,19.8889,144100,0,1
2000-10-03,19.9167,20.1667,19.75,19.7778,77500,0,1
2000-10-04,19.7569,20.2778,19.0,20.2778,119700,0,1
2000-10-05,19.8611,20.0,19.0,19.0833,101800,0,1
2000-10-06,19.3889,19.3889,17.9444,18.6944,200700,0,1
2000-10-09,18.5556,18.7222,17.8889,18.1389,165300,0,1
2000-10-10,17.9167,18.5,17.0278,17.1111,255600,0,1
2000-10-11,17.0833,18.0,17.0,17.75,1286200,0,1
2000-10-12,17.8889,18.3333,17.7222,18.2222,621000,0,1
2000-10-13,17.8056,17.9167,17.2222,17.9167,306000,0,1
2000-10-16,17.9167,17.9444,17.6389,17.7222,184900,0,1
2000-10-17,17.7778,17.8333,17.0556,17.0556,191400,0,1
2000-10-18,17.2778,17.2778,16.6667,16.8889,187600,0,1
2000-10-19,17.1111,18.9444,17.0556,18.8889,220000,0,1
2000-10-20,19.1111,19.3333,18.2778,18.5556,222400,0,1
2000-10-23,18.8333,19.5,18.6667,19.4167,127300,0,1
2000-10-24,19.0556,19.5,19.0556,19.25,137200,0,1
2000-10-25,19.1944,19.6111,19.0556,19.6111,342000,0,1
2000-10-26,19.3611,20.25,19.2778,20.1111,892800,0,1
2000-10-27,20.3125,20.8889,19.9444,20.8333,875800,0,1
2000-10-30,20.4444,21.3333,20.1181,20.1181,393700,0,1
2000-10-31,20.9444,21.1667,20.6667,20.75,386500,0,1
2000-11-01,20.6944,20.6944,18.8889,19.0,382900,0,1
2000-11-02,19.4444,19.4444,19.1111,19.3889,443200,0,1
2000-11-03,19.6111,19.6111,18.8333,19.3333,164400,0,1
2000-11-06,19.1111,19.2778,18.7778,19.1667,84600,0,1
2000-11-07,18.8889,19.25,18.6667,19.0,126100,0,1
2000-11-08,19.0,19.0833,17.5556,17.5556,191800,0,1
2000-11-09,18.2222,18.2222,17.1111,17.4444,274900,0,1
2000-11-10,17.5278,18.0278,16.8889,17.0,103500,0,1
2000-11-13,17.3333,17.3333,15.8056,16.4722,193600,0,1
2000-11-14,16.6736,18.6667,16.5278,18.2917,295800,0,1
