date,open,high,low,close,volume,dividend,split
2014-12-12,30.16,35.25,30.0,33.99,8341900,0,1
2014-12-15,33.07,33.48,30.36,30.52,991600,0,1
2014-12-16,30.19,31.73,30.03,31.1,285500,0,1
2014-12-17,30.87,31.66,30.25,31.22,262100,0,1
2014-12-18,31.27,32.7,30.0,30.42,284300,0,1
2014-12-19,30.6,31.84,30.47,31.47,184900,0,1
2014-12-22,31.74,31.996,30.77,31.25,80700,0,1
2014-12-23,31.75,32.435,31.29,32.1,175000,0,1
2014-12-24,32.15,34.0,32.145,33.76,86700,0,1
2014-12-26,34.0,34.0,33.02,33.52,100000,0,1
2014-12-29,33.75,37.0,33.51,35.92,303100,0,1
2014-12-30,35.92,36.99,34.53,35.18,109900,0,1
2014-12-31,35.71,36.07,34.67,34.84,64000,0,1
2015-01-02,35.8,36.47,34.98,36.47,104500,0,1
2015-01-05,37.01,37.5,34.17,37.25,246000,0,1
2015-01-06,37.0,37.0,34.57,35.6,694800,0,1
2015-01-07,35.6,36.95,35.29,35.84,156600,0,1
2015-01-08,36.32,36.66,33.5,35.42,374700,0,1
2015-01-09,35.26,35.35,33.01,33.86,152800,0,1
2015-01-12,34.31,34.81,31.52,34.34,232500,0,1
2015-01-13,34.94,35.21,32.17,32.8,133100,0,1
2015-01-14,32.85,32.85,31.01,31.25,186600,0,1
2015-01-15,31.24,32.09,30.53,31.27,260300,0,1
2015-01-16,30.94,32.2,30.33,31.9,314200,0,1
2015-01-20,32.39,32.52,30.94,31.02,146700,0,1
2015-01-21,31.3,32.0,30.37,31.88,201700,0,1
2015-01-22,31.73,31.902,30.81,31.11,142000,0,1
2015-01-23,31.25,33.08,30.536,32.8,247900,0,1
2015-01-26,32.8,32.99,32.07,32.34,86400,0,1
2015-01-27,32.39,32.4,31.11,32.07,69900,0,1
2015-01-28,31.82,32.37,30.75,31.04,108900,0,1
2015-01-29,31.12,32.02,30.2,31.71,149400,0,1
2015-01-30,31.24,31.849,30.654,31.06,37100,0,1
2015-02-02,31.6,31.9,29.663,30.33,101700,0,1
2015-02-03,30.3,31.59,30.18,31.49,63300,0,1
2015-02-04,31.32,31.83,31.172,31.33,29800,0,1
2015-02-05,31.2,32.958,31.2,32.84,94000,0,1
2015-02-06,33.0,34.33,33.0,33.85,133800,0,1
2015-02-09,34.19,34.99,33.4,34.94,96100,0,1
2015-02-10,34.68,35.33,34.122,34.87,97800,0,1
2015-02-11,35.49,35.5,34.17,35.1,111500,0,1
2015-02-12,35.08,35.98,34.9,35.85,130700,0,1
2015-02-13,37.0,38.65,33.03,33.75,389100,0,1
2015-02-17,34.2,35.3,33.23,35.05,316700,0,1
2015-02-18,34.8,35.43,34.8,35.22,115900,0,1
2015-02-19,35.37,36.0,34.22,34.68,133400,0,1
2015-02-20,34.89,35.25,34.31,34.89,83500,0,1
2015-02-23,34.98,35.98,34.82,35.46,74600,0,1
2015-02-24,35.77,35.88,35.03,35.3,77400,0,1
2015-02-25,35.25,35.84,35.0,35.2,50900,0,1
2015-02-26,35.48,35.48,34.93,35.39,33600,0,1
2015-02-27,35.4,35.415,34.16,34.46,77500,0,1
2015-03-02,34.12,34.68,33.55,34.08,53900,0,1
2015-03-03,34.14,35.72,34.14,35.09,123200,0,1
2015-03-04,34.69,35.74,34.528,34.91,83200,0,1
2015-03-05,35.23,35.75,34.9,35.17,82200,0,1
2015-03-06,35.48,35.48,33.75,34.26,120100,0,1
2015-03-09,34.54,34.84,33.72,34.45,103000,0,1
2015-03-10,34.58,35.028,34.08,34.56,133900,0,1
2015-03-11,34.37,35.61,34.32,34.89,98000,0,1
2015-03-12,35.25,35.43,34.58,34.88,76100,0,1
2015-03-13,34.74,34.9,33.76,34.05,207100,0,1
2015-03-16,34.42,34.91,33.57,33.8,230900,0,1
2015-03-17,33.72,34.21,33.11,33.25,97300,0,1
2015-03-18,33.09,33.95,33.05,33.76,91100,0,1
2015-03-19,33.75,34.29,33.42,34.1,136600,0,1
2015-03-20,34.68,35.27,34.56,34.76,510100,0,1
2015-03-23,34.76,35.662,34.45,34.93,130000,0,1
2015-03-24,34.89,35.2,34.4,34.45,145100,0,1
2015-03-25,34.49,34.992,32.51,33.07,146100,0,1
2015-03-26,32.79,33.78,32.61,33.65,112600,0,1
2015-03-27,33.63,33.9,32.78,33.3,81400,0,1
2015-03-30,33.5,34.24,33.28,34.0,92400,0,1
2015-03-31,33.75,35.85,33.59,34.7,783500,0,1
2015-04-01,34.68,34.68,32.32,32.62,177600,0,1
2015-04-02,32.34,32.565,31.41,31.67,191300,0,1
2015-04-06,32.22,32.99,32.0,32.91,68400,0,1
2015-04-07,33.03,33.03,32.03,32.21,88300,0,1
2015-04-08,32.45,33.21,32.45,33.1,74900,0,1
2015-04-09,33.19,33.339,32.66,32.95,109000,0,1
2015-04-10,33.25,33.518,32.63,32.72,62700,0,1
2015-04-13,32.56,33.12,32.25,32.47,90400,0,1
2015-04-14,32.47,33.59,32.15,33.45,135300,0,1
2015-04-15,33.49,33.718,32.53,33.11,97300,0,1
2015-04-16,33.09,33.42,32.49,32.59,52300,0,1
2015-04-17,32.12,32.63,31.67,32.01,249200,0,1
2015-04-20,32.05,32.91,31.96,32.91,75300,0,1
2015-04-21,33.05,34.55,32.62,34.52,166300,0,1
2015-04-22,34.4,34.41,32.93,33.02,71200,0,1
2015-04-23,33.0,33.54,32.51,32.96,52800,0,1
2015-04-24,33.31,33.6,32.52,32.68,55900,0,1
2015-04-27,32.97,33.03,31.81,32.27,139800,0,1
2015-04-28,32.37,32.37,31.95,32.1,97600,0,1
2015-04-29,32.16,32.72,31.97,32.68,65000,0,1
2015-04-30,32.59,32.978,32.08,32.49,108400,0,1
2015-05-01,32.78,32.99,32.0,32.98,101500,0,1
2015-05-04,33.0,33.0,32.06,32.51,69300,0,1
2015-05-05,32.55,32.722,31.98,32.39,74800,0,1
2015-05-06,32.46,32.7,31.96,32.42,133700,0,1
2015-05-07,32.31,32.66,32.07,32.49,75900,0,1
2015-05-08,32.56,33.0,32.365,32.72,106200,0,1
2015-05-11,32.59,33.62,32.31,32.57,68800,0,1
2015-05-12,32.56,33.3,32.16,32.75,119300,0,1
2015-05-13,35.29,35.97,32.05,32.32,514800,0,1
2015-05-14,32.9,32.9,31.41,31.58,127600,0,1
2015-05-15,31.67,31.68,30.59,30.71,161100,0,1
2015-05-18,30.68,32.03,30.26,32.01,75100,0,1
2015-05-19,32.1,32.59,31.58,32.42,134400,0,1
2015-05-20,32.35,32.84,32.13,32.47,385300,0,1
2015-05-21,32.5,32.83,32.15,32.56,162100,0,1
2015-05-22,32.66,32.96,32.29,32.43,58600,0,1
2015-05-26,32.78,32.78,31.78,32.05,117800,0,1
2015-05-27,32.23,32.46,32.0,32.33,78300,0,1
2015-05-28,32.5,32.61,32.0,32.35,34700,0,1
2015-05-29,32.23,32.9,32.0,32.73,60100,0,1
2015-06-01,31.05,32.5,30.6,31.97,316000,0,1
2015-06-02,31.76,32.41,31.68,31.93,128400,0,1
2015-06-03,31.94,32.23,31.7,32.0,200400,0,1
2015-06-04,31.65,31.91,31.185,31.49,208500,0,1
2015-06-05,31.47,32.19,31.38,31.86,295100,0,1
2015-06-08,31.71,32.41,31.37,31.71,200900,0,1
2015-06-09,31.59,31.89,31.2,31.22,212600,0,1
2015-06-10,31.46,32.14,31.0,32.07,621200,0,1
2015-06-11,31.98,32.4,31.66,32.17,177300,0,1
2015-06-12,32.04,33.19,31.82,32.88,421900,0,1
2015-06-15,32.56,32.93,31.965,32.24,243600,0,1
2015-06-16,32.12,32.67,31.82,32.27,2117000,0,1
2015-06-17,32.35,33.16,32.35,32.65,330200,0,1
2015-06-18,32.85,32.91,31.87,32.7,1856600,0,1
2015-06-19,32.7,33.5,32.52,33.19,574300,0,1
2015-06-22,33.0,34.25,32.89,33.35,357000,0,1
2015-06-23,33.3,33.99,33.17,33.59,271900,0,1
2015-06-24,33.5,34.28,33.36,33.83,669800,0,1
2015-06-25,34.0,35.11,33.81,34.93,560600,0,1
2015-06-26,34.88,35.53,34.71,35.32,388800,0,1
2015-06-29,35.1,35.35,34.36,34.57,160500,0,1
2015-06-30,34.57,35.3,34.48,35.19,114700,0,1
2015-07-01,35.33,36.45,35.23,36.24,398700,0,1
2015-07-02,36.23,36.497,35.23,35.44,152700,0,1
2015-07-06,35.22,35.46,34.8,34.96,94100,0,1
2015-07-07,34.73,34.76,33.5,34.21,180500,0,1
2015-07-08,33.83,34.14,32.72,33.52,257400,0,1
2015-07-09,33.92,34.3,33.5,34.0,206300,0,1
2015-07-10,34.38,34.66,34.0,34.31,213900,0,1
