date,open,high,low,close,volume,dividend,split
2000-01-03,25.5,26.1875,24.75,25.375,281000,0,1
2000-01-04,24.125,24.25,23.125,23.125,371000,0,1
2000-01-05,23.0,23.8125,22.9688,23.8125,263600,0,1
2000-01-06,23.4688,23.5625,23.25,23.4688,436800,0,1
2000-01-07,23.5625,24.25,23.25,24.0,167400,0,1
2000-01-10,24.9375,26.0625,24.9062,25.9375,253200,0,1
2000-01-11,26.125,27.3125,26.0,26.9062,410600,0,1
2000-01-12,27.0312,27.625,27.0,27.0938,352000,0,1
2000-01-13,27.4375,27.5625,27.1875,27.5,231400,0,1
2000-01-14,27.625,28.8438,27.5625,28.375,270000,0,1
2000-01-18,29.25,31.0938,28.9375,30.75,520400,0,1
2000-01-19,31.0,33.5625,30.75,32.9375,920000,0,1
2000-01-20,33.125,33.25,32.375,32.5625,369200,0,1
2000-01-21,32.4375,32.5,32.0,32.0625,157600,0,1
2000-01-24,32.6875,33.0,32.1562,32.25,552400,0,1
2000-01-25,32.0625,32.0938,31.4375,32.0625,696400,0,1
2000-01-26,32.125,32.125,31.3125,31.4375,77000,0,1
2000-01-27,31.1875,31.1875,29.625,30.0,169600,0,1
2000-01-28,29.9375,29.9375,28.1875,28.3125,162400,0,1
2000-01-31,28.1875,28.25,27.6875,27.9375,352000,0,1
2000-02-01,28.3125,29.125,27.9062,28.8125,393200,0,1
2000-02-02,30.0,30.875,29.9375,30.75,254000,0,1
2000-02-03,30.75,31.0,30.375,30.625,183800,0,1
2000-02-04,30.625,31.625,30.375,31.4688,230400,0,1
2000-02-07,32.1875,32.1875,31.75,32.1875,241000,0,1
2000-02-08,32.3125,34.6562,32.3125,33.625,166400,0,1
2000-02-09,34.0625,34.0625,32.6875,33.0312,183000,0,1
2000-02-10,34.125,37.0625,34.0,36.9688,533600,0,1
2000-02-11,37.125,37.4375,35.8438,36.1562,204000,0,1
2000-02-14,37.3125,38.125,37.3125,38.0,224600,0,1
2000-02-15,38.1562,38.1562,36.9375,37.8125,376600,0,1
2000-02-16,37.6875,37.6875,35.5,37.3125,1116800,0,1
2000-02-17,37.25,37.375,37.0625,37.2188,146400,0,1
2000-02-18,36.75,37.0,35.9375,36.1562,174400,0,1
2000-02-22,36.5,37.0,35.9375,36.4375,410200,0,1
2000-02-23,39.75,40.5,39.0,39.375,551600,0,1
2000-02-24,39.4375,42.6875,38.1875,42.5,330600,0,1
2000-02-25,42.0625,44.875,42.0,42.0625,529800,0,1
2000-02-28,42.0625,42.375,41.5,42.0625,294600,0,1
2000-02-29,44.3125,44.7812,43.375,44.7812,260600,0,1
2000-03-01,46.5,50.0,46.125,49.5,217600,0,1
2000-03-02,48.9375,49.4375,44.5,45.25,487600,0,1
2000-03-03,45.0,45.5,44.25,44.75,256400,0,1
2000-03-06,44.4531,44.4688,35.1562,35.625,1312400,0,1
2000-03-07,37.4375,40.25,37.375,37.6875,826400,0,1
2000-03-08,38.2188,40.0,38.0,39.8438,301400,0,1
2000-03-09,41.1562,43.625,41.0,41.0,205600,0,1
2000-03-10,41.9688,43.8125,41.8125,42.75,262200,0,1
2000-03-13,39.9375,40.25,39.125,40.0,286400,0,1
2000-03-14,40.2812,40.2812,35.5,37.4688,155600,0,1
2000-03-15,37.25,39.875,37.0,38.125,312800,0,1
2000-03-16,39.4062,39.5,37.5,37.8125,758200,0,1
2000-03-17,37.5,38.5625,37.5,38.125,249200,0,1
2000-03-20,38.1875,38.1875,36.6562,36.8438,218200,0,1
2000-03-21,36.625,36.625,35.9375,36.4375,206800,0,1
2000-03-22,35.0938,35.5,32.5625,35.5,325400,0,1
2000-03-23,34.0,36.25,33.5,35.5625,361200,0,1
2000-03-24,35.6562,37.75,35.5,36.0,486200,0,1
