date,open,high,low,close,volume,dividend,split
2000-01-03,21.0,21.375,20.25,21.0,26900,0,1
2000-01-04,19.75,20.125,19.0,19.75,34200,0,1
2000-01-05,19.375,19.5,18.5,19.375,60300,0,1
2000-01-06,19.0,19.875,18.625,19.0,31700,0,1
2000-01-07,19.25,19.5,18.5,19.25,31200,0,1
2000-01-10,19.2031,19.875,18.375,19.2031,47100,0,1
2000-01-11,19.5,19.875,19.0,19.5,42800,0,1
2000-01-12,21.0,21.5,19.75,21.0,34000,0,1
2000-01-13,19.875,22.0,19.875,19.875,59800,0,1
2000-01-14,20.25,21.0,20.25,20.25,29800,0,1
2000-01-18,20.75,21.25,20.0,20.75,107200,0,1
2000-01-19,20.375,20.75,19.75,20.375,124600,0,1
2000-01-20,20.4531,20.75,19.875,20.4531,61300,0,1
2000-01-21,20.625,21.0,20.0,20.625,119300,0,1
2000-01-24,20.375,21.0,20.125,20.375,69500,0,1
2000-01-25,21.0938,21.25,19.75,21.0938,63400,0,1
2000-01-26,20.75,21.5,20.75,20.75,23900,0,1
2000-01-27,21.875,22.25,21.25,21.875,48900,0,1
2000-01-28,23.0,23.5,22.0,23.0,38500,0,1
2000-01-31,22.25,23.6562,22.25,22.25,68300,0,1
2000-02-01,22.375,23.25,21.875,22.375,25900,0,1
2000-02-02,24.0,25.5,23.5,24.0,38100,0,1
2000-02-03,25.125,25.875,24.5,25.125,43800,0,1
2000-02-04,27.75,28.75,27.125,27.75,26800,0,1
2000-02-07,27.625,28.0,26.625,27.625,114300,0,1
2000-02-08,26.125,26.5,25.375,26.125,51300,0,1
2000-02-09,25.75,26.0,25.0,25.75,41200,0,1
2000-02-10,26.5,27.5,26.25,26.5,49100,0,1
2000-02-11,26.75,28.0,26.0,26.75,30600,0,1
2000-02-14,26.5,27.25,22.2969,26.5,84500,0,1
2000-02-15,24.25,24.75,23.25,24.25,83500,0,1
2000-02-16,24.25,24.5,23.0,24.25,130000,0,1
2000-02-17,26.375,26.5,25.125,26.375,83900,0,1
2000-02-18,27.0,28.0,26.5,27.0,353900,0,1
2000-02-22,26.25,26.875,21.5,26.25,348700,0,1
2000-02-23,26.5,27.0,25.0,26.5,459500,0,1
2000-02-24,26.375,26.75,25.25,26.375,127700,0,1
2000-02-25,26.375,26.5,25.0,26.375,61200,0,1
2000-02-28,27.0,27.0,22.75,27.0,119000,0,1
2000-02-29,27.0,28.5,26.75,27.0,171000,0,1
2000-03-01,27.75,28.5,27.0,27.75,42200,0,1
2000-03-02,27.625,28.0,26.75,27.625,89400,0,1
2000-03-03,26.5,27.625,25.75,26.5,38100,0,1
2000-03-06,25.0,26.5,23.75,25.0,80900,0,1
2000-03-07,24.75,25.25,24.0,24.75,19100,0,1
2000-03-08,24.375,25.75,23.5,24.375,26600,0,1
2000-03-09,24.0,25.0,23.75,24.0,56600,0,1
2000-03-10,22.75,23.0,21.75,22.75,35900,0,1
2000-03-13,20.25,22.5,19.5,20.25,41400,0,1
2000-03-14,20.25,20.75,18.5,20.25,181700,0,1
2000-03-15,20.25,21.0,19.75,20.25,40300,0,1
2000-03-16,22.625,23.125,21.0,22.625,42400,0,1
2000-03-17,20.25,22.5,20.25,20.25,26300,0,1
2000-03-20,22.0,22.5,21.25,22.0,84400,0,1
2000-03-21,21.75,22.25,21.0,21.75,59700,0,1
2000-03-22,20.75,21.5,20.125,20.75,60100,0,1
2000-03-23,20.625,21.5,19.75,20.625,42900,0,1
2000-03-24,19.5,20.625,19.25,19.5,72000,0,1
2000-03-27,20.25,20.75,19.5,20.25,79500,0,1
2000-03-28,21.375,22.5,20.5,21.375,46500,0,1
2000-03-29,23.125,23.75,22.625,23.125,30100,0,1
2000-03-30,22.75,24.125,20.125,22.75,29300,0,1
2000-03-31,22.0,23.25,21.25,22.0,45400,0,1
2000-04-03,20.125,22.625,20.0,20.125,20000,0,1
2000-04-04,20.0,20.875,19.25,20.0,30500,0,1
2000-04-05,20.5,20.75,19.25,20.5,24200,0,1
2000-04-06,19.75,20.0,19.25,19.75,21900,0,1
2000-04-07,20.5,21.0,20.0,20.5,27900,0,1
2000-04-10,21.5,22.0,19.5,21.5,77700,0,1
2000-04-11,21.375,21.5,20.375,21.375,54900,0,1
2000-04-12,21.125,22.375,20.75,21.125,143900,0,1
2000-04-13,19.75,20.75,19.5,19.75,800000,0,1
