date,open,high,low,close,volume,dividend,split
2000-06-30,0.7656,0.8625,0.5312,0.6062,95540000,0,1
2000-07-03,0.6125,0.6687,0.6109,0.65,9654000,0,1
2000-07-05,0.6625,0.6875,0.6375,0.6562,8202000,0,1
2000-07-06,0.6719,0.7406,0.6562,0.7375,8446000,0,1
2000-07-07,0.7437,0.7563,0.6875,0.6938,4748000,0,1
2000-07-10,0.6969,0.7,0.6687,0.6719,4172000,0,1
2000-07-11,0.6641,0.6641,0.5938,0.6,6186000,0,1
2000-07-12,0.6094,0.6438,0.6062,0.625,2454000,0,1
2000-07-13,0.6375,0.6438,0.5719,0.575,6010000,0,1
2000-07-14,0.5688,0.5813,0.5406,0.5469,6308000,0,1
2000-07-17,0.5344,0.5375,0.4688,0.475,7264000,0,1
2000-07-18,0.4797,0.5063,0.4094,0.4125,7556000,0,1
2000-07-19,0.4187,0.4375,0.4094,0.4156,2886000,0,1
2000-07-20,0.4094,0.4375,0.4094,0.4375,2390000,0,1
2000-07-21,0.4617,0.4938,0.4375,0.4688,6068000,0,1
2000-07-24,0.4688,0.4688,0.4062,0.4187,2786000,0,1
2000-07-25,0.4062,0.4094,0.3812,0.3859,3162000,0,1
2000-07-26,0.375,0.3812,0.325,0.3375,4940000,0,1
2000-07-27,0.3187,0.3375,0.2812,0.2969,3564000,0,1
2000-07-28,0.3,0.3,0.2375,0.2937,8902000,0,1
2000-07-31,0.2805,0.3219,0.25,0.3031,6476000,0,1
2000-08-01,0.3187,0.3187,0.2906,0.3,2380000,0,1
2000-08-02,0.2875,0.3125,0.2781,0.2937,2540000,0,1
2000-08-03,0.2937,0.2953,0.2781,0.2906,1790000,0,1
2000-08-04,0.3,0.3,0.2812,0.2906,1170000,0,1
2000-08-07,0.2891,0.2969,0.2781,0.2906,716000,0,1
2000-08-08,0.3063,0.3094,0.2906,0.2906,1502000,0,1
2000-08-09,0.2906,0.3063,0.2906,0.3,1366000,0,1
2000-08-10,0.3,0.3,0.2875,0.2937,968000,0,1
2000-08-11,0.2969,0.2969,0.2594,0.2688,984000,0,1
2000-08-14,0.275,0.2781,0.2438,0.25,12756000,0,1
2000-08-15,0.2484,0.2547,0.2469,0.25,1364000,0,1
2000-08-16,0.25,0.2625,0.2469,0.25,2280000,0,1
2000-08-17,0.2625,0.2906,0.2469,0.2812,1838000,0,1
2000-08-18,0.2688,0.3063,0.2625,0.3063,2378000,0,1
2000-08-21,0.3055,0.3063,0.2875,0.3,924000,0,1
2000-08-22,0.2969,0.3219,0.2969,0.3156,3136000,0,1
2000-08-23,0.3125,0.3125,0.3,0.3063,3400000,0,1
2000-08-24,0.3125,0.3125,0.2906,0.3031,1342000,0,1
2000-08-25,0.3031,0.3625,0.3031,0.3281,2650000,0,1
2000-08-28,0.3328,0.3328,0.3125,0.325,1398000,0,1
2000-08-29,0.3281,0.3406,0.3281,0.3313,1464000,0,1
2000-08-30,0.3609,0.375,0.3313,0.35,3900000,0,1
2000-08-31,0.3469,0.3828,0.3438,0.3812,5512000,0,1
2000-09-01,0.3781,0.3875,0.3562,0.375,1494000,0,1
2000-09-05,0.3688,0.3688,0.3438,0.35,1016000,0,1
2000-09-06,0.3438,0.35,0.3187,0.3187,1028000,0,1
2000-09-07,0.325,0.3375,0.3187,0.3313,530000,0,1
2000-09-08,0.325,0.3313,0.3125,0.3125,494000,0,1
2000-09-11,0.3187,0.3438,0.3,0.3,1240000,0,1
2000-09-12,0.3125,0.325,0.3,0.3187,2880000,0,1
2000-09-13,0.3187,0.325,0.3,0.3094,244000,0,1
2000-09-14,0.3156,0.3313,0.3156,0.3313,886000,0,1
2000-09-15,0.3297,0.3438,0.3125,0.325,588000,0,1
2000-09-18,0.3344,0.3344,0.3125,0.3125,402000,0,1
2000-09-19,0.3234,0.3562,0.3156,0.35,1022000,0,1
2000-09-20,0.3562,0.3562,0.3094,0.3125,758000,0,1
2000-09-21,0.3125,0.3234,0.3,0.3,2072000,0,1
2000-09-22,0.2937,0.2969,0.275,0.2812,806000,0,1
2000-09-25,0.2875,0.2984,0.2875,0.2875,226000,0,1
2000-09-26,0.2906,0.2906,0.2688,0.275,896000,0,1
2000-09-27,0.275,0.2875,0.2688,0.275,2594000,0,1
2000-09-28,0.2688,0.275,0.2688,0.2719,470000,0,1
2000-09-29,0.2734,0.2734,0.2688,0.2719,278000,0,1
2000-10-02,0.2688,0.2719,0.2562,0.2562,1914000,0,1
2000-10-03,0.2562,0.2688,0.2375,0.2375,630000,0,1
2000-10-04,0.2383,0.2562,0.2313,0.25,1156000,0,1
2000-10-05,0.2445,0.2578,0.2375,0.2375,564000,0,1
2000-10-06,0.2375,0.2469,0.2281,0.2313,1358000,0,1
2000-10-09,0.2438,0.25,0.1875,0.2094,2098000,0,1
2000-10-10,0.2148,0.2156,0.1937,0.2062,1850000,0,1
2000-10-11,0.1914,0.2031,0.1914,0.2016,1438000,0,1
2000-10-12,0.1914,0.2016,0.1906,0.1906,1140000,0,1
