date,open,high,low,close,volume,dividend,split
2003-07-31,11.8797,11.9417,10.3908,10.9739,14755700,0,1
2003-08-01,11.1663,11.1663,9.9628,10.701,2521000,0,1
2003-08-04,10.67,10.67,10.2357,10.3846,958600,0,1
2003-08-05,10.2978,10.4467,10.0868,10.2357,860900,0,1
2003-08-06,10.2605,10.4715,10.2357,10.4032,556300,0,1
2003-08-07,10.5025,10.639,10.2357,10.5459,648900,0,1
2003-08-08,10.5707,10.8623,10.5459,10.8437,609000,0,1
2003-08-11,10.8623,11.0918,10.5459,10.701,525000,0,1
2003-08-12,10.7258,10.9429,10.428,10.9429,578800,0,1
2003-08-13,10.9615,11.3524,10.794,11.2097,340700,0,1
2003-08-14,11.4082,11.4144,10.6514,10.7568,270900,0,1
2003-08-15,10.7382,10.8251,10.6328,10.8251,219500,0,1
2003-08-18,10.794,10.8561,10.5273,10.6079,508200,0,1
2003-08-19,10.6079,10.7196,10.428,10.6638,197600,0,1
2003-08-20,10.67,10.7568,10.5459,10.6079,235000,0,1
2003-08-21,10.5397,10.701,10.397,10.5769,446500,0,1
2003-08-22,10.5955,10.7196,10.428,10.5149,195800,0,1
2003-08-25,10.6079,10.6328,10.4529,10.6079,273500,0,1
2003-08-26,10.5769,10.8251,10.5149,10.8251,220800,0,1
2003-08-27,10.8375,11.0856,10.732,11.0856,226900,0,1
2003-08-28,11.0174,11.6315,11.0174,11.6315,414100,0,1
2003-08-29,11.6563,12.2208,11.2903,12.0968,897500,0,1
2003-09-02,12.0037,12.3139,11.7866,11.8983,700000,0,1
2003-09-03,12.0409,12.3325,11.7866,12.1402,408300,0,1
2003-09-04,12.4628,12.5931,12.0471,12.5496,779000,0,1
2003-09-05,12.469,12.9963,12.3635,12.7171,888200,0,1
2003-09-08,12.7233,13.0149,12.5744,12.8722,442100,0,1
2003-09-09,12.9591,12.9591,12.3697,12.5931,760700,0,1
2003-09-10,12.1898,12.2519,11.0484,11.2469,1870400,0,1
2003-09-11,11.2531,11.3958,11.0298,11.1787,527600,0,1
2003-09-12,10.9739,11.2469,10.5459,11.0174,1187700,0,1
2003-09-15,11.1042,11.2779,10.701,11.067,311900,0,1
2003-09-16,11.0856,11.2345,10.8685,11.0608,266900,0,1
2003-09-17,11.0608,11.1228,10.8065,11.036,251600,0,1
2003-09-18,11.0422,11.0422,10.7878,10.8685,310400,0,1
2003-09-19,10.763,10.9491,10.639,10.67,338800,0,1
2003-09-22,10.6514,10.8251,10.4715,10.5459,320600,0,1
2003-09-23,10.6638,10.7878,10.4777,10.7506,261300,0,1
2003-09-24,10.763,10.8127,10.2357,10.4156,538700,0,1
2003-09-25,10.4094,10.4094,9.8387,9.8945,720200,0,1
2003-09-26,9.8635,10.2543,8.8524,10.2481,1207000,0,1
2003-09-29,10.1427,10.6948,9.9256,10.4963,611900,0,1
2003-09-30,10.5707,10.6141,10.0,10.3226,249000,0,1
2003-10-01,10.2109,10.304,9.7395,10.2047,779400,0,1
2003-10-02,10.1427,10.2357,9.9442,10.1303,299800,0,1
2003-10-03,10.2357,10.3288,10.0248,10.0744,343300,0,1
2003-10-06,10.062,10.2171,9.9628,10.1861,99100,0,1
2003-10-07,10.2233,10.3846,10.0682,10.3598,181500,0,1
2003-10-08,10.3226,10.3908,9.8387,9.8883,305900,0,1
2003-10-09,10.5955,11.2097,10.5149,11.0918,2331400,0,1
2003-10-10,11.2283,11.3524,10.67,10.7196,701800,0,1
2003-10-13,11.1973,11.1973,10.4839,10.6948,377000,0,1
2003-10-14,10.732,10.8561,10.5769,10.6576,547700,0,1
2003-10-15,10.9119,11.0484,10.7134,10.8251,704700,0,1
2003-10-16,10.8251,11.098,10.732,10.7692,651700,0,1
2003-10-17,10.8499,10.9801,10.6576,10.732,175700,0,1
2003-10-20,10.8251,10.9553,10.7134,10.8437,194800,0,1
2003-10-21,11.098,11.6191,10.8437,11.4578,594300,0,1
2003-10-22,11.4392,11.5695,11.1663,11.3586,382600,0,1
2003-10-23,11.3027,11.3275,10.5955,11.0422,237100,0,1
2003-10-24,10.9305,11.0112,10.5459,10.8561,529200,0,1
2003-10-27,10.8313,11.3586,10.732,10.9615,325900,0,1
2003-10-28,11.0608,11.2593,10.7754,11.0236,604300,0,1
2003-10-29,10.5831,10.701,9.4603,9.7084,3430100,0,1
2003-10-30,9.9318,9.9566,8.933,8.9454,1816400,0,1
2003-10-31,9.0571,9.0695,8.5422,8.9454,1396300,0,1
2003-11-03,9.0323,9.1935,8.7159,9.1377,1073700,0,1
2003-11-04,9.1749,9.1998,8.6849,8.6849,612500,0,1
2003-11-05,8.7717,8.8462,8.3437,8.8089,1118700,0,1
2003-11-06,8.995,9.0881,8.8089,9.0881,1148800,0,1
2003-11-07,9.1191,9.2432,8.7717,8.8089,762100,0,1
2003-11-10,8.84,8.995,8.4988,8.5608,582000,0,1
2003-11-11,8.6228,8.8089,8.3871,8.4988,348900,0,1
2003-11-12,8.4988,8.5856,8.3375,8.4367,506800,0,1
2003-11-13,8.4615,8.902,8.3747,8.7841,867700,0,1
2003-11-14,8.8151,8.8834,8.6042,8.84,720200,0,1
2003-11-17,9.1501,9.2432,8.6352,8.8151,659400,0,1
2003-11-18,9.0695,9.1935,8.902,9.0074,540600,0,1
2003-11-19,9.0136,9.1935,8.902,8.9826,524200,0,1
2003-11-20,8.9826,9.0323,8.5918,8.7469,634100,0,1
2003-11-21,8.7841,8.8275,8.4429,8.6538,582000,0,1
2003-11-24,8.6849,8.84,8.5608,8.6228,685100,0,1
2003-11-25,8.4988,8.4988,7.9777,8.3251,1538900,0,1
2003-11-26,8.3437,8.4057,8.0955,8.294,367800,0,1
2003-11-28,8.294,8.567,8.1266,8.3685,124400,0,1
2003-12-01,8.5918,9.1811,8.4739,9.1377,2126700,0,1
2003-12-02,9.2618,9.3672,9.1377,9.2184,1009400,0,1
2003-12-03,9.2804,9.3921,9.0261,9.237,1378500,0,1
2003-12-04,9.2742,9.3362,9.0012,9.2556,1289600,0,1
2003-12-05,9.572,10.2295,9.4603,9.9318,3782500,0,1
2003-12-08,9.9876,10.2357,9.6774,9.8325,865800,0,1
2003-12-09,9.9007,9.9876,9.3052,9.5844,701500,0,1
2003-12-10,9.4727,9.7022,8.995,9.1129,1259900,0,1
2003-12-11,9.1687,9.33,9.1563,9.2742,266700,0,1
2003-12-12,9.33,9.33,9.0571,9.2432,205200,0,1
2003-12-15,9.3921,9.603,9.3672,9.603,608800,0,1
2003-12-16,9.7705,9.8325,9.4045,9.6402,688100,0,1
2003-12-17,9.5285,9.7208,9.2184,9.237,367300,0,1
2003-12-18,9.2246,9.603,9.2246,9.4851,281400,0,1
2003-12-19,9.5409,9.6154,9.33,9.361,292200,0,1
2003-12-22,9.4355,9.8015,9.3797,9.8015,286700,0,1
2003-12-23,9.8263,9.8325,9.727,9.8015,167800,0,1
2003-12-24,9.6898,9.8139,9.6402,9.7022,79100,0,1
2003-12-26,9.7022,9.7395,9.5471,9.6774,144900,0,1
2003-12-29,9.7395,9.8015,9.6774,9.7519,197700,0,1
2003-12-30,9.8325,9.9256,9.6774,9.9256,268700,0,1
2003-12-31,9.938,9.9504,9.7519,9.9194,234500,0,1
2004-01-02,9.9504,9.9566,9.2122,9.4293,526300,0,1
2004-01-05,9.3486,9.572,9.237,9.5658,335100,0,1
2004-01-06,9.5906,9.6154,9.3052,9.3114,565000,0,1
2004-01-07,9.5782,10.0993,9.5533,10.0993,1582900,0,1
2004-01-08,10.2233,10.4901,10.0186,10.1179,1235700,0,1
2004-01-09,10.1117,10.4342,9.9442,10.0,688300,0,1
2004-01-12,10.1117,10.8933,10.031,10.8561,917500,0,1
2004-01-13,10.9181,11.1352,10.2357,10.9367,783100,0,1
2004-01-14,11.0422,11.1538,10.5335,10.5831,532400,0,1
2004-01-15,10.6203,11.0484,10.4901,10.732,572000,0,1
2004-01-16,11.1042,12.0099,11.0732,12.0037,2354600,0,1
2004-01-20,12.1588,12.4628,12.1588,12.4069,1875200,0,1
2004-01-21,12.4069,12.4069,11.6253,11.7432,1331000,0,1
2004-01-22,11.6687,11.7184,10.7506,11.2407,1755700,0,1
2004-01-23,11.3462,11.6625,11.2221,11.3337,452600,0,1
2004-01-26,11.3834,11.6253,11.0856,11.6191,539800,0,1
2004-01-27,10.9553,11.16,10.639,10.8747,2529500,0,1
2004-01-28,10.8002,11.2283,10.763,10.763,1285800,0,1
2004-01-29,10.794,11.1042,10.6514,10.8747,614000,0,1
2004-01-30,10.8809,10.9553,10.3908,10.4715,462600,0,1
2004-02-02,10.5335,10.6079,10.273,10.3226,482300,0,1
2004-02-03,10.2978,10.6514,10.0558,10.6452,602800,0,1
2004-02-04,10.6079,10.6328,10.2047,10.273,514200,0,1
2004-02-05,10.2357,10.5583,10.1427,10.3908,345200,0,1
2004-02-06,10.3226,10.6328,10.273,10.5211,575000,0,1
2004-02-09,10.4839,10.5893,10.2419,10.2543,399400,0,1
2004-02-10,10.2667,10.4529,10.1303,10.3598,173600,0,1
2004-02-11,10.3908,10.9801,10.3598,10.8809,1065600,0,1
2004-02-12,11.5136,11.6315,10.9181,11.036,4012100,0,1
2004-02-13,11.0918,11.1973,10.9057,11.1787,659600,0,1
2004-02-17,11.2159,11.2159,10.9429,11.0112,315300,0,1
2004-02-18,10.3164,10.67,10.2792,10.4715,1528000,0,1
2004-02-19,10.5397,10.5521,9.7395,9.8511,801000,0,1
2004-02-20,9.8263,10.2357,9.7022,9.9876,803500,0,1
2004-02-23,10.0124,10.1117,9.5533,9.7084,405700,0,1
2004-02-24,9.6216,9.7395,9.3052,9.3362,1043900,0,1
2004-02-25,9.33,9.3672,8.9764,9.1005,836400,0,1
2004-02-26,9.1005,9.3052,8.995,9.1749,815300,0,1
2004-02-27,9.2246,9.4479,9.1315,9.3362,1023200,0,1
2004-03-01,9.4479,9.4851,9.3859,9.4293,275100,0,1
2004-03-02,9.4355,9.5533,9.3052,9.3859,520000,0,1
2004-03-03,9.3238,9.5223,9.2742,9.4355,415200,0,1
2004-03-04,9.4355,9.4417,9.1811,9.2618,407000,0,1
2004-03-05,9.299,9.3362,9.1749,9.1811,538500,0,1
2004-03-08,9.0509,9.0571,8.6725,8.7469,2614600,0,1
2004-03-09,8.7717,9.0757,8.7593,8.964,629800,0,1
2004-03-10,8.995,9.1501,8.902,8.964,489400,0,1
2004-03-11,9.0509,9.2432,8.8648,9.1377,428700,0,1
2004-03-12,9.2308,9.3176,9.1563,9.268,188100,0,1
2004-03-15,9.1501,9.3362,8.7159,9.0261,650900,0,1
2004-03-16,8.84,9.0385,8.6849,8.7779,629100,0,1
2004-03-17,8.7903,9.1253,8.6973,9.0199,337000,0,1
2004-03-18,9.0074,9.2928,8.9392,8.9764,338800,0,1
2004-03-19,9.0571,9.0943,8.902,8.902,203400,0,1
2004-03-22,8.8834,8.8834,8.4988,8.4988,281900,0,1
2004-03-23,8.6042,8.8337,8.3065,8.4864,372300,0,1
2004-03-24,8.7655,8.7841,8.4367,8.5732,183400,0,1
2004-03-25,8.7097,8.7469,8.6042,8.6042,257400,0,1
2004-03-26,8.6911,8.7903,8.5608,8.6663,602700,0,1
2004-03-29,8.6849,8.7035,8.1886,8.2382,1781500,0,1
2004-03-30,8.4801,8.6166,8.3127,8.4553,7081100,0,1
2004-03-31,8.5174,8.6725,8.2258,8.536,1548300,0,1
2004-04-01,8.5918,8.6166,8.4367,8.4926,1448500,0,1
2004-04-02,8.598,8.7655,8.4367,8.5236,1119800,0,1
2004-04-05,8.536,9.1253,8.4739,8.9082,1374000,0,1
2004-04-06,9.0323,9.1067,8.7469,8.7841,766300,0,1
2004-04-07,8.7779,9.4293,8.6849,9.2494,1396400,0,1
2004-04-08,9.4045,9.4169,8.871,8.9578,1355000,0,1
2004-04-12,8.9888,9.2122,8.871,9.0447,681300,0,1
2004-04-13,9.0571,9.1315,8.8089,8.9392,365400,0,1
2004-04-14,8.8958,8.8958,8.6352,8.871,502100,0,1
2004-04-15,8.8834,8.9144,8.4367,8.536,476500,0,1
2004-04-16,8.5174,8.5236,8.1266,8.1266,887500,0,1
2004-04-19,8.1266,8.3313,7.6489,8.3313,804300,0,1
2004-04-20,8.3313,8.5112,8.1203,8.139,477400,0,1
2004-04-21,8.1824,8.3002,7.6303,8.0645,854300,0,1
2004-04-22,8.1328,8.2444,8.0025,8.1948,617200,0,1
2004-04-23,8.17,8.2568,8.1638,8.201,541300,0,1
2004-04-26,8.201,8.2444,8.17,8.1948,251900,0,1
2004-04-27,8.1824,8.4429,7.3821,7.9901,1195100,0,1
2004-04-28,7.7543,7.9404,7.3945,7.6613,1912900,0,1
2004-04-29,7.6613,7.6675,7.165,7.2581,964900,0,1
2004-04-30,7.1526,7.196,6.5695,6.7308,1142700,0,1
2004-05-03,6.8238,7.3511,6.6501,7.2457,1400500,0,1
2004-05-04,7.3945,8.0025,7.165,7.3511,2008200,0,1
2004-05-05,7.3511,7.7419,7.165,7.6365,1598900,0,1
2004-05-06,7.5682,7.6427,6.9231,7.2891,2003800,0,1
2004-05-07,7.2022,7.3635,7.0906,7.196,472400,0,1
2004-05-10,7.1092,7.1278,6.6501,6.8052,646800,0,1
2004-05-11,6.8362,7.2953,6.8238,7.2953,842500,0,1
2004-05-12,7.2643,7.2643,6.9355,7.196,552100,0,1
2004-05-13,7.196,7.2022,6.9479,7.0223,320300,0,1
2004-05-14,7.0409,7.0409,6.6315,6.737,697100,0,1
2004-05-17,6.6811,6.6998,6.371,6.433,664300,0,1
2004-05-18,6.433,6.4826,6.3027,6.3648,435400,0,1
2004-05-19,6.5136,6.9231,6.4206,6.7122,1353500,0,1
2004-05-20,7.134,7.4442,6.9231,7.134,1883100,0,1
2004-05-21,7.227,7.5248,7.2084,7.3263,978300,0,1
2004-05-24,7.4318,7.7109,7.4318,7.5062,547500,0,1
2004-05-25,7.5,7.5124,7.2519,7.4752,1307600,0,1
2004-05-26,7.4442,7.5186,7.3945,7.4876,528500,0,1
2004-05-27,7.4814,7.6055,7.3387,7.5868,610700,0,1
2004-05-28,7.5993,7.6117,7.4194,7.531,243000,0,1
2004-06-01,7.5372,7.7357,7.4814,7.6613,892800,0,1
2004-06-02,7.6923,7.7233,7.4442,7.5248,281700,0,1
2004-06-03,7.5186,7.6365,7.4566,7.5372,253700,0,1
2004-06-04,7.6799,7.9653,7.6179,7.9653,795600,0,1
2004-06-07,8.1017,8.1452,7.9963,8.0955,752100,0,1
2004-06-08,8.0397,8.139,8.0025,8.139,378900,0,1
2004-06-09,8.139,8.139,7.8722,7.8846,319400,0,1
