date,open,high,low,close,volume,dividend,split
2000-01-03,0.9438,0.9877,0.9438,0.9877,43800,0,1
2000-01-04,0.9657,0.9657,0.9657,0.9657,100,0,1
2000-01-05,1.0864,1.0864,1.0864,1.0864,100,0,1
2000-01-06,0.9877,0.9877,0.9877,0.9877,1900,0,1
2000-01-07,0.9877,0.9877,0.9877,0.9877,16300,0,1
2000-01-10,1.0206,1.0974,1.0206,1.0974,51900,0,1
2000-01-11,1.0754,1.1084,0.9547,0.9547,129600,0,1
2000-01-12,0.9877,1.0206,0.9767,1.0206,30300,0,1
2000-01-13,1.0206,1.0206,1.0206,1.0206,0,0,1
2000-01-14,1.0316,1.0316,0.9986,0.9986,16300,0,1
2000-01-18,0.9986,1.0535,0.9986,1.0535,57600,0,1
2000-01-19,1.0425,1.0864,1.0425,1.0864,75700,0,1
2000-01-20,1.0754,1.1193,1.0754,1.1193,9000,0,1
2000-01-21,1.0864,1.0864,1.0864,1.0864,21100,0,1
2000-01-24,1.1084,1.1139,1.1084,1.1084,15400,0,1
2000-01-25,1.1084,1.1084,1.0864,1.1029,36600,0,1
2000-01-26,1.1139,1.1139,1.1084,1.1084,25600,0,1
2000-01-27,1.1084,1.1084,1.1084,1.1084,6300,0,1
2000-01-28,1.1193,1.1193,1.1193,1.1193,1900,0,1
2000-01-31,1.1084,1.1084,1.0096,1.0425,228100,0,1
2000-02-01,1.059,1.0754,1.0316,1.0425,121500,0,1
2000-02-02,1.1139,1.1139,1.0425,1.0535,141700,0,1
2000-02-03,1.0535,1.1193,1.0535,1.1193,45900,0,1
2000-02-04,1.1193,1.1193,1.1193,1.1193,12100,0,1
2000-02-07,1.1193,1.1193,1.0974,1.1029,40600,0,1
2000-02-08,1.0864,1.1193,1.0864,1.1193,6300,0,1
2000-02-09,1.0974,1.0974,1.0974,1.0974,2800,0,1
2000-02-10,1.0864,1.0864,1.0864,1.0864,16300,0,1
2000-02-11,1.0864,1.0974,1.0864,1.0974,41400,0,1
2000-02-14,1.1193,1.1193,1.0535,1.0535,23100,0,1
2000-02-15,1.0535,1.0535,1.0535,1.0535,0,0,1
2000-02-16,1.0864,1.0974,1.0864,1.0974,16300,0,1
2000-02-17,1.0864,1.0864,1.0864,1.0864,9000,0,1
2000-02-18,1.0864,1.0864,1.0864,1.0864,81900,0,1
2000-02-22,1.0645,1.1413,1.0645,1.0974,48600,0,1
2000-02-23,1.0754,1.0754,1.0754,1.0754,51900,0,1
2000-02-24,1.0919,1.0919,1.0919,1.0919,100,0,1
2000-02-25,1.0754,1.0864,1.0754,1.0754,36600,0,1
2000-02-28,1.0754,1.0754,1.0754,1.0754,4900,0,1
2000-02-29,1.0919,1.0919,1.0754,1.0754,16300,0,1
2000-03-01,1.0754,1.0864,1.0754,1.0864,27100,0,1
2000-03-02,1.0919,1.0919,1.0919,1.0919,10900,0,1
2000-03-03,1.0535,1.0535,1.0535,1.0535,38400,0,1
2000-03-06,1.0535,1.0535,1.0535,1.0535,0,0,1
2000-03-07,1.0974,1.0974,1.059,1.059,45400,0,1
2000-03-08,1.059,1.059,1.059,1.059,10900,0,1
2000-03-09,1.059,1.0974,1.059,1.059,29200,0,1
2000-03-10,1.059,1.059,1.059,1.059,9000,0,1
2000-03-13,1.059,1.059,1.059,1.059,0,0,1
2000-03-14,1.059,1.059,1.059,1.059,16300,0,1
2000-03-15,1.059,1.059,1.059,1.059,0,0,1
2000-03-16,1.059,1.059,1.059,1.059,9000,0,1
2000-03-17,1.1193,1.1193,1.059,1.0645,75700,0,1
2000-03-20,1.118,1.1193,1.118,1.1193,45400,0,1
2000-03-21,1.059,1.059,1.059,1.059,100,0,1
2000-03-22,1.059,1.059,1.059,1.059,0,0,1
2000-03-23,1.059,1.059,1.059,1.059,0,0,1
2000-03-24,1.1193,1.1193,1.1193,1.1193,1900,0,1
2000-03-27,1.1193,1.1193,1.1193,1.1193,34600,0,1
2000-03-28,1.059,1.059,1.059,1.059,1900,0,1
