date,open,high,low,close,volume,dividend,split
2000-01-03,3.7031,3.7031,3.4062,3.4844,403600,0,1
2000-01-04,3.4375,3.5,3.3906,3.4844,154000,0,1
2000-01-05,3.5625,3.5625,3.4375,3.4375,301600,0,1
2000-01-06,3.4375,3.6719,3.4219,3.6719,481600,0,1
2000-01-07,3.6562,4.0,3.5312,4.0,806800,0,1
2000-01-10,4.0,4.0469,3.7344,3.875,391200,0,1
2000-01-11,3.8438,3.9688,3.7344,3.9688,212000,0,1
2000-01-12,3.9531,3.9531,3.6719,3.6719,349200,0,1
2000-01-13,3.7031,4.0625,3.7031,3.9375,694000,0,1
2000-01-14,3.9531,4.0781,3.9531,4.0781,615600,0,1
2000-01-18,4.0625,4.4844,4.0625,4.4844,1093200,0,1
2000-01-19,4.4531,4.5469,4.375,4.375,370800,0,1
2000-01-20,4.4375,4.4375,4.2812,4.3125,341600,0,1
2000-01-21,4.3594,4.4219,4.25,4.25,515200,0,1
2000-01-24,4.25,4.5156,4.125,4.125,510400,0,1
2000-01-25,4.1562,4.2969,4.1094,4.2969,351200,0,1
2000-01-26,4.3281,4.3438,4.1562,4.1562,138800,0,1
2000-01-27,4.1875,4.2188,3.9844,4.0,209200,0,1
2000-01-28,4.0312,4.0781,3.8906,3.9688,168800,0,1
2000-01-31,3.9688,4.25,3.9688,4.1562,406800,0,1
2000-02-01,4.125,4.2344,4.125,4.2344,248000,0,1
2000-02-02,4.2344,4.3594,4.2344,4.3594,308400,0,1
2000-02-03,4.3594,4.5781,4.3594,4.5469,606000,0,1
2000-02-04,4.5156,4.5156,4.2656,4.3438,175600,0,1
2000-02-07,4.3438,4.5469,4.3125,4.3125,390000,0,1
2000-02-08,4.1719,4.1875,4.0625,4.1406,409200,0,1
2000-02-09,4.125,4.1406,4.0312,4.0938,222400,0,1
2000-02-10,4.0625,4.1406,4.0469,4.125,392800,0,1
2000-02-11,4.125,4.125,4.0781,4.1094,465200,0,1
2000-02-14,4.0938,4.1875,4.0625,4.1875,518000,0,1
2000-02-15,4.1875,4.4688,4.1875,4.4688,442800,0,1
2000-02-16,4.4688,4.5,4.3438,4.5,354800,0,1
2000-02-17,4.4688,4.5,4.4531,4.5,374800,0,1
2000-02-18,4.4688,4.6094,4.4688,4.4688,650000,0,1
2000-02-22,4.4844,4.5469,4.4688,4.5156,1706400,0,1
2000-02-23,4.5156,4.5469,4.4531,4.5156,280400,0,1
2000-02-24,4.5156,4.5938,4.5156,4.5781,349200,0,1
2000-02-25,4.5156,4.5312,4.3438,4.375,371600,0,1
2000-02-28,4.25,4.5625,4.2344,4.5625,389200,0,1
2000-02-29,4.5312,4.7656,4.5312,4.75,522800,0,1
2000-03-01,4.8125,5.0,4.8125,4.9844,472400,0,1
2000-03-02,5.0,5.1406,4.9844,5.0,1364400,0,1
2000-03-03,5.0625,5.0625,4.625,4.6562,251200,0,1
2000-03-06,4.6562,4.9062,4.625,4.8594,560000,0,1
2000-03-07,4.875,5.1094,4.7812,5.1094,591200,0,1
2000-03-08,5.0938,5.0938,4.75,4.75,536000,0,1
2000-03-09,4.75,4.7969,4.625,4.7344,440800,0,1
2000-03-10,4.7344,4.9062,4.7188,4.75,214400,0,1
2000-03-13,4.7031,4.75,4.6562,4.75,127600,0,1
2000-03-14,4.6875,4.75,4.6719,4.7188,232400,0,1
2000-03-15,4.7188,4.7656,4.7031,4.75,454400,0,1
2000-03-16,4.75,4.7969,4.7031,4.7969,471600,0,1
2000-03-17,4.7969,4.7969,4.7031,4.7188,132400,0,1
2000-03-20,4.7031,4.7031,4.5781,4.6094,359200,0,1
2000-03-21,4.5625,4.625,4.4688,4.625,668800,0,1
2000-03-22,4.625,4.8281,4.625,4.8281,332400,0,1
2000-03-23,4.8281,5.0,4.8281,4.8906,334800,0,1
2000-03-24,4.875,5.125,4.875,4.9688,261200,0,1
2000-03-27,4.9375,5.0,4.8438,4.9531,187200,0,1
2000-03-28,4.8906,4.9375,4.7812,4.7812,201600,0,1
2000-03-29,4.7969,4.9062,4.75,4.8281,475200,0,1
2000-03-30,4.8438,4.9531,4.7656,4.875,686800,0,1
2000-03-31,4.8438,4.9531,4.6875,4.6875,935200,0,1
2000-04-03,4.7188,4.75,4.6719,4.75,222800,0,1
2000-04-04,4.7656,4.7969,4.25,4.3906,483600,0,1
2000-04-05,4.3438,4.4688,4.3125,4.3125,280000,0,1
2000-04-06,4.3438,4.4531,4.25,4.25,645600,0,1
2000-04-07,4.3125,4.4062,4.25,4.3438,667600,0,1
2000-04-10,4.3281,4.3281,4.2031,4.2188,428800,0,1
2000-04-11,4.2188,4.2812,4.0312,4.2031,627200,0,1
2000-04-12,4.25,4.3125,4.1562,4.2344,237600,0,1
2000-04-13,4.25,4.2656,4.0938,4.0938,239600,0,1
2000-04-14,4.0312,4.125,3.9375,4.125,1135200,0,1
2000-04-17,4.0,4.0,3.8125,3.8438,1034800,0,1
2000-04-18,3.875,4.0156,3.875,3.9375,345200,0,1
2000-04-19,3.9688,4.0312,3.875,3.9844,284400,0,1
2000-04-20,3.9844,4.0312,3.9062,4.0,226000,0,1
2000-04-24,3.9844,4.0938,3.9531,4.0938,326000,0,1
2000-04-25,4.0938,4.3125,4.0938,4.25,656800,0,1
2000-04-26,4.25,4.2812,4.2188,4.2344,448800,0,1
2000-04-27,4.2188,4.3906,4.2031,4.3281,326000,0,1
2000-04-28,4.3281,4.4219,4.3125,4.3125,454400,0,1
2000-05-01,4.3125,4.3594,4.3125,4.3281,262400,0,1
2000-05-02,4.3281,4.4688,4.3281,4.4531,555600,0,1
2000-05-03,4.3906,4.4219,4.3281,4.3594,383200,0,1
2000-05-04,4.3281,4.4844,4.3281,4.4531,177200,0,1
2000-05-05,4.4688,4.5,4.3906,4.5,252000,0,1
2000-05-08,4.5,4.6562,4.5,4.5625,183600,0,1
2000-05-09,4.5625,4.6094,4.5625,4.6094,171600,0,1
2000-05-10,4.5781,4.5781,4.5469,4.5625,144400,0,1
2000-05-11,4.5938,4.6562,4.5781,4.6094,87600,0,1
2000-05-12,4.6094,4.7969,4.6094,4.7969,230400,0,1
2000-05-15,4.7969,5.1875,4.7969,5.1719,588000,0,1
2000-05-16,5.3125,5.375,5.2188,5.2812,1098800,0,1
2000-05-17,5.2812,5.2812,5.0625,5.1562,814000,0,1
2000-05-18,5.0,5.0,4.625,4.75,974400,0,1
2000-05-19,4.7812,4.7812,4.6562,4.7344,398800,0,1
2000-05-22,4.7656,4.8125,4.4375,4.4688,303200,0,1
2000-05-23,4.5,4.6875,4.5,4.5938,290400,0,1
2000-05-24,4.6406,4.6719,4.5781,4.625,313600,0,1
2000-05-25,4.5938,4.5938,4.5,4.5781,206000,0,1
2000-05-26,4.6094,4.7812,4.6094,4.75,282800,0,1
2000-05-30,4.7188,4.875,4.7188,4.7656,238800,0,1
2000-05-31,4.7344,4.9062,4.7188,4.875,253200,0,1
2000-06-01,4.875,4.875,4.7656,4.7969,290800,0,1
2000-06-02,4.7656,4.7812,4.7188,4.7188,450800,0,1
2000-06-05,4.7188,4.7656,4.5938,4.625,429200,0,1
2000-06-06,4.5938,4.7344,4.5938,4.7344,249200,0,1
2000-06-07,4.7344,4.7812,4.7188,4.75,255200,0,1
2000-06-08,4.7656,4.8594,4.7656,4.8594,108400,0,1
2000-06-09,4.875,4.9062,4.8125,4.8281,134400,0,1
2000-06-12,4.8594,4.9844,4.8594,4.9688,97200,0,1
2000-06-13,4.9375,5.0312,4.9062,5.0312,290000,0,1
2000-06-14,5.0312,5.0312,4.9688,5.0,280400,0,1
2000-06-15,5.0,5.0,4.9688,4.9844,177600,0,1
2000-06-16,4.9844,5.0,4.9375,4.9844,271200,0,1
2000-06-19,5.0,5.0,4.9375,4.9844,141200,0,1
2000-06-20,4.9219,4.9219,4.8125,4.9219,230000,0,1
2000-06-21,4.9531,5.0781,4.9062,4.9688,404800,0,1
2000-06-22,4.9688,5.0,4.9219,4.9375,262000,0,1
2000-06-23,4.9531,4.9531,4.7656,4.8438,179200,0,1
2000-06-26,4.8125,4.9219,4.75,4.8594,267600,0,1
2000-06-27,4.8594,4.875,4.8281,4.8594,364400,0,1
2000-06-28,4.8906,4.9062,4.7188,4.7188,346400,0,1
2000-06-29,4.7344,5.0312,4.7188,5.0,400000,0,1
2000-06-30,5.0156,5.0156,4.75,4.75,379600,0,1
2000-07-03,4.8125,4.9844,4.7969,4.9688,269200,0,1
2000-07-05,4.9062,4.9062,4.7344,4.7344,242800,0,1
2000-07-06,4.7344,4.8125,4.6875,4.75,699200,0,1
2000-07-07,4.75,4.75,4.6562,4.7344,408400,0,1
2000-07-10,4.6719,4.6875,4.2188,4.2188,881600,0,1
2000-07-11,4.2344,4.2969,4.2188,4.2656,1296000,0,1
2000-07-12,4.25,4.2969,4.1875,4.2812,462800,0,1
2000-07-13,4.2812,4.2812,4.25,4.2812,193200,0,1
